Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,38,38,6,32,32,0,5,0,0,0.0,0
1,40,40,11,29,29,24,5,5,0.20833333333333334,1.0,0.3448275862068966
2,60,60,8,52,52,8,6,3,0.375,0.5,0.42857142857142855
3,93,93,14,79,79,6,8,6,1.0,0.75,0.8571428571428571
4,81,81,11,70,70,10,3,3,0.3,1.0,0.4615384615384615
5,83,83,19,64,64,11,15,11,1.0,0.7333333333333333,0.846153846153846
6,62,62,13,49,49,15,6,5,0.3333333333333333,0.8333333333333334,0.47619047619047616
7,46,46,4,42,42,1,1,1,1.0,1.0,1.0
8,87,87,22,65,65,92,9,9,0.09782608695652174,1.0,0.17821782178217824
9,111,111,14,97,97,3,1,1,0.3333333333333333,1.0,0.5
10,346,346,84,262,262,56,9,6,0.10714285714285714,0.6666666666666666,0.18461538461538463
11,189,189,31,158,158,9,11,9,1.0,0.8181818181818182,0.9
12,76,76,9,67,67,3,3,3,1.0,1.0,1.0
13,72,72,14,58,58,8,8,8,1.0,1.0,1.0
14,55,55,10,45,45,6,6,5,0.8333333333333334,0.8333333333333334,0.8333333333333334
15,63,63,6,57,57,2,2,2,1.0,1.0,1.0
16,67,67,11,56,56,14,11,11,0.7857142857142857,1.0,0.88
17,44,44,10,34,34,12,8,8,0.6666666666666666,1.0,0.8
18,37,37,9,28,28,7,5,5,0.7142857142857143,1.0,0.8333333333333333
19,28,28,8,20,20,9,4,3,0.3333333333333333,0.75,0.46153846153846156
20,27,27,7,20,20,5,6,5,1.0,0.8333333333333334,0.9090909090909091
21,33,33,9,24,24,5,5,4,0.8,0.8,0.8000000000000002
22,45,45,12,33,33,5,7,4,0.8,0.5714285714285714,0.6666666666666666
23,26,26,7,19,19,6,3,3,0.5,1.0,0.6666666666666666
24,26,26,5,21,21,1,1,0,0.0,0.0,0
25,35,35,13,22,22,13,8,4,0.3076923076923077,0.5,0.380952380952381
26,27,27,9,18,18,8,7,6,0.75,0.8571428571428571,0.7999999999999999
27,37,37,11,26,26,5,5,2,0.4,0.4,0.4000000000000001
28,21,21,4,17,17,5,2,2,0.4,1.0,0.5714285714285715
29,25,25,5,20,20,4,4,4,1.0,1.0,1.0
30,25,25,5,20,20,4,4,4,1.0,1.0,1.0
31,19,19,6,13,13,3,1,1,0.3333333333333333,1.0,0.5
32,28,28,11,17,17,37,6,5,0.13513513513513514,0.8333333333333334,0.23255813953488372
33,62,62,16,46,46,9,8,8,0.8888888888888888,1.0,0.9411764705882353
34,48,48,8,40,40,5,5,5,1.0,1.0,1.0
35,49,49,11,38,38,7,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571
36,39,39,7,32,32,6,5,5,0.8333333333333334,1.0,0.9090909090909091
37,62,62,12,50,50,9,9,9,1.0,1.0,1.0
38,27,27,6,21,21,6,6,6,1.0,1.0,1.0
39,38,38,11,27,27,7,7,7,1.0,1.0,1.0
40,88,88,32,56,56,97,23,20,0.20618556701030927,0.8695652173913043,0.3333333333333333
41,130,130,27,103,103,16,20,14,0.875,0.7,0.7777777777777777
42,82,82,14,68,68,14,15,14,1.0,0.9333333333333333,0.9655172413793104
43,68,68,13,55,55,14,14,14,1.0,1.0,1.0
44,153,153,28,125,125,26,23,21,0.8076923076923077,0.9130434782608695,0.8571428571428572
45,243,243,49,194,194,25,25,21,0.84,0.84,0.8399999999999999
46,343,343,96,247,247,48,45,36,0.75,0.8,0.7741935483870969
47,249,249,73,176,176,42,41,34,0.8095238095238095,0.8292682926829268,0.8192771084337348
