Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,186,31,31,80,130,2,0.025,0.015384615384615385,0.01904761904761905
1,258,258,227,31,31,80,147,2,0.025,0.013605442176870748,0.01762114537444934
2,233,233,186,47,47,17,126,6,0.35294117647058826,0.047619047619047616,0.0839160839160839
3,429,429,351,78,78,28,298,6,0.21428571428571427,0.020134228187919462,0.03680981595092024
4,359,359,289,70,70,14,223,4,0.2857142857142857,0.017937219730941704,0.03375527426160337
5,287,287,220,67,67,23,153,11,0.4782608695652174,0.0718954248366013,0.125
6,218,218,171,47,47,18,124,8,0.4444444444444444,0.06451612903225806,0.11267605633802817
7,182,182,145,37,37,13,90,6,0.46153846153846156,0.06666666666666667,0.11650485436893204
8,1629,1629,1565,64,64,135,1564,11,0.08148148148148149,0.007033248081841432,0.012948793407886992
9,429,429,338,91,91,39,213,6,0.15384615384615385,0.028169014084507043,0.04761904761904762
10,1226,1226,956,270,270,553,602,10,0.018083182640144666,0.016611295681063124,0.017316017316017316
11,525,525,362,163,163,234,230,8,0.03418803418803419,0.034782608695652174,0.03448275862068965
12,248,248,185,63,63,15,125,6,0.4,0.048,0.08571428571428572
13,224,224,165,59,59,81,103,7,0.08641975308641975,0.06796116504854369,0.07608695652173914
14,204,204,158,46,46,46,92,4,0.08695652173913043,0.043478260869565216,0.05797101449275362
15,168,168,116,52,52,14,69,4,0.2857142857142857,0.057971014492753624,0.09638554216867469
16,204,204,150,54,54,18,109,11,0.6111111111111112,0.10091743119266056,0.1732283464566929
17,180,180,145,35,35,8,97,5,0.625,0.05154639175257732,0.09523809523809522
18,166,166,140,26,26,49,87,6,0.12244897959183673,0.06896551724137931,0.08823529411764706
19,153,153,134,19,19,53,84,7,0.1320754716981132,0.08333333333333333,0.1021897810218978
20,146,146,127,19,19,37,76,4,0.10810810810810811,0.05263157894736842,0.07079646017699115
