Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,38,38,7,31,31,2,5,2,1.0,0.4,0.5714285714285715
1,40,40,9,31,31,12,2,2,0.16666666666666666,1.0,0.2857142857142857
2,60,60,13,47,47,6,9,5,0.8333333333333334,0.5555555555555556,0.6666666666666667
3,93,93,15,78,78,18,7,6,0.3333333333333333,0.8571428571428571,0.48
4,81,81,11,70,70,5,6,4,0.8,0.6666666666666666,0.7272727272727272
5,83,83,16,67,67,11,13,11,1.0,0.8461538461538461,0.9166666666666666
6,62,62,15,47,47,9,9,7,0.7777777777777778,0.7777777777777778,0.7777777777777778
7,46,46,9,37,37,5,6,5,1.0,0.8333333333333334,0.9090909090909091
8,87,87,23,64,64,126,11,11,0.0873015873015873,1.0,0.16058394160583941
9,111,111,20,91,91,6,7,6,1.0,0.8571428571428571,0.923076923076923
10,346,346,76,270,270,13,19,10,0.7692307692307693,0.5263157894736842,0.625
11,189,189,26,163,163,13,17,8,0.6153846153846154,0.47058823529411764,0.5333333333333333
12,76,76,13,63,63,7,10,6,0.8571428571428571,0.6,0.7058823529411764
13,72,72,13,59,59,8,12,7,0.875,0.5833333333333334,0.7000000000000001
14,55,55,9,46,46,5,7,4,0.8,0.5714285714285714,0.6666666666666666
15,63,63,11,52,52,6,7,4,0.6666666666666666,0.5714285714285714,0.6153846153846153
16,67,67,13,54,54,10,16,10,1.0,0.625,0.7692307692307693
17,44,44,9,35,35,5,7,5,1.0,0.7142857142857143,0.8333333333333333
18,37,37,11,26,26,7,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571
19,28,28,9,19,19,15,5,4,0.26666666666666666,0.8,0.4
20,27,27,8,19,19,5,5,3,0.6,0.6,0.6
21,33,33,9,24,24,9,5,3,0.3333333333333333,0.6,0.42857142857142855
22,45,45,15,30,30,10,7,5,0.5,0.7142857142857143,0.588235294117647
