Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,179,179,179,0,0,13,78,0,0.0,0.0,0
1,218,218,218,0,0,2,98,0,0.0,0.0,0
2,173,173,173,0,0,11,74,1,0.09090909090909091,0.013513513513513514,0.023529411764705885
3,336,336,336,0,0,10,215,0,0.0,0.0,0
4,278,278,278,0,0,9,125,0,0.0,0.0,0
5,204,204,204,0,0,12,86,0,0.0,0.0,0
6,156,156,156,0,0,9,67,1,0.1111111111111111,0.014925373134328358,0.026315789473684213
7,136,136,136,0,0,8,60,1,0.125,0.016666666666666666,0.029411764705882353
8,1542,1542,1542,0,0,9,1469,0,0.0,0.0,0
9,318,318,318,0,0,33,119,0,0.0,0.0,0
10,880,880,880,0,0,91,309,0,0.0,0.0,0
11,336,336,336,0,0,52,122,0,0.0,0.0,0
12,172,172,172,0,0,8,59,0,0.0,0.0,0
13,152,152,152,0,0,12,55,0,0.0,0.0,0
14,149,149,149,0,0,11,64,0,0.0,0.0,0
15,105,105,105,0,0,8,34,0,0.0,0.0,0
16,137,137,137,0,0,8,52,1,0.125,0.019230769230769232,0.03333333333333334
17,136,136,136,0,0,3,51,0,0.0,0.0,0
18,129,129,129,0,0,6,54,0,0.0,0.0,0
19,125,125,125,0,0,7,49,0,0.0,0.0,0
20,119,119,119,0,0,1,48,0,0.0,0.0,0
21,137,137,137,0,0,3,54,0,0.0,0.0,0
22,155,155,155,0,0,6,64,0,0.0,0.0,0
23,107,107,107,0,0,5,37,1,0.2,0.02702702702702703,0.047619047619047616
24,99,99,99,0,0,1,38,1,1.0,0.02631578947368421,0.05128205128205127
25,189,189,189,0,0,2,85,0,0.0,0.0,0
26,132,132,132,0,0,6,52,0,0.0,0.0,0
27,93,93,93,0,0,4,35,0,0.0,0.0,0
28,88,88,88,0,0,1,35,0,0.0,0.0,0
29,116,116,116,0,0,2,48,0,0.0,0.0,0
30,81,81,81,0,0,1,33,1,1.0,0.030303030303030304,0.05882352941176471
31,86,86,86,0,0,1,30,0,0.0,0.0,0
32,1191,1191,1191,0,0,3,1155,0,0.0,0.0,0
33,113,113,113,0,0,5,37,0,0.0,0.0,0
34,168,168,168,0,0,2,66,0,0.0,0.0,0
35,113,113,113,0,0,10,40,0,0.0,0.0,0
36,147,147,147,0,0,2,60,0,0.0,0.0,0
37,117,117,117,0,0,4,41,0,0.0,0.0,0
38,95,95,95,0,0,5,39,1,0.2,0.02564102564102564,0.045454545454545456
39,129,129,129,0,0,8,50,0,0.0,0.0,0
40,1449,1449,1449,0,0,14,708,1,0.07142857142857142,0.0014124293785310734,0.002770083102493075
41,455,455,455,0,0,29,147,0,0.0,0.0,0
42,173,173,173,0,0,11,61,0,0.0,0.0,0
43,163,163,163,0,0,10,56,0,0.0,0.0,0
44,416,416,416,0,0,13,167,0,0.0,0.0,0
45,725,725,725,0,0,31,258,0,0.0,0.0,0
46,1195,1195,1195,0,0,23,467,0,0.0,0.0,0
47,517,517,517,0,0,42,158,0,0.0,0.0,0
48,316,316,316,0,0,24,82,0,0.0,0.0,0
49,238,238,238,0,0,14,62,0,0.0,0.0,0
50,216,216,216,0,0,15,57,0,0.0,0.0,0
51,205,205,205,0,0,7,52,0,0.0,0.0,0
52,270,270,270,0,0,4,79,0,0.0,0.0,0
53,258,258,258,0,0,4,62,0,0.0,0.0,0
54,206,206,206,0,0,2,65,0,0.0,0.0,0
55,211,211,211,0,0,7,64,1,0.14285714285714285,0.015625,0.028169014084507043
56,280,280,280,0,0,11,82,0,0.0,0.0,0
57,235,235,235,0,0,8,66,0,0.0,0.0,0
58,254,254,254,0,0,3,77,0,0.0,0.0,0
