Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,191,26,26,16,140,1,0.0625,0.007142857142857143,0.01282051282051282
1,258,258,232,26,26,93,157,9,0.0967741935483871,0.05732484076433121,0.072
2,233,233,188,45,45,24,130,8,0.3333333333333333,0.06153846153846154,0.1038961038961039
3,429,429,370,59,59,140,311,12,0.08571428571428572,0.03858520900321544,0.053215077605321515
4,359,359,304,55,55,37,233,12,0.32432432432432434,0.05150214592274678,0.08888888888888889
5,287,287,229,58,58,31,164,14,0.45161290322580644,0.08536585365853659,0.14358974358974358
6,218,218,168,50,50,16,119,7,0.4375,0.058823529411764705,0.1037037037037037
7,182,182,142,40,40,9,86,2,0.2222222222222222,0.023255813953488372,0.042105263157894736
8,1629,1629,1562,67,67,64,1557,8,0.125,0.005138086062941554,0.009870450339296729
9,429,429,334,95,95,35,209,2,0.05714285714285714,0.009569377990430622,0.016393442622950817
10,1226,1226,979,247,247,172,627,8,0.046511627906976744,0.012759170653907496,0.020025031289111386
11,525,525,384,141,141,61,245,8,0.13114754098360656,0.0326530612244898,0.05228758169934641
12,248,248,187,61,61,22,125,5,0.22727272727272727,0.04,0.06802721088435373
13,224,224,168,56,56,26,104,9,0.34615384615384615,0.08653846153846154,0.13846153846153844
14,204,204,161,43,43,26,96,8,0.3076923076923077,0.08333333333333333,0.13114754098360656
15,168,168,115,53,53,17,71,6,0.35294117647058826,0.08450704225352113,0.13636363636363638
16,204,204,152,52,52,72,108,15,0.20833333333333334,0.1388888888888889,0.16666666666666669
17,180,180,148,32,32,56,96,9,0.16071428571428573,0.09375,0.11842105263157897
18,166,166,138,28,28,49,86,6,0.12244897959183673,0.06976744186046512,0.0888888888888889
19,153,153,131,22,22,43,82,5,0.11627906976744186,0.06097560975609756,0.08
20,146,146,123,23,23,34,72,4,0.11764705882352941,0.05555555555555555,0.07547169811320754
21,170,170,144,26,26,43,87,4,0.09302325581395349,0.04597701149425287,0.06153846153846154
22,200,200,168,32,32,62,105,3,0.04838709677419355,0.02857142857142857,0.035928143712574856
23,133,133,114,19,19,51,74,6,0.11764705882352941,0.08108108108108109,0.09600000000000002
24,125,125,104,21,21,1,64,1,1.0,0.015625,0.03076923076923077
25,224,224,200,24,24,46,117,4,0.08695652173913043,0.03418803418803419,0.049079754601226995
26,159,159,145,14,14,62,100,9,0.14516129032258066,0.09,0.11111111111111112
27,130,130,108,22,22,53,69,4,0.07547169811320754,0.057971014492753624,0.06557377049180328
28,109,109,98,11,11,39,65,8,0.20512820512820512,0.12307692307692308,0.15384615384615385
29,141,141,126,15,15,51,83,7,0.13725490196078433,0.08433734939759036,0.1044776119402985
30,106,106,90,16,16,32,56,7,0.21875,0.125,0.1590909090909091
31,105,105,89,16,16,36,56,2,0.05555555555555555,0.03571428571428571,0.043478260869565216
32,1219,1219,1199,20,20,65,1194,2,0.03076923076923077,0.0016750418760469012,0.003177124702144559
33,175,175,127,48,48,7,76,0,0.0,0.0,0
34,216,216,177,39,39,71,97,5,0.07042253521126761,0.05154639175257732,0.05952380952380952
35,162,162,126,36,36,68,78,3,0.04411764705882353,0.038461538461538464,0.0410958904109589
36,186,186,157,29,29,13,88,3,0.23076923076923078,0.03409090909090909,0.05940594059405939
37,179,179,131,48,48,7,90,3,0.42857142857142855,0.03333333333333333,0.061855670103092786
38,122,122,104,18,18,18,78,11,0.6111111111111112,0.14102564102564102,0.22916666666666669
39,167,167,140,27,27,15,97,7,0.4666666666666667,0.07216494845360824,0.125
40,1537,1537,1493,44,44,424,1029,58,0.13679245283018868,0.056365403304178816,0.07983482450103235
41,585,585,490,95,95,63,310,26,0.4126984126984127,0.08387096774193549,0.13941018766756033
42,255,255,194,61,61,35,137,17,0.4857142857142857,0.12408759124087591,0.19767441860465115
43,231,231,176,55,55,90,124,13,0.14444444444444443,0.10483870967741936,0.12149532710280372
44,569,569,463,106,106,51,295,26,0.5098039215686274,0.08813559322033898,0.15028901734104047
45,968,968,826,142,142,136,552,42,0.3088235294117647,0.07608695652173914,0.12209302325581396
46,1538,1538,1345,193,193,657,888,62,0.0943683409436834,0.06981981981981981,0.0802588996763754
47,766,766,593,173,173,127,428,36,0.28346456692913385,0.08411214953271028,0.12972972972972974
48,463,463,346,117,117,48,258,20,0.4166666666666667,0.07751937984496124,0.13071895424836602
49,367,367,262,105,105,31,199,14,0.45161290322580644,0.07035175879396985,0.1217391304347826
50,332,332,232,100,100,28,158,12,0.42857142857142855,0.0759493670886076,0.12903225806451613
51,301,301,223,78,78,18,161,10,0.5555555555555556,0.062111801242236024,0.11173184357541899
52,359,359,286,73,73,147,203,8,0.05442176870748299,0.03940886699507389,0.045714285714285714
53,340,340,282,58,58,170,192,11,0.06470588235294118,0.057291666666666664,0.06077348066298342
54,260,260,217,43,43,99,150,4,0.04040404040404041,0.02666666666666667,0.032128514056224904
55,274,274,229,45,45,123,160,15,0.12195121951219512,0.09375,0.10600706713780919
56,367,367,302,65,65,157,212,10,0.06369426751592357,0.04716981132075472,0.05420054200542006
57,314,314,258,56,56,32,179,9,0.28125,0.05027932960893855,0.08530805687203792
58,317,317,269,48,48,13,192,5,0.38461538461538464,0.026041666666666668,0.04878048780487805
59,301,301,241,60,60,12,176,5,0.4166666666666667,0.028409090909090908,0.05319148936170213
60,354,354,294,60,60,34,207,9,0.2647058823529412,0.043478260869565216,0.07468879668049792
61,380,380,320,60,60,24,208,7,0.2916666666666667,0.03365384615384615,0.06034482758620689
62,227,227,185,42,42,98,125,0,0.0,0.0,0
63,169,169,137,32,32,91,107,4,0.04395604395604396,0.037383177570093455,0.04040404040404041
64,279,279,232,47,47,16,163,6,0.375,0.03680981595092025,0.0670391061452514
65,211,211,168,43,43,18,129,4,0.2222222222222222,0.031007751937984496,0.05442176870748299
66,311,311,271,40,40,145,195,14,0.09655172413793103,0.07179487179487179,0.08235294117647059
67,265,265,223,42,42,109,152,5,0.045871559633027525,0.03289473684210526,0.03831417624521073
68,219,219,191,28,28,86,125,8,0.09302325581395349,0.064,0.07582938388625592
69,199,199,166,33,33,90,118,8,0.08888888888888889,0.06779661016949153,0.07692307692307693
70,160,160,133,27,27,67,93,0,0.0,0.0,0
71,153,153,125,28,28,9,89,2,0.2222222222222222,0.02247191011235955,0.04081632653061224
72,167,167,138,29,29,10,100,7,0.7,0.07,0.1272727272727273
73,162,162,135,27,27,86,106,38,0.4418604651162791,0.3584905660377358,0.3958333333333333
74,201,201,165,36,36,84,115,12,0.14285714285714285,0.10434782608695652,0.12060301507537687
75,181,181,155,26,26,8,114,3,0.375,0.02631578947368421,0.04918032786885246
76,112,112,97,15,15,4,65,1,0.25,0.015384615384615385,0.028985507246376812
77,99,99,85,14,14,43,57,3,0.06976744186046512,0.05263157894736842,0.06
78,134,134,119,15,15,3,82,0,0.0,0.0,0
79,127,127,114,13,13,1,87,0,0.0,0.0,0
80,133,133,119,14,14,66,92,2,0.030303030303030304,0.021739130434782608,0.02531645569620253
81,105,105,93,12,12,47,67,7,0.14893617021276595,0.1044776119402985,0.12280701754385967
82,137,137,119,18,18,55,85,4,0.07272727272727272,0.047058823529411764,0.05714285714285714
83,92,92,79,13,13,41,57,9,0.21951219512195122,0.15789473684210525,0.18367346938775508
84,90,90,78,12,12,49,61,3,0.061224489795918366,0.04918032786885246,0.05454545454545454
85,108,108,98,10,10,51,73,3,0.058823529411764705,0.0410958904109589,0.04838709677419355
86,86,86,73,13,13,29,46,2,0.06896551724137931,0.043478260869565216,0.05333333333333333
87,394,394,366,28,28,148,238,16,0.10810810810810811,0.06722689075630252,0.08290155440414508
88,546,546,510,36,36,242,359,31,0.128099173553719,0.08635097493036212,0.10316139767054909
89,265,265,234,31,31,112,164,7,0.0625,0.042682926829268296,0.05072463768115942
90,487,487,423,64,64,66,283,17,0.25757575757575757,0.06007067137809187,0.09742120343839542
91,515,515,446,69,69,185,298,9,0.04864864864864865,0.030201342281879196,0.03726708074534162
92,316,316,245,71,71,22,169,5,0.22727272727272727,0.029585798816568046,0.05235602094240837
93,233,233,189,44,44,106,134,5,0.04716981132075472,0.03731343283582089,0.041666666666666664
94,284,284,236,48,48,24,171,5,0.20833333333333334,0.029239766081871343,0.05128205128205128
95,244,244,189,55,55,8,131,4,0.5,0.030534351145038167,0.05755395683453236
96,215,215,171,44,44,25,123,7,0.28,0.056910569105691054,0.09459459459459459
97,220,220,188,32,32,12,125,3,0.25,0.024,0.0437956204379562
98,276,276,232,44,44,30,163,12,0.4,0.0736196319018405,0.12435233160621761
99,299,299,246,53,53,22,197,10,0.45454545454545453,0.050761421319796954,0.09132420091324202
100,316,316,271,45,45,16,230,8,0.5,0.034782608695652174,0.06504065040650406
101,214,214,171,43,43,29,141,9,0.3103448275862069,0.06382978723404255,0.10588235294117647
102,186,186,145,41,41,15,102,8,0.5333333333333333,0.0784313725490196,0.13675213675213674
103,176,176,143,33,33,92,108,10,0.10869565217391304,0.09259259259259259,0.09999999999999999
104,133,133,97,36,36,68,72,9,0.1323529411764706,0.125,0.1285714285714286
105,167,167,143,24,24,10,99,5,0.5,0.050505050505050504,0.09174311926605505
106,170,170,149,21,21,19,119,9,0.47368421052631576,0.07563025210084033,0.13043478260869565
107,411,411,386,25,25,324,362,10,0.030864197530864196,0.027624309392265192,0.029154518950437316
108,244,244,214,30,30,136,165,12,0.08823529411764706,0.07272727272727272,0.079734219269103
109,187,187,160,27,27,87,117,8,0.09195402298850575,0.06837606837606838,0.0784313725490196
110,184,184,158,26,26,99,114,8,0.08080808080808081,0.07017543859649122,0.07511737089201877
111,157,157,135,22,22,83,103,4,0.04819277108433735,0.038834951456310676,0.04301075268817204
112,172,172,153,19,19,81,117,6,0.07407407407407407,0.05128205128205128,0.060606060606060615
113,180,180,152,28,28,86,117,14,0.16279069767441862,0.11965811965811966,0.13793103448275862
114,506,506,464,42,42,180,297,15,0.08333333333333333,0.050505050505050504,0.06289308176100629
115,193,193,167,26,26,101,123,8,0.07920792079207921,0.06504065040650407,0.07142857142857144
116,262,262,232,30,30,150,186,8,0.05333333333333334,0.043010752688172046,0.04761904761904763
117,373,373,335,38,38,238,279,6,0.025210084033613446,0.021505376344086023,0.02321083172147002
118,625,625,582,43,43,263,528,4,0.015209125475285171,0.007575757575757576,0.010113780025284451
119,458,458,347,111,111,312,259,8,0.02564102564102564,0.03088803088803089,0.028021015761821363
120,183,183,137,46,46,9,85,4,0.4444444444444444,0.047058823529411764,0.0851063829787234
121,233,233,191,42,42,13,118,3,0.23076923076923078,0.025423728813559324,0.04580152671755726
122,216,216,180,36,36,12,118,4,0.3333333333333333,0.03389830508474576,0.061538461538461535
123,223,223,185,38,38,12,113,4,0.3333333333333333,0.035398230088495575,0.064
124,165,165,135,30,30,65,92,4,0.06153846153846154,0.043478260869565216,0.05095541401273885
125,130,130,119,11,11,56,84,6,0.10714285714285714,0.07142857142857142,0.08571428571428572
126,131,131,116,15,15,56,82,7,0.125,0.08536585365853659,0.10144927536231883
127,179,179,157,22,22,58,100,13,0.22413793103448276,0.13,0.16455696202531644
128,162,162,148,14,14,74,106,9,0.12162162162162163,0.08490566037735849,0.09999999999999999
129,268,268,237,31,31,98,162,9,0.09183673469387756,0.05555555555555555,0.06923076923076922
130,225,225,203,22,22,96,141,13,0.13541666666666666,0.09219858156028368,0.10970464135021096
131,137,137,125,12,12,72,96,5,0.06944444444444445,0.052083333333333336,0.05952380952380953
132,148,148,127,21,21,58,88,7,0.1206896551724138,0.07954545454545454,0.0958904109589041
133,133,133,108,25,25,44,71,4,0.09090909090909091,0.056338028169014086,0.06956521739130435
134,171,171,147,24,24,62,99,5,0.08064516129032258,0.050505050505050504,0.06211180124223602
135,156,156,142,14,14,59,96,7,0.11864406779661017,0.07291666666666667,0.09032258064516129
136,185,185,167,18,18,57,115,4,0.07017543859649122,0.034782608695652174,0.046511627906976744
137,439,439,409,30,30,201,298,19,0.0945273631840796,0.06375838926174497,0.07615230460921843
138,300,300,258,42,42,127,193,16,0.12598425196850394,0.08290155440414508,0.09999999999999999
139,299,299,255,44,44,109,175,22,0.2018348623853211,0.12571428571428572,0.15492957746478875
140,301,301,253,48,48,31,176,10,0.3225806451612903,0.056818181818181816,0.09661835748792269
141,302,302,260,42,42,26,182,13,0.5,0.07142857142857142,0.125
142,333,333,286,47,47,19,200,11,0.5789473684210527,0.055,0.10045662100456619
143,219,219,181,38,38,92,130,8,0.08695652173913043,0.06153846153846154,0.07207207207207207
144,187,187,158,29,29,64,109,2,0.03125,0.01834862385321101,0.023121387283236997
145,146,146,121,25,25,63,90,5,0.07936507936507936,0.05555555555555555,0.06535947712418301
146,197,197,164,33,33,66,107,5,0.07575757575757576,0.04672897196261682,0.057803468208092484
147,229,229,189,40,40,75,118,2,0.02666666666666667,0.01694915254237288,0.02072538860103627
148,272,272,242,30,30,82,156,5,0.06097560975609756,0.03205128205128205,0.04201680672268907
149,282,282,257,25,25,86,173,6,0.06976744186046512,0.03468208092485549,0.04633204633204632
150,483,483,447,36,36,191,399,9,0.04712041884816754,0.022556390977443608,0.030508474576271188
151,292,292,245,47,47,14,94,2,0.14285714285714285,0.02127659574468085,0.037037037037037035
152,223,223,197,26,26,8,137,3,0.375,0.021897810218978103,0.04137931034482759
153,234,234,197,37,37,77,130,6,0.07792207792207792,0.046153846153846156,0.057971014492753624
154,315,315,263,52,52,134,179,7,0.05223880597014925,0.03910614525139665,0.04472843450479233
155,336,336,298,38,38,154,205,7,0.045454545454545456,0.03414634146341464,0.03899721448467967
156,176,176,154,22,22,80,103,5,0.0625,0.04854368932038835,0.0546448087431694
157,198,198,167,31,31,11,133,3,0.2727272727272727,0.022556390977443608,0.041666666666666664
158,204,204,177,27,27,14,130,6,0.42857142857142855,0.046153846153846156,0.08333333333333333
159,419,419,337,82,82,151,303,5,0.033112582781456956,0.0165016501650165,0.022026431718061675
160,221,221,187,34,34,31,139,10,0.3225806451612903,0.07194244604316546,0.11764705882352941
161,356,356,326,30,30,160,233,18,0.1125,0.07725321888412018,0.09160305343511452
