Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,38,38,12,26,26,3,4,1,0.3333333333333333,0.25,0.28571428571428575
1,40,40,14,26,26,25,6,6,0.24,1.0,0.3870967741935484
2,60,60,15,45,45,13,8,7,0.5384615384615384,0.875,0.6666666666666667
3,93,93,34,59,59,28,12,12,0.42857142857142855,1.0,0.6
4,81,81,26,55,55,28,13,12,0.42857142857142855,0.9230769230769231,0.5853658536585366
5,83,83,25,58,58,19,18,14,0.7368421052631579,0.7777777777777778,0.7567567567567567
6,62,62,12,50,50,7,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571
7,46,46,6,40,40,1,2,1,1.0,0.5,0.6666666666666666
8,87,87,20,67,67,55,10,8,0.14545454545454545,0.8,0.24615384615384614
9,111,111,16,95,95,2,7,2,1.0,0.2857142857142857,0.4444444444444445
10,346,346,99,247,247,81,34,8,0.09876543209876543,0.23529411764705882,0.1391304347826087
11,189,189,48,141,141,9,29,8,0.8888888888888888,0.27586206896551724,0.42105263157894735
12,76,76,15,61,61,14,7,5,0.35714285714285715,0.7142857142857143,0.4761904761904762
13,72,72,16,56,56,14,11,9,0.6428571428571429,0.8181818181818182,0.7200000000000001
14,55,55,12,43,43,15,9,8,0.5333333333333333,0.8888888888888888,0.6666666666666667
15,63,63,10,53,53,9,9,6,0.6666666666666666,0.6666666666666666,0.6666666666666666
16,67,67,15,52,52,16,14,14,0.875,1.0,0.9333333333333333
17,44,44,12,32,32,7,5,5,0.7142857142857143,1.0,0.8333333333333333
18,37,37,9,28,28,7,4,4,0.5714285714285714,1.0,0.7272727272727273
19,28,28,6,22,22,5,3,3,0.6,1.0,0.7499999999999999
20,27,27,4,23,23,2,2,2,1.0,1.0,1.0
21,33,33,7,26,26,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
22,45,45,13,32,32,8,4,3,0.375,0.75,0.5
23,26,26,7,19,19,6,2,2,0.3333333333333333,1.0,0.5
24,26,26,5,21,21,0,1,0,0,0.0,0
25,35,35,11,24,24,4,4,3,0.75,0.75,0.75
