Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,15,51,59,14,10,10,0.7142857142857143,1.0,0.8333333333333333
1,67,76,15,52,61,14,6,6,0.42857142857142855,1.0,0.6
2,60,68,12,48,56,0,0,0,0,0,0
3,103,127,17,86,110,16,6,6,0.375,1.0,0.5454545454545454
4,113,113,9,104,104,0,0,0,0,0,0
5,80,92,16,64,76,0,0,0,0,0,0
6,58,63,7,51,56,0,0,0,0,0,0
7,37,46,6,31,40,5,2,2,0.4,1.0,0.5714285714285715
8,110,121,4,106,117,3,1,1,0.3333333333333333,1.0,0.5
9,131,148,26,105,122,25,1,1,0.04,1.0,0.07692307692307693
10,450,527,138,312,389,137,51,51,0.3722627737226277,1.0,0.5425531914893617
11,170,195,35,135,160,0,0,0,0,0,0
12,82,93,25,57,68,24,1,1,0.041666666666666664,1.0,0.07999999999999999
13,62,77,10,52,67,0,0,0,0,0,0
14,31,41,4,27,37,0,0,0,0,0,0
15,43,53,15,28,38,0,0,0,0,0,0
16,49,54,13,36,41,0,0,0,0,0,0
17,47,51,17,30,34,16,5,5,0.3125,1.0,0.47619047619047616
18,37,44,7,30,37,6,1,1,0.16666666666666666,1.0,0.2857142857142857
19,32,34,9,23,25,0,0,0,0,0,0
20,32,41,14,18,27,13,7,7,0.5384615384615384,1.0,0.7000000000000001
21,38,45,8,30,37,7,1,1,0.14285714285714285,1.0,0.25
22,49,53,4,45,49,3,1,1,0.3333333333333333,1.0,0.5
23,41,43,16,25,27,15,4,4,0.26666666666666666,1.0,0.4210526315789474
24,35,39,10,25,29,9,4,4,0.4444444444444444,1.0,0.6153846153846153
25,41,45,6,35,39,5,0,0,0.0,0,0
26,40,37,8,32,29,0,0,0,0,0,0
27,34,35,3,31,32,0,0,0,0,0,0
28,27,29,8,19,21,7,2,2,0.2857142857142857,1.0,0.4444444444444445
29,33,32,6,27,26,0,0,0,0,0,0
30,21,25,6,15,19,5,1,1,0.2,1.0,0.33333333333333337
31,36,41,11,25,30,10,0,0,0.0,0,0
32,51,56,2,49,54,1,0,0,0.0,0,0
33,63,84,25,38,59,0,0,0,0,0,0
34,62,81,15,47,66,14,5,5,0.35714285714285715,1.0,0.5263157894736842
35,47,56,14,33,42,13,5,5,0.38461538461538464,1.0,0.5555555555555556
36,43,61,9,34,52,8,4,4,0.5,1.0,0.6666666666666666
37,71,75,19,52,56,18,3,3,0.16666666666666666,1.0,0.2857142857142857
38,34,35,4,30,31,0,0,0,0,0,0
39,45,47,14,31,33,13,4,4,0.3076923076923077,1.0,0.47058823529411764
40,305,303,54,251,249,53,11,11,0.20754716981132076,1.0,0.34375000000000006
41,208,211,75,133,136,0,0,0,0,0,0
42,68,75,21,47,54,0,0,0,0,0,0
43,66,72,13,53,59,0,0,0,0,0,0
44,122,144,25,97,119,24,6,6,0.25,1.0,0.4
45,281,318,99,182,219,98,19,19,0.19387755102040816,1.0,0.3247863247863248
46,398,464,120,278,344,119,2,2,0.01680672268907563,1.0,0.03305785123966942
47,255,274,103,152,171,0,0,0,0,0,0
48,177,199,92,85,107,0,0,0,0,0,0
49,140,152,63,77,89,62,4,4,0.06451612903225806,1.0,0.12121212121212122
50,121,138,51,70,87,50,39,39,0.78,1.0,0.8764044943820225
51,119,132,57,62,75,56,0,0,0.0,0,0
52,134,154,55,79,99,54,40,40,0.7407407407407407,1.0,0.851063829787234
53,144,167,72,72,95,71,47,47,0.6619718309859155,1.0,0.7966101694915254
54,93,102,42,51,60,41,28,28,0.6829268292682927,1.0,0.8115942028985507
55,101,113,49,52,64,48,32,32,0.6666666666666666,1.0,0.8
56,136,151,53,83,98,52,37,37,0.7115384615384616,1.0,0.8314606741573033
57,122,136,60,62,76,59,46,46,0.7796610169491526,1.0,0.8761904761904762
58,124,132,53,71,79,52,41,41,0.7884615384615384,1.0,0.8817204301075269
59,125,134,63,62,71,62,43,43,0.6935483870967742,1.0,0.8190476190476191
60,124,134,51,73,83,50,39,39,0.78,1.0,0.8764044943820225
61,123,138,41,82,97,40,28,28,0.7,1.0,0.8235294117647058
62,89,101,40,49,61,39,30,30,0.7692307692307693,1.0,0.8695652173913044
63,83,86,50,33,36,49,38,38,0.7755102040816326,1.0,0.8735632183908045
64,117,128,58,59,70,0,0,0,0,0,0
65,93,98,48,45,50,0,0,0,0,0,0
66,125,139,47,78,92,46,28,28,0.6086956521739131,1.0,0.7567567567567568
67,97,110,41,56,69,40,29,29,0.725,1.0,0.8405797101449275
68,72,79,25,47,54,24,15,15,0.625,1.0,0.7692307692307693
69,78,83,36,42,47,35,24,24,0.6857142857142857,1.0,0.8135593220338984
70,66,72,30,36,42,29,25,25,0.8620689655172413,1.0,0.9259259259259259
71,57,60,24,33,36,23,19,19,0.8260869565217391,1.0,0.9047619047619047
72,73,83,38,35,45,37,23,23,0.6216216216216216,1.0,0.7666666666666667
73,85,91,51,34,40,50,38,38,0.76,1.0,0.8636363636363636
74,73,83,34,39,49,33,22,22,0.6666666666666666,1.0,0.8
75,84,92,44,40,48,43,37,37,0.8604651162790697,1.0,0.9249999999999999
76,44,52,26,18,26,25,4,4,0.16,1.0,0.2758620689655173
77,37,44,15,22,29,14,0,0,0.0,0,0
78,49,54,22,27,32,21,14,14,0.6666666666666666,1.0,0.8
79,66,71,36,30,35,35,28,28,0.8,1.0,0.888888888888889
80,63,61,26,37,35,25,20,20,0.8,1.0,0.888888888888889
81,39,43,21,18,22,20,14,14,0.7,1.0,0.8235294117647058
82,50,54,15,35,39,14,11,11,0.7857142857142857,1.0,0.88
83,37,40,22,15,18,21,13,13,0.6190476190476191,1.0,0.7647058823529412
84,47,49,21,26,28,20,13,13,0.65,1.0,0.787878787878788
85,49,52,25,24,27,24,20,20,0.8333333333333334,1.0,0.9090909090909091
86,28,32,7,21,25,6,3,3,0.5,1.0,0.6666666666666666
87,112,122,33,79,89,32,18,18,0.5625,1.0,0.72
88,188,193,66,122,127,65,42,42,0.6461538461538462,1.0,0.7850467289719627
89,105,115,40,65,75,39,3,3,0.07692307692307693,1.0,0.14285714285714288
90,139,154,37,102,117,36,27,27,0.75,1.0,0.8571428571428571
91,144,160,43,101,117,42,30,30,0.7142857142857143,1.0,0.8333333333333333
92,111,121,49,62,72,48,6,6,0.125,1.0,0.2222222222222222
93,91,103,37,54,66,0,0,0,0,0,0
94,105,115,53,52,62,52,40,40,0.7692307692307693,1.0,0.8695652173913044
95,106,123,48,58,75,47,31,31,0.6595744680851063,1.0,0.7948717948717948
96,93,106,51,42,55,50,32,32,0.64,1.0,0.7804878048780487
97,69,72,21,48,51,0,0,0,0,0,0
98,98,113,37,61,76,36,20,20,0.5555555555555556,1.0,0.7142857142857143
99,156,166,93,63,73,0,0,0,0,0,0
100,196,207,146,50,61,145,123,123,0.8482758620689655,1.0,0.917910447761194
101,108,110,68,40,42,67,54,54,0.8059701492537313,1.0,0.8925619834710743
102,87,103,50,37,53,0,0,0,0,0,0
103,82,93,53,29,40,0,0,0,0,0,0
104,58,70,43,15,27,0,0,0,0,0,0
105,69,80,33,36,47,32,22,22,0.6875,1.0,0.8148148148148148
106,88,91,49,39,42,48,41,41,0.8541666666666666,1.0,0.9213483146067416
107,310,302,247,63,55,246,239,239,0.9715447154471545,1.0,0.9855670103092783
108,123,128,68,55,60,67,55,55,0.8208955223880597,1.0,0.9016393442622952
109,76,83,35,41,48,34,1,1,0.029411764705882353,1.0,0.05714285714285715
110,86,96,54,32,42,53,40,40,0.7547169811320755,1.0,0.8602150537634409
111,77,83,43,34,40,42,33,33,0.7857142857142857,1.0,0.88
112,72,77,33,39,44,32,25,25,0.78125,1.0,0.8771929824561403
113,74,83,35,39,48,34,15,15,0.4411764705882353,1.0,0.6122448979591837
114,145,169,38,107,131,37,23,23,0.6216216216216216,1.0,0.7666666666666667
115,82,86,40,42,46,39,30,30,0.7692307692307693,1.0,0.8695652173913044
116,132,139,72,60,67,71,66,66,0.9295774647887324,1.0,0.9635036496350364
117,214,224,142,72,82,141,125,125,0.8865248226950354,1.0,0.9398496240601504
118,246,253,100,146,153,0,0,0,0,0,0
119,267,317,206,61,111,205,46,46,0.22439024390243903,1.0,0.3665338645418327
120,66,86,27,39,59,0,0,0,0,0,0
121,81,98,28,53,70,0,0,0,0,0,0
122,70,86,17,53,69,0,0,0,0,0,0
123,66,79,13,53,66,12,8,8,0.6666666666666666,1.0,0.8
124,56,66,25,31,41,24,16,16,0.6666666666666666,1.0,0.8
125,49,53,19,30,34,18,3,3,0.16666666666666666,1.0,0.2857142857142857
126,49,54,13,36,41,12,6,6,0.5,1.0,0.6666666666666666
127,47,53,9,38,44,0,0,0,0,0,0
128,57,62,15,42,47,14,8,8,0.5714285714285714,1.0,0.7272727272727273
129,83,88,21,62,67,20,12,12,0.6,1.0,0.7499999999999999
130,80,91,36,44,55,35,6,6,0.17142857142857143,1.0,0.2926829268292683
131,60,61,28,32,33,27,1,1,0.037037037037037035,1.0,0.07142857142857142
132,48,54,20,28,34,19,12,12,0.631578947368421,1.0,0.7741935483870968
133,40,48,14,26,34,13,11,11,0.8461538461538461,1.0,0.9166666666666666
134,50,57,17,33,40,16,12,12,0.75,1.0,0.8571428571428571
135,47,53,17,30,36,16,14,14,0.875,1.0,0.9333333333333333
136,46,48,11,35,37,10,9,9,0.9,1.0,0.9473684210526316
137,158,160,61,97,99,60,35,35,0.5833333333333334,1.0,0.7368421052631579
138,107,106,39,68,67,0,0,0,0,0,0
139,79,82,28,51,54,27,17,17,0.6296296296296297,1.0,0.7727272727272727
140,99,107,34,65,73,33,26,26,0.7878787878787878,1.0,0.8813559322033898
141,95,99,33,62,66,32,24,24,0.75,1.0,0.8571428571428571
142,118,134,43,75,91,42,27,27,0.6428571428571429,1.0,0.782608695652174
143,80,88,31,49,57,30,17,17,0.5666666666666667,1.0,0.7234042553191489
144,58,61,20,38,41,19,17,17,0.8947368421052632,1.0,0.9444444444444444
145,58,61,25,33,36,24,22,22,0.9166666666666666,1.0,0.9565217391304348
146,60,69,23,37,46,0,0,0,0,0,0
147,69,79,24,45,55,0,0,0,0,0,0
148,78,89,31,47,58,30,23,23,0.7666666666666667,1.0,0.8679245283018869
149,79,88,21,58,67,20,14,14,0.7,1.0,0.8235294117647058
150,175,181,55,120,126,54,39,39,0.7222222222222222,1.0,0.8387096774193548
151,102,115,43,59,72,0,0,0,0,0,0
152,86,94,37,49,57,36,22,22,0.6111111111111112,1.0,0.7586206896551725
153,67,73,25,42,48,0,0,0,0,0,0
154,124,135,50,74,85,49,41,41,0.8367346938775511,1.0,0.9111111111111111
155,129,145,58,71,87,57,5,5,0.08771929824561403,1.0,0.16129032258064516
156,74,85,35,39,50,34,24,24,0.7058823529411765,1.0,0.8275862068965517
157,98,99,52,46,47,51,46,46,0.9019607843137255,1.0,0.9484536082474228
158,91,100,53,38,47,0,0,0,0,0,0
159,176,167,105,71,62,104,49,49,0.47115384615384615,1.0,0.6405228758169934
160,79,80,31,48,49,30,6,6,0.2,1.0,0.33333333333333337
161,122,127,39,83,88,38,20,20,0.5263157894736842,1.0,0.6896551724137931
162,113,116,43,70,73,42,3,3,0.07142857142857142,1.0,0.13333333333333333
163,138,144,58,80,86,57,12,12,0.21052631578947367,1.0,0.34782608695652173
164,114,120,50,64,70,49,8,8,0.16326530612244897,1.0,0.2807017543859649
165,133,134,49,84,85,48,37,37,0.7708333333333334,1.0,0.8705882352941177
166,145,151,46,99,105,45,25,25,0.5555555555555556,1.0,0.7142857142857143
167,135,138,53,82,85,52,33,33,0.6346153846153846,1.0,0.7764705882352941
168,218,201,90,128,111,89,55,55,0.6179775280898876,1.0,0.7638888888888888
169,177,172,66,111,106,65,9,9,0.13846153846153847,1.0,0.24324324324324326
170,219,213,101,118,112,100,14,14,0.14,1.0,0.24561403508771928
171,125,136,60,65,76,59,11,11,0.1864406779661017,1.0,0.3142857142857143
172,222,213,75,147,138,74,49,49,0.6621621621621622,1.0,0.7967479674796748
173,148,157,56,92,101,55,33,33,0.6,1.0,0.7499999999999999
174,153,161,60,93,101,59,14,14,0.23728813559322035,1.0,0.3835616438356164
175,131,123,48,83,75,0,0,0,0,0,0
176,183,194,83,100,111,82,23,23,0.2804878048780488,1.0,0.43809523809523815
177,185,181,72,113,109,0,0,0,0,0,0
178,240,225,80,160,145,79,6,6,0.0759493670886076,1.0,0.1411764705882353
179,157,161,80,77,81,79,33,33,0.4177215189873418,1.0,0.5892857142857143
180,182,187,83,99,104,82,25,25,0.3048780487804878,1.0,0.4672897196261682
181,189,190,106,83,84,105,31,31,0.29523809523809524,1.0,0.45588235294117646
182,191,198,117,74,81,116,44,44,0.3793103448275862,1.0,0.5499999999999999
183,145,146,82,63,64,81,24,24,0.2962962962962963,1.0,0.45714285714285713
184,207,202,100,107,102,99,30,30,0.30303030303030304,1.0,0.4651162790697675
185,170,175,101,69,74,100,57,57,0.57,1.0,0.7261146496815287
186,73,76,27,46,49,0,0,0,0,0,0
187,232,222,127,105,95,126,24,24,0.19047619047619047,1.0,0.32
188,167,159,90,77,69,89,38,38,0.42696629213483145,1.0,0.5984251968503937
189,168,160,65,103,95,64,36,36,0.5625,1.0,0.72
190,142,140,75,67,65,0,0,0,0,0,0
191,126,135,67,59,68,66,37,37,0.5606060606060606,1.0,0.7184466019417475
192,125,135,62,63,73,61,33,33,0.5409836065573771,1.0,0.7021276595744682
193,121,128,48,73,80,0,0,0,0,0,0
194,120,130,50,70,80,49,28,28,0.5714285714285714,1.0,0.7272727272727273
195,111,123,45,66,78,44,22,22,0.5,1.0,0.6666666666666666
196,111,126,51,60,75,0,0,0,0,0,0
197,86,94,37,49,57,0,0,0,0,0,0
198,93,101,45,48,56,44,23,23,0.5227272727272727,1.0,0.6865671641791045
199,113,119,56,57,63,0,0,0,0,0,0
200,155,151,82,73,69,81,10,10,0.12345679012345678,1.0,0.21978021978021975
201,175,174,105,70,69,0,0,0,0,0,0
202,185,155,76,109,79,75,39,39,0.52,1.0,0.6842105263157895
203,134,121,58,76,63,0,0,0,0,0,0
204,133,115,68,65,47,0,0,0,0,0,0
205,125,135,54,71,81,53,0,0,0.0,0,0
206,119,115,51,68,64,0,0,0,0,0,0
207,109,115,60,49,55,0,0,0,0,0,0
208,112,121,60,52,61,0,0,0,0,0,0
209,101,105,52,49,53,0,0,0,0,0,0
210,106,98,49,57,49,48,22,22,0.4583333333333333,1.0,0.6285714285714286
211,65,70,22,43,48,0,0,0,0,0,0
212,95,92,43,52,49,42,1,1,0.023809523809523808,1.0,0.046511627906976744
213,114,106,63,51,43,0,0,0,0,0,0
214,85,84,37,48,47,36,5,5,0.1388888888888889,1.0,0.24390243902439027
215,92,92,46,46,46,45,18,18,0.4,1.0,0.5714285714285715
216,90,95,49,41,46,48,4,4,0.08333333333333333,1.0,0.15384615384615385
217,72,75,24,48,51,23,9,9,0.391304347826087,1.0,0.5625
218,67,71,21,46,50,20,9,9,0.45,1.0,0.6206896551724138
219,114,122,70,44,52,69,16,16,0.2318840579710145,1.0,0.37647058823529417
220,71,77,33,38,44,32,12,12,0.375,1.0,0.5454545454545454
221,25,32,7,18,25,6,1,1,0.16666666666666666,1.0,0.2857142857142857
222,60,69,26,34,43,25,8,8,0.32,1.0,0.48484848484848486
223,120,124,66,54,58,65,10,10,0.15384615384615385,1.0,0.2666666666666667
224,87,92,44,43,48,43,19,19,0.4418604651162791,1.0,0.6129032258064516
225,58,66,26,32,40,25,1,1,0.04,1.0,0.07692307692307693
226,62,60,26,36,34,25,15,15,0.6,1.0,0.7499999999999999
227,58,61,29,29,32,28,12,12,0.42857142857142855,1.0,0.6
228,51,59,27,24,32,26,1,1,0.038461538461538464,1.0,0.07407407407407407
229,58,59,27,31,32,26,6,6,0.23076923076923078,1.0,0.375
