Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,15,38,2,13,36,1,1,1,1.0,1.0,1.0
1,22,40,9,13,31,11,6,6,0.5454545454545454,1.0,0.7058823529411764
2,30,60,8,22,52,5,6,5,1.0,0.8333333333333334,0.9090909090909091
3,49,93,17,32,76,18,14,13,0.7222222222222222,0.9285714285714286,0.8125000000000001
4,41,81,15,26,66,26,11,8,0.3076923076923077,0.7272727272727273,0.43243243243243246
5,54,83,21,33,62,28,26,18,0.6428571428571429,0.6923076923076923,0.6666666666666666
6,43,62,10,33,52,24,8,8,0.3333333333333333,1.0,0.5
7,20,46,8,12,38,11,6,6,0.5454545454545454,1.0,0.7058823529411764
8,51,87,13,38,74,20,8,7,0.35,0.875,0.4999999999999999
9,27,111,8,19,103,22,5,5,0.22727272727272727,1.0,0.37037037037037035
10,47,346,12,35,334,14,8,7,0.5,0.875,0.6363636363636364
11,48,189,6,42,183,6,4,4,0.6666666666666666,1.0,0.8
12,47,76,7,40,69,12,4,4,0.3333333333333333,1.0,0.5
13,45,72,10,35,62,13,7,7,0.5384615384615384,1.0,0.7000000000000001
14,43,55,15,28,40,34,21,15,0.4411764705882353,0.7142857142857143,0.5454545454545455
15,45,63,13,32,50,34,14,10,0.29411764705882354,0.7142857142857143,0.4166666666666667
16,49,67,16,33,51,31,13,11,0.3548387096774194,0.8461538461538461,0.5
17,31,44,7,24,37,6,4,4,0.6666666666666666,1.0,0.8
18,27,37,4,23,33,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
19,20,28,5,15,23,6,4,4,0.6666666666666666,1.0,0.8
20,17,27,4,13,23,3,2,2,0.6666666666666666,1.0,0.8
21,17,33,4,13,29,3,3,3,1.0,1.0,1.0
22,35,45,13,22,32,12,9,7,0.5833333333333334,0.7777777777777778,0.6666666666666666
23,19,26,1,18,25,0,0,0,0,0,0
24,10,26,1,9,25,0,0,0,0,0,0
25,23,35,6,17,29,5,2,2,0.4,1.0,0.5714285714285715
26,27,27,1,26,26,0,0,0,0,0,0
27,28,37,7,21,30,11,4,4,0.36363636363636365,1.0,0.5333333333333333
28,21,21,4,17,17,4,3,3,0.75,1.0,0.8571428571428571
29,19,25,6,13,19,5,4,4,0.8,1.0,0.888888888888889
30,19,25,2,17,23,1,1,1,1.0,1.0,1.0
31,6,19,1,5,18,0,0,0,0,0,0
32,16,28,2,14,26,1,0,0,0.0,0,0
33,21,62,0,21,62,0,0,0,0,0,0
34,15,48,3,12,45,2,1,1,0.5,1.0,0.6666666666666666
35,17,49,3,14,46,2,1,1,0.5,1.0,0.6666666666666666
36,17,39,2,15,37,1,1,1,1.0,1.0,1.0
37,28,62,5,23,57,4,2,2,0.5,1.0,0.6666666666666666
38,20,27,3,17,24,3,2,2,0.6666666666666666,1.0,0.8
39,18,38,4,14,34,4,2,2,0.5,1.0,0.6666666666666666
40,52,88,13,39,75,27,10,10,0.37037037037037035,1.0,0.5405405405405406
41,69,130,16,53,114,37,10,10,0.2702702702702703,1.0,0.4255319148936171
42,58,82,12,46,70,17,9,9,0.5294117647058824,1.0,0.6923076923076924
43,45,68,8,37,60,8,9,6,0.75,0.6666666666666666,0.7058823529411765
