Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,179,179,179,0,0,78,78,0,0.0,0.0,0
1,218,218,218,0,0,99,98,0,0.0,0.0,0
2,173,173,173,0,0,75,74,1,0.013333333333333334,0.013513513513513514,0.013422818791946308
3,336,336,336,0,0,220,215,0,0.0,0.0,0
4,272,272,272,0,0,121,120,0,0.0,0.0,0
5,197,197,197,0,0,83,81,0,0.0,0.0,0
6,152,152,152,0,0,64,64,1,0.015625,0.015625,0.015625
7,124,124,124,0,0,53,53,1,0.018867924528301886,0.018867924528301886,0.018867924528301886
8,1514,1514,1514,0,0,1452,1451,0,0.0,0.0,0
9,276,276,276,0,0,87,86,1,0.011494252873563218,0.011627906976744186,0.011560693641618497
10,811,811,811,0,0,255,253,0,0.0,0.0,0
11,300,300,300,0,0,97,95,1,0.010309278350515464,0.010526315789473684,0.010416666666666666
12,153,153,153,0,0,46,46,0,0.0,0.0,0
13,124,124,124,0,0,36,36,0,0.0,0.0,0
14,114,114,114,0,0,37,37,0,0.0,0.0,0
15,81,81,81,0,0,22,22,0,0.0,0.0,0
16,101,101,101,0,0,33,31,0,0.0,0.0,0
17,96,96,96,0,0,27,27,0,0.0,0.0,0
18,76,76,76,0,0,19,19,0,0.0,0.0,0
19,87,87,87,0,0,25,25,0,0.0,0.0,0
20,72,72,72,0,0,16,16,0,0.0,0.0,0
21,82,82,82,0,0,19,19,0,0.0,0.0,0
22,102,102,102,0,0,30,30,0,0.0,0.0,0
23,77,77,77,0,0,21,21,0,0.0,0.0,0
24,71,71,71,0,0,18,18,0,0.0,0.0,0
25,156,156,156,0,0,64,64,0,0.0,0.0,0
26,97,97,97,0,0,32,32,0,0.0,0.0,0
27,68,68,68,0,0,20,20,0,0.0,0.0,0
28,61,61,61,0,0,19,19,0,0.0,0.0,0
29,89,89,89,0,0,29,29,0,0.0,0.0,0
30,54,54,54,0,0,16,15,0,0.0,0.0,0
31,50,50,50,0,0,13,13,1,0.07692307692307693,0.07692307692307693,0.07692307692307693
32,326,326,326,0,0,10,10,0,0.0,0.0,0
33,75,75,75,0,0,20,20,0,0.0,0.0,0
34,99,99,99,0,0,19,19,1,0.05263157894736842,0.05263157894736842,0.05263157894736842
35,62,62,62,0,0,15,15,0,0.0,0.0,0
36,91,91,91,0,0,32,32,0,0.0,0.0,0
37,62,62,62,0,0,16,16,0,0.0,0.0,0
38,62,62,62,0,0,21,21,0,0.0,0.0,0
39,88,88,88,0,0,21,21,0,0.0,0.0,0
40,854,854,854,0,0,238,236,0,0.0,0.0,0
41,320,320,320,0,0,90,88,0,0.0,0.0,0
42,118,118,118,0,0,27,26,0,0.0,0.0,0
43,122,122,122,0,0,34,34,1,0.029411764705882353,0.029411764705882353,0.029411764705882353
44,308,308,308,0,0,91,89,0,0.0,0.0,0
45,529,529,529,0,0,125,124,0,0.0,0.0,0
46,863,863,863,0,0,231,228,0,0.0,0.0,0
47,415,415,415,0,0,98,98,0,0.0,0.0,0
48,256,256,256,0,0,42,40,0,0.0,0.0,0
49,184,184,184,0,0,29,29,0,0.0,0.0,0
50,179,179,179,0,0,36,36,0,0.0,0.0,0
51,164,164,164,0,0,29,29,0,0.0,0.0,0
52,185,185,185,0,0,27,27,0,0.0,0.0,0
53,174,174,174,0,0,25,25,0,0.0,0.0,0
54,142,142,142,0,0,31,31,0,0.0,0.0,0
55,134,134,134,0,0,23,23,0,0.0,0.0,0
56,179,179,179,0,0,23,23,0,0.0,0.0,0
57,160,160,160,0,0,17,17,0,0.0,0.0,0
58,162,162,162,0,0,20,20,0,0.0,0.0,0
59,136,136,136,0,0,10,10,0,0.0,0.0,0
60,180,180,180,0,0,26,26,0,0.0,0.0,0
61,187,187,187,0,0,38,37,0,0.0,0.0,0
62,115,115,115,0,0,14,14,0,0.0,0.0,0
63,90,90,90,0,0,10,10,0,0.0,0.0,0
64,121,121,121,0,0,11,11,0,0.0,0.0,0
65,95,95,95,0,0,14,13,0,0.0,0.0,0
66,130,130,130,0,0,12,12,0,0.0,0.0,0
67,121,121,121,0,0,14,14,0,0.0,0.0,0
68,114,114,114,0,0,23,23,0,0.0,0.0,0
69,103,103,103,0,0,16,15,0,0.0,0.0,0
70,80,80,80,0,0,11,11,0,0.0,0.0,0
71,74,74,74,0,0,8,8,0,0.0,0.0,0
72,78,78,78,0,0,5,5,0,0.0,0.0,0
73,79,79,79,0,0,6,6,0,0.0,0.0,0
74,86,86,86,0,0,8,8,1,0.125,0.125,0.125
75,94,94,94,0,0,9,9,0,0.0,0.0,0
76,55,55,55,0,0,7,7,0,0.0,0.0,0
77,48,48,48,0,0,5,5,0,0.0,0.0,0
78,64,64,64,0,0,13,13,0,0.0,0.0,0
79,63,63,63,0,0,5,5,0,0.0,0.0,0
80,64,64,64,0,0,6,6,0,0.0,0.0,0
81,48,48,48,0,0,5,5,0,0.0,0.0,0
82,61,61,61,0,0,7,7,0,0.0,0.0,0
83,44,44,44,0,0,5,5,0,0.0,0.0,0
84,43,43,43,0,0,3,3,0,0.0,0.0,0
85,47,47,47,0,0,3,3,0,0.0,0.0,0
86,34,34,34,0,0,5,5,0,0.0,0.0,0
87,177,177,177,0,0,23,23,0,0.0,0.0,0
88,267,267,267,0,0,30,30,0,0.0,0.0,0
89,131,131,131,0,0,11,11,0,0.0,0.0,0
90,226,226,226,0,0,25,25,0,0.0,0.0,0
91,229,229,229,0,0,32,32,1,0.03125,0.03125,0.03125
92,133,133,133,0,0,7,7,0,0.0,0.0,0
93,112,112,112,0,0,11,10,0,0.0,0.0,0
94,134,134,134,0,0,11,11,0,0.0,0.0,0
95,128,128,128,0,0,20,20,0,0.0,0.0,0
96,87,87,87,0,0,6,6,0,0.0,0.0,0
97,101,101,101,0,0,15,15,0,0.0,0.0,0
98,113,113,113,0,0,11,11,0,0.0,0.0,0
99,148,148,148,0,0,6,6,0,0.0,0.0,0
100,193,193,193,0,0,11,11,0,0.0,0.0,0
101,104,104,104,0,0,10,10,1,0.1,0.1,0.10000000000000002
102,80,80,80,0,0,7,7,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
103,73,73,73,0,0,3,3,0,0.0,0.0,0
104,49,49,49,0,0,2,2,0,0.0,0.0,0
105,84,84,84,0,0,11,11,0,0.0,0.0,0
106,82,82,82,0,0,7,7,0,0.0,0.0,0
107,240,240,240,0,0,7,7,0,0.0,0.0,0
108,128,128,128,0,0,12,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333
109,88,88,88,0,0,9,9,0,0.0,0.0,0
110,83,83,83,0,0,4,4,0,0.0,0.0,0
111,77,77,77,0,0,9,9,0,0.0,0.0,0
112,81,81,81,0,0,8,8,0,0.0,0.0,0
113,76,76,76,0,0,7,7,0,0.0,0.0,0
114,229,229,229,0,0,25,25,0,0.0,0.0,0
115,92,92,92,0,0,7,7,0,0.0,0.0,0
116,134,134,134,0,0,9,9,0,0.0,0.0,0
117,229,229,229,0,0,15,15,0,0.0,0.0,0
118,496,496,496,0,0,201,200,0,0.0,0.0,0
119,236,236,236,0,0,5,5,0,0.0,0.0,0
120,75,75,75,0,0,8,8,0,0.0,0.0,0
121,106,106,106,0,0,12,12,0,0.0,0.0,0
122,90,90,90,0,0,8,8,0,0.0,0.0,0
123,71,71,71,0,0,2,2,0,0.0,0.0,0
124,52,52,52,0,0,5,5,0,0.0,0.0,0
125,62,62,62,0,0,7,7,0,0.0,0.0,0
126,54,54,54,0,0,5,5,0,0.0,0.0,0
127,66,66,66,0,0,7,7,0,0.0,0.0,0
128,68,68,68,0,0,8,8,0,0.0,0.0,0
129,120,120,120,0,0,19,19,0,0.0,0.0,0
130,107,107,107,0,0,10,10,0,0.0,0.0,0
131,81,81,81,0,0,12,12,0,0.0,0.0,0
132,68,68,68,0,0,10,10,0,0.0,0.0,0
133,45,45,45,0,0,5,5,0,0.0,0.0,0
134,83,83,83,0,0,12,12,0,0.0,0.0,0
135,68,68,68,0,0,8,8,0,0.0,0.0,0
136,68,68,68,0,0,11,11,1,0.09090909090909091,0.09090909090909091,0.09090909090909091
137,217,217,217,0,0,44,44,0,0.0,0.0,0
138,141,141,141,0,0,24,24,0,0.0,0.0,0
139,139,139,139,0,0,27,27,0,0.0,0.0,0
140,140,140,140,0,0,22,22,0,0.0,0.0,0
141,132,132,132,0,0,17,16,0,0.0,0.0,0
142,145,145,145,0,0,22,22,0,0.0,0.0,0
143,92,92,92,0,0,13,13,0,0.0,0.0,0
144,86,86,86,0,0,10,10,0,0.0,0.0,0
145,72,72,72,0,0,9,9,0,0.0,0.0,0
146,82,82,82,0,0,11,11,0,0.0,0.0,0
147,92,92,92,0,0,13,12,0,0.0,0.0,0
148,137,137,137,0,0,24,24,1,0.041666666666666664,0.041666666666666664,0.041666666666666664
149,142,142,142,0,0,32,31,0,0.0,0.0,0
150,263,263,263,0,0,106,106,0,0.0,0.0,0
151,136,136,136,0,0,14,14,0,0.0,0.0,0
152,121,121,121,0,0,16,16,0,0.0,0.0,0
153,102,102,102,0,0,11,10,1,0.09090909090909091,0.1,0.09523809523809525
154,140,140,140,0,0,16,16,0,0.0,0.0,0
155,178,178,178,0,0,11,11,0,0.0,0.0,0
156,94,94,94,0,0,8,8,0,0.0,0.0,0
157,97,97,97,0,0,2,2,0,0.0,0.0,0
158,113,113,113,0,0,13,13,0,0.0,0.0,0
159,127,127,127,0,0,13,13,0,0.0,0.0,0
160,101,101,101,0,0,11,11,0,0.0,0.0,0
161,169,169,169,0,0,16,16,0,0.0,0.0,0
162,130,130,130,0,0,11,11,0,0.0,0.0,0
163,163,163,163,0,0,12,12,0,0.0,0.0,0
164,136,136,136,0,0,12,12,1,0.08333333333333333,0.08333333333333333,0.08333333333333333
165,148,148,148,0,0,10,10,0,0.0,0.0,0
166,167,167,167,0,0,14,14,0,0.0,0.0,0
167,172,172,172,0,0,17,17,0,0.0,0.0,0
168,229,229,229,0,0,19,18,0,0.0,0.0,0
169,209,209,209,0,0,16,16,0,0.0,0.0,0
170,219,219,219,0,0,15,15,0,0.0,0.0,0
171,165,165,165,0,0,20,20,0,0.0,0.0,0
172,317,317,317,0,0,50,50,0,0.0,0.0,0
173,198,198,198,0,0,22,22,0,0.0,0.0,0
174,196,196,196,0,0,22,22,0,0.0,0.0,0
175,156,156,156,0,0,16,16,0,0.0,0.0,0
176,225,225,225,0,0,20,20,0,0.0,0.0,0
177,220,220,220,0,0,24,24,0,0.0,0.0,0
178,289,289,289,0,0,32,30,0,0.0,0.0,0
179,188,188,188,0,0,18,18,0,0.0,0.0,0
180,235,235,235,0,0,30,30,0,0.0,0.0,0
181,220,220,220,0,0,24,23,0,0.0,0.0,0
182,211,211,211,0,0,19,19,1,0.05263157894736842,0.05263157894736842,0.05263157894736842
183,162,162,162,0,0,17,17,0,0.0,0.0,0
184,233,233,233,0,0,21,21,0,0.0,0.0,0
185,169,169,169,0,0,6,6,0,0.0,0.0,0
186,98,98,98,0,0,6,6,0,0.0,0.0,0
