Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,38,38,2,36,36,0,0,0,0,0,0
1,40,40,8,32,32,7,3,3,0.42857142857142855,1.0,0.6
2,60,60,11,49,49,6,8,3,0.5,0.375,0.42857142857142855
3,93,93,10,83,83,5,6,2,0.4,0.3333333333333333,0.3636363636363636
4,81,87,8,73,79,4,2,1,0.25,0.5,0.3333333333333333
5,83,90,13,70,77,10,17,9,0.9,0.5294117647058824,0.6666666666666667
6,62,66,6,56,60,5,3,3,0.6,1.0,0.7499999999999999
7,46,58,9,37,49,5,3,0,0.0,0.0,0
8,87,115,11,76,104,31,7,7,0.22580645161290322,1.0,0.3684210526315789
9,111,153,12,99,141,2,2,0,0.0,0.0,0
10,346,415,62,284,353,8,16,3,0.375,0.1875,0.25
11,189,225,19,170,206,4,8,2,0.5,0.25,0.3333333333333333
12,76,95,10,66,85,4,4,4,1.0,1.0,1.0
13,72,100,9,63,91,6,5,3,0.5,0.6,0.5454545454545454
14,55,90,8,47,82,7,8,7,1.0,0.875,0.9333333333333333
15,63,87,8,55,79,6,5,4,0.6666666666666666,0.8,0.7272727272727272
16,67,103,9,58,94,3,5,2,0.6666666666666666,0.4,0.5
17,44,84,6,38,78,2,3,1,0.5,0.3333333333333333,0.4
18,37,90,9,28,81,6,4,4,0.6666666666666666,1.0,0.8
19,28,66,4,24,62,2,2,1,0.5,0.5,0.5
20,27,74,3,24,71,1,1,1,1.0,1.0,1.0
21,33,88,5,28,83,3,2,2,0.6666666666666666,1.0,0.8
22,45,98,5,40,93,1,1,1,1.0,1.0,1.0
23,26,56,3,23,53,2,0,0,0.0,0,0
24,26,54,2,24,52,1,0,0,0.0,0,0
25,35,68,5,30,63,4,2,2,0.5,1.0,0.6666666666666666
26,27,62,3,24,59,1,1,1,1.0,1.0,1.0
27,37,62,12,25,50,11,9,8,0.7272727272727273,0.8888888888888888,0.7999999999999999
28,21,48,2,19,46,1,1,1,1.0,1.0,1.0
29,25,52,3,22,49,1,1,1,1.0,1.0,1.0
30,25,52,3,22,49,1,1,1,1.0,1.0,1.0
31,19,55,4,15,51,1,0,0,0.0,0,0
32,28,893,4,24,889,3,1,1,0.3333333333333333,1.0,0.5
33,62,100,5,57,95,2,2,2,1.0,1.0,1.0
34,48,117,5,43,112,1,0,0,0.0,0,0
35,49,100,3,46,97,1,0,0,0.0,0,0
36,39,95,6,33,89,4,3,3,0.75,1.0,0.8571428571428571
37,62,117,4,58,113,2,2,2,1.0,1.0,1.0
38,27,60,4,23,56,3,0,0,0.0,0,0
39,38,79,8,30,71,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
40,88,683,26,62,657,61,14,10,0.16393442622950818,0.7142857142857143,0.26666666666666666
41,130,265,23,107,242,16,17,11,0.6875,0.6470588235294118,0.6666666666666667
42,82,137,7,75,130,4,4,2,0.5,0.5,0.5
43,68,109,7,61,102,4,4,2,0.5,0.5,0.5
44,153,261,16,137,245,6,4,3,0.5,0.75,0.6
45,243,439,39,204,400,22,21,16,0.7272727272727273,0.7619047619047619,0.7441860465116279
46,343,675,64,279,611,30,38,23,0.7666666666666667,0.6052631578947368,0.676470588235294
47,249,351,44,205,307,40,30,17,0.425,0.5666666666666667,0.48571428571428565
48,147,207,14,133,193,6,7,3,0.5,0.42857142857142855,0.4615384615384615
49,129,183,10,119,173,7,5,5,0.7142857142857143,1.0,0.8333333333333333
50,116,153,10,106,143,8,6,4,0.5,0.6666666666666666,0.5714285714285715
51,96,137,9,87,128,7,7,7,1.0,1.0,1.0
52,89,174,15,74,159,11,12,8,0.7272727272727273,0.6666666666666666,0.6956521739130435
53,82,166,9,73,157,7,3,2,0.2857142857142857,0.6666666666666666,0.4
54,54,118,5,49,113,4,1,0,0.0,0.0,0
55,63,140,9,54,131,5,5,4,0.8,0.8,0.8000000000000002
56,87,188,14,73,174,13,7,6,0.46153846153846156,0.8571428571428571,0.6
57,79,154,13,66,141,9,7,6,0.6666666666666666,0.8571428571428571,0.75
58,63,155,9,54,146,5,3,2,0.4,0.6666666666666666,0.5
59,78,165,11,67,154,6,7,5,0.8333333333333334,0.7142857142857143,0.7692307692307692
60,79,174,11,68,163,5,10,5,1.0,0.5,0.6666666666666666
61,78,193,8,70,185,3,5,3,1.0,0.6,0.7499999999999999
62,48,112,5,43,107,2,3,1,0.5,0.3333333333333333,0.4
63,39,79,8,31,71,4,5,3,0.75,0.6,0.6666666666666665
64,67,158,13,54,145,8,9,4,0.5,0.4444444444444444,0.47058823529411764
65,52,116,7,45,109,2,2,0,0.0,0.0,0
66,65,181,18,47,163,14,6,3,0.21428571428571427,0.5,0.3
67,56,144,5,51,139,3,2,1,0.3333333333333333,0.5,0.4
68,38,105,5,33,100,3,1,1,0.3333333333333333,1.0,0.5
69,47,96,5,42,91,3,0,0,0.0,0,0
70,33,80,3,30,77,0,0,0,0,0,0
71,34,79,4,30,75,1,2,1,1.0,0.5,0.6666666666666666
72,38,89,5,33,84,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
73,34,83,7,27,76,5,3,1,0.2,0.3333333333333333,0.25
