Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,15,51,59,14,10,10,0.7142857142857143,1.0,0.8333333333333333
1,67,76,15,52,61,14,6,6,0.42857142857142855,1.0,0.6
2,60,68,13,47,55,12,7,7,0.5833333333333334,1.0,0.7368421052631579
3,103,127,17,86,110,16,6,6,0.375,1.0,0.5454545454545454
4,113,114,12,101,102,0,0,0,0,0,0
5,80,97,19,61,78,0,0,0,0,0,0
6,58,63,6,52,57,0,0,0,0,0,0
7,37,50,5,32,45,0,0,0,0,0,0
8,110,130,4,106,126,3,1,1,0.3333333333333333,1.0,0.5
9,131,185,34,97,151,0,0,0,0,0,0
10,450,597,172,278,425,0,0,0,0,0,0
11,170,232,62,108,170,0,0,0,0,0,0
12,82,103,31,51,72,30,0,0,0.0,0,0
13,62,93,18,44,75,0,0,0,0,0,0
14,31,70,8,23,62,0,0,0,0,0,0
15,43,60,18,25,42,0,0,0,0,0,0
16,49,70,17,32,53,0,0,0,0,0,0
17,47,67,21,26,46,20,5,5,0.25,1.0,0.4
18,37,73,19,18,54,18,4,4,0.2222222222222222,1.0,0.3636363636363636
19,32,59,14,18,45,13,3,3,0.23076923076923078,1.0,0.375
20,32,74,19,13,55,0,0,0,0,0,0
21,38,75,20,18,55,19,2,2,0.10526315789473684,1.0,0.1904761904761905
22,49,79,16,33,63,0,0,0,0,0,0
23,41,53,24,17,29,23,8,8,0.34782608695652173,1.0,0.5161290322580645
24,35,63,17,18,46,16,4,4,0.25,1.0,0.4
25,41,65,11,30,54,10,1,1,0.1,1.0,0.18181818181818182
26,40,53,16,24,37,15,3,3,0.2,1.0,0.33333333333333337
27,34,46,15,19,31,0,0,0,0,0,0
28,27,39,11,16,28,10,2,2,0.2,1.0,0.33333333333333337
29,33,51,12,21,39,11,4,4,0.36363636363636365,1.0,0.5333333333333333
30,21,45,10,11,35,9,1,1,0.1111111111111111,1.0,0.19999999999999998
31,36,42,18,18,24,17,8,8,0.47058823529411764,1.0,0.6399999999999999
32,51,339,47,4,292,46,1,1,0.021739130434782608,1.0,0.042553191489361694
33,63,64,28,35,36,0,0,0,0,0,0
34,62,112,38,24,74,0,0,0,0,0,0
35,47,57,21,26,36,0,0,0,0,0,0
36,43,58,12,31,46,0,0,0,0,0,0
37,71,71,31,40,40,0,0,0,0,0,0
38,34,39,11,23,28,10,4,4,0.4,1.0,0.5714285714285715
39,45,76,21,24,55,0,0,0,0,0,0
40,305,749,156,149,593,155,20,20,0.12903225806451613,1.0,0.2285714285714286
41,208,225,96,112,129,0,0,0,0,0,0
42,68,104,42,26,62,0,0,0,0,0,0
43,66,86,27,39,59,0,0,0,0,0,0
44,122,222,46,76,176,0,0,0,0,0,0
45,281,431,150,131,281,0,0,0,0,0,0
46,398,673,200,198,473,199,1,1,0.005025125628140704,1.0,0.01
47,255,313,132,123,181,0,0,0,0,0,0
48,177,248,123,54,125,0,0,0,0,0,0
49,140,176,96,44,80,0,0,0,0,0,0
50,121,154,66,55,88,0,0,0,0,0,0
51,119,142,71,48,71,0,0,0,0,0,0
52,134,192,102,32,90,101,61,61,0.6039603960396039,1.0,0.7530864197530863
53,144,162,101,43,61,100,61,61,0.61,1.0,0.7577639751552795
54,93,116,59,34,57,58,32,32,0.5517241379310345,1.0,0.7111111111111111
55,101,130,68,33,62,0,0,0,0,0,0
56,136,188,99,37,89,0,0,0,0,0,0
57,122,184,101,21,83,0,0,0,0,0,0
58,124,170,89,35,81,0,0,0,0,0,0
59,125,166,107,18,59,106,59,59,0.5566037735849056,1.0,0.7151515151515151
60,124,207,102,22,105,101,53,53,0.5247524752475248,1.0,0.6883116883116883
61,123,173,74,49,99,73,35,35,0.4794520547945205,1.0,0.6481481481481481
62,89,120,68,21,52,0,0,0,0,0,0
63,83,91,65,18,26,64,42,42,0.65625,1.0,0.7924528301886793
64,117,138,96,21,42,0,0,0,0,0,0
65,93,92,70,23,22,0,0,0,0,0,0
66,125,161,101,24,60,0,0,0,0,0,0
67,97,139,75,22,64,0,0,0,0,0,0
68,72,109,40,32,69,39,17,17,0.4358974358974359,1.0,0.6071428571428571
69,78,107,55,23,52,0,0,0,0,0,0
70,66,84,48,18,36,0,0,0,0,0,0
71,57,82,44,13,38,0,0,0,0,0,0
72,73,101,65,8,36,0,0,0,0,0,0
73,85,96,71,14,25,0,0,0,0,0,0
74,73,105,58,15,47,0,0,0,0,0,0
75,84,106,69,15,37,0,0,0,0,0,0
76,44,63,34,10,29,33,17,17,0.5151515151515151,1.0,0.6799999999999999
77,37,58,28,9,30,0,0,0,0,0,0
78,49,62,31,18,31,30,18,18,0.6,1.0,0.7499999999999999
79,66,73,55,11,18,54,36,36,0.6666666666666666,1.0,0.8
80,63,78,51,12,27,50,26,26,0.52,1.0,0.6842105263157895
81,39,59,31,8,28,30,16,16,0.5333333333333333,1.0,0.6956521739130436
82,50,75,40,10,35,39,18,18,0.46153846153846156,1.0,0.631578947368421
83,37,52,27,10,25,26,14,14,0.5384615384615384,1.0,0.7000000000000001
84,47,58,39,8,19,38,18,18,0.47368421052631576,1.0,0.6428571428571429
85,49,61,43,6,18,42,23,23,0.5476190476190477,1.0,0.7076923076923077
86,28,39,22,6,17,21,10,10,0.47619047619047616,1.0,0.6451612903225806
87,112,208,84,28,124,83,29,29,0.3493975903614458,1.0,0.5178571428571429
88,188,305,145,43,160,144,60,60,0.4166666666666667,1.0,0.5882352941176471
89,105,154,86,19,68,85,50,50,0.5882352941176471,1.0,0.7407407407407407
90,139,283,111,28,172,110,46,46,0.41818181818181815,1.0,0.5897435897435896
91,144,264,106,38,158,105,46,46,0.4380952380952381,1.0,0.609271523178808
92,111,178,99,12,79,98,44,44,0.4489795918367347,1.0,0.6197183098591549
93,91,136,75,16,61,74,0,0,0.0,0,0
94,105,165,91,14,74,0,0,0,0,0,0
95,106,133,73,33,60,0,0,0,0,0,0
96,93,109,77,16,32,0,0,0,0,0,0
97,69,108,52,17,56,51,26,26,0.5098039215686274,1.0,0.6753246753246753
98,98,145,81,17,64,80,34,34,0.425,1.0,0.5964912280701754
99,156,174,139,17,35,138,96,96,0.6956521739130435,1.0,0.8205128205128205
100,196,211,176,20,35,175,128,128,0.7314285714285714,1.0,0.8448844884488449
101,108,106,85,23,21,0,0,0,0,0,0
102,87,95,69,18,26,68,1,1,0.014705882352941176,1.0,0.028985507246376812
103,82,93,69,13,24,68,40,40,0.5882352941176471,1.0,0.7407407407407407
104,58,68,48,10,20,0,0,0,0,0,0
105,69,92,47,22,45,0,0,0,0,0,0
106,88,98,71,17,27,70,40,40,0.5714285714285714,1.0,0.7272727272727273
107,310,260,233,77,27,232,205,205,0.8836206896551724,1.0,0.9382151029748284
108,123,142,102,21,40,101,62,62,0.6138613861386139,1.0,0.7607361963190183
109,76,109,62,14,47,61,32,32,0.5245901639344263,1.0,0.6881720430107526
110,86,103,77,9,26,76,44,44,0.5789473684210527,1.0,0.7333333333333334
111,77,84,62,15,22,61,39,39,0.639344262295082,1.0,0.78
112,72,93,56,16,37,55,32,32,0.5818181818181818,1.0,0.735632183908046
113,74,87,60,14,27,59,0,0,0.0,0,0
114,145,294,109,36,185,108,35,35,0.32407407407407407,1.0,0.48951048951048953
115,82,113,71,11,42,70,28,28,0.4,1.0,0.5714285714285715
116,132,157,119,13,38,118,3,3,0.025423728813559324,1.0,0.04958677685950414
117,214,258,195,19,63,0,0,0,0,0,0
118,246,322,149,97,173,148,90,90,0.6081081081081081,1.0,0.7563025210084033
119,267,309,231,36,78,0,0,0,0,0,0
120,66,103,51,15,52,0,0,0,0,0,0
121,81,133,65,16,68,0,0,0,0,0,0
122,70,128,58,12,70,57,23,23,0.40350877192982454,1.0,0.575
123,66,116,63,3,53,62,18,18,0.2903225806451613,1.0,0.45000000000000007
124,56,80,44,12,36,43,16,16,0.37209302325581395,1.0,0.5423728813559322
125,49,78,38,11,40,37,11,11,0.2972972972972973,1.0,0.4583333333333333
126,49,73,41,8,32,40,14,14,0.35,1.0,0.5185185185185185
127,47,93,37,10,56,0,0,0,0,0,0
128,57,85,42,15,43,41,1,1,0.024390243902439025,1.0,0.047619047619047616
129,83,140,56,27,84,55,1,1,0.01818181818181818,1.0,0.03571428571428572
130,80,137,66,14,71,0,0,0,0,0,0
131,60,83,39,21,44,0,0,0,0,0,0
132,48,82,35,13,47,34,17,17,0.5,1.0,0.6666666666666666
133,40,60,30,10,30,29,13,13,0.4482758620689655,1.0,0.6190476190476191
134,50,95,33,17,62,32,12,12,0.375,1.0,0.5454545454545454
135,47,86,37,10,49,36,15,15,0.4166666666666667,1.0,0.5882352941176471
136,46,79,33,13,46,32,11,11,0.34375,1.0,0.5116279069767442
137,158,185,99,59,86,0,0,0,0,0,0
138,107,136,68,39,68,0,0,0,0,0,0
139,79,129,54,25,75,0,0,0,0,0,0
140,99,139,65,34,74,0,0,0,0,0,0
141,95,160,71,24,89,0,0,0,0,0,0
142,118,159,83,35,76,0,0,0,0,0,0
143,80,102,61,19,41,60,29,29,0.48333333333333334,1.0,0.6516853932584269
144,58,100,44,14,56,43,25,25,0.5813953488372093,1.0,0.7352941176470588
145,58,79,45,13,34,44,0,0,0.0,0,0
146,60,97,46,14,51,45,22,22,0.4888888888888889,1.0,0.6567164179104478
147,69,106,49,20,57,48,21,21,0.4375,1.0,0.6086956521739131
148,78,148,47,31,101,46,22,22,0.4782608695652174,1.0,0.6470588235294118
149,79,155,55,24,100,54,23,23,0.42592592592592593,1.0,0.5974025974025974
150,175,292,128,47,164,127,56,56,0.4409448818897638,1.0,0.6120218579234972
151,102,161,79,23,82,0,0,0,0,0,0
152,86,132,64,22,68,0,0,0,0,0,0
153,67,130,52,15,78,0,0,0,0,0,0
154,124,207,98,26,109,0,0,0,0,0,0
155,129,218,111,18,107,110,1,1,0.00909090909090909,1.0,0.018018018018018018
156,74,107,63,11,44,62,32,32,0.5161290322580645,1.0,0.6808510638297872
157,98,125,94,4,31,93,60,60,0.6451612903225806,1.0,0.7843137254901961
158,91,119,70,21,49,0,0,0,0,0,0
159,176,140,107,69,33,0,0,0,0,0,0
160,79,115,60,19,55,0,0,0,0,0,0
161,122,209,102,20,107,0,0,0,0,0,0
162,113,157,92,21,65,0,0,0,0,0,0
163,138,200,116,22,84,115,52,52,0.45217391304347826,1.0,0.6227544910179641
164,114,164,93,21,71,92,12,12,0.13043478260869565,1.0,0.23076923076923078
165,133,191,119,14,72,118,1,1,0.00847457627118644,1.0,0.01680672268907563
166,145,205,119,26,86,118,0,0,0.0,0,0
167,135,207,111,24,96,110,12,12,0.10909090909090909,1.0,0.19672131147540983
168,218,265,185,33,80,184,93,93,0.5054347826086957,1.0,0.6714801444043321
169,177,258,149,28,109,0,0,0,0,0,0
170,219,260,194,25,66,193,92,92,0.47668393782383417,1.0,0.6456140350877193
171,125,189,100,25,89,99,38,38,0.3838383838383838,1.0,0.5547445255474452
172,222,317,151,71,166,150,60,60,0.4,1.0,0.5714285714285715
173,148,227,112,36,115,0,0,0,0,0,0
174,153,220,116,37,104,0,0,0,0,0,0
175,131,179,100,31,79,0,0,0,0,0,0
176,183,271,152,31,119,0,0,0,0,0,0
177,185,251,139,46,112,0,0,0,0,0,0
178,240,324,188,52,136,0,0,0,0,0,0
179,157,205,129,28,76,0,0,0,0,0,0
180,182,244,143,39,101,0,0,0,0,0,0
181,189,230,152,37,78,0,0,0,0,0,0
182,191,220,154,37,66,0,0,0,0,0,0
183,145,167,116,29,51,0,0,0,0,0,0
184,207,259,165,42,94,0,0,0,0,0,0
185,170,215,158,12,57,0,0,0,0,0,0
186,73,138,63,10,75,0,0,0,0,0,0
187,232,297,219,13,78,0,0,0,0,0,0
188,167,217,148,19,69,0,0,0,0,0,0
189,168,222,151,17,71,0,0,0,0,0,0
190,142,170,120,22,50,0,0,0,0,0,0
191,126,167,112,14,55,0,0,0,0,0,0
192,125,179,114,11,65,0,0,0,0,0,0
193,121,173,98,23,75,97,31,31,0.31958762886597936,1.0,0.48437499999999994
194,120,197,101,19,96,100,38,38,0.38,1.0,0.5507246376811594
195,111,165,83,28,82,0,0,0,0,0,0
196,111,176,97,14,79,0,0,0,0,0,0
197,86,144,80,6,64,0,0,0,0,0,0
198,93,145,82,11,63,0,0,0,0,0,0
199,113,145,103,10,42,0,0,0,0,0,0
200,155,177,130,25,47,129,53,53,0.4108527131782946,1.0,0.5824175824175825
201,175,204,157,18,47,156,39,39,0.25,1.0,0.4
202,185,201,144,41,57,143,50,50,0.34965034965034963,1.0,0.5181347150259067
203,134,147,106,28,41,105,31,31,0.29523809523809524,1.0,0.45588235294117646
204,133,138,104,29,34,0,0,0,0,0,0
205,125,151,82,43,69,0,0,0,0,0,0
206,119,144,101,18,43,100,37,37,0.37,1.0,0.5401459854014599
207,109,110,76,33,34,75,24,24,0.32,1.0,0.48484848484848486
208,112,141,101,11,40,100,27,27,0.27,1.0,0.4251968503937008
209,101,109,79,22,30,78,29,29,0.3717948717948718,1.0,0.5420560747663552
210,106,129,85,21,44,84,27,27,0.32142857142857145,1.0,0.4864864864864865
211,65,116,54,11,62,53,19,19,0.3584905660377358,1.0,0.5277777777777778
212,95,125,86,9,39,85,31,31,0.36470588235294116,1.0,0.5344827586206896
213,114,113,85,29,28,84,31,31,0.36904761904761907,1.0,0.5391304347826087
214,85,91,63,22,28,0,0,0,0,0,0
215,92,92,68,24,24,67,25,25,0.373134328358209,1.0,0.5434782608695653
216,90,107,71,19,36,0,0,0,0,0,0
217,72,98,65,7,33,64,14,14,0.21875,1.0,0.358974358974359
218,67,95,54,13,41,53,14,14,0.2641509433962264,1.0,0.41791044776119407
219,114,125,93,21,32,0,0,0,0,0,0
220,71,94,61,10,33,60,18,18,0.3,1.0,0.4615384615384615
221,25,34,19,6,15,0,0,0,0,0,0
222,60,98,53,7,45,0,0,0,0,0,0
223,120,126,91,29,35,90,29,29,0.32222222222222224,1.0,0.4873949579831933
224,87,106,71,16,35,70,22,22,0.3142857142857143,1.0,0.4782608695652174
225,58,66,43,15,23,42,10,10,0.23809523809523808,1.0,0.3846153846153846
226,62,76,49,13,27,48,16,16,0.3333333333333333,1.0,0.5
227,58,92,54,4,38,53,13,13,0.24528301886792453,1.0,0.393939393939394
228,51,91,49,2,42,48,15,15,0.3125,1.0,0.47619047619047616
229,58,79,50,8,29,49,14,14,0.2857142857142857,1.0,0.4444444444444445
230,39,87,35,4,52,34,8,8,0.23529411764705882,1.0,0.38095238095238093
231,40,72,40,0,32,39,8,8,0.20512820512820512,1.0,0.3404255319148936
232,69,111,63,6,48,62,16,16,0.25806451612903225,1.0,0.41025641025641024
233,75,152,72,3,80,71,12,12,0.16901408450704225,1.0,0.2891566265060241
234,47,80,40,7,40,39,13,13,0.3333333333333333,1.0,0.5
235,31,71,26,5,45,25,5,5,0.2,1.0,0.33333333333333337
236,44,91,35,9,56,34,8,8,0.23529411764705882,1.0,0.38095238095238093
237,47,83,45,2,38,44,15,15,0.3409090909090909,1.0,0.5084745762711864
238,92,87,63,29,24,62,28,28,0.45161290322580644,1.0,0.6222222222222222
239,135,132,99,36,33,98,63,63,0.6428571428571429,1.0,0.782608695652174
240,74,103,67,7,36,66,9,9,0.13636363636363635,1.0,0.24000000000000002
241,80,123,79,1,44,78,23,23,0.2948717948717949,1.0,0.45544554455445546
242,64,108,50,14,58,0,0,0,0,0,0
243,63,105,60,3,45,59,15,15,0.2542372881355932,1.0,0.4054054054054054
244,52,81,46,6,35,45,15,15,0.3333333333333333,1.0,0.5
245,46,70,45,1,25,44,8,8,0.18181818181818182,1.0,0.3076923076923077
246,60,92,54,6,38,0,0,0,0,0,0
247,71,76,49,22,27,0,0,0,0,0,0
248,56,79,45,11,34,44,16,16,0.36363636363636365,1.0,0.5333333333333333
