Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,181,36,36,78,124,10,0.1282051282051282,0.08064516129032258,0.09900990099009901
1,258,258,226,32,32,75,146,9,0.12,0.06164383561643835,0.08144796380090497
2,233,233,184,49,49,76,125,11,0.14473684210526316,0.088,0.10945273631840796
3,429,429,346,83,83,117,294,8,0.06837606837606838,0.027210884353741496,0.038929440389294405
4,359,359,280,79,79,13,213,1,0.07692307692307693,0.004694835680751174,0.008849557522123894
5,287,287,204,83,83,22,147,10,0.45454545454545453,0.06802721088435375,0.1183431952662722
6,218,218,145,73,73,14,101,3,0.21428571428571427,0.0297029702970297,0.05217391304347826
7,182,182,116,66,66,13,67,1,0.07692307692307693,0.014925373134328358,0.024999999999999998
8,1629,1629,1496,133,133,149,1462,7,0.04697986577181208,0.0047879616963064295,0.008690254500310366
9,429,429,231,198,198,35,137,0,0.0,0.0,0
10,1226,1226,774,452,452,99,461,3,0.030303030303030304,0.006507592190889371,0.010714285714285713
11,525,525,151,374,374,56,106,2,0.03571428571428571,0.018867924528301886,0.024691358024691357
12,248,248,10,238,238,4,4,4,1.0,1.0,1.0
13,224,224,9,215,215,6,5,3,0.5,0.6,0.5454545454545454
14,204,204,8,196,196,7,8,7,1.0,0.875,0.9333333333333333
15,168,168,8,160,160,6,5,4,0.6666666666666666,0.8,0.7272727272727272
16,204,204,9,195,195,3,5,2,0.6666666666666666,0.4,0.5
17,180,180,6,174,174,2,3,1,0.5,0.3333333333333333,0.4
18,166,166,9,157,157,6,4,4,0.6666666666666666,1.0,0.8
19,153,153,4,149,149,2,2,1,0.5,0.5,0.5
20,146,146,3,143,143,1,1,1,1.0,1.0,1.0
21,170,170,5,165,165,3,2,2,0.6666666666666666,1.0,0.8
22,200,200,5,195,195,1,1,1,1.0,1.0,1.0
23,133,133,3,130,130,2,0,0,0.0,0,0
24,125,125,2,123,123,1,0,0,0.0,0,0
25,224,224,5,219,219,4,2,2,0.5,1.0,0.6666666666666666
26,159,159,3,156,156,1,1,1,1.0,1.0,1.0
27,130,130,12,118,118,11,9,8,0.7272727272727273,0.8888888888888888,0.7999999999999999
28,109,109,2,107,107,1,1,1,1.0,1.0,1.0
29,141,141,3,138,138,1,1,1,1.0,1.0,1.0
30,106,106,3,103,103,1,1,1,1.0,1.0,1.0
31,105,105,4,101,101,1,0,0,0.0,0,0
32,1219,1219,4,1215,1215,3,1,1,0.3333333333333333,1.0,0.5
33,175,175,5,170,170,2,2,2,1.0,1.0,1.0
34,216,216,5,211,211,1,0,0,0.0,0,0
35,162,162,3,159,159,1,0,0,0.0,0,0
36,186,186,6,180,180,4,3,3,0.75,1.0,0.8571428571428571
37,179,179,4,175,175,2,2,2,1.0,1.0,1.0
38,122,122,4,118,118,3,0,0,0.0,0,0
39,167,167,8,159,159,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
40,1537,1537,26,1511,1511,61,14,10,0.16393442622950818,0.7142857142857143,0.26666666666666666
41,585,585,23,562,562,16,17,11,0.6875,0.6470588235294118,0.6666666666666667
42,255,255,7,248,248,4,4,2,0.5,0.5,0.5
43,231,231,7,224,224,4,4,2,0.5,0.5,0.5
44,569,569,16,553,553,6,4,3,0.5,0.75,0.6
45,968,968,39,929,929,22,21,16,0.7272727272727273,0.7619047619047619,0.7441860465116279
46,1538,1538,64,1474,1474,30,38,23,0.7666666666666667,0.6052631578947368,0.676470588235294
47,766,766,44,722,722,40,30,17,0.425,0.5666666666666667,0.48571428571428565
48,463,463,14,449,449,6,7,3,0.5,0.42857142857142855,0.4615384615384615
49,367,367,10,357,357,7,5,5,0.7142857142857143,1.0,0.8333333333333333
50,332,332,10,322,322,8,6,4,0.5,0.6666666666666666,0.5714285714285715
51,301,301,9,292,292,7,7,7,1.0,1.0,1.0
52,359,359,15,344,344,11,12,8,0.7272727272727273,0.6666666666666666,0.6956521739130435
53,340,340,9,331,331,7,3,2,0.2857142857142857,0.6666666666666666,0.4
54,260,260,5,255,255,4,1,0,0.0,0.0,0
55,274,274,9,265,265,5,5,4,0.8,0.8,0.8000000000000002
56,367,367,14,353,353,13,7,6,0.46153846153846156,0.8571428571428571,0.6
57,314,314,13,301,301,9,7,6,0.6666666666666666,0.8571428571428571,0.75
58,317,317,9,308,308,5,3,2,0.4,0.6666666666666666,0.5
59,301,301,11,290,290,6,7,5,0.8333333333333334,0.7142857142857143,0.7692307692307692
60,354,354,11,343,343,5,10,5,1.0,0.5,0.6666666666666666
61,380,380,8,372,372,3,5,3,1.0,0.6,0.7499999999999999
62,227,227,5,222,222,2,3,1,0.5,0.3333333333333333,0.4
63,169,169,8,161,161,4,5,3,0.75,0.6,0.6666666666666665
64,279,279,13,266,266,8,9,4,0.5,0.4444444444444444,0.47058823529411764
65,211,211,7,204,204,2,2,0,0.0,0.0,0
66,311,311,18,293,293,14,6,3,0.21428571428571427,0.5,0.3
67,265,265,5,260,260,3,2,1,0.3333333333333333,0.5,0.4
68,219,219,5,214,214,3,1,1,0.3333333333333333,1.0,0.5
69,199,199,5,194,194,3,0,0,0.0,0,0
70,160,160,3,157,157,0,0,0,0,0,0
71,153,153,4,149,149,1,2,1,1.0,0.5,0.6666666666666666
72,167,167,5,162,162,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
73,162,162,7,155,155,5,3,1,0.2,0.3333333333333333,0.25
74,201,201,6,195,195,2,3,1,0.5,0.3333333333333333,0.4
75,181,181,4,177,177,2,1,1,0.5,1.0,0.6666666666666666
76,112,112,3,109,109,1,1,1,1.0,1.0,1.0
77,99,99,2,97,97,0,0,0,0,0,0
78,134,134,3,131,131,0,0,0,0,0,0
79,127,127,3,124,124,1,0,0,0.0,0,0
80,133,133,4,129,129,1,1,1,1.0,1.0,1.0
81,105,105,3,102,102,3,0,0,0.0,0,0
82,137,137,4,133,133,4,1,1,0.25,1.0,0.4
83,92,92,4,88,88,1,1,1,1.0,1.0,1.0
84,90,90,3,87,87,1,1,1,1.0,1.0,1.0
85,108,108,3,105,105,3,1,1,0.3333333333333333,1.0,0.5
86,86,86,3,83,83,2,0,0,0.0,0,0
87,394,394,14,380,380,15,5,3,0.2,0.6,0.3
88,546,546,14,532,532,19,10,9,0.47368421052631576,0.9,0.6206896551724138
89,265,265,8,257,257,7,2,2,0.2857142857142857,1.0,0.4444444444444445
90,487,487,10,477,477,7,6,6,0.8571428571428571,1.0,0.923076923076923
91,515,515,12,503,503,9,5,5,0.5555555555555556,1.0,0.7142857142857143
92,316,316,11,305,305,9,5,5,0.5555555555555556,1.0,0.7142857142857143
93,233,233,6,227,227,5,1,1,0.2,1.0,0.33333333333333337
94,284,284,5,279,279,1,1,1,1.0,1.0,1.0
95,244,244,6,238,238,3,1,1,0.3333333333333333,1.0,0.5
96,215,215,8,207,207,6,3,3,0.5,1.0,0.6666666666666666
97,220,220,4,216,216,1,1,1,1.0,1.0,1.0
98,276,276,7,269,269,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
99,299,299,8,291,291,4,4,3,0.75,0.75,0.75
100,316,316,7,309,309,4,5,3,0.75,0.6,0.6666666666666665
101,214,214,7,207,207,3,2,1,0.3333333333333333,0.5,0.4
102,186,186,10,176,176,7,4,3,0.42857142857142855,0.75,0.5454545454545454
103,176,176,5,171,171,3,2,2,0.6666666666666666,1.0,0.8
104,133,133,5,128,128,2,1,1,0.5,1.0,0.6666666666666666
105,167,167,5,162,162,1,3,1,1.0,0.3333333333333333,0.5
106,170,170,5,165,165,3,2,2,0.6666666666666666,1.0,0.8
107,411,411,4,407,407,1,1,1,1.0,1.0,1.0
108,244,244,7,237,237,4,2,2,0.5,1.0,0.6666666666666666
109,187,187,3,184,184,1,1,1,1.0,1.0,1.0
110,184,184,2,182,182,0,0,0,0,0,0
111,157,157,2,155,155,1,1,1,1.0,1.0,1.0
112,172,172,2,170,170,0,0,0,0,0,0
113,180,180,3,177,177,0,0,0,0,0,0
114,506,506,11,495,495,7,2,1,0.14285714285714285,0.5,0.22222222222222224
115,193,193,8,185,185,7,2,2,0.2857142857142857,1.0,0.4444444444444445
116,262,262,4,258,258,3,1,1,0.3333333333333333,1.0,0.5
117,373,373,4,369,369,0,1,0,0,0.0,0
118,625,625,4,621,621,2,1,1,0.5,1.0,0.6666666666666666
119,458,458,26,432,432,4,3,1,0.25,0.3333333333333333,0.28571428571428575
120,183,183,7,176,176,3,2,1,0.3333333333333333,0.5,0.4
121,233,233,4,229,229,0,0,0,0,0,0
122,216,216,5,211,211,2,2,1,0.5,0.5,0.5
123,223,223,6,217,217,4,2,2,0.5,1.0,0.6666666666666666
124,165,165,7,158,158,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
125,130,130,2,128,128,0,0,0,0,0,0
126,131,131,2,129,129,0,1,0,0,0.0,0
127,179,179,4,175,175,5,1,1,0.2,1.0,0.33333333333333337
128,162,162,4,158,158,4,1,1,0.25,1.0,0.4
129,268,268,6,262,262,2,1,1,0.5,1.0,0.6666666666666666
130,225,225,5,220,220,2,1,1,0.5,1.0,0.6666666666666666
131,137,137,2,135,135,1,1,1,1.0,1.0,1.0
132,148,148,3,145,145,1,1,1,1.0,1.0,1.0
133,133,133,3,130,130,1,1,1,1.0,1.0,1.0
134,171,171,4,167,167,2,1,1,0.5,1.0,0.6666666666666666
135,156,156,3,153,153,1,1,1,1.0,1.0,1.0
136,185,185,3,182,182,2,1,1,0.5,1.0,0.6666666666666666
137,439,439,8,431,431,4,5,4,1.0,0.8,0.888888888888889
138,300,300,14,286,286,12,9,9,0.75,1.0,0.8571428571428571
139,299,299,7,292,292,6,3,3,0.5,1.0,0.6666666666666666
140,301,301,7,294,294,4,3,3,0.75,1.0,0.8571428571428571
141,302,302,10,292,292,8,5,5,0.625,1.0,0.7692307692307693
