Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,15,51,59,14,10,10,0.7142857142857143,1.0,0.8333333333333333
1,67,76,15,52,61,14,6,6,0.42857142857142855,1.0,0.6
2,60,68,13,47,55,12,7,7,0.5833333333333334,1.0,0.7368421052631579
3,103,127,17,86,110,16,6,6,0.375,1.0,0.5454545454545454
4,113,113,9,104,104,0,0,0,0,0,0
5,80,92,19,61,73,0,0,0,0,0,0
6,58,63,10,48,53,0,0,0,0,0,0
7,37,46,6,31,40,0,0,0,0,0,0
8,110,121,2,108,119,1,0,0,0.0,0,0
9,131,148,32,99,116,0,0,0,0,0,0
10,450,527,145,305,382,0,0,0,0,0,0
11,170,195,61,109,134,0,0,0,0,0,0
12,82,93,1,81,92,0,0,0,0,0,0
13,62,77,0,62,77,0,0,0,0,0,0
14,31,41,0,31,41,0,0,0,0,0,0
15,43,53,0,43,53,0,0,0,0,0,0
16,49,54,0,49,54,0,0,0,0,0,0
17,47,51,1,46,50,0,0,0,0,0,0
18,37,44,1,36,43,0,0,0,0,0,0
19,32,34,1,31,33,0,0,0,0,0,0
20,32,41,0,32,41,0,0,0,0,0,0
21,38,45,1,37,44,0,0,0,0,0,0
22,49,53,0,49,53,0,0,0,0,0,0
23,41,43,1,40,42,0,0,0,0,0,0
24,35,39,1,34,38,0,0,0,0,0,0
25,41,45,1,40,44,0,0,0,0,0,0
26,40,37,1,39,36,0,0,0,0,0,0
27,34,35,0,34,35,0,0,0,0,0,0
28,27,29,1,26,28,0,0,0,0,0,0
29,33,32,1,32,31,0,0,0,0,0,0
30,21,25,1,20,24,0,0,0,0,0,0
31,36,41,1,35,40,0,0,0,0,0,0
32,51,56,1,50,55,0,0,0,0,0,0
33,63,84,0,63,84,0,0,0,0,0,0
34,62,81,0,62,81,0,0,0,0,0,0
35,47,56,0,47,56,0,0,0,0,0,0
36,43,61,0,43,61,0,0,0,0,0,0
37,71,75,0,71,75,0,0,0,0,0,0
38,34,35,1,33,34,0,0,0,0,0,0
39,45,47,0,45,47,0,0,0,0,0,0
40,305,303,1,304,302,0,0,0,0,0,0
41,208,211,0,208,211,0,0,0,0,0,0
42,68,75,0,68,75,0,0,0,0,0,0
43,66,72,0,66,72,0,0,0,0,0,0
44,122,144,0,122,144,0,0,0,0,0,0
45,281,318,0,281,318,0,0,0,0,0,0
46,398,464,1,397,463,0,0,0,0,0,0
47,255,274,0,255,274,0,0,0,0,0,0
48,177,199,0,177,199,0,0,0,0,0,0
49,140,152,0,140,152,0,0,0,0,0,0
50,121,138,0,121,138,0,0,0,0,0,0
51,119,132,0,119,132,0,0,0,0,0,0
52,134,154,1,133,153,0,0,0,0,0,0
53,144,167,1,143,166,0,0,0,0,0,0
54,93,102,1,92,101,0,0,0,0,0,0
55,101,113,0,101,113,0,0,0,0,0,0
56,136,151,0,136,151,0,0,0,0,0,0
57,122,136,0,122,136,0,0,0,0,0,0
58,124,132,0,124,132,0,0,0,0,0,0
59,125,134,1,124,133,0,0,0,0,0,0
60,124,134,1,123,133,0,0,0,0,0,0
61,123,138,1,122,137,0,0,0,0,0,0
62,89,101,0,89,101,0,0,0,0,0,0
63,83,86,1,82,85,0,0,0,0,0,0
64,117,128,0,117,128,0,0,0,0,0,0
65,93,98,0,93,98,0,0,0,0,0,0
66,125,139,0,125,139,0,0,0,0,0,0
67,97,110,0,97,110,0,0,0,0,0,0
68,72,79,1,71,78,0,0,0,0,0,0
69,78,83,0,78,83,0,0,0,0,0,0
70,66,72,0,66,72,0,0,0,0,0,0
71,57,60,0,57,60,0,0,0,0,0,0
72,73,83,0,73,83,0,0,0,0,0,0
73,85,91,0,85,91,0,0,0,0,0,0
74,73,83,0,73,83,0,0,0,0,0,0
75,84,92,0,84,92,0,0,0,0,0,0
76,44,52,1,43,51,0,0,0,0,0,0
77,37,44,0,37,44,0,0,0,0,0,0
78,49,54,1,48,53,0,0,0,0,0,0
79,66,71,1,65,70,0,0,0,0,0,0
80,63,61,1,62,60,0,0,0,0,0,0
81,39,43,1,38,42,0,0,0,0,0,0
82,50,54,1,49,53,0,0,0,0,0,0
83,37,40,1,36,39,0,0,0,0,0,0
84,47,49,1,46,48,0,0,0,0,0,0
85,49,52,1,48,51,0,0,0,0,0,0
86,28,32,1,27,31,0,0,0,0,0,0
87,112,122,1,111,121,0,0,0,0,0,0
88,188,193,1,187,192,0,0,0,0,0,0
89,105,115,1,104,114,0,0,0,0,0,0
90,139,154,1,138,153,0,0,0,0,0,0
91,144,160,1,143,159,0,0,0,0,0,0
92,111,121,1,110,120,0,0,0,0,0,0
93,91,103,1,90,102,0,0,0,0,0,0
94,105,115,0,105,115,0,0,0,0,0,0
95,106,123,0,106,123,0,0,0,0,0,0
96,93,106,0,93,106,0,0,0,0,0,0
97,69,72,1,68,71,0,0,0,0,0,0
98,98,113,1,97,112,0,0,0,0,0,0
99,156,166,1,155,165,0,0,0,0,0,0
100,196,207,1,195,206,0,0,0,0,0,0
101,108,110,0,108,110,0,0,0,0,0,0
102,87,103,1,86,102,0,0,0,0,0,0
103,82,93,1,81,92,0,0,0,0,0,0
104,58,70,0,58,70,0,0,0,0,0,0
105,69,80,0,69,80,0,0,0,0,0,0
106,88,91,1,87,90,0,0,0,0,0,0
107,310,302,1,309,301,0,0,0,0,0,0
108,123,128,1,122,127,0,0,0,0,0,0
109,76,83,1,75,82,0,0,0,0,0,0
110,86,96,1,85,95,0,0,0,0,0,0
111,77,83,1,76,82,0,0,0,0,0,0
112,72,77,1,71,76,0,0,0,0,0,0
113,74,83,1,73,82,0,0,0,0,0,0
114,145,169,1,144,168,0,0,0,0,0,0
115,82,86,1,81,85,0,0,0,0,0,0
116,132,139,1,131,138,0,0,0,0,0,0
117,214,224,0,214,224,0,0,0,0,0,0
118,246,253,1,245,252,0,0,0,0,0,0
119,267,317,0,267,317,0,0,0,0,0,0
120,66,86,0,66,86,0,0,0,0,0,0
121,81,98,0,81,98,0,0,0,0,0,0
122,70,86,1,69,85,0,0,0,0,0,0
123,66,79,1,65,78,0,0,0,0,0,0
124,56,66,1,55,65,0,0,0,0,0,0
125,49,53,1,48,52,0,0,0,0,0,0
126,49,54,1,48,53,0,0,0,0,0,0
127,47,53,0,47,53,0,0,0,0,0,0
128,57,62,1,56,61,0,0,0,0,0,0
129,83,88,1,82,87,0,0,0,0,0,0
130,80,91,0,80,91,0,0,0,0,0,0
131,60,61,0,60,61,0,0,0,0,0,0
132,48,54,1,47,53,0,0,0,0,0,0
133,40,48,1,39,47,0,0,0,0,0,0
134,50,57,1,49,56,0,0,0,0,0,0
135,47,53,1,46,52,0,0,0,0,0,0
136,46,48,1,45,47,0,0,0,0,0,0
137,158,160,0,158,160,0,0,0,0,0,0
138,107,106,0,107,106,0,0,0,0,0,0
139,79,82,0,79,82,0,0,0,0,0,0
140,99,107,0,99,107,0,0,0,0,0,0
141,95,99,0,95,99,0,0,0,0,0,0
142,118,134,0,118,134,0,0,0,0,0,0
143,80,88,1,79,87,0,0,0,0,0,0
144,58,61,1,57,60,0,0,0,0,0,0
145,58,61,1,57,60,0,0,0,0,0,0
146,60,69,1,59,68,0,0,0,0,0,0
147,69,79,1,68,78,0,0,0,0,0,0
148,78,89,1,77,88,0,0,0,0,0,0
149,79,88,1,78,87,0,0,0,0,0,0
150,175,181,1,174,180,0,0,0,0,0,0
151,102,115,0,102,115,0,0,0,0,0,0
152,86,94,1,85,93,0,0,0,0,0,0
153,67,73,0,67,73,0,0,0,0,0,0
154,124,135,0,124,135,0,0,0,0,0,0
155,129,145,1,128,144,0,0,0,0,0,0
156,74,85,1,73,84,0,0,0,0,0,0
157,98,99,1,97,98,0,0,0,0,0,0
158,91,100,0,91,100,0,0,0,0,0,0
159,176,167,0,176,167,0,0,0,0,0,0
160,79,80,0,79,80,0,0,0,0,0,0
161,122,127,0,122,127,0,0,0,0,0,0
162,113,116,0,113,116,0,0,0,0,0,0
163,138,144,1,137,143,0,0,0,0,0,0
164,114,120,1,113,119,0,0,0,0,0,0
165,133,134,1,132,133,0,0,0,0,0,0
166,145,151,1,144,150,0,0,0,0,0,0
167,135,138,1,134,137,0,0,0,0,0,0
168,218,201,1,217,200,0,0,0,0,0,0
169,177,172,0,177,172,0,0,0,0,0,0
170,219,213,1,218,212,0,0,0,0,0,0
171,125,136,1,124,135,0,0,0,0,0,0
172,222,213,1,221,212,0,0,0,0,0,0
173,148,157,0,148,157,0,0,0,0,0,0
174,153,161,0,153,161,0,0,0,0,0,0
175,131,123,0,131,123,0,0,0,0,0,0
176,183,194,0,183,194,0,0,0,0,0,0
177,185,181,0,185,181,0,0,0,0,0,0
178,240,225,0,240,225,0,0,0,0,0,0
179,157,161,0,157,161,0,0,0,0,0,0
180,182,187,0,182,187,0,0,0,0,0,0
181,189,190,0,189,190,0,0,0,0,0,0
182,191,198,1,190,197,0,0,0,0,0,0
183,145,146,0,145,146,0,0,0,0,0,0
184,207,202,0,207,202,0,0,0,0,0,0
185,170,175,0,170,175,0,0,0,0,0,0
186,73,76,0,73,76,0,0,0,0,0,0
187,232,222,0,232,222,0,0,0,0,0,0
188,167,159,0,167,159,0,0,0,0,0,0
189,168,160,0,168,160,0,0,0,0,0,0
190,142,140,0,142,140,0,0,0,0,0,0
191,126,135,0,126,135,0,0,0,0,0,0
192,125,135,0,125,135,0,0,0,0,0,0
193,121,128,1,120,127,0,0,0,0,0,0
194,120,130,1,119,129,0,0,0,0,0,0
195,111,123,0,111,123,0,0,0,0,0,0
196,111,126,0,111,126,0,0,0,0,0,0
197,86,94,0,86,94,0,0,0,0,0,0
198,93,101,0,93,101,0,0,0,0,0,0
199,113,119,0,113,119,0,0,0,0,0,0
200,155,151,1,154,150,0,0,0,0,0,0
201,175,174,1,174,173,0,0,0,0,0,0
202,185,155,1,184,154,0,0,0,0,0,0
203,134,121,1,133,120,0,0,0,0,0,0
204,133,115,0,133,115,0,0,0,0,0,0
205,125,135,0,125,135,0,0,0,0,0,0
206,119,115,1,118,114,0,0,0,0,0,0
207,109,115,1,108,114,0,0,0,0,0,0
208,112,121,1,111,120,0,0,0,0,0,0
209,101,105,1,100,104,0,0,0,0,0,0
210,106,98,1,105,97,0,0,0,0,0,0
211,65,70,1,64,69,0,0,0,0,0,0
212,95,92,1,94,91,0,0,0,0,0,0
213,114,106,1,113,105,0,0,0,0,0,0
214,85,84,0,85,84,0,0,0,0,0,0
215,92,92,1,91,91,0,0,0,0,0,0
216,90,95,0,90,95,0,0,0,0,0,0
217,72,75,1,71,74,0,0,0,0,0,0
218,67,71,1,66,70,0,0,0,0,0,0
219,114,122,0,114,122,0,0,0,0,0,0
220,71,77,1,70,76,0,0,0,0,0,0
221,25,32,0,25,32,0,0,0,0,0,0
222,60,69,0,60,69,0,0,0,0,0,0
223,120,124,1,119,123,0,0,0,0,0,0
224,87,92,1,86,91,0,0,0,0,0,0
225,58,66,1,57,65,0,0,0,0,0,0
226,62,60,1,61,59,0,0,0,0,0,0
227,58,61,1,57,60,0,0,0,0,0,0
228,51,59,1,50,58,0,0,0,0,0,0
229,58,59,1,57,58,0,0,0,0,0,0
230,39,42,1,38,41,0,0,0,0,0,0
231,40,46,1,39,45,0,0,0,0,0,0
232,69,70,1,68,69,0,0,0,0,0,0
233,75,76,1,74,75,0,0,0,0,0,0
234,47,50,1,46,49,0,0,0,0,0,0
235,31,41,1,30,40,0,0,0,0,0,0
236,44,53,1,43,52,0,0,0,0,0,0
237,47,51,1,46,50,0,0,0,0,0,0
238,92,73,1,91,72,0,0,0,0,0,0
239,135,131,1,134,130,0,0,0,0,0,0
240,74,78,1,73,77,0,0,0,0,0,0
241,80,84,1,79,83,0,0,0,0,0,0
242,64,72,0,64,72,0,0,0,0,0,0
243,63,67,1,62,66,0,0,0,0,0,0
244,52,53,1,51,52,0,0,0,0,0,0
245,46,53,1,45,52,0,0,0,0,0,0
246,60,63,0,60,63,0,0,0,0,0,0
247,71,73,0,71,73,0,0,0,0,0,0
248,56,63,1,55,62,0,0,0,0,0,0
249,83,77,1,82,76,0,0,0,0,0,0
250,85,101,0,85,101,0,0,0,0,0,0
251,71,87,0,71,87,0,0,0,0,0,0
252,43,55,0,43,55,0,0,0,0,0,0
253,31,40,0,31,40,0,0,0,0,0,0
254,42,47,0,42,47,0,0,0,0,0,0
255,48,57,1,47,56,0,0,0,0,0,0
256,46,55,0,46,55,0,0,0,0,0,0
257,23,30,0,23,30,0,0,0,0,0,0
258,31,42,0,31,42,0,0,0,0,0,0
259,34,43,0,34,43,0,0,0,0,0,0
260,64,73,0,64,73,0,0,0,0,0,0
261,68,76,1,67,75,0,0,0,0,0,0
262,42,46,0,42,46,0,0,0,0,0,0
263,51,49,1,50,48,0,0,0,0,0,0
264,42,44,1,41,43,0,0,0,0,0,0
265,34,36,1,33,35,0,0,0,0,0,0
266,39,44,1,38,43,0,0,0,0,0,0
267,81,87,1,80,86,0,0,0,0,0,0
268,67,70,0,67,70,0,0,0,0,0,0
269,44,52,0,44,52,0,0,0,0,0,0
270,86,86,0,86,86,0,0,0,0,0,0
271,29,38,0,29,38,0,0,0,0,0,0
272,31,35,0,31,35,0,0,0,0,0,0
273,34,39,0,34,39,0,0,0,0,0,0
274,34,40,1,33,39,0,0,0,0,0,0
275,48,51,1,47,50,0,0,0,0,0,0
276,57,56,1,56,55,0,0,0,0,0,0
277,44,47,1,43,46,0,0,0,0,0,0
278,36,40,1,35,39,0,0,0,0,0,0
279,37,42,1,36,41,0,0,0,0,0,0
280,44,55,1,43,54,0,0,0,0,0,0
281,56,55,0,56,55,0,0,0,0,0,0
282,36,40,0,36,40,0,0,0,0,0,0
283,53,56,1,52,55,0,0,0,0,0,0
284,66,73,1,65,72,0,0,0,0,0,0
285,96,93,0,96,93,0,0,0,0,0,0
286,79,91,0,79,91,0,0,0,0,0,0
287,40,47,0,40,47,0,0,0,0,0,0
288,85,85,0,85,85,0,0,0,0,0,0
289,48,54,1,47,53,0,0,0,0,0,0
290,67,69,1,66,68,0,0,0,0,0,0
291,73,85,1,72,84,0,0,0,0,0,0
292,57,62,1,56,61,0,0,0,0,0,0
293,203,168,1,202,167,0,0,0,0,0,0
294,624,502,0,624,502,0,0,0,0,0,0
295,76,74,1,75,73,0,0,0,0,0,0
296,68,68,0,68,68,0,0,0,0,0,0
