Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,33,74,5,28,69,0,0,0,0,0,0
1,36,76,9,27,67,0,0,0,0,0,0
2,45,68,8,37,60,0,5,0,0,0.0,0
3,85,127,19,66,108,2,12,1,0.5,0.08333333333333333,0.14285714285714285
4,65,114,12,53,102,1,0,0,0.0,0,0
5,58,97,11,47,86,0,0,0,0,0,0
6,56,63,12,44,51,1,0,0,0.0,0,0
7,46,50,5,41,45,0,0,0,0,0,0
8,148,130,10,138,120,0,2,0,0,0.0,0
9,85,185,23,62,162,1,0,0,0.0,0,0
10,235,597,72,163,525,6,6,0,0.0,0.0,0
11,92,232,19,73,213,6,0,0,0.0,0,0
12,65,103,14,51,89,0,0,0,0,0,0
13,63,93,15,48,78,1,0,0,0.0,0,0
14,51,70,14,37,56,0,1,0,0,0.0,0
15,42,60,9,33,51,0,3,0,0,0.0,0
16,59,70,12,47,58,0,0,0,0,0,0
17,45,67,13,32,54,3,2,0,0.0,0.0,0
18,36,73,9,27,64,0,0,0,0,0,0
19,43,59,10,33,49,2,3,0,0.0,0.0,0
20,38,74,13,25,61,4,4,0,0.0,0.0,0
21,38,75,10,28,65,0,0,0,0,0,0
22,55,79,13,42,66,0,0,0,0,0,0
23,36,53,11,25,42,2,3,0,0.0,0.0,0
24,29,63,10,19,53,1,3,0,0.0,0.0,0
25,55,65,10,45,55,1,2,0,0.0,0.0,0
26,47,53,9,38,44,0,1,0,0,0.0,0
27,35,46,10,25,36,1,4,0,0.0,0.0,0
28,29,39,4,25,35,1,1,0,0.0,0.0,0
29,37,51,5,32,46,0,0,0,0,0,0
30,23,45,7,16,38,0,1,0,0,0.0,0
31,25,42,12,13,30,2,6,0,0.0,0.0,0
32,299,339,117,182,222,0,0,0,0,0,0
33,47,64,11,36,53,1,0,0,0.0,0,0
34,59,112,17,42,95,1,0,0,0.0,0,0
35,39,57,6,33,51,0,0,0,0,0,0
36,44,58,3,41,55,0,0,0,0,0,0
37,45,71,13,32,58,2,2,0,0.0,0.0,0
38,34,39,5,29,34,0,0,0,0,0,0
39,43,76,12,31,64,1,4,1,1.0,0.25,0.4
40,396,749,100,296,649,2,0,0,0.0,0,0
41,99,225,23,76,202,1,10,0,0.0,0.0,0
42,74,104,23,51,81,1,0,0,0.0,0,0
43,65,86,14,51,72,0,0,0,0,0,0
44,146,222,44,102,178,9,14,0,0.0,0.0,0
45,257,431,80,177,351,1,37,0,0.0,0.0,0
46,343,673,113,230,560,4,49,0,0.0,0.0,0
47,178,313,63,115,250,1,1,0,0.0,0.0,0
48,120,248,49,71,199,3,0,0,0.0,0,0
49,102,176,42,60,134,0,0,0,0,0,0
50,102,154,40,62,114,6,1,0,0.0,0.0,0
51,86,142,33,53,109,0,0,0,0,0,0
52,99,192,37,62,155,0,0,0,0,0,0
53,102,162,32,70,130,0,0,0,0,0,0
54,76,116,25,51,91,0,0,0,0,0,0
55,72,130,25,47,105,2,2,0,0.0,0.0,0
56,104,188,41,63,147,0,0,0,0,0,0
57,90,184,35,55,149,0,0,0,0,0,0
58,88,170,40,48,130,1,0,0,0.0,0,0
59,85,166,37,48,129,2,19,0,0.0,0.0,0
60,99,207,34,65,173,0,0,0,0,0,0
61,106,173,38,68,135,0,0,0,0,0,0
62,62,120,28,34,92,0,0,0,0,0,0
63,47,91,21,26,70,4,13,4,1.0,0.3076923076923077,0.47058823529411764
64,77,138,35,42,103,1,0,0,0.0,0,0
65,66,92,23,43,69,0,0,0,0,0,0
66,86,161,38,48,123,1,18,0,0.0,0.0,0
67,75,139,29,46,110,5,13,2,0.4,0.15384615384615385,0.2222222222222222
68,61,109,22,39,87,0,0,0,0,0,0
69,53,107,18,35,89,0,0,0,0,0,0
70,44,84,16,28,68,1,1,0,0.0,0.0,0
71,39,82,17,22,65,2,2,0,0.0,0.0,0
72,42,101,21,21,80,5,1,0,0.0,0.0,0
73,43,96,22,21,74,3,12,1,0.3333333333333333,0.08333333333333333,0.13333333333333333
74,59,105,25,34,80,0,0,0,0,0,0
75,47,106,21,26,85,1,13,0,0.0,0.0,0
76,29,63,11,18,52,2,0,0,0.0,0,0
77,26,58,10,16,48,0,0,0,0,0,0
78,37,62,15,22,47,2,2,0,0.0,0.0,0
79,34,73,16,18,57,1,0,0,0.0,0,0
80,38,78,17,21,61,3,11,1,0.3333333333333333,0.09090909090909091,0.14285714285714288
81,29,59,11,18,48,0,0,0,0,0,0
82,37,75,13,24,62,1,0,0,0.0,0,0
83,28,52,10,18,42,0,0,0,0,0,0
84,32,58,14,18,44,0,0,0,0,0,0
