Graph_Num,Precision_New,Recall_New,F1_New,Accuracy_New,Precision_Old,Recall_Old,F1_Old,Accuracy_Old,Precision_All,Recall_All,F1_All
0,1.0,1.0,1.0,1.0,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.847926267281106,0.847926267281106,0.847926267281106
1,1.0,1.0,1.0,1.0,0.175,0.175,0.175,0.175,0.872093023255814,0.872093023255814,0.872093023255814
2,1.0,1.0,1.0,1.0,0.05,0.05,0.05000000000000001,0.05,0.7553648068669528,0.7553648068669528,0.7553648068669528
3,1.0,1.0,1.0,1.0,0.10752688172043011,0.10752688172043011,0.10752688172043011,0.10752688172043011,0.8065268065268065,0.8065268065268065,0.8065268065268065
4,1.0,1.0,1.0,1.0,0.14942528735632185,0.14942528735632185,0.14942528735632185,0.14942528735632185,0.7938718662952646,0.7938718662952646,0.7938718662952646
5,1.0,1.0,1.0,1.0,0.1,0.1,0.10000000000000002,0.1,0.7177700348432056,0.7177700348432056,0.7177700348432056
6,1.0,1.0,1.0,1.0,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.7339449541284404,0.7339449541284404,0.7339449541284404
7,1.0,1.0,1.0,1.0,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.7087912087912088,0.7087912087912088,0.7087912087912089
8,1.0,1.0,1.0,1.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.9386126457949663,0.9386126457949663,0.9386126457949663
9,1.0,1.0,1.0,1.0,0.05228758169934641,0.05228758169934641,0.05228758169934641,0.05228758169934641,0.662004662004662,0.662004662004662,0.662004662004662
10,1.0,1.0,1.0,1.0,0.15180722891566265,0.15180722891566265,0.15180722891566265,0.15180722891566265,0.7128874388254486,0.7128874388254486,0.7128874388254486
11,1.0,1.0,1.0,1.0,0.07555555555555556,0.07555555555555556,0.07555555555555556,0.07555555555555556,0.6038095238095238,0.6038095238095238,0.6038095238095238
12,1.0,1.0,1.0,1.0,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.042105263157894736,0.6330645161290323,0.6330645161290323,0.6330645161290323
13,1.0,1.0,1.0,1.0,0.06,0.06,0.06,0.06,0.5803571428571429,0.5803571428571429,0.5803571428571429
14,1.0,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6078431372549019,0.6078431372549019,0.6078431372549019
15,1.0,1.0,1.0,1.0,0.16091954022988506,0.16091954022988506,0.16091954022988506,0.16091954022988506,0.5654761904761905,0.5654761904761905,0.5654761904761905
16,1.0,1.0,1.0,1.0,0.18446601941747573,0.18446601941747573,0.1844660194174757,0.18446601941747573,0.5882352941176471,0.5882352941176471,0.5882352941176471
17,1.0,1.0,1.0,1.0,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.6166666666666667,0.6166666666666667,0.6166666666666667
18,1.0,1.0,1.0,1.0,0.12222222222222222,0.12222222222222222,0.12222222222222222,0.12222222222222222,0.5240963855421686,0.5240963855421686,0.5240963855421686
19,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.6470588235294118,0.6470588235294118,0.6470588235294118
20,1.0,1.0,1.0,1.0,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.14864864864864866,0.5684931506849316,0.5684931506849316,0.5684931506849316
21,1.0,1.0,1.0,1.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.5529411764705883,0.5529411764705883,0.5529411764705883
22,1.0,1.0,1.0,1.0,0.17346938775510204,0.17346938775510204,0.17346938775510204,0.17346938775510204,0.595,0.595,0.595
23,1.0,1.0,1.0,1.0,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.6165413533834586,0.6165413533834586,0.6165413533834586
24,1.0,1.0,1.0,1.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.632,0.632,0.632
