Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,184,33,33,144,127,11,0.0763888888888889,0.08661417322834646,0.08118081180811808
1,258,258,225,33,33,167,143,7,0.041916167664670656,0.04895104895104895,0.045161290322580636
2,233,233,176,57,57,134,116,8,0.05970149253731343,0.06896551724137931,0.06399999999999999
3,429,429,346,83,83,224,288,1,0.004464285714285714,0.003472222222222222,0.00390625
4,359,359,285,74,74,125,169,2,0.016,0.011834319526627219,0.01360544217687075
5,287,287,206,81,81,87,108,4,0.04597701149425287,0.037037037037037035,0.041025641025641026
6,218,218,160,58,58,69,91,4,0.057971014492753624,0.04395604395604396,0.049999999999999996
7,182,182,129,53,53,56,73,3,0.05357142857142857,0.0410958904109589,0.046511627906976744
8,1629,1629,1529,100,100,1458,1484,5,0.003429355281207133,0.0033692722371967657,0.003399048266485384
9,429,429,284,145,145,89,148,2,0.02247191011235955,0.013513513513513514,0.01687763713080169
10,1226,1226,874,352,352,261,512,6,0.022988505747126436,0.01171875,0.015523932729624839
11,525,525,317,208,208,284,131,3,0.01056338028169014,0.022900763358778626,0.014457831325301205
12,248,248,157,91,91,46,60,0,0.0,0.0,0
13,224,224,130,94,94,41,70,5,0.12195121951219512,0.07142857142857142,0.09009009009009009
14,204,204,124,80,80,44,64,7,0.1590909090909091,0.109375,0.12962962962962962
15,168,168,95,73,73,36,52,11,0.3055555555555556,0.21153846153846154,0.25
16,204,204,120,84,84,56,79,17,0.30357142857142855,0.21518987341772153,0.2518518518518518
17,180,180,111,69,69,40,69,11,0.275,0.15942028985507245,0.20183486238532108
18,166,166,87,79,79,28,49,9,0.32142857142857145,0.1836734693877551,0.23376623376623376
19,153,153,99,54,54,32,56,5,0.15625,0.08928571428571429,0.11363636363636363
20,146,146,83,63,63,20,39,4,0.2,0.10256410256410256,0.13559322033898302
21,170,170,94,76,76,24,44,3,0.125,0.06818181818181818,0.08823529411764705
22,200,200,119,81,81,42,63,9,0.21428571428571427,0.14285714285714285,0.17142857142857143
23,133,133,82,51,51,25,50,0,0.0,0.0,0
24,125,125,79,46,46,62,41,2,0.03225806451612903,0.04878048780487805,0.038834951456310676
25,224,224,162,62,62,64,86,0,0.0,0.0,0
26,159,159,105,54,54,38,53,4,0.10526315789473684,0.07547169811320754,0.08791208791208792
27,130,130,80,50,50,29,49,5,0.1724137931034483,0.10204081632653061,0.12820512820512822
28,109,109,65,44,44,20,29,1,0.05,0.034482758620689655,0.04081632653061224
29,141,141,95,46,46,32,41,1,0.03125,0.024390243902439025,0.027397260273972605
30,106,106,61,45,45,18,26,2,0.1111111111111111,0.07692307692307693,0.09090909090909093
31,105,105,52,53,53,13,26,1,0.07692307692307693,0.038461538461538464,0.05128205128205129
32,1219,1219,366,853,853,348,49,14,0.040229885057471264,0.2857142857142857,0.07052896725440806
33,175,175,82,93,93,20,30,0,0.0,0.0,0
34,216,216,104,112,112,19,36,1,0.05263157894736842,0.027777777777777776,0.03636363636363636
35,162,162,71,91,91,20,28,2,0.1,0.07142857142857142,0.08333333333333333
36,186,186,95,91,91,33,42,1,0.030303030303030304,0.023809523809523808,0.02666666666666667
37,179,179,73,106,106,24,46,7,0.2916666666666667,0.15217391304347827,0.2
38,122,122,69,53,53,28,44,7,0.25,0.1590909090909091,0.19444444444444445
39,167,167,97,70,70,25,57,3,0.12,0.05263157894736842,0.07317073170731707
40,1537,1537,940,597,597,248,546,10,0.04032258064516129,0.018315018315018316,0.02518891687657431
41,585,585,344,241,241,100,188,8,0.08,0.0425531914893617,0.05555555555555556
42,255,255,126,129,129,32,62,3,0.09375,0.04838709677419355,0.06382978723404253
43,231,231,132,99,99,39,66,5,0.1282051282051282,0.07575757575757576,0.09523809523809525
44,569,569,346,223,223,119,197,20,0.16806722689075632,0.10152284263959391,0.12658227848101264
45,968,968,593,375,375,154,368,21,0.13636363636363635,0.057065217391304345,0.08045977011494253
46,1538,1538,1008,530,530,287,602,46,0.1602787456445993,0.07641196013289037,0.10348706411698537
47,766,766,457,309,309,391,318,21,0.05370843989769821,0.0660377358490566,0.059238363892806775
48,463,463,274,189,189,47,70,5,0.10638297872340426,0.07142857142857142,0.08547008547008546
49,367,367,208,159,159,186,57,6,0.03225806451612903,0.10526315789473684,0.04938271604938271
50,332,332,200,132,132,43,70,6,0.13953488372093023,0.08571428571428572,0.10619469026548672
51,301,301,180,121,121,39,112,9,0.23076923076923078,0.08035714285714286,0.11920529801324506
52,359,359,205,154,154,42,133,10,0.23809523809523808,0.07518796992481203,0.11428571428571428
53,340,340,193,147,147,40,129,12,0.3,0.09302325581395349,0.14201183431952663
54,260,260,148,112,112,34,82,1,0.029411764705882353,0.012195121951219513,0.017241379310344827
55,274,274,151,123,123,36,91,8,0.2222222222222222,0.08791208791208792,0.12598425196850394
56,367,367,206,161,161,41,138,13,0.3170731707317073,0.09420289855072464,0.14525139664804468
57,314,314,184,130,130,31,102,8,0.25806451612903225,0.0784313725490196,0.12030075187969926
58,317,317,179,138,138,29,114,7,0.2413793103448276,0.06140350877192982,0.0979020979020979
59,301,301,155,146,146,19,101,7,0.3684210526315789,0.06930693069306931,0.11666666666666667
60,354,354,197,157,157,33,112,6,0.18181818181818182,0.05357142857142857,0.08275862068965517
61,380,380,207,173,173,45,116,6,0.13333333333333333,0.05172413793103448,0.07453416149068323
62,227,227,125,102,102,19,74,4,0.21052631578947367,0.05405405405405406,0.08602150537634409
63,169,169,98,71,71,15,69,5,0.3333333333333333,0.07246376811594203,0.11904761904761905
64,279,279,140,139,139,23,101,11,0.4782608695652174,0.10891089108910891,0.1774193548387097
65,211,211,106,105,105,19,74,5,0.2631578947368421,0.06756756756756757,0.10752688172043011
