Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,15,51,59,14,10,10,0.7142857142857143,1.0,0.8333333333333333
1,67,76,15,52,61,14,6,6,0.42857142857142855,1.0,0.6
2,60,68,13,47,55,12,7,7,0.5833333333333334,1.0,0.7368421052631579
3,103,127,16,87,111,0,0,0,0,0,0
4,113,114,12,101,102,0,0,0,0,0,0
5,83,97,19,64,78,0,0,0,0,0,0
6,58,63,6,52,57,0,0,0,0,0,0
7,36,50,5,31,45,0,0,0,0,0,0
8,115,130,4,111,126,0,0,0,0,0,0
9,150,185,40,110,145,0,0,0,0,0,0
10,480,597,191,289,406,0,0,0,0,0,0
11,185,232,66,119,166,0,0,0,0,0,0
12,84,103,30,54,73,0,0,0,0,0,0
13,68,93,20,48,73,0,0,0,0,0,0
14,46,70,15,31,55,0,0,0,0,0,0
15,43,60,18,25,42,0,0,0,0,0,0
16,55,70,19,36,51,0,0,0,0,0,0
17,51,67,21,30,46,0,0,0,0,0,0
18,50,73,25,25,48,0,0,0,0,0,0
19,40,59,16,24,43,0,0,0,0,0,0
20,46,74,25,21,49,0,0,0,0,0,0
21,51,75,25,26,50,0,0,0,0,0,0
22,55,79,19,36,60,0,0,0,0,0,0
23,43,53,23,20,30,0,0,0,0,0,0
24,44,63,20,24,43,19,1,1,0.05263157894736842,1.0,0.1
25,47,65,14,33,51,0,0,0,0,0,0
26,42,53,16,26,37,0,0,0,0,0,0
27,38,46,17,21,29,0,0,0,0,0,0
28,29,39,10,19,29,0,0,0,0,0,0
29,41,51,16,25,35,0,0,0,0,0,0
30,29,45,15,14,30,0,0,0,0,0,0
31,29,42,12,17,30,0,0,0,0,0,0
32,323,339,303,20,36,302,2,2,0.006622516556291391,1.0,0.013157894736842105
33,44,64,24,20,40,0,0,0,0,0,0
34,71,112,43,28,69,0,0,0,0,0,0
35,42,57,19,23,38,0,0,0,0,0,0
36,40,58,10,30,48,0,0,0,0,0,0
37,60,71,28,32,43,0,0,0,0,0,0
38,33,39,10,23,29,0,0,0,0,0,0
39,56,76,27,29,49,0,0,0,0,0,0
40,552,749,265,287,484,0,0,0,0,0,0
41,182,225,85,97,140,0,0,0,0,0,0
42,79,104,50,29,54,0,0,0,0,0,0
43,68,86,29,39,57,0,0,0,0,0,0
44,158,222,66,92,156,0,0,0,0,0,0
45,329,431,170,159,261,0,0,0,0,0,0
46,514,673,262,252,411,0,0,0,0,0,0
47,263,313,136,127,177,0,0,0,0,0,0
48,200,248,140,60,108,0,0,0,0,0,0
49,150,176,103,47,73,0,0,0,0,0,0
50,123,154,68,55,86,0,0,0,0,0,0
51,120,142,72,48,70,0,0,0,0,0,0
52,149,192,110,39,82,0,0,0,0,0,0
53,130,162,90,40,72,0,0,0,0,0,0
54,91,116,57,34,59,0,0,0,0,0,0
55,98,130,67,31,63,0,0,0,0,0,0
56,147,188,110,37,78,0,0,0,0,0,0
57,138,184,110,28,74,0,0,0,0,0,0
58,137,170,102,35,68,0,0,0,0,0,0
59,129,166,110,19,56,0,0,0,0,0,0
60,153,207,119,34,88,0,0,0,0,0,0
61,132,173,80,52,93,0,0,0,0,0,0
62,91,120,70,21,50,0,0,0,0,0,0
63,77,91,58,19,33,0,0,0,0,0,0
64,110,138,90,20,48,0,0,0,0,0,0
65,76,92,57,19,35,0,0,0,0,0,0
66,117,161,93,24,68,0,0,0,0,0,0
67,104,139,82,22,57,0,0,0,0,0,0
68,78,109,45,33,64,0,0,0,0,0,0
69,83,107,57,26,50,0,0,0,0,0,0
70,64,84,47,17,37,0,0,0,0,0,0
71,65,82,50,15,32,0,0,0,0,0,0
72,76,101,68,8,33,0,0,0,0,0,0
73,79,96,70,9,26,0,0,0,0,0,0
74,77,105,62,15,43,0,0,0,0,0,0
75,85,106,70,15,36,0,0,0,0,0,0
76,44,63,33,11,30,0,0,0,0,0,0
77,41,58,31,10,27,0,0,0,0,0,0
78,48,62,30,18,32,0,0,0,0,0,0
79,58,73,48,10,25,0,0,0,0,0,0
80,58,78,45,13,33,0,0,0,0,0,0
81,42,59,33,9,26,0,0,0,0,0,0
82,54,75,42,12,33,0,0,0,0,0,0
83,39,52,28,11,24,0,0,0,0,0,0
84,45,58,38,7,20,0,0,0,0,0,0
85,47,61,41,6,20,0,0,0,0,0,0
86,29,39,22,7,17,0,0,0,0,0,0
87,146,208,105,41,103,0,0,0,0,0,0
88,234,305,184,50,121,0,0,0,0,0,0
89,119,154,99,20,55,0,0,0,0,0,0
90,208,283,168,40,115,0,0,0,0,0,0
91,193,264,137,56,127,0,0,0,0,0,0
92,133,178,118,15,60,0,0,0,0,0,0
93,108,136,89,19,47,0,0,0,0,0,0
94,127,165,110,17,55,0,0,0,0,0,0
95,106,133,73,33,60,0,0,0,0,0,0
96,87,109,76,11,33,0,0,0,0,0,0
97,81,108,56,25,52,0,0,0,0,0,0
98,108,145,89,19,56,0,0,0,0,0,0
99,147,174,136,11,38,0,0,0,0,0,0
100,185,211,166,19,45,0,0,0,0,0,0
101,96,106,76,20,30,0,0,0,0,0,0
102,75,95,62,13,33,0,0,0,0,0,0
103,73,93,67,6,26,0,0,0,0,0,0
104,51,68,48,3,20,0,0,0,0,0,0
105,68,92,46,22,46,0,0,0,0,0,0
106,77,98,65,12,33,0,0,0,0,0,0
107,242,260,232,10,28,0,0,0,0,0,0
108,117,142,95,22,47,0,0,0,0,0,0
109,82,109,66,16,43,0,0,0,0,0,0
110,79,103,73,6,30,0,0,0,0,0,0
111,68,84,52,16,32,0,0,0,0,0,0
112,72,93,55,17,38,0,0,0,0,0,0
113,66,87,53,13,34,0,0,0,0,0,0
114,199,294,154,45,140,0,0,0,0,0,0
115,88,113,76,12,37,0,0,0,0,0,0
116,127,157,113,14,44,0,0,0,0,0,0
117,221,258,202,19,56,0,0,0,0,0,0
118,301,322,177,124,145,0,0,0,0,0,0
119,238,309,231,7,78,0,0,0,0,0,0
120,69,103,54,15,49,0,0,0,0,0,0
121,93,133,74,19,59,0,0,0,0,0,0
122,84,128,71,13,57,0,0,0,0,0,0
123,73,116,68,5,48,0,0,0,0,0,0
124,54,80,43,11,37,0,0,0,0,0,0
125,54,78,42,12,36,0,0,0,0,0,0
126,49,73,40,9,33,0,0,0,0,0,0
127,60,93,46,14,47,0,0,0,0,0,0
128,63,85,47,16,38,0,0,0,0,0,0
129,101,140,69,32,71,0,0,0,0,0,0
130,96,137,82,14,55,0,0,0,0,0,0
131,65,83,42,23,41,0,0,0,0,0,0
132,61,82,44,17,38,0,0,0,0,0,0
133,41,60,30,11,30,0,0,0,0,0,0
134,65,95,42,23,53,0,0,0,0,0,0
135,59,86,42,17,44,0,0,0,0,0,0
136,55,79,39,16,40,0,0,0,0,0,0
137,145,185,92,53,93,0,0,0,0,0,0
138,107,136,68,39,68,0,0,0,0,0,0
139,93,129,62,31,67,0,0,0,0,0,0
140,106,139,70,36,69,0,0,0,0,0,0
141,118,160,92,26,68,0,0,0,0,0,0
142,117,159,82,35,77,0,0,0,0,0,0
143,77,102,57,20,45,0,0,0,0,0,0
144,72,100,55,17,45,0,0,0,0,0,0
145,61,79,46,15,33,0,0,0,0,0,0
146,66,97,49,17,48,0,0,0,0,0,0
147,73,106,52,21,54,0,0,0,0,0,0
148,102,148,66,36,82,0,0,0,0,0,0
149,106,155,73,33,82,0,0,0,0,0,0
150,218,292,165,53,127,0,0,0,0,0,0
151,115,161,90,25,71,0,0,0,0,0,0
152,98,132,71,27,61,0,0,0,0,0,0
153,88,130,70,18,60,0,0,0,0,0,0
154,142,207,110,32,97,0,0,0,0,0,0
155,163,218,142,21,76,0,0,0,0,0,0
156,81,107,65,16,42,0,0,0,0,0,0
157,99,125,94,5,31,7,4,0,0.0,0.0,0
158,93,119,72,21,47,0,0,0,0,0,0
159,118,140,97,21,43,0,0,0,0,0,0
160,92,115,70,22,45,69,6,6,0.08695652173913043,1.0,0.16
161,156,209,130,26,79,0,0,0,0,0,0
162,128,157,107,21,50,0,0,0,0,0,0
163,161,200,137,24,63,0,0,0,0,0,0
164,131,164,107,24,57,0,0,0,0,0,0
165,150,191,134,16,57,0,0,0,0,0,0
166,164,205,137,27,68,0,0,0,0,0,0
167,160,207,129,31,78,0,0,0,0,0,0
168,231,265,194,37,71,0,0,0,0,0,0
169,211,258,182,29,76,0,0,0,0,0,0
170,221,260,194,27,66,0,0,0,0,0,0
171,141,189,110,31,79,0,0,0,0,0,0
172,257,317,172,85,145,0,0,0,0,0,0
173,176,227,135,41,92,0,0,0,0,0,0
174,172,220,133,39,87,0,0,0,0,0,0
175,150,179,119,31,60,0,0,0,0,0,0
176,212,271,178,34,93,0,0,0,0,0,0
177,207,251,161,46,90,0,0,0,0,0,0
178,279,324,224,55,100,0,0,0,0,0,0
179,168,205,136,32,69,0,0,0,0,0,0
180,203,244,157,46,87,0,0,0,0,0,0
181,195,230,158,37,72,0,0,0,0,0,0
182,185,220,149,36,71,0,0,0,0,0,0
183,145,167,116,29,51,0,0,0,0,0,0
184,214,259,172,42,87,0,0,0,0,0,0
185,171,215,158,13,57,0,0,0,0,0,0
186,100,138,87,13,51,0,0,0,0,0,0
187,235,297,220,15,77,0,0,0,0,0,0
188,185,217,165,20,52,0,0,0,0,0,0
189,174,222,156,18,66,0,0,0,0,0,0
190,148,170,125,23,45,0,0,0,0,0,0
191,134,167,119,15,48,0,0,0,0,0,0
192,134,179,123,11,56,0,0,0,0,0,0
193,136,173,112,24,61,0,0,0,0,0,0
194,148,197,122,26,75,0,0,0,0,0,0
195,124,165,96,28,69,0,0,0,0,0,0
196,124,176,108,16,68,0,0,0,0,0,0
197,102,144,94,8,50,0,0,0,0,0,0
198,105,145,94,11,51,0,0,0,0,0,0
199,111,145,102,9,43,101,7,7,0.06930693069306931,1.0,0.12962962962962962
200,146,177,125,21,52,0,0,0,0,0,0
201,172,204,154,18,50,0,0,0,0,0,0
202,194,201,151,43,50,0,0,0,0,0,0
203,127,147,105,22,42,0,0,0,0,0,0
204,118,138,104,14,34,0,0,0,0,0,0
205,105,151,82,23,69,0,0,0,0,0,0
206,115,144,100,15,44,0,0,0,0,0,0
207,88,110,75,13,35,0,0,0,0,0,0
208,113,141,100,13,41,0,0,0,0,0,0
209,93,109,78,15,31,0,0,0,0,0,0
210,88,129,85,3,44,22,2,0,0.0,0.0,0
211,82,116,68,14,48,0,0,0,0,0,0
212,95,125,85,10,40,0,0,0,0,0,0
213,102,113,84,18,29,0,0,0,0,0,0
214,77,91,63,14,28,0,0,0,0,0,0
215,82,92,59,23,33,0,0,0,0,0,0
216,83,107,67,16,40,0,0,0,0,0,0
217,73,98,64,9,34,0,0,0,0,0,0
218,80,95,66,14,29,0,0,0,0,0,0
219,105,125,93,12,32,0,0,0,0,0,0
220,72,94,60,12,34,0,0,0,0,0,0
221,24,34,18,6,16,0,0,0,0,0,0
222,70,98,62,8,36,0,0,0,0,0,0
223,104,126,90,14,36,0,0,0,0,0,0
224,84,106,70,14,36,0,0,0,0,0,0
225,53,66,37,16,29,0,0,0,0,0,0
226,60,76,48,12,28,0,0,0,0,0,0
227,65,92,58,7,34,0,0,0,0,0,0
228,64,91,60,4,31,0,0,0,0,0,0
229,63,79,53,10,26,0,0,0,0,0,0
230,59,87,51,8,36,0,0,0,0,0,0
231,45,72,43,2,29,0,0,0,0,0,0
232,73,111,65,8,46,0,0,0,0,0,0
233,95,152,91,4,61,13,5,1,0.07692307692307693,0.2,0.1111111111111111
234,59,80,50,9,30,0,0,0,0,0,0
235,44,71,38,6,33,0,0,0,0,0,0
236,61,91,47,14,44,0,0,0,0,0,0
237,55,83,51,4,32,0,0,0,0,0,0
238,68,87,62,6,25,0,0,0,0,0,0
239,104,132,98,6,34,0,0,0,0,0,0
240,80,103,71,9,32,0,0,0,0,0,0
241,83,123,80,3,43,0,0,0,0,0,0
242,77,108,60,17,48,0,0,0,0,0,0
243,69,105,64,5,41,0,0,0,0,0,0
244,62,81,54,8,27,0,0,0,0,0,0
245,48,70,45,3,25,0,0,0,0,0,0
246,66,92,59,7,33,0,0,0,0,0,0
247,57,76,49,8,27,0,0,0,0,0,0
248,55,79,43,12,36,0,0,0,0,0,0
249,74,96,70,4,26,69,3,3,0.043478260869565216,1.0,0.08333333333333333
250,63,94,60,3,34,0,0,0,0,0,0
251,67,90,58,9,32,0,0,0,0,0,0
252,46,63,41,5,22,0,0,0,0,0,0
253,29,44,26,3,18,0,0,0,0,0,0
254,57,76,49,8,27,0,0,0,0,0,0
255,50,66,41,9,25,0,0,0,0,0,0
256,35,54,33,2,21,0,0,0,0,0,0
257,36,57,31,5,26,0,0,0,0,0,0
258,41,61,35,6,26,0,0,0,0,0,0
259,39,59,34,5,25,0,0,0,0,0,0
260,39,53,32,7,21,0,0,0,0,0,0
261,37,52,33,4,19,0,0,0,0,0,0
262,39,52,32,7,20,0,0,0,0,0,0
263,38,43,32,6,11,5,11,0,0.0,0.0,0
264,43,54,35,8,19,0,0,0,0,0,0
265,34,51,32,2,19,0,0,0,0,0,0
266,38,57,34,4,23,0,0,0,0,0,0
267,60,76,56,4,20,0,0,0,0,0,0
268,57,68,48,9,20,0,0,0,0,0,0
269,39,52,35,4,17,0,0,0,0,0,0
270,73,87,68,5,19,8,3,1,0.125,0.3333333333333333,0.18181818181818182
271,29,42,21,8,21,0,0,0,0,0,0
272,30,44,25,5,19,0,0,0,0,0,0
273,35,43,27,8,16,1,8,0,0.0,0.0,0
274,32,42,29,3,13,0,0,0,0,0,0
275,42,60,40,2,20,0,0,0,0,0,0
276,44,54,39,5,15,5,9,0,0.0,0.0,0
277,42,55,36,6,19,1,3,0,0.0,0.0,0
278,35,55,34,1,21,33,5,5,0.15151515151515152,1.0,0.2631578947368421
279,26,40,22,4,18,0,0,0,0,0,0
280,36,49,30,6,19,0,0,0,0,0,0
281,45,57,37,8,20,0,0,0,0,0,0
282,38,48,29,9,19,0,0,0,0,0,0
283,42,53,38,4,15,2,7,0,0.0,0.0,0
284,71,91,58,13,33,0,0,0,0,0,0
285,60,86,57,3,29,56,1,1,0.017857142857142856,1.0,0.03508771929824561
286,41,60,36,5,24,0,0,0,0,0,0
287,42,56,35,7,21,34,1,1,0.029411764705882353,1.0,0.05714285714285715
288,64,92,60,4,32,0,0,0,0,0,0
289,49,68,46,3,22,6,9,0,0.0,0.0,0
290,58,83,50,8,33,0,0,0,0,0,0
291,70,101,66,4,35,10,13,0,0.0,0.0,0
292,56,90,55,1,35,14,13,1,0.07142857142857142,0.07692307692307693,0.07407407407407408
293,142,177,134,8,43,133,2,2,0.015037593984962405,1.0,0.029629629629629624
294,460,554,452,8,102,0,0,0,0,0,0
295,72,94,65,7,29,71,4,3,0.04225352112676056,0.75,0.08
296,75,98,63,12,35,0,0,0,0,0,0
