Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,194,217,181,13,36,144,125,11,0.0763888888888889,0.088,0.08178438661710037
1,240,258,227,13,31,173,149,12,0.06936416184971098,0.08053691275167785,0.07453416149068322
2,203,233,181,22,52,139,122,13,0.09352517985611511,0.10655737704918032,0.09961685823754789
3,385,429,353,32,76,337,302,19,0.05637982195845697,0.06291390728476821,0.0594679186228482
4,318,359,288,30,71,253,222,10,0.039525691699604744,0.04504504504504504,0.042105263157894736
5,251,287,218,33,69,107,159,18,0.16822429906542055,0.11320754716981132,0.13533834586466165
6,197,218,163,34,55,133,117,9,0.06766917293233082,0.07692307692307693,0.07200000000000001
7,153,182,132,21,50,95,78,8,0.08421052631578947,0.10256410256410256,0.09248554913294797
8,1577,1629,1528,49,101,1574,1531,7,0.0044472681067344345,0.0045721750489875895,0.004508856682769726
9,309,429,285,24,144,259,112,14,0.05405405405405406,0.125,0.07547169811320754
10,875,1226,828,47,398,753,450,71,0.09428950863213811,0.15777777777777777,0.11803823773898586
11,355,525,306,49,219,102,120,5,0.049019607843137254,0.041666666666666664,0.04504504504504504
12,204,248,161,43,87,139,82,6,0.04316546762589928,0.07317073170731707,0.05429864253393666
13,177,224,137,40,87,122,69,12,0.09836065573770492,0.17391304347826086,0.12565445026178013
14,165,204,130,35,74,99,79,12,0.12121212121212122,0.1518987341772152,0.1348314606741573
15,138,168,94,44,74,80,60,14,0.175,0.23333333333333334,0.2
16,169,204,119,50,85,52,85,12,0.23076923076923078,0.1411764705882353,0.17518248175182483
17,142,180,110,32,70,43,61,10,0.23255813953488372,0.16393442622950818,0.1923076923076923
18,114,166,83,31,83,73,41,11,0.1506849315068493,0.2682926829268293,0.19298245614035087
19,116,153,95,21,58,71,50,11,0.15492957746478872,0.22,0.18181818181818182
20,99,146,78,21,68,67,31,11,0.16417910447761194,0.3548387096774194,0.22448979591836735
21,116,170,88,28,82,74,38,6,0.08108108108108109,0.15789473684210525,0.10714285714285714
22,162,200,122,40,78,105,70,15,0.14285714285714285,0.21428571428571427,0.17142857142857143
23,103,133,80,23,53,65,30,5,0.07692307692307693,0.16666666666666666,0.10526315789473684
24,88,125,73,15,52,62,28,5,0.08064516129032258,0.17857142857142858,0.1111111111111111
25,190,224,165,25,59,117,92,7,0.05982905982905983,0.07608695652173914,0.06698564593301436
26,143,159,101,42,58,35,45,2,0.05714285714285714,0.044444444444444446,0.05
27,103,130,76,27,54,64,40,9,0.140625,0.225,0.17307692307692307
28,93,109,65,28,44,49,35,4,0.08163265306122448,0.11428571428571428,0.09523809523809522
29,116,141,95,21,46,72,54,5,0.06944444444444445,0.09259259259259259,0.07936507936507937
30,80,106,57,23,49,46,21,4,0.08695652173913043,0.19047619047619047,0.11940298507462685
31,72,105,52,20,53,41,26,6,0.14634146341463414,0.23076923076923078,0.17910447761194032
32,841,1219,354,487,865,349,44,21,0.06017191977077364,0.4772727272727273,0.10687022900763359
33,113,175,76,37,99,20,21,0,0.0,0.0,0
34,145,216,107,38,109,96,44,11,0.11458333333333333,0.25,0.15714285714285714
35,107,162,69,38,93,63,32,10,0.15873015873015872,0.3125,0.21052631578947367
36,130,186,96,34,90,74,46,8,0.10810810810810811,0.17391304347826086,0.13333333333333333
37,132,179,70,62,109,21,44,4,0.19047619047619047,0.09090909090909091,0.12307692307692307
38,98,122,67,31,55,24,39,3,0.125,0.07692307692307693,0.09523809523809525
39,123,167,95,28,72,83,55,13,0.1566265060240964,0.23636363636363636,0.18840579710144925
40,1091,1537,905,186,632,834,519,95,0.11390887290167866,0.18304431599229287,0.14042867701404285
41,416,585,340,76,245,120,208,19,0.15833333333333333,0.09134615384615384,0.11585365853658536
42,188,255,133,55,122,41,69,12,0.2926829268292683,0.17391304347826086,0.21818181818181817
43,175,231,132,43,99,115,86,15,0.13043478260869565,0.1744186046511628,0.1492537313432836
44,449,569,333,116,236,275,188,29,0.10545454545454545,0.15425531914893617,0.12526997840172788
45,700,968,567,133,401,486,366,55,0.11316872427983539,0.15027322404371585,0.12910798122065728
46,1115,1538,939,176,599,837,581,53,0.06332138590203107,0.09122203098106713,0.07475317348377998
47,598,766,452,146,314,398,269,107,0.26884422110552764,0.39776951672862454,0.3208395802098951
48,352,463,277,75,186,264,166,101,0.38257575757575757,0.608433734939759,0.4697674418604651
49,285,367,203,82,164,196,147,73,0.37244897959183676,0.4965986394557823,0.42565597667638483
50,261,332,188,73,144,166,103,47,0.28313253012048195,0.4563106796116505,0.3494423791821562
51,239,301,177,62,124,162,113,53,0.3271604938271605,0.4690265486725664,0.3854545454545455
52,263,359,200,63,159,188,131,77,0.4095744680851064,0.5877862595419847,0.4827586206896552
53,262,340,187,75,153,170,112,64,0.3764705882352941,0.5714285714285714,0.45390070921985815
54,198,260,147,51,113,125,82,34,0.272,0.4146341463414634,0.3285024154589372
55,207,274,146,61,128,135,83,48,0.35555555555555557,0.5783132530120482,0.44036697247706424
56,266,367,191,75,176,189,102,65,0.3439153439153439,0.6372549019607843,0.4467353951890034
57,228,314,168,60,146,164,87,63,0.38414634146341464,0.7241379310344828,0.50199203187251
58,226,317,169,57,148,168,98,64,0.38095238095238093,0.6530612244897959,0.481203007518797
59,216,301,144,72,157,146,80,66,0.4520547945205479,0.825,0.584070796460177
60,255,354,186,69,168,183,103,67,0.366120218579235,0.6504854368932039,0.46853146853146854
61,264,380,192,72,188,173,100,42,0.24277456647398843,0.42,0.3076923076923077
62,164,227,119,45,108,107,66,43,0.40186915887850466,0.6515151515151515,0.49710982658959535
63,141,169,96,45,73,90,62,41,0.45555555555555555,0.6612903225806451,0.5394736842105263
64,199,279,131,68,148,131,82,62,0.4732824427480916,0.7560975609756098,0.5821596244131456
65,158,211,102,56,109,101,72,41,0.40594059405940597,0.5694444444444444,0.4739884393063584
66,216,311,143,73,168,141,75,51,0.3617021276595745,0.68,0.4722222222222222
67,180,265,127,53,138,121,70,50,0.4132231404958678,0.7142857142857143,0.5235602094240838
68,163,219,119,44,100,105,61,22,0.20952380952380953,0.36065573770491804,0.26506024096385544
69,155,199,113,42,86,107,62,33,0.308411214953271,0.532258064516129,0.3905325443786982
70,118,160,86,32,74,80,52,30,0.375,0.5769230769230769,0.45454545454545453
71,106,153,79,27,74,79,52,33,0.4177215189873418,0.6346153846153846,0.5038167938931297
72,123,167,83,40,84,84,41,33,0.39285714285714285,0.8048780487804879,0.528
73,126,162,85,41,77,90,55,47,0.5222222222222223,0.8545454545454545,0.6482758620689656
74,138,201,96,42,105,98,55,37,0.37755102040816324,0.6727272727272727,0.48366013071895425
75,135,181,101,34,80,99,61,45,0.45454545454545453,0.7377049180327869,0.5625
76,80,112,58,22,54,52,32,18,0.34615384615384615,0.5625,0.4285714285714286
77,73,99,51,22,48,47,27,14,0.2978723404255319,0.5185185185185185,0.37837837837837834
78,92,134,67,25,67,62,39,19,0.3064516129032258,0.48717948717948717,0.37623762376237624
79,92,127,65,27,62,63,41,33,0.5238095238095238,0.8048780487804879,0.6346153846153846
80,98,133,66,32,67,64,35,24,0.375,0.6857142857142857,0.4848484848484848
81,75,105,49,26,56,46,25,17,0.3695652173913043,0.68,0.4788732394366197
82,102,137,69,33,68,66,42,26,0.3939393939393939,0.6190476190476191,0.48148148148148145
83,74,92,49,25,43,46,28,17,0.3695652173913043,0.6071428571428571,0.45945945945945943
84,62,90,45,17,45,52,25,19,0.36538461538461536,0.76,0.49350649350649345
85,78,108,53,25,55,54,36,27,0.5,0.75,0.6
86,61,86,37,24,49,35,19,12,0.34285714285714286,0.631578947368421,0.4444444444444445
87,278,394,191,87,203,184,111,43,0.23369565217391305,0.38738738738738737,0.29152542372881357
88,393,546,293,100,253,289,202,98,0.3391003460207612,0.48514851485148514,0.39918533604887985
89,187,265,138,49,127,135,85,60,0.4444444444444444,0.7058823529411765,0.5454545454545455
90,332,487,244,88,243,253,141,86,0.33992094861660077,0.6099290780141844,0.4365482233502538
91,342,515,249,93,266,245,134,68,0.27755102040816326,0.5074626865671642,0.35883905013192613
