Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,15,51,59,14,10,10,0.7142857142857143,1.0,0.8333333333333333
1,67,76,15,52,61,14,6,6,0.42857142857142855,1.0,0.6
2,60,68,13,47,55,12,7,7,0.5833333333333334,1.0,0.7368421052631579
3,103,127,17,86,110,16,6,6,0.375,1.0,0.5454545454545454
4,113,114,13,100,101,12,1,1,0.08333333333333333,1.0,0.15384615384615385
5,83,97,19,64,78,0,0,0,0,0,0
6,58,63,7,51,56,6,1,1,0.16666666666666666,1.0,0.2857142857142857
7,36,50,6,30,44,5,2,2,0.4,1.0,0.5714285714285715
8,115,130,5,110,125,4,2,2,0.5,1.0,0.6666666666666666
9,150,185,41,109,144,40,8,8,0.2,1.0,0.33333333333333337
10,480,597,192,288,405,191,60,60,0.31413612565445026,1.0,0.4780876494023904
11,185,232,66,119,166,0,0,0,0,0,0
12,84,103,31,53,72,30,1,1,0.03333333333333333,1.0,0.06451612903225806
13,68,93,21,47,72,20,2,2,0.1,1.0,0.18181818181818182
14,46,70,15,31,55,0,0,0,0,0,0
15,43,60,19,24,41,18,6,6,0.3333333333333333,1.0,0.5
16,55,70,19,36,51,0,0,0,0,0,0
17,51,67,21,30,46,0,0,0,0,0,0
18,50,73,26,24,47,25,6,6,0.24,1.0,0.3870967741935484
19,40,59,17,23,42,16,4,4,0.25,1.0,0.4
20,46,74,26,20,48,25,7,7,0.28,1.0,0.43750000000000006
21,51,75,26,25,49,25,2,2,0.08,1.0,0.14814814814814814
22,55,79,20,35,59,19,4,4,0.21052631578947367,1.0,0.34782608695652173
23,43,53,24,19,29,23,4,4,0.17391304347826086,1.0,0.29629629629629634
24,44,63,20,24,43,19,4,4,0.21052631578947367,1.0,0.34782608695652173
25,47,65,15,32,50,14,2,2,0.14285714285714285,1.0,0.25
26,42,53,16,26,37,0,0,0,0,0,0
27,38,46,18,20,28,17,6,6,0.35294117647058826,1.0,0.5217391304347826
28,29,39,11,18,28,10,2,2,0.2,1.0,0.33333333333333337
29,41,51,17,24,34,16,2,2,0.125,1.0,0.2222222222222222
30,29,45,16,13,29,15,2,2,0.13333333333333333,1.0,0.23529411764705882
31,29,42,13,16,29,12,5,5,0.4166666666666667,1.0,0.5882352941176471
32,323,339,303,20,36,302,9,9,0.029801324503311258,1.0,0.05787781350482315
33,44,64,24,20,40,0,0,0,0,0,0
34,71,112,44,27,68,43,8,8,0.18604651162790697,1.0,0.3137254901960785
35,42,57,20,22,37,19,5,5,0.2631578947368421,1.0,0.4166666666666667
36,40,58,11,29,47,10,5,5,0.5,1.0,0.6666666666666666
37,60,71,28,32,43,0,0,0,0,0,0
38,33,39,10,23,29,0,0,0,0,0,0
39,56,76,28,28,48,27,9,9,0.3333333333333333,1.0,0.5
40,552,749,266,286,483,265,63,63,0.23773584905660378,1.0,0.38414634146341464
41,182,225,85,97,140,0,0,0,0,0,0
42,79,104,50,29,54,0,0,0,0,0,0
43,68,86,30,38,56,29,3,3,0.10344827586206896,1.0,0.1875
44,158,222,67,91,155,66,12,12,0.18181818181818182,1.0,0.3076923076923077
45,329,431,171,158,260,170,30,30,0.17647058823529413,1.0,0.3
46,514,673,263,251,410,262,2,2,0.007633587786259542,1.0,0.015151515151515152
47,263,313,137,126,176,136,81,81,0.5955882352941176,1.0,0.7465437788018433
48,200,248,141,59,107,140,83,83,0.5928571428571429,1.0,0.7443946188340806
49,150,176,104,46,72,103,61,61,0.5922330097087378,1.0,0.7439024390243902
50,123,154,69,54,85,68,43,43,0.6323529411764706,1.0,0.7747747747747747
51,120,142,73,47,69,72,42,42,0.5833333333333334,1.0,0.7368421052631579
52,149,192,111,38,81,110,68,68,0.6181818181818182,1.0,0.7640449438202247
53,130,162,91,39,71,90,58,58,0.6444444444444445,1.0,0.7837837837837839
54,91,116,58,33,58,57,32,32,0.5614035087719298,1.0,0.7191011235955056
55,98,130,68,30,62,67,42,42,0.6268656716417911,1.0,0.7706422018348624
56,147,188,111,36,77,110,59,59,0.5363636363636364,1.0,0.6982248520710059
57,138,184,111,27,73,110,60,60,0.5454545454545454,1.0,0.7058823529411764
58,137,170,103,34,67,102,61,61,0.5980392156862745,1.0,0.7484662576687116
59,129,166,111,18,55,110,62,62,0.5636363636363636,1.0,0.7209302325581396
60,153,207,120,33,87,119,62,62,0.5210084033613446,1.0,0.6850828729281768
61,132,173,81,51,92,80,40,40,0.5,1.0,0.6666666666666666
62,91,120,71,20,49,70,40,40,0.5714285714285714,1.0,0.7272727272727273
63,77,91,59,18,32,58,37,37,0.6379310344827587,1.0,0.7789473684210527
64,110,138,91,19,47,90,55,55,0.6111111111111112,1.0,0.7586206896551725
65,76,92,58,18,34,57,37,37,0.6491228070175439,1.0,0.7872340425531915
66,117,161,94,23,67,93,44,44,0.4731182795698925,1.0,0.6423357664233577
67,104,139,83,21,56,82,47,47,0.573170731707317,1.0,0.7286821705426356
68,78,109,46,32,63,45,20,20,0.4444444444444444,1.0,0.6153846153846153
69,83,107,58,25,49,57,30,30,0.5263157894736842,1.0,0.6896551724137931
70,64,84,48,16,36,47,29,29,0.6170212765957447,1.0,0.763157894736842
71,65,82,51,14,31,50,31,31,0.62,1.0,0.7654320987654321
72,76,101,69,7,32,68,30,30,0.4411764705882353,1.0,0.6122448979591837
73,79,96,71,8,25,70,42,42,0.6,1.0,0.7499999999999999
74,77,105,63,14,42,62,28,28,0.45161290322580644,1.0,0.6222222222222222
75,85,106,71,14,35,70,43,43,0.6142857142857143,1.0,0.7610619469026549
76,44,63,34,10,29,33,17,17,0.5151515151515151,1.0,0.6799999999999999
77,41,58,32,9,26,31,13,13,0.41935483870967744,1.0,0.5909090909090909
78,48,62,31,17,31,30,18,18,0.6,1.0,0.7499999999999999
79,58,73,49,9,24,48,33,33,0.6875,1.0,0.8148148148148148
80,58,78,46,12,32,45,23,23,0.5111111111111111,1.0,0.676470588235294
81,42,59,34,8,25,33,17,17,0.5151515151515151,1.0,0.6799999999999999
82,54,75,43,11,32,42,21,21,0.5,1.0,0.6666666666666666
83,39,52,29,10,23,28,14,14,0.5,1.0,0.6666666666666666
84,45,58,40,5,18,43,21,18,0.4186046511627907,0.8571428571428571,0.5625000000000001
85,47,61,42,5,19,41,23,23,0.5609756097560976,1.0,0.71875
86,29,39,23,6,16,22,11,11,0.5,1.0,0.6666666666666666
87,146,208,106,40,102,105,35,35,0.3333333333333333,1.0,0.5
88,234,305,185,49,120,184,78,78,0.42391304347826086,1.0,0.5954198473282443
89,119,154,100,19,54,99,56,56,0.5656565656565656,1.0,0.7225806451612903
90,208,283,169,39,114,168,75,75,0.44642857142857145,1.0,0.617283950617284
91,193,264,138,55,126,137,57,57,0.41605839416058393,1.0,0.5876288659793815
92,133,178,119,14,59,118,4,4,0.03389830508474576,1.0,0.06557377049180328
93,108,136,89,19,47,0,0,0,0,0,0
94,127,165,111,16,54,110,7,7,0.06363636363636363,1.0,0.11965811965811964
95,106,133,74,32,59,73,6,6,0.0821917808219178,1.0,0.1518987341772152
96,87,109,77,10,32,76,39,39,0.5131578947368421,1.0,0.6782608695652175
97,81,108,57,24,51,56,29,29,0.5178571428571429,1.0,0.6823529411764707
98,108,145,90,18,55,89,35,35,0.39325842696629215,1.0,0.564516129032258
99,147,174,136,11,38,0,0,0,0,0,0
100,185,211,167,18,44,166,124,124,0.7469879518072289,1.0,0.8551724137931034
101,96,106,77,19,29,76,50,50,0.6578947368421053,1.0,0.7936507936507937
102,75,95,63,12,32,62,4,4,0.06451612903225806,1.0,0.12121212121212122
103,73,93,68,5,25,67,40,40,0.5970149253731343,1.0,0.7476635514018691
104,51,68,50,1,18,51,31,28,0.5490196078431373,0.9032258064516129,0.6829268292682927
105,68,92,47,21,45,46,24,24,0.5217391304347826,1.0,0.6857142857142856
106,77,98,66,11,32,65,38,38,0.5846153846153846,1.0,0.7378640776699029
107,242,260,234,8,26,240,217,205,0.8541666666666666,0.9447004608294931,0.8971553610503281
108,117,142,96,21,46,95,60,60,0.631578947368421,1.0,0.7741935483870968
109,82,109,67,15,42,66,34,34,0.5151515151515151,1.0,0.6799999999999999
110,79,103,74,5,29,73,3,3,0.0410958904109589,1.0,0.07894736842105263
111,68,84,53,15,31,52,33,33,0.6346153846153846,1.0,0.7764705882352941
112,72,93,56,16,37,55,32,32,0.5818181818181818,1.0,0.735632183908046
113,66,87,54,12,33,53,25,25,0.4716981132075472,1.0,0.641025641025641
114,199,294,155,44,139,154,49,49,0.3181818181818182,1.0,0.4827586206896552
115,88,113,77,11,36,76,31,31,0.40789473684210525,1.0,0.5794392523364486
116,127,157,114,13,43,113,1,1,0.008849557522123894,1.0,0.017543859649122806
117,221,258,203,18,55,202,145,145,0.7178217821782178,1.0,0.8357348703170029
118,301,322,178,123,144,177,108,108,0.6101694915254238,1.0,0.7578947368421053
119,238,309,232,6,77,11,39,5,0.45454545454545453,0.1282051282051282,0.19999999999999996
120,69,103,55,14,48,54,18,18,0.3333333333333333,1.0,0.5
121,93,133,75,18,58,74,32,32,0.43243243243243246,1.0,0.6037735849056604
122,84,128,72,12,56,71,25,25,0.352112676056338,1.0,0.5208333333333333
123,73,116,70,3,46,69,21,3,0.043478260869565216,0.14285714285714285,0.06666666666666667
124,54,80,45,9,35,45,17,16,0.35555555555555557,0.9411764705882353,0.5161290322580645
125,54,78,43,11,35,42,15,15,0.35714285714285715,1.0,0.5263157894736842
126,49,73,41,8,32,40,1,1,0.025,1.0,0.04878048780487806
127,60,93,47,13,46,46,11,11,0.2391304347826087,1.0,0.3859649122807018
128,63,85,48,15,37,47,1,1,0.02127659574468085,1.0,0.04166666666666667
129,101,140,70,31,70,69,2,2,0.028985507246376812,1.0,0.05633802816901409
130,96,137,83,13,54,82,20,20,0.24390243902439024,1.0,0.39215686274509803
131,65,83,43,22,40,42,1,1,0.023809523809523808,1.0,0.046511627906976744
132,61,82,45,16,37,44,3,3,0.06818181818181818,1.0,0.1276595744680851
133,41,60,31,10,29,30,0,0,0.0,0,0
134,65,95,43,22,52,42,13,13,0.30952380952380953,1.0,0.4727272727272727
135,59,86,43,16,43,42,19,19,0.4523809523809524,1.0,0.6229508196721312
136,55,79,40,15,39,39,14,14,0.358974358974359,1.0,0.5283018867924528
137,145,185,93,52,92,92,6,6,0.06521739130434782,1.0,0.12244897959183672
138,107,136,69,38,67,68,29,29,0.4264705882352941,1.0,0.5979381443298969
139,93,129,63,30,66,62,26,26,0.41935483870967744,1.0,0.5909090909090909
140,106,139,71,35,68,70,38,38,0.5428571428571428,1.0,0.7037037037037037
141,118,160,93,25,67,92,5,5,0.05434782608695652,1.0,0.10309278350515463
142,117,159,83,34,76,82,6,6,0.07317073170731707,1.0,0.13636363636363635
143,77,102,58,19,44,57,26,26,0.45614035087719296,1.0,0.6265060240963854
144,72,100,56,16,44,55,30,30,0.5454545454545454,1.0,0.7058823529411764
145,61,79,47,14,32,46,0,0,0.0,0,0
146,66,97,50,16,47,49,24,24,0.4897959183673469,1.0,0.6575342465753424
147,73,106,53,20,53,52,24,24,0.46153846153846156,1.0,0.631578947368421
148,102,148,67,35,81,66,30,30,0.45454545454545453,1.0,0.625
149,106,155,74,32,81,73,31,31,0.4246575342465753,1.0,0.5961538461538461
150,218,292,165,53,127,0,0,0,0,0,0
151,115,161,90,25,71,0,0,0,0,0,0
152,98,132,72,26,60,71,27,27,0.38028169014084506,1.0,0.5510204081632654
153,88,130,71,17,59,70,27,27,0.38571428571428573,1.0,0.5567010309278351
154,141,207,111,30,96,110,50,50,0.45454545454545453,1.0,0.625
155,163,218,143,20,75,142,69,69,0.4859154929577465,1.0,0.6540284360189573
156,81,107,66,15,41,65,33,33,0.5076923076923077,1.0,0.673469387755102
157,99,125,94,5,31,93,60,60,0.6451612903225806,1.0,0.7843137254901961
158,93,119,73,20,46,72,39,39,0.5416666666666666,1.0,0.7027027027027027
159,118,140,98,20,42,97,55,55,0.5670103092783505,1.0,0.7236842105263158
160,92,115,70,22,45,69,6,6,0.08695652173913043,1.0,0.16
161,156,209,131,25,78,130,44,44,0.3384615384615385,1.0,0.5057471264367815
162,128,157,108,20,49,107,38,38,0.35514018691588783,1.0,0.5241379310344827
163,161,200,138,23,62,137,3,3,0.021897810218978103,1.0,0.04285714285714286
164,131,164,108,23,56,107,21,21,0.19626168224299065,1.0,0.328125
165,149,191,135,14,56,134,68,68,0.5074626865671642,1.0,0.6732673267326732
166,164,205,138,26,67,137,57,57,0.41605839416058393,1.0,0.5876288659793815
167,160,207,130,30,77,129,46,46,0.35658914728682173,1.0,0.5257142857142858
168,231,265,196,35,69,198,106,95,0.4797979797979798,0.8962264150943396,0.625
169,211,258,184,27,74,188,125,44,0.23404255319148937,0.352,0.28115015974440893
170,221,260,196,25,64,203,137,48,0.23645320197044334,0.35036496350364965,0.2823529411764706
171,141,189,111,30,78,110,15,15,0.13636363636363635,1.0,0.24000000000000002
172,257,317,173,84,144,172,69,69,0.4011627906976744,1.0,0.5726141078838174
173,176,227,136,40,91,135,59,59,0.43703703703703706,1.0,0.6082474226804123
174,172,220,134,38,86,133,59,59,0.44360902255639095,1.0,0.6145833333333334
175,150,179,120,30,59,119,45,45,0.37815126050420167,1.0,0.5487804878048781
176,212,271,179,33,92,178,69,69,0.38764044943820225,1.0,0.5587044534412956
177,207,251,162,45,89,161,41,41,0.2546583850931677,1.0,0.4059405940594059
178,279,324,225,54,99,224,71,71,0.3169642857142857,1.0,0.48135593220338985
179,168,205,137,31,68,136,37,37,0.27205882352941174,1.0,0.4277456647398844
180,203,244,158,45,86,157,73,73,0.46496815286624205,1.0,0.6347826086956522
181,195,230,159,36,71,158,0,0,0.0,0,0
182,185,220,150,35,70,149,44,44,0.2953020134228188,1.0,0.45595854922279794
183,145,167,117,28,50,116,27,27,0.23275862068965517,1.0,0.3776223776223776
184,214,259,173,41,86,172,41,41,0.23837209302325582,1.0,0.38497652582159625
185,171,215,159,12,56,158,62,62,0.3924050632911392,1.0,0.5636363636363637
186,99,138,87,12,51,0,0,0,0,0,0
187,235,297,222,13,75,235,58,10,0.0425531914893617,0.1724137931034483,0.06825938566552901
188,185,217,167,18,50,168,120,63,0.375,0.525,0.43750000000000006
189,174,222,158,16,64,167,100,53,0.31736526946107785,0.53,0.39700374531835214
190,148,170,127,21,43,126,95,30,0.23809523809523808,0.3157894736842105,0.2714932126696833
191,134,167,121,13,46,123,54,52,0.42276422764227645,0.9629629629629629,0.5875706214689266
192,134,179,124,10,55,123,52,52,0.42276422764227645,1.0,0.5942857142857143
193,136,173,113,23,60,112,37,37,0.33035714285714285,1.0,0.4966442953020134
194,148,197,123,25,74,122,41,41,0.3360655737704918,1.0,0.5030674846625767
195,124,165,97,27,68,96,32,32,0.3333333333333333,1.0,0.5
196,124,176,109,15,67,108,4,4,0.037037037037037035,1.0,0.07142857142857142
197,102,144,95,7,49,94,40,40,0.425531914893617,1.0,0.5970149253731344
198,105,145,95,10,50,94,31,31,0.32978723404255317,1.0,0.496
199,111,145,102,9,43,101,12,12,0.1188118811881188,1.0,0.21238938053097342
200,146,177,126,20,51,125,7,7,0.056,1.0,0.10606060606060606
201,172,204,155,17,49,154,23,23,0.14935064935064934,1.0,0.2598870056497175
202,194,201,152,42,49,151,52,52,0.3443708609271523,1.0,0.5123152709359605
203,127,147,107,20,40,118,36,18,0.15254237288135594,0.5,0.23376623376623376
204,118,138,105,13,33,104,37,37,0.3557692307692308,1.0,0.524822695035461
205,105,151,84,21,67,100,30,7,0.07,0.23333333333333334,0.1076923076923077
206,115,144,102,13,42,107,45,38,0.35514018691588783,0.8444444444444444,0.5
207,88,110,77,11,33,78,41,24,0.3076923076923077,0.5853658536585366,0.40336134453781514
208,113,141,102,11,39,102,31,4,0.0392156862745098,0.12903225806451613,0.06015037593984963
