Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,182,35,35,13,126,0,0.0,0.0,0
1,258,258,222,36,36,70,149,8,0.11428571428571428,0.053691275167785234,0.0730593607305936
2,233,233,176,57,57,70,114,8,0.11428571428571428,0.07017543859649122,0.08695652173913045
3,429,429,345,84,84,18,288,2,0.1111111111111111,0.006944444444444444,0.013071895424836602
4,359,359,290,69,69,22,224,4,0.18181818181818182,0.017857142857142856,0.03252032520325203
5,287,287,215,72,72,16,145,4,0.25,0.027586206896551724,0.049689440993788817
6,218,218,160,58,58,10,88,2,0.2,0.022727272727272728,0.04081632653061225
7,182,182,139,43,43,8,84,1,0.125,0.011904761904761904,0.021739130434782605
8,1629,1629,1549,80,80,24,1499,1,0.041666666666666664,0.00066711140760507,0.0013131976362442544
9,429,429,323,106,106,163,184,1,0.006134969325153374,0.005434782608695652,0.005763688760806916
10,1226,1226,929,297,297,547,572,4,0.007312614259597806,0.006993006993006993,0.0071492403932082215
11,525,525,350,175,175,55,213,2,0.03636363636363636,0.009389671361502348,0.014925373134328358
12,248,248,174,74,74,9,74,1,0.1111111111111111,0.013513513513513514,0.024096385542168676
13,224,224,157,67,67,14,92,2,0.14285714285714285,0.021739130434782608,0.03773584905660378
14,204,204,152,52,52,42,83,1,0.023809523809523808,0.012048192771084338,0.016
15,168,168,108,60,60,10,55,2,0.2,0.03636363636363636,0.061538461538461535
16,204,204,143,61,61,9,91,2,0.2222222222222222,0.02197802197802198,0.04
17,180,180,139,41,41,49,80,5,0.10204081632653061,0.0625,0.07751937984496124
18,166,166,136,30,30,48,85,5,0.10416666666666667,0.058823529411764705,0.07518796992481203
19,153,153,127,26,26,38,66,3,0.07894736842105263,0.045454545454545456,0.057692307692307696
20,146,146,122,24,24,32,66,7,0.21875,0.10606060606060606,0.14285714285714285
21,170,170,142,28,28,43,69,3,0.06976744186046512,0.043478260869565216,0.05357142857142857
22,200,200,161,39,39,56,93,2,0.03571428571428571,0.021505376344086023,0.026845637583892617
23,133,133,111,22,22,48,72,1,0.020833333333333332,0.013888888888888888,0.016666666666666666
24,125,125,101,24,24,35,57,5,0.14285714285714285,0.08771929824561403,0.10869565217391304
25,224,224,193,31,31,42,108,0,0.0,0.0,0
26,159,159,135,24,24,6,73,0,0.0,0.0,0
27,130,130,99,31,31,40,55,0,0.0,0.0,0
28,109,109,90,19,19,27,40,2,0.07407407407407407,0.05,0.05970149253731344
29,141,141,119,22,22,35,62,3,0.08571428571428572,0.04838709677419355,0.061855670103092786
30,106,106,85,21,21,21,49,2,0.09523809523809523,0.04081632653061224,0.05714285714285714
31,105,105,86,19,19,1,30,0,0.0,0.0,0
32,1219,1219,1194,25,25,56,1181,1,0.017857142857142856,0.000846740050804403,0.001616814874696847
33,175,175,116,59,59,5,52,0,0.0,0.0,0
34,216,216,171,45,45,63,82,5,0.07936507936507936,0.06097560975609756,0.06896551724137931
35,162,162,116,46,46,10,47,0,0.0,0.0,0
36,186,186,149,37,37,45,63,1,0.022222222222222223,0.015873015873015872,0.018518518518518514
37,179,179,121,58,58,5,71,1,0.2,0.014084507042253521,0.02631578947368421
38,122,122,98,24,24,7,61,3,0.42857142857142855,0.04918032786885246,0.08823529411764706
39,167,167,131,36,36,8,70,0,0.0,0.0,0
40,1537,1537,1464,73,73,24,1000,5,0.20833333333333334,0.005,0.009765625
41,585,585,464,121,121,31,284,1,0.03225806451612903,0.0035211267605633804,0.006349206349206348
42,255,255,180,75,75,13,117,1,0.07692307692307693,0.008547008547008548,0.015384615384615387
43,231,231,166,65,65,10,107,0,0.0,0.0,0
44,569,569,430,139,139,19,250,3,0.15789473684210525,0.012,0.022304832713754646
45,968,968,755,213,213,322,494,7,0.021739130434782608,0.01417004048582996,0.01715686274509804
46,1538,1538,1257,281,281,51,814,15,0.29411764705882354,0.018427518427518427,0.03468208092485549
47,766,766,547,219,219,72,390,12,0.16666666666666666,0.03076923076923077,0.05194805194805195
48,463,463,326,137,137,32,233,6,0.1875,0.02575107296137339,0.04528301886792453
49,367,367,245,122,122,16,180,2,0.125,0.011111111111111112,0.020408163265306124
50,332,332,225,107,107,19,148,1,0.05263157894736842,0.006756756756756757,0.011976047904191617
51,301,301,210,91,91,7,151,0,0.0,0.0,0
52,359,359,275,84,84,141,186,4,0.028368794326241134,0.021505376344086023,0.024464831804281346
53,340,340,264,76,76,7,170,2,0.2857142857142857,0.011764705882352941,0.022598870056497175
54,260,260,211,49,49,95,130,29,0.30526315789473685,0.2230769230769231,0.2577777777777778
55,274,274,216,58,58,109,144,35,0.3211009174311927,0.24305555555555555,0.2766798418972332
56,367,367,289,78,78,150,204,8,0.05333333333333334,0.0392156862745098,0.04519774011299435
57,314,314,245,69,69,10,170,0,0.0,0.0,0
58,317,317,261,56,56,131,190,4,0.030534351145038167,0.021052631578947368,0.024922118380062305
59,301,301,232,69,69,11,162,2,0.18181818181818182,0.012345679012345678,0.02312138728323699
60,354,354,284,70,70,138,194,5,0.036231884057971016,0.02577319587628866,0.030120481927710843
61,380,380,311,69,69,135,205,2,0.014814814814814815,0.00975609756097561,0.011764705882352941
62,227,227,182,45,45,9,117,0,0.0,0.0,0
63,169,169,134,35,35,8,92,2,0.25,0.021739130434782608,0.04
64,279,279,217,62,62,11,150,3,0.2727272727272727,0.02,0.03726708074534161
