Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,66,74,14,52,60,0,0,0,0,0,0
1,67,76,15,52,61,14,6,6,0.42857142857142855,1.0,0.6
2,60,68,13,47,55,12,7,7,0.5833333333333334,1.0,0.7368421052631579
3,103,127,16,87,111,0,0,0,0,0,0
4,113,113,9,104,104,0,0,0,0,0,0
5,80,92,16,64,76,0,0,0,0,0,0
6,58,63,7,51,56,0,0,0,0,0,0
7,37,46,5,32,41,0,0,0,0,0,0
8,110,121,3,107,118,0,0,0,0,0,0
9,131,148,26,105,122,25,1,1,0.04,1.0,0.07692307692307693
10,450,527,137,313,390,0,0,0,0,0,0
11,170,195,35,135,160,0,0,0,0,0,0
12,82,93,24,58,69,0,0,0,0,0,0
13,62,77,10,52,67,0,0,0,0,0,0
14,31,41,4,27,37,0,0,0,0,0,0
15,43,53,15,28,38,0,0,0,0,0,0
16,49,54,13,36,41,0,0,0,0,0,0
17,47,51,17,30,34,16,5,5,0.3125,1.0,0.47619047619047616
18,37,44,7,30,37,6,1,1,0.16666666666666666,1.0,0.2857142857142857
19,32,34,10,22,24,9,3,3,0.3333333333333333,1.0,0.5
20,32,41,14,18,27,13,7,7,0.5384615384615384,1.0,0.7000000000000001
21,38,45,8,30,37,7,1,1,0.14285714285714285,1.0,0.25
22,49,53,4,45,49,3,1,1,0.3333333333333333,1.0,0.5
23,41,43,16,25,27,15,0,0,0.0,0,0
24,35,39,10,25,29,9,4,4,0.4444444444444444,1.0,0.6153846153846153
25,41,45,6,35,39,5,0,0,0.0,0,0
26,40,37,8,32,29,0,0,0,0,0,0
27,34,35,3,31,32,0,0,0,0,0,0
28,27,29,8,19,21,7,2,2,0.2857142857142857,1.0,0.4444444444444445
29,33,32,7,26,25,6,2,2,0.3333333333333333,1.0,0.5
30,21,25,6,15,19,5,1,1,0.2,1.0,0.33333333333333337
31,36,41,10,26,31,0,0,0,0,0,0
32,51,56,2,49,54,1,1,1,1.0,1.0,1.0
33,63,84,25,38,59,0,0,0,0,0,0
34,62,81,15,47,66,14,5,5,0.35714285714285715,1.0,0.5263157894736842
35,47,56,13,34,43,0,0,0,0,0,0
36,43,61,9,34,52,8,0,0,0.0,0,0
37,71,75,18,53,57,0,0,0,0,0,0
38,34,35,4,30,31,0,0,0,0,0,0
39,45,47,13,32,34,0,0,0,0,0,0
40,305,303,53,252,250,0,0,0,0,0,0
41,208,211,75,133,136,0,0,0,0,0,0
42,68,75,21,47,54,0,0,0,0,0,0
43,66,72,13,53,59,0,0,0,0,0,0
44,122,144,24,98,120,0,0,0,0,0,0
45,281,318,98,183,220,0,0,0,0,0,0
46,398,464,119,279,345,0,0,0,0,0,0
47,255,274,103,152,171,0,0,0,0,0,0
48,177,199,92,85,107,0,0,0,0,0,0
49,140,152,62,78,90,0,0,0,0,0,0
50,121,138,50,71,88,0,0,0,0,0,0
51,119,132,56,63,76,0,0,0,0,0,0
52,134,154,55,79,99,54,3,3,0.05555555555555555,1.0,0.10526315789473684
53,144,167,71,73,96,0,0,0,0,0,0
54,93,102,42,51,60,41,28,28,0.6829268292682927,1.0,0.8115942028985507
55,101,113,49,52,64,48,32,32,0.6666666666666666,1.0,0.8
56,136,151,53,83,98,52,6,6,0.11538461538461539,1.0,0.20689655172413793
57,122,136,59,63,77,0,0,0,0,0,0
58,124,132,53,71,79,52,1,1,0.019230769230769232,1.0,0.03773584905660378
59,125,134,62,63,72,0,0,0,0,0,0
60,124,134,51,73,83,50,2,2,0.04,1.0,0.07692307692307693
61,123,138,41,82,97,40,0,0,0.0,0,0
62,89,101,39,50,62,0,0,0,0,0,0
63,83,86,49,34,37,0,0,0,0,0,0
64,117,128,58,59,70,0,0,0,0,0,0
65,93,98,49,44,49,48,40,40,0.8333333333333334,1.0,0.9090909090909091
66,125,139,47,78,92,46,28,28,0.6086956521739131,1.0,0.7567567567567568
67,97,110,41,56,69,40,29,29,0.725,1.0,0.8405797101449275
68,72,79,25,47,54,24,15,15,0.625,1.0,0.7692307692307693
69,78,83,35,43,48,0,0,0,0,0,0
70,66,72,29,37,43,0,0,0,0,0,0
71,57,60,23,34,37,0,0,0,0,0,0
72,73,83,38,35,45,37,23,23,0.6216216216216216,1.0,0.7666666666666667
73,85,91,50,35,41,0,0,0,0,0,0
74,73,83,33,40,50,0,0,0,0,0,0
75,84,92,44,40,48,43,37,37,0.8604651162790697,1.0,0.9249999999999999
76,44,52,26,18,26,25,4,4,0.16,1.0,0.2758620689655173
77,37,44,15,22,29,14,10,10,0.7142857142857143,1.0,0.8333333333333333
78,0,54,0,0,54,0,0,0,0,0,0
79,66,71,36,30,35,35,28,28,0.8,1.0,0.888888888888889
80,63,61,26,37,35,25,20,20,0.8,1.0,0.888888888888889
