Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,194,217,181,13,36,79,125,11,0.13924050632911392,0.088,0.10784313725490195
1,240,258,227,13,31,79,149,12,0.1518987341772152,0.08053691275167785,0.10526315789473685
2,203,233,181,22,52,16,122,6,0.375,0.04918032786885246,0.08695652173913043
3,385,429,353,32,76,130,302,19,0.14615384615384616,0.06291390728476821,0.08796296296296297
4,319,359,293,26,66,35,226,8,0.22857142857142856,0.035398230088495575,0.061302681992337155
5,258,287,225,33,62,55,164,19,0.34545454545454546,0.11585365853658537,0.17351598173515984
6,199,218,166,33,52,90,120,9,0.1,0.075,0.08571428571428572
7,156,182,144,12,38,55,90,16,0.2909090909090909,0.17777777777777778,0.2206896551724138
8,1593,1629,1555,38,74,138,1553,8,0.057971014492753624,0.0051513200257566,0.009461856889414547
9,345,429,326,19,103,185,146,6,0.032432432432432434,0.0410958904109589,0.036253776435045314
10,927,1226,892,35,334,554,511,59,0.10649819494584838,0.11545988258317025,0.11079812206572769
11,384,525,342,42,183,58,148,5,0.08620689655172414,0.033783783783783786,0.04854368932038835
12,219,248,179,40,69,101,96,5,0.04950495049504951,0.052083333333333336,0.05076142131979696
13,197,224,162,35,62,85,77,8,0.09411764705882353,0.1038961038961039,0.09876543209876544
14,192,204,164,28,40,76,107,15,0.19736842105263158,0.14018691588785046,0.16393442622950818
15,150,168,118,32,50,81,77,10,0.12345679012345678,0.12987012987012986,0.12658227848101264
16,186,204,153,33,51,82,91,11,0.13414634146341464,0.12087912087912088,0.12716763005780346
17,167,180,143,24,37,55,85,22,0.4,0.25882352941176473,0.3142857142857143
18,156,166,133,23,33,45,82,17,0.37777777777777777,0.2073170731707317,0.2677165354330709
19,145,153,130,15,23,13,77,4,0.3076923076923077,0.05194805194805195,0.0888888888888889
20,136,146,123,13,23,35,66,11,0.3142857142857143,0.16666666666666666,0.21782178217821782
21,154,170,141,13,29,43,69,9,0.20930232558139536,0.13043478260869565,0.16071428571428573
22,190,200,168,22,32,66,94,11,0.16666666666666666,0.11702127659574468,0.1375
23,126,133,108,18,25,45,47,5,0.1111111111111111,0.10638297872340426,0.10869565217391305
24,109,125,100,9,25,35,50,5,0.14285714285714285,0.1,0.11764705882352941
25,212,224,195,17,29,47,115,9,0.19148936170212766,0.0782608695652174,0.11111111111111112
26,159,159,133,26,26,6,67,0,0.0,0.0,0
27,121,130,100,21,30,23,58,4,0.17391304347826086,0.06896551724137931,0.09876543209876543
28,109,109,92,17,17,31,56,5,0.16129032258064516,0.08928571428571429,0.1149425287356322
29,135,141,122,13,19,30,79,8,0.26666666666666666,0.10126582278481013,0.14678899082568808
30,100,106,83,17,23,22,39,7,0.3181818181818182,0.1794871794871795,0.2295081967213115
31,92,105,87,5,18,36,35,1,0.027777777777777776,0.02857142857142857,0.028169014084507043
32,1207,1219,1193,14,26,54,1180,0,0.0,0.0,0
33,134,175,113,21,62,5,37,0,0.0,0.0,0
34,183,216,171,12,45,65,83,7,0.1076923076923077,0.08433734939759036,0.0945945945945946
35,130,162,116,14,46,58,56,7,0.1206896551724138,0.125,0.12280701754385964
36,164,186,149,15,37,45,73,14,0.3111111111111111,0.1917808219178082,0.23728813559322035
37,145,179,122,23,57,78,61,5,0.0641025641025641,0.08196721311475409,0.07194244604316548
38,115,122,98,17,24,38,54,9,0.23684210526315788,0.16666666666666666,0.1956521739130435
39,147,167,133,14,34,56,71,12,0.21428571428571427,0.16901408450704225,0.18897637795275588
40,1501,1537,1462,39,75,345,939,22,0.06376811594202898,0.023429179978700747,0.034267912772585674
41,524,585,471,53,114,65,247,10,0.15384615384615385,0.04048582995951417,0.06410256410256411
42,231,255,185,46,70,95,104,21,0.22105263157894736,0.20192307692307693,0.21105527638190957
43,208,231,171,37,60,21,116,8,0.38095238095238093,0.06896551724137931,0.11678832116788321
