Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,179,179,179,0,0,13,78,0,0.0,0.0,0
1,218,218,218,0,0,2,98,0,0.0,0.0,0
2,173,173,173,0,0,11,74,1,0.09090909090909091,0.013513513513513514,0.023529411764705885
3,336,336,336,0,0,10,215,0,0.0,0.0,0
4,278,278,278,0,0,9,125,0,0.0,0.0,0
5,204,204,204,0,0,12,86,1,0.08333333333333333,0.011627906976744186,0.02040816326530612
6,156,156,156,0,0,9,67,1,0.1111111111111111,0.014925373134328358,0.026315789473684213
7,136,136,136,0,0,8,60,1,0.125,0.016666666666666666,0.029411764705882353
8,1542,1542,1542,0,0,9,1469,0,0.0,0.0,0
9,318,318,318,0,0,33,119,0,0.0,0.0,0
10,880,880,880,0,0,91,309,1,0.01098901098901099,0.003236245954692557,0.005
11,336,336,336,0,0,52,122,1,0.019230769230769232,0.00819672131147541,0.011494252873563218
12,172,172,172,0,0,8,59,0,0.0,0.0,0
13,152,152,152,0,0,12,55,1,0.08333333333333333,0.01818181818181818,0.029850746268656716
14,149,149,149,0,0,11,64,0,0.0,0.0,0
15,105,105,105,0,0,8,34,0,0.0,0.0,0
16,137,137,137,0,0,8,52,1,0.125,0.019230769230769232,0.03333333333333334
17,136,136,136,0,0,3,51,0,0.0,0.0,0
18,129,129,129,0,0,6,54,0,0.0,0.0,0
19,125,125,125,0,0,7,49,0,0.0,0.0,0
20,119,119,119,0,0,1,48,1,1.0,0.020833333333333332,0.04081632653061225
21,137,137,137,0,0,3,54,0,0.0,0.0,0
22,155,155,155,0,0,6,64,0,0.0,0.0,0
23,107,107,107,0,0,5,37,1,0.2,0.02702702702702703,0.047619047619047616
24,99,99,99,0,0,1,38,1,1.0,0.02631578947368421,0.05128205128205127
25,189,189,189,0,0,2,85,1,0.5,0.011764705882352941,0.02298850574712644
26,132,132,132,0,0,6,52,0,0.0,0.0,0
27,93,93,93,0,0,4,35,0,0.0,0.0,0
28,88,88,88,0,0,1,35,0,0.0,0.0,0
29,116,116,116,0,0,2,48,1,0.5,0.020833333333333332,0.039999999999999994
30,81,81,81,0,0,1,33,1,1.0,0.030303030303030304,0.05882352941176471
31,86,86,86,0,0,1,30,1,1.0,0.03333333333333333,0.06451612903225806
32,1191,1191,1191,0,0,3,1155,0,0.0,0.0,0
33,113,113,113,0,0,5,37,0,0.0,0.0,0
34,168,168,168,0,0,2,66,1,0.5,0.015151515151515152,0.029411764705882356
35,113,113,113,0,0,10,40,1,0.1,0.025,0.04000000000000001
36,147,147,147,0,0,2,60,1,0.5,0.016666666666666666,0.03225806451612903
37,117,117,117,0,0,4,41,0,0.0,0.0,0
38,95,95,95,0,0,5,39,1,0.2,0.02564102564102564,0.045454545454545456
39,129,129,129,0,0,8,50,0,0.0,0.0,0
40,1449,1449,1449,0,0,14,708,1,0.07142857142857142,0.0014124293785310734,0.002770083102493075
41,455,455,455,0,0,29,147,0,0.0,0.0,0
42,173,173,173,0,0,11,61,0,0.0,0.0,0
43,163,163,163,0,0,10,56,1,0.1,0.017857142857142856,0.030303030303030304
44,416,416,416,0,0,13,167,0,0.0,0.0,0
45,725,725,725,0,0,31,258,0,0.0,0.0,0
46,1195,1195,1195,0,0,23,467,1,0.043478260869565216,0.0021413276231263384,0.004081632653061225
47,517,517,517,0,0,42,158,0,0.0,0.0,0
48,316,316,316,0,0,24,82,0,0.0,0.0,0
49,238,238,238,0,0,14,62,0,0.0,0.0,0
50,216,216,216,0,0,15,57,0,0.0,0.0,0
51,205,205,205,0,0,7,52,1,0.14285714285714285,0.019230769230769232,0.03389830508474577
