Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,182,35,35,13,126,0,0.0,0.0,0
1,258,258,222,36,36,4,149,2,0.5,0.013422818791946308,0.026143790849673203
2,233,233,176,57,57,11,114,0,0.0,0.0,0
3,429,429,345,84,84,13,288,2,0.15384615384615385,0.006944444444444444,0.013289036544850499
4,359,359,290,69,69,21,224,3,0.14285714285714285,0.013392857142857142,0.024489795918367342
5,287,287,215,72,72,16,145,4,0.25,0.027586206896551724,0.049689440993788817
6,218,218,160,58,58,11,88,1,0.09090909090909091,0.011363636363636364,0.0202020202020202
7,182,182,139,43,43,8,84,0,0.0,0.0,0
8,1629,1629,1549,80,80,22,1499,2,0.09090909090909091,0.00133422281521014,0.0026298487836949372
9,429,429,323,106,106,33,184,1,0.030303030303030304,0.005434782608695652,0.009216589861751154
10,1226,1226,929,297,297,94,572,3,0.031914893617021274,0.005244755244755245,0.009009009009009009
11,525,525,350,175,175,54,213,1,0.018518518518518517,0.004694835680751174,0.00749063670411985
12,248,248,174,74,74,9,74,1,0.1111111111111111,0.013513513513513514,0.024096385542168676
13,224,224,157,67,67,14,92,2,0.14285714285714285,0.021739130434782608,0.03773584905660378
14,204,204,152,52,52,42,83,1,0.023809523809523808,0.012048192771084338,0.016
15,168,168,108,60,60,10,55,2,0.2,0.03636363636363636,0.061538461538461535
16,204,204,143,61,61,9,91,2,0.2222222222222222,0.02197802197802198,0.04
17,180,180,139,41,41,3,80,1,0.3333333333333333,0.0125,0.024096385542168676
18,166,166,136,30,30,48,85,4,0.08333333333333333,0.047058823529411764,0.060150375939849635
19,153,153,127,26,26,7,66,0,0.0,0.0,0
20,146,146,122,24,24,34,66,2,0.058823529411764705,0.030303030303030304,0.04
21,170,170,142,28,28,9,69,3,0.3333333333333333,0.043478260869565216,0.07692307692307691
22,200,200,161,39,39,8,93,2,0.25,0.021505376344086023,0.03960396039603961
23,133,133,111,22,22,48,72,3,0.0625,0.041666666666666664,0.05
24,125,125,101,24,24,35,57,3,0.08571428571428572,0.05263157894736842,0.06521739130434782
25,224,224,193,31,31,2,108,0,0.0,0.0,0
26,159,159,135,24,24,6,73,1,0.16666666666666666,0.0136986301369863,0.02531645569620253
27,130,130,99,31,31,7,55,0,0.0,0.0,0
28,109,109,90,19,19,1,40,0,0.0,0.0,0
29,141,141,119,22,22,35,62,1,0.02857142857142857,0.016129032258064516,0.02061855670103093
30,106,106,85,21,21,21,49,2,0.09523809523809523,0.04081632653061224,0.05714285714285714
31,105,105,86,19,19,1,30,0,0.0,0.0,0
32,1219,1219,1194,25,25,56,1181,0,0.0,0.0,0
33,175,175,116,59,59,5,52,0,0.0,0.0,0
34,216,216,171,45,45,3,82,1,0.3333333333333333,0.012195121951219513,0.023529411764705882
35,162,162,116,46,46,56,47,1,0.017857142857142856,0.02127659574468085,0.019417475728155338
36,186,186,149,37,37,44,63,0,0.0,0.0,0
37,179,179,121,58,58,5,71,1,0.2,0.014084507042253521,0.02631578947368421
38,122,122,98,24,24,7,61,2,0.2857142857142857,0.03278688524590164,0.05882352941176471
39,167,167,131,36,36,8,70,0,0.0,0.0,0
40,1537,1537,1464,73,73,333,1000,6,0.018018018018018018,0.006,0.00900225056264066
41,585,585,464,121,121,31,284,1,0.03225806451612903,0.0035211267605633804,0.006349206349206348
42,255,255,180,75,75,13,117,2,0.15384615384615385,0.017094017094017096,0.030769230769230774
43,231,231,166,65,65,10,107,0,0.0,0.0,0
44,569,569,430,139,139,140,250,3,0.02142857142857143,0.012,0.015384615384615384
45,968,968,755,213,213,42,494,7,0.16666666666666666,0.01417004048582996,0.026119402985074626
46,1538,1538,1257,281,281,89,814,15,0.16853932584269662,0.018427518427518427,0.03322259136212625
47,766,766,547,219,219,57,390,12,0.21052631578947367,0.03076923076923077,0.053691275167785234
48,463,463,326,137,137,32,233,6,0.1875,0.02575107296137339,0.04528301886792453
49,367,367,245,122,122,16,180,2,0.125,0.011111111111111112,0.020408163265306124
50,332,332,225,107,107,19,148,2,0.10526315789473684,0.013513513513513514,0.023952095808383235
51,301,301,210,91,91,7,151,1,0.14285714285714285,0.006622516556291391,0.012658227848101266
52,359,359,275,84,84,5,186,1,0.2,0.005376344086021506,0.010471204188481678
53,340,340,264,76,76,7,170,2,0.2857142857142857,0.011764705882352941,0.022598870056497175
54,260,260,211,49,49,96,130,1,0.010416666666666666,0.007692307692307693,0.008849557522123895
55,274,274,216,58,58,9,144,2,0.2222222222222222,0.013888888888888888,0.026143790849673203
56,367,367,289,78,78,15,204,2,0.13333333333333333,0.00980392156862745,0.0182648401826484
57,314,314,245,69,69,13,170,0,0.0,0.0,0
58,317,317,261,56,56,131,190,4,0.030534351145038167,0.021052631578947368,0.024922118380062305
59,301,301,232,69,69,11,162,3,0.2727272727272727,0.018518518518518517,0.034682080924855495
60,354,354,284,70,70,10,194,4,0.4,0.020618556701030927,0.0392156862745098
61,380,380,311,69,69,137,205,2,0.014598540145985401,0.00975609756097561,0.011695906432748539
62,227,227,182,45,45,9,117,1,0.1111111111111111,0.008547008547008548,0.015873015873015876
63,169,169,134,35,35,8,92,2,0.25,0.021739130434782608,0.04
64,279,279,217,62,62,127,150,4,0.031496062992125984,0.02666666666666667,0.028880866425992777
65,211,211,167,44,44,108,130,3,0.027777777777777776,0.023076923076923078,0.025210084033613446
66,311,311,252,59,59,132,177,4,0.030303030303030304,0.022598870056497175,0.025889967637540454
67,265,265,214,51,51,105,145,1,0.009523809523809525,0.006896551724137931,0.008
68,219,219,183,36,36,76,117,5,0.06578947368421052,0.042735042735042736,0.05181347150259068
69,199,199,156,43,43,80,99,2,0.025,0.020202020202020204,0.022346368715083803
70,160,160,131,29,29,68,90,0,0.0,0.0,0
71,153,153,122,31,31,6,80,0,0.0,0.0,0
