Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,217,217,188,29,29,14,140,1,0.07142857142857142,0.007142857142857143,0.012987012987012986
1,258,258,223,35,35,6,149,2,0.3333333333333333,0.013422818791946308,0.02580645161290323
2,233,233,177,56,56,13,116,1,0.07692307692307693,0.008620689655172414,0.015503875968992248
3,429,429,354,75,75,128,299,7,0.0546875,0.023411371237458192,0.03278688524590164
4,359,359,292,67,67,128,220,3,0.0234375,0.013636363636363636,0.017241379310344827
5,287,287,219,68,68,20,155,7,0.35,0.04516129032258064,0.07999999999999999
6,218,218,171,47,47,76,128,9,0.11842105263157894,0.0703125,0.08823529411764706
7,182,182,144,38,38,10,90,2,0.2,0.022222222222222223,0.039999999999999994
8,1629,1629,1561,68,68,57,1562,9,0.15789473684210525,0.005761843790012804,0.011117974058060531
9,429,429,329,100,100,172,209,7,0.040697674418604654,0.03349282296650718,0.03674540682414699
10,1226,1226,930,296,296,544,578,4,0.007352941176470588,0.006920415224913495,0.0071301247771836
11,525,525,355,170,170,54,225,1,0.018518518518518517,0.0044444444444444444,0.007168458781362006
12,248,248,182,66,66,15,123,3,0.2,0.024390243902439025,0.04347826086956522
13,224,224,170,54,54,93,112,17,0.1827956989247312,0.15178571428571427,0.16585365853658537
14,204,204,166,38,38,63,107,15,0.23809523809523808,0.14018691588785046,0.17647058823529413
15,168,168,120,48,48,24,82,11,0.4583333333333333,0.13414634146341464,0.20754716981132074
16,204,204,157,47,47,37,116,22,0.5945945945945946,0.1896551724137931,0.28758169934640526
17,180,180,146,34,34,14,100,8,0.5714285714285714,0.08,0.14035087719298248
18,166,166,141,25,25,52,91,8,0.15384615384615385,0.08791208791208792,0.1118881118881119
19,153,153,133,20,20,45,85,7,0.15555555555555556,0.08235294117647059,0.1076923076923077
20,146,146,128,18,18,9,79,4,0.4444444444444444,0.05063291139240506,0.0909090909090909
21,170,170,145,25,25,5,88,2,0.4,0.022727272727272728,0.043010752688172046
22,200,200,167,33,33,61,108,7,0.11475409836065574,0.06481481481481481,0.08284023668639053
23,133,133,115,18,18,50,76,4,0.08,0.05263157894736842,0.06349206349206349
24,125,125,104,21,21,39,64,2,0.05128205128205128,0.03125,0.038834951456310676
25,224,224,198,26,26,49,114,2,0.04081632653061224,0.017543859649122806,0.024539877300613498
26,159,159,140,19,19,53,96,8,0.1509433962264151,0.08333333333333333,0.10738255033557045
27,130,130,104,26,26,44,66,5,0.11363636363636363,0.07575757575757576,0.09090909090909091
28,109,109,96,13,13,39,66,9,0.23076923076923078,0.13636363636363635,0.1714285714285714
29,141,141,123,18,18,8,84,5,0.625,0.05952380952380952,0.10869565217391304
30,106,106,87,19,19,5,53,5,1.0,0.09433962264150944,0.1724137931034483
31,105,105,89,16,16,36,56,2,0.05555555555555555,0.03571428571428571,0.043478260869565216
32,1219,1219,1196,23,23,13,1192,2,0.15384615384615385,0.0016778523489932886,0.0033195020746887966
33,175,175,117,58,58,7,63,1,0.14285714285714285,0.015873015873015872,0.028571428571428567
34,216,216,174,42,42,4,101,1,0.25,0.009900990099009901,0.019047619047619046
35,162,162,120,42,42,15,73,3,0.2,0.0410958904109589,0.06818181818181818
36,186,186,152,34,34,7,84,2,0.2857142857142857,0.023809523809523808,0.043956043956043946
37,179,179,125,54,54,13,86,9,0.6923076923076923,0.10465116279069768,0.18181818181818185
38,122,122,104,18,18,16,76,6,0.375,0.07894736842105263,0.13043478260869565
39,167,167,140,27,27,25,96,2,0.08,0.020833333333333332,0.03305785123966942
40,1537,1537,1474,63,63,377,1010,15,0.03978779840848806,0.01485148514851485,0.021629416005767843
41,585,585,479,106,106,56,355,19,0.3392857142857143,0.05352112676056338,0.09245742092457421
42,255,255,190,65,65,31,134,16,0.5161290322580645,0.11940298507462686,0.19393939393939394
