Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,38,38,9,29,29,1,6,1,1.0,0.16666666666666666,0.2857142857142857
1,40,40,5,35,35,4,2,2,0.5,1.0,0.6666666666666666
2,60,60,4,56,56,2,3,1,0.5,0.3333333333333333,0.4
3,93,93,18,75,75,16,9,7,0.4375,0.7777777777777778,0.56
4,81,81,14,67,67,7,6,3,0.42857142857142855,0.5,0.4615384615384615
5,83,83,15,68,68,8,12,7,0.875,0.5833333333333334,0.7000000000000001
6,62,62,15,47,47,10,14,9,0.9,0.6428571428571429,0.75
7,46,46,8,38,38,2,6,2,1.0,0.3333333333333333,0.5
8,87,87,19,68,68,48,16,8,0.16666666666666666,0.5,0.25
9,111,111,11,100,100,9,5,5,0.5555555555555556,1.0,0.7142857142857143
10,346,346,50,296,296,4,25,4,1.0,0.16,0.2758620689655173
11,189,189,19,170,170,2,18,1,0.5,0.05555555555555555,0.09999999999999999
12,76,76,10,66,66,7,7,3,0.42857142857142855,0.42857142857142855,0.42857142857142855
13,72,72,18,54,54,20,20,17,0.85,0.85,0.85
14,55,55,17,38,38,22,21,15,0.6818181818181818,0.7142857142857143,0.6976744186046512
15,63,63,15,48,48,16,19,11,0.6875,0.5789473684210527,0.6285714285714286
16,67,67,20,47,47,29,23,21,0.7241379310344828,0.9130434782608695,0.8076923076923076
17,44,44,10,34,34,11,10,7,0.6363636363636364,0.7,0.6666666666666666
18,37,37,12,25,25,10,12,8,0.8,0.6666666666666666,0.7272727272727272
19,28,28,8,20,20,7,6,5,0.7142857142857143,0.8333333333333334,0.7692307692307692
20,27,27,9,18,18,8,7,3,0.375,0.42857142857142855,0.39999999999999997
21,33,33,8,25,25,2,3,1,0.5,0.3333333333333333,0.4
22,45,45,12,33,33,7,9,6,0.8571428571428571,0.6666666666666666,0.75
23,26,26,8,18,18,5,2,1,0.2,0.5,0.28571428571428575
24,26,26,5,21,21,4,1,0,0.0,0.0,0
25,35,35,9,26,26,7,1,1,0.14285714285714285,1.0,0.25
26,27,27,8,19,19,8,7,5,0.625,0.7142857142857143,0.6666666666666666
27,37,37,11,26,26,7,6,3,0.42857142857142855,0.5,0.4615384615384615
28,21,21,8,13,13,12,7,7,0.5833333333333334,1.0,0.7368421052631579
29,25,25,7,18,18,6,5,5,0.8333333333333334,1.0,0.9090909090909091
30,25,25,6,19,19,4,4,4,1.0,1.0,1.0
31,19,19,3,16,16,0,0,0,0,0,0
32,28,28,5,23,23,10,2,2,0.2,1.0,0.33333333333333337
33,62,62,4,58,58,2,1,1,0.5,1.0,0.6666666666666666
34,48,48,6,42,42,2,0,0,0.0,0,0
35,49,49,7,42,42,5,3,3,0.6,1.0,0.7499999999999999
36,39,39,5,34,34,5,2,2,0.4,1.0,0.5714285714285715
37,62,62,8,54,54,9,9,8,0.8888888888888888,0.8888888888888888,0.8888888888888888
38,27,27,9,18,18,11,6,6,0.5454545454545454,1.0,0.7058823529411764
39,38,38,11,27,27,17,7,2,0.11764705882352941,0.2857142857142857,0.16666666666666666
40,88,88,25,63,63,59,18,15,0.2542372881355932,0.8333333333333334,0.38961038961038963
41,130,130,24,106,106,27,25,19,0.7037037037037037,0.76,0.7307692307692308
42,82,82,17,65,65,20,16,15,0.75,0.9375,0.8333333333333334
43,68,68,11,57,57,10,11,9,0.9,0.8181818181818182,0.8571428571428572
44,153,153,38,115,115,33,30,25,0.7575757575757576,0.8333333333333334,0.7936507936507938
45,243,243,49,194,194,26,33,18,0.6923076923076923,0.5454545454545454,0.6101694915254238
46,343,343,89,254,254,96,52,42,0.4375,0.8076923076923077,0.5675675675675675
47,249,249,44,205,205,40,33,27,0.675,0.8181818181818182,0.7397260273972603
48,147,147,28,119,119,26,26,22,0.8461538461538461,0.8461538461538461,0.8461538461538461
49,129,129,34,95,95,39,31,30,0.7692307692307693,0.967741935483871,0.8571428571428572
50,116,116,29,87,87,32,25,25,0.78125,1.0,0.8771929824561403
51,96,96,20,76,76,21,17,17,0.8095238095238095,1.0,0.8947368421052632
52,89,89,21,68,68,21,12,12,0.5714285714285714,1.0,0.7272727272727273
53,82,82,16,66,66,18,10,9,0.5,0.9,0.6428571428571429
54,54,54,10,44,44,10,5,5,0.5,1.0,0.6666666666666666
55,63,63,12,51,51,13,9,9,0.6923076923076923,1.0,0.8181818181818181
56,87,87,23,64,64,22,14,13,0.5909090909090909,0.9285714285714286,0.7222222222222223
57,79,79,23,56,56,24,17,16,0.6666666666666666,0.9411764705882353,0.7804878048780487
58,63,63,15,48,48,23,12,12,0.5217391304347826,1.0,0.6857142857142856
59,78,78,15,63,63,16,10,10,0.625,1.0,0.7692307692307693
60,79,79,13,66,66,14,5,5,0.35714285714285715,1.0,0.5263157894736842
61,78,78,18,60,60,12,9,7,0.5833333333333334,0.7777777777777778,0.6666666666666666
62,48,48,5,43,43,2,2,2,1.0,1.0,1.0
63,39,39,10,29,29,10,10,9,0.9,0.9,0.9
64,67,67,15,52,52,13,14,12,0.9230769230769231,0.8571428571428571,0.888888888888889
65,52,52,11,41,41,7,6,5,0.7142857142857143,0.8333333333333334,0.7692307692307692
66,65,65,15,50,50,12,9,7,0.5833333333333334,0.7777777777777778,0.6666666666666666
67,56,56,13,43,43,7,7,7,1.0,1.0,1.0
68,38,38,11,27,27,8,7,7,0.875,1.0,0.9333333333333333
69,47,47,11,36,36,8,5,5,0.625,1.0,0.7692307692307693
70,33,33,7,26,26,5,5,5,1.0,1.0,1.0
71,34,34,5,29,29,0,1,0,0,0.0,0
72,38,38,8,30,30,6,5,5,0.8333333333333334,1.0,0.9090909090909091
73,34,34,9,25,25,11,8,7,0.6363636363636364,0.875,0.7368421052631579
74,50,50,12,38,38,11,7,7,0.6363636363636364,1.0,0.7777777777777778
75,35,35,10,25,25,11,5,5,0.45454545454545453,1.0,0.625
76,18,18,4,14,14,1,2,1,1.0,0.5,0.6666666666666666
77,20,20,5,15,15,2,2,2,1.0,1.0,1.0
78,20,20,6,14,14,3,2,1,0.3333333333333333,0.5,0.4
79,17,17,4,13,13,0,0,0,0,0,0
80,22,22,5,17,17,3,2,2,0.6666666666666666,1.0,0.8
81,21,21,4,17,17,1,1,1,1.0,1.0,1.0
82,25,25,7,18,18,5,4,4,0.8,1.0,0.888888888888889
83,21,21,8,13,13,6,6,6,1.0,1.0,1.0
84,18,18,7,11,11,5,5,5,1.0,1.0,1.0
85,15,15,7,8,8,6,5,5,0.8333333333333334,1.0,0.9090909090909091
86,18,18,9,9,9,7,5,5,0.7142857142857143,1.0,0.8333333333333333
87,52,52,16,36,36,15,10,10,0.6666666666666666,1.0,0.8
88,69,69,21,48,48,20,13,12,0.6,0.9230769230769231,0.7272727272727274
89,47,47,12,35,35,9,6,5,0.5555555555555556,0.8333333333333334,0.6666666666666667
90,101,101,24,77,77,29,17,16,0.5517241379310345,0.9411764705882353,0.6956521739130435
91,101,101,32,69,69,32,16,14,0.4375,0.875,0.5833333333333334
92,95,95,27,68,68,18,12,12,0.6666666666666666,1.0,0.8
93,57,57,11,46,46,7,6,6,0.8571428571428571,1.0,0.923076923076923
94,63,63,15,48,48,10,8,6,0.6,0.75,0.6666666666666665
95,67,67,15,52,52,10,9,9,0.9,1.0,0.9473684210526316
96,62,62,14,48,48,11,8,8,0.7272727272727273,1.0,0.8421052631578948
97,40,40,11,29,29,7,4,4,0.5714285714285714,1.0,0.7272727272727273
98,70,70,20,50,50,19,16,16,0.8421052631578947,1.0,0.9142857142857143
99,74,74,19,55,55,12,12,11,0.9166666666666666,0.9166666666666666,0.9166666666666666
100,60,60,14,46,46,14,8,7,0.5,0.875,0.6363636363636364
101,61,61,19,42,42,17,15,14,0.8235294117647058,0.9333333333333333,0.8749999999999999
102,61,61,15,46,46,8,10,6,0.75,0.6,0.6666666666666665
103,50,50,17,33,33,18,16,16,0.8888888888888888,1.0,0.9411764705882353
104,52,52,16,36,36,13,10,10,0.7692307692307693,1.0,0.8695652173913044
105,33,33,8,25,25,7,3,3,0.42857142857142855,1.0,0.6
106,39,39,15,24,24,13,9,7,0.5384615384615384,0.7777777777777778,0.6363636363636364
107,42,42,14,28,28,13,9,8,0.6153846153846154,0.8888888888888888,0.7272727272727274
108,46,46,16,30,30,14,10,10,0.7142857142857143,1.0,0.8333333333333333
109,41,41,15,26,26,16,9,8,0.5,0.8888888888888888,0.64
110,43,43,14,29,29,12,8,8,0.6666666666666666,1.0,0.8
111,30,30,8,22,22,4,3,3,0.75,1.0,0.8571428571428571
112,28,28,9,19,19,13,4,4,0.3076923076923077,1.0,0.47058823529411764
113,41,41,8,33,33,4,4,4,1.0,1.0,1.0
114,77,77,16,61,61,11,10,9,0.8181818181818182,0.9,0.8571428571428572
115,40,40,10,30,30,9,7,7,0.7777777777777778,1.0,0.8750000000000001
116,45,45,9,36,36,4,4,4,1.0,1.0,1.0
117,51,51,11,40,40,6,5,5,0.8333333333333334,1.0,0.9090909090909091
118,52,52,8,44,44,6,4,3,0.5,0.75,0.6
119,153,153,24,129,129,5,7,1,0.2,0.14285714285714285,0.16666666666666666
120,55,55,9,46,46,4,3,1,0.25,0.3333333333333333,0.28571428571428575
121,53,53,8,45,45,4,3,2,0.5,0.6666666666666666,0.5714285714285715
122,45,45,7,38,38,4,3,3,0.75,1.0,0.8571428571428571
123,48,48,9,39,39,7,5,5,0.7142857142857143,1.0,0.8333333333333333
124,42,42,12,30,30,9,8,8,0.8888888888888888,1.0,0.9411764705882353
125,17,17,6,11,11,5,3,3,0.6,1.0,0.7499999999999999
126,23,23,6,17,17,3,3,3,1.0,1.0,1.0
127,35,35,9,26,26,7,6,6,0.8571428571428571,1.0,0.923076923076923
128,25,25,7,18,18,3,3,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
129,42,42,13,29,29,18,8,7,0.3888888888888889,0.875,0.5384615384615385
130,34,34,9,25,25,9,7,6,0.6666666666666666,0.8571428571428571,0.75
131,20,20,8,12,12,7,6,6,0.8571428571428571,1.0,0.923076923076923
132,30,30,9,21,21,8,8,8,1.0,1.0,1.0
133,32,32,9,23,23,5,7,5,1.0,0.7142857142857143,0.8333333333333333
134,32,32,10,22,22,12,9,9,0.75,1.0,0.8571428571428571
135,24,24,9,15,15,7,5,4,0.5714285714285714,0.8,0.6666666666666666
136,25,25,9,16,16,10,7,7,0.7,1.0,0.8235294117647058
137,52,52,14,38,38,12,13,11,0.9166666666666666,0.8461538461538461,0.8799999999999999
138,65,65,21,44,44,20,16,15,0.75,0.9375,0.8333333333333334
139,67,67,24,43,43,26,20,17,0.6538461538461539,0.85,0.7391304347826088
140,72,72,21,51,51,16,15,12,0.75,0.8,0.7741935483870969
141,63,63,27,36,36,26,20,19,0.7307692307692307,0.95,0.8260869565217392
142,64,64,24,40,40,20,18,16,0.8,0.8888888888888888,0.8421052631578948
143,48,48,13,35,35,12,13,11,0.9166666666666666,0.8461538461538461,0.8799999999999999
144,36,36,13,23,23,14,11,10,0.7142857142857143,0.9090909090909091,0.8
145,32,32,12,20,20,13,13,13,1.0,1.0,1.0
146,39,39,9,30,30,7,7,5,0.7142857142857143,0.7142857142857143,0.7142857142857143
147,51,51,14,37,37,7,7,4,0.5714285714285714,0.5714285714285714,0.5714285714285714
148,37,37,10,27,27,5,4,4,0.8,1.0,0.888888888888889
149,35,35,10,25,25,5,8,5,1.0,0.625,0.7692307692307693
150,54,54,15,39,39,15,12,9,0.6,0.75,0.6666666666666665
151,63,63,17,46,46,14,10,8,0.5714285714285714,0.8,0.6666666666666666
152,34,34,12,22,22,10,8,7,0.7,0.875,0.7777777777777777
153,48,48,16,32,32,12,11,9,0.75,0.8181818181818182,0.7826086956521738
154,70,70,18,52,52,9,14,7,0.7777777777777778,0.5,0.6086956521739131
