Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,94,94,94,0,0,0,47,0,0,0.0,0
1,969,969,969,0,0,4,713,0,0.0,0.0,0
2,1010,1010,1010,0,0,25,464,0,0.0,0.0,0
3,491,491,491,0,0,42,186,0,0.0,0.0,0
4,338,338,338,0,0,38,109,0,0.0,0.0,0
5,243,239,239,4,0,17,82,0,0.0,0.0,0
6,196,192,192,4,0,16,75,0,0.0,0.0,0
7,209,201,201,8,0,15,59,0,0.0,0.0,0
8,269,241,241,28,0,7,80,0,0.0,0.0,0
9,271,234,234,37,0,14,76,0,0.0,0.0,0
10,179,145,145,34,0,9,48,0,0.0,0.0,0
11,164,138,138,26,0,11,36,0,0.0,0.0,0
12,147,120,120,27,0,11,36,1,0.09090909090909091,0.027777777777777776,0.0425531914893617
13,154,138,138,16,0,3,41,0,0.0,0.0,0
14,130,103,103,27,0,6,36,0,0.0,0.0,0
15,170,138,138,32,0,3,47,0,0.0,0.0,0
16,119,93,93,26,0,5,29,0,0.0,0.0,0
17,135,100,100,35,0,5,33,0,0.0,0.0,0
18,93,72,72,21,0,4,24,0,0.0,0.0,0
19,93,68,68,25,0,0,21,0,0,0.0,0
20,97,69,69,28,0,5,22,0,0.0,0.0,0
21,144,110,110,34,0,4,36,0,0.0,0.0,0
22,133,92,92,41,0,0,31,0,0,0.0,0
23,92,51,51,41,0,3,12,0,0.0,0.0,0
24,123,93,93,30,0,3,38,1,0.3333333333333333,0.02631578947368421,0.048780487804878044
25,174,72,72,102,0,34,22,0,0.0,0.0,0
26,138,101,101,37,0,5,31,0,0.0,0.0,0
27,136,96,96,40,0,3,35,0,0.0,0.0,0
28,152,107,107,45,0,10,25,1,0.1,0.04,0.05714285714285714
29,87,59,59,28,0,2,16,0,0.0,0.0,0
30,101,79,79,22,0,4,41,0,0.0,0.0,0
31,89,64,64,25,0,2,23,0,0.0,0.0,0
32,107,83,83,24,0,11,25,1,0.09090909090909091,0.04,0.05555555555555555
33,93,61,61,32,0,2,24,0,0.0,0.0,0
34,98,71,71,27,0,2,22,0,0.0,0.0,0
35,126,87,87,39,0,4,32,0,0.0,0.0,0
36,120,83,83,37,0,3,25,0,0.0,0.0,0
37,69,52,52,17,0,3,17,0,0.0,0.0,0
38,109,80,80,29,0,2,26,0,0.0,0.0,0
39,112,65,65,47,0,0,18,0,0,0.0,0
40,99,65,65,34,0,3,18,0,0.0,0.0,0
41,101,65,65,36,0,0,20,0,0,0.0,0
42,104,65,65,39,0,3,18,0,0.0,0.0,0
43,92,58,58,34,0,3,18,0,0.0,0.0,0
44,111,63,63,48,0,6,16,0,0.0,0.0,0
45,107,70,70,37,0,7,13,0,0.0,0.0,0
46,88,50,50,38,0,0,16,0,0,0.0,0
47,75,52,52,23,0,2,12,0,0.0,0.0,0
48,81,46,46,35,0,4,17,0,0.0,0.0,0
49,79,42,42,37,0,2,10,0,0.0,0.0,0
50,96,55,55,41,0,2,14,1,0.5,0.07142857142857142,0.125
51,91,53,53,38,0,4,14,0,0.0,0.0,0
52,67,47,47,20,0,2,13,0,0.0,0.0,0
53,53,30,30,23,0,3,5,0,0.0,0.0,0
54,75,45,45,30,0,3,15,0,0.0,0.0,0
55,76,49,49,27,0,1,10,0,0.0,0.0,0
56,66,36,36,30,0,2,8,0,0.0,0.0,0
57,84,60,60,24,0,1,21,0,0.0,0.0,0
58,66,38,38,28,0,4,7,0,0.0,0.0,0
59,94,50,50,44,0,4,14,0,0.0,0.0,0
60,84,53,53,31,0,4,15,0,0.0,0.0,0
61,198,132,132,66,0,5,34,0,0.0,0.0,0
62,430,306,306,124,0,4,89,0,0.0,0.0,0
63,201,145,145,56,0,18,20,0,0.0,0.0,0
64,129,96,96,33,0,3,21,0,0.0,0.0,0
65,150,111,111,39,0,14,24,0,0.0,0.0,0
66,314,244,244,70,0,30,42,0,0.0,0.0,0
67,301,249,249,52,0,22,21,0,0.0,0.0,0
68,180,150,150,30,0,25,22,0,0.0,0.0,0
69,213,164,164,49,0,19,23,0,0.0,0.0,0
70,144,104,104,40,0,12,19,0,0.0,0.0,0
71,132,100,100,32,0,12,13,0,0.0,0.0,0
72,129,87,87,42,0,12,16,0,0.0,0.0,0
73,149,95,95,54,0,7,18,0,0.0,0.0,0
74,124,82,82,42,0,9,17,0,0.0,0.0,0
75,171,104,104,67,0,6,12,0,0.0,0.0,0
76,207,147,147,60,0,15,27,0,0.0,0.0,0
77,266,169,169,97,0,24,22,0,0.0,0.0,0
78,221,142,142,79,0,11,29,0,0.0,0.0,0
79,244,173,173,71,0,19,34,0,0.0,0.0,0
80,417,269,269,148,0,16,48,0,0.0,0.0,0
81,603,376,376,227,0,59,59,0,0.0,0.0,0
82,307,213,213,94,0,36,32,0,0.0,0.0,0
83,235,168,168,67,0,73,29,0,0.0,0.0,0
84,249,182,182,67,0,127,31,0,0.0,0.0,0
85,227,152,152,75,0,20,23,0,0.0,0.0,0
86,229,146,146,83,0,13,17,0,0.0,0.0,0
87,181,115,115,66,0,15,13,0,0.0,0.0,0
88,146,96,96,50,0,14,11,0,0.0,0.0,0
89,127,86,86,41,0,8,15,0,0.0,0.0,0
90,218,140,140,78,0,16,25,0,0.0,0.0,0
91,151,100,100,51,0,16,23,0,0.0,0.0,0
92,119,65,65,54,0,5,2,0,0.0,0.0,0
93,115,69,69,46,0,3,11,0,0.0,0.0,0
