Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,122,122,95,27,27,0,47,0,0,0.0,0
1,1209,1209,1097,112,112,449,783,39,0.08685968819599109,0.04980842911877394,0.0633116883116883
2,1256,1256,1069,187,187,95,832,26,0.2736842105263158,0.03125,0.05609492988133765
3,696,696,521,175,175,65,389,18,0.27692307692307694,0.04627249357326478,0.07929515418502202
4,511,511,367,144,144,61,279,14,0.22950819672131148,0.05017921146953405,0.08235294117647059
5,378,378,258,120,120,30,196,7,0.23333333333333334,0.03571428571428571,0.061946902654867256
6,296,296,198,98,98,23,130,3,0.13043478260869565,0.023076923076923078,0.0392156862745098
7,295,295,206,89,89,27,148,9,0.3333333333333333,0.060810810810810814,0.10285714285714287
8,338,338,234,104,104,14,180,5,0.35714285714285715,0.027777777777777776,0.05154639175257732
9,378,378,201,177,177,21,139,5,0.23809523809523808,0.03597122302158273,0.0625
10,239,239,69,170,170,12,51,3,0.25,0.058823529411764705,0.09523809523809523
11,246,246,32,214,214,17,28,5,0.29411764705882354,0.17857142857142858,0.22222222222222224
12,213,213,6,207,207,3,2,2,0.6666666666666666,1.0,0.8
13,194,194,3,191,191,1,1,0,0.0,0.0,0
14,181,181,4,177,177,0,0,0,0,0,0
15,210,210,1,209,209,0,0,0,0,0,0
16,149,149,2,147,147,0,0,0,0,0,0
17,165,165,3,162,162,1,1,1,1.0,1.0,1.0
18,119,119,2,117,117,1,1,1,1.0,1.0,1.0
19,105,105,1,104,104,0,0,0,0,0,0
20,120,120,1,119,119,0,0,0,0,0,0
21,176,176,2,174,174,1,0,0,0.0,0,0
22,150,150,3,147,147,2,1,1,0.5,1.0,0.6666666666666666
23,111,111,2,109,109,1,0,0,0.0,0,0
24,147,147,3,144,144,0,0,0,0,0,0
25,230,230,3,227,227,0,1,0,0,0.0,0
26,167,167,5,162,162,4,3,2,0.5,0.6666666666666666,0.5714285714285715
27,165,165,5,160,160,5,3,3,0.6,1.0,0.7499999999999999
28,208,208,9,199,199,6,2,2,0.3333333333333333,1.0,0.5
29,119,119,2,117,117,0,0,0,0,0,0
30,120,120,2,118,118,1,0,0,0.0,0,0
31,115,115,3,112,112,1,1,1,1.0,1.0,1.0
32,149,149,5,144,144,1,1,1,1.0,1.0,1.0
33,108,108,3,105,105,3,1,1,0.3333333333333333,1.0,0.5
34,120,120,5,115,115,7,2,2,0.2857142857142857,1.0,0.4444444444444445
35,149,149,3,146,146,3,2,2,0.6666666666666666,1.0,0.8
36,151,151,5,146,146,5,4,4,0.8,1.0,0.888888888888889
37,88,88,2,86,86,0,0,0,0,0,0
38,126,126,1,125,125,0,0,0,0,0,0
