Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,28,28,1,27,27,0,0,0,0,0,0
1,240,240,128,112,112,358,39,39,0.10893854748603352,1.0,0.1964735516372796
2,246,246,59,187,187,70,32,26,0.37142857142857144,0.8125,0.5098039215686275
3,205,205,30,175,175,23,23,18,0.782608695652174,0.782608695652174,0.782608695652174
4,173,173,29,144,144,23,21,14,0.6086956521739131,0.6666666666666666,0.6363636363636365
5,135,135,19,116,116,13,14,7,0.5384615384615384,0.5,0.5185185185185186
6,100,100,10,90,90,7,7,3,0.42857142857142855,0.42857142857142855,0.42857142857142855
7,86,86,13,73,73,12,13,9,0.75,0.6923076923076923,0.7199999999999999
8,69,69,9,60,60,7,6,5,0.7142857142857143,0.8333333333333334,0.7692307692307692
9,107,107,11,96,96,7,5,5,0.7142857142857143,1.0,0.8333333333333333
10,60,60,5,55,55,3,3,3,1.0,1.0,1.0
11,82,82,9,73,73,6,5,5,0.8333333333333334,1.0,0.9090909090909091
12,66,66,6,60,60,3,2,2,0.6666666666666666,1.0,0.8
13,40,40,3,37,37,1,1,0,0.0,0.0,0
14,51,51,4,47,47,0,0,0,0,0,0
15,40,40,1,39,39,0,0,0,0,0,0
16,30,30,2,28,28,0,0,0,0,0,0
17,30,30,3,27,27,1,1,1,1.0,1.0,1.0
18,26,26,2,24,24,1,1,1,1.0,1.0,1.0
19,12,12,1,11,11,0,0,0,0,0,0
20,23,23,1,22,22,0,0,0,0,0,0
21,32,32,2,30,30,1,0,0,0.0,0,0
22,17,17,3,14,14,2,1,1,0.5,1.0,0.6666666666666666
23,19,19,2,17,17,1,0,0,0.0,0,0
24,24,24,3,21,21,0,0,0,0,0,0
25,56,56,3,53,53,0,1,0,0,0.0,0
26,29,29,5,24,24,4,3,2,0.5,0.6666666666666666,0.5714285714285715
27,29,29,5,24,24,5,3,3,0.6,1.0,0.7499999999999999
28,56,56,9,47,47,6,2,2,0.3333333333333333,1.0,0.5
29,32,32,2,30,30,0,0,0,0,0,0
30,19,19,2,17,17,1,0,0,0.0,0,0
31,26,26,3,23,23,1,1,1,1.0,1.0,1.0
32,42,42,5,37,37,1,1,1,1.0,1.0,1.0
33,15,15,3,12,12,3,1,1,0.3333333333333333,1.0,0.5
34,22,22,5,17,17,7,2,2,0.2857142857142857,1.0,0.4444444444444445
35,23,23,3,20,20,3,2,2,0.6666666666666666,1.0,0.8
36,31,31,5,26,26,5,4,4,0.8,1.0,0.888888888888889
37,19,19,2,17,17,0,0,0,0,0,0
38,17,17,1,16,16,0,0,0,0,0,0
39,21,21,2,19,19,1,1,1,1.0,1.0,1.0
40,24,24,4,20,20,3,3,3,1.0,1.0,1.0
41,19,19,3,16,16,1,0,0,0.0,0,0
42,22,22,2,20,20,1,0,0,0.0,0,0
43,19,19,3,16,16,2,1,1,0.5,1.0,0.6666666666666666
44,29,29,5,24,24,4,4,4,1.0,1.0,1.0
45,24,24,4,20,20,1,1,1,1.0,1.0,1.0
46,17,17,2,15,15,1,0,0,0.0,0,0
47,24,24,1,23,23,0,0,0,0,0,0
48,20,20,2,18,18,1,1,1,1.0,1.0,1.0
49,16,16,1,15,15,0,0,0,0,0,0
50,24,24,5,19,19,5,2,2,0.4,1.0,0.5714285714285715
51,27,27,3,24,24,2,2,2,1.0,1.0,1.0
52,21,21,2,19,19,0,0,0,0,0,0
53,29,29,4,25,25,4,2,2,0.5,1.0,0.6666666666666666
54,21,21,3,18,18,2,1,1,0.5,1.0,0.6666666666666666
55,22,22,4,18,18,1,1,1,1.0,1.0,1.0
56,22,22,4,18,18,5,3,3,0.6,1.0,0.7499999999999999
57,26,26,3,23,23,2,1,1,0.5,1.0,0.6666666666666666
58,26,26,2,24,24,1,1,1,1.0,1.0,1.0
59,28,28,4,24,24,4,2,2,0.5,1.0,0.6666666666666666
60,33,33,8,25,25,8,5,5,0.625,1.0,0.7692307692307693
61,37,37,9,28,28,7,4,4,0.5714285714285714,1.0,0.7272727272727273
62,64,64,18,46,46,23,9,9,0.391304347826087,1.0,0.5625
63,82,82,18,64,64,21,17,13,0.6190476190476191,0.7647058823529411,0.6842105263157895
64,50,50,13,37,37,13,7,5,0.38461538461538464,0.7142857142857143,0.5
65,74,74,22,52,52,25,18,14,0.56,0.7777777777777778,0.6511627906976745
66,120,120,30,90,90,27,32,23,0.8518518518518519,0.71875,0.7796610169491525
67,113,113,21,92,92,24,18,14,0.5833333333333334,0.7777777777777778,0.6666666666666666
68,91,91,10,81,81,4,4,3,0.75,0.75,0.75
69,73,73,7,66,66,3,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666
70,83,83,14,69,69,13,4,2,0.15384615384615385,0.5,0.23529411764705882
71,51,51,5,46,46,1,0,0,0.0,0,0
72,46,46,10,36,36,16,5,3,0.1875,0.6,0.2857142857142857
73,45,45,12,33,33,12,7,5,0.4166666666666667,0.7142857142857143,0.5263157894736842
74,48,48,11,37,37,7,0,0,0.0,0,0
75,48,48,5,43,43,0,0,0,0,0,0
76,49,49,5,44,44,2,2,2,1.0,1.0,1.0
77,88,88,17,71,71,16,12,11,0.6875,0.9166666666666666,0.7857142857142857
78,83,83,15,68,68,20,7,7,0.35,1.0,0.5185185185185185
79,99,99,23,76,76,31,22,17,0.5483870967741935,0.7727272727272727,0.6415094339622641
80,97,97,19,78,78,18,12,12,0.6666666666666666,1.0,0.8
81,192,192,55,137,137,90,55,41,0.45555555555555555,0.7454545454545455,0.5655172413793104
82,122,122,10,112,112,4,4,3,0.75,0.75,0.75
83,159,159,30,129,129,28,17,13,0.4642857142857143,0.7647058823529411,0.5777777777777777
84,249,249,39,210,210,22,44,16,0.7272727272727273,0.36363636363636365,0.4848484848484849
85,113,113,16,97,97,15,9,8,0.5333333333333333,0.8888888888888888,0.6666666666666667
86,87,87,10,77,77,9,4,3,0.3333333333333333,0.75,0.46153846153846156
87,80,80,14,66,66,14,10,9,0.6428571428571429,0.9,0.75
88,77,77,9,68,68,6,4,3,0.5,0.75,0.6
89,56,56,13,43,43,12,8,4,0.3333333333333333,0.5,0.4
90,74,74,16,58,58,18,10,9,0.5,0.9,0.6428571428571429
91,79,79,13,66,66,10,10,8,0.8,0.8,0.8000000000000002
92,70,70,15,55,55,10,8,8,0.8,1.0,0.888888888888889
93,36,36,4,32,32,0,0,0,0,0,0
94,57,57,8,49,49,2,3,0,0.0,0.0,0
95,54,54,9,45,45,6,4,2,0.3333333333333333,0.5,0.4
96,51,51,7,44,44,2,2,0,0.0,0.0,0
97,61,61,9,52,52,4,5,0,0.0,0.0,0
98,92,92,18,74,74,15,11,3,0.2,0.2727272727272727,0.23076923076923075
99,67,67,11,56,56,8,4,2,0.25,0.5,0.3333333333333333
100,87,87,10,77,77,7,6,4,0.5714285714285714,0.6666666666666666,0.6153846153846153
101,91,91,12,79,79,10,7,4,0.4,0.5714285714285714,0.47058823529411764
102,172,172,47,125,125,57,48,27,0.47368421052631576,0.5625,0.5142857142857142
103,175,175,31,144,144,27,21,13,0.48148148148148145,0.6190476190476191,0.5416666666666666
104,131,131,21,110,110,23,17,14,0.6086956521739131,0.8235294117647058,0.7
105,134,134,28,106,106,27,27,19,0.7037037037037037,0.7037037037037037,0.7037037037037037
106,202,202,47,155,155,43,42,26,0.6046511627906976,0.6190476190476191,0.611764705882353
107,141,141,23,118,118,14,17,8,0.5714285714285714,0.47058823529411764,0.5161290322580646
108,162,162,32,130,130,15,23,5,0.3333333333333333,0.21739130434782608,0.26315789473684204
109,150,150,17,133,133,9,9,9,1.0,1.0,1.0
110,153,153,26,127,127,10,15,6,0.6,0.4,0.48
111,81,81,14,67,67,5,7,4,0.8,0.5714285714285714,0.6666666666666666
112,68,68,11,57,57,3,2,2,0.6666666666666666,1.0,0.8
113,92,92,15,77,77,11,6,4,0.36363636363636365,0.6666666666666666,0.4705882352941177
114,86,86,9,77,77,3,2,2,0.6666666666666666,1.0,0.8
115,79,79,12,67,67,6,7,5,0.8333333333333334,0.7142857142857143,0.7692307692307692
116,67,67,12,55,55,7,7,6,0.8571428571428571,0.8571428571428571,0.8571428571428571
117,79,79,14,65,65,6,7,4,0.6666666666666666,0.5714285714285714,0.6153846153846153
118,53,53,10,43,43,4,4,3,0.75,0.75,0.75
119,55,55,8,47,47,5,2,1,0.2,0.5,0.28571428571428575
120,73,73,12,61,61,6,5,5,0.8333333333333334,1.0,0.9090909090909091
121,81,81,16,65,65,20,8,6,0.3,0.75,0.4285714285714285
122,88,88,21,67,67,11,14,8,0.7272727272727273,0.5714285714285714,0.64
123,116,116,18,98,98,22,7,7,0.3181818181818182,1.0,0.4827586206896552
