Graph Number,Average Node Degree,Unique Degree Count,Degree Centrality,Assortivity Coefficient,Clustering Coefficient,Density,Number of Weakly Connected Components,Number of Strongly Connected Components,Number of Nodes,Number of Edges,Eigenvalue_1,Eigenvalue_2,Eigenvalue_3,Eigenvalue_4,Eigenvalue_5
0,1.0163934426229508,2,0.008399945806801248,-0.03333333333333449,0.0,0.004199972903400623,60,122,122,62,0.0,0.0,0.0,0.0,0.0
1,1.520264681555004,9,0.0012584972529428842,-0.1472465715183946,0.03446414542076389,0.0006292486264714421,327,1174,1209,919,2.3040935692250404,-1.148852794365517,-1.148852794365517,1.0000000000000013,1.000000000000001
2,1.6544585987261147,10,0.0013182937041642348,-0.21269758881378475,0.025477888773947154,0.0006591468520821174,251,1220,1256,1039,2.5917118212571926,-1.1546488818622842,-1.1546488818622842,-1.0628855748589587,1.0000000000000009
3,1.6867816091954022,10,0.0024270238981228807,-0.2393491491418546,0.03520194362617686,0.0012135119490614406,135,667,696,587,2.751760962090663,-1.8519238696194131,-0.4499185462356278,-0.4499185462356278,8.714071424588957e-09
4,1.7534246575342465,7,0.0034380875637926404,-0.29280942937097,0.026749134784245104,0.0017190437818963202,90,487,511,448,2.3473536887582,-1.8483026478064566,1.0000000000000004,-0.9999999999999999,0.5369771921141916
5,1.6402116402116402,7,0.004350694005866419,-0.25907297811013297,0.023810673528187654,0.00217534700293321,82,362,378,310,2.1245513473233024,-1.7237518197959605,-0.20039976376366925,-0.20039976376366925,-6.650053314485141e-10
6,1.614864864864865,7,0.005474118185982593,-0.25707690722158916,0.028720837800865158,0.0027370590929912965,72,275,296,239,1.9999999999999991,-1.0000000000000002,0.9999999999999999,-0.5000000000000002,-0.5000000000000002
7,1.6338983050847458,6,0.005557477228179407,-0.2825909385890478,0.01582134863380963,0.0027787386140897038,64,280,295,241,1.8217461880048067,0.9999999999999998,-0.9999999999999997,-0.9999999999999997,-0.29457460865634144
8,1.6449704142011834,5,0.004881217846294312,-0.2807810257653206,0.0,0.0024406089231471563,71,325,338,278,2.1147425268811317,-2.1147425268811295,-4.440892098500626e-16,-4.440892098500626e-16,0.0
9,1.7407407407407407,6,0.0046173494449356514,-0.2834585060027168,0.022928713659896453,0.0023086747224678257,71,356,378,329,2.09563495888945,-1.6797294520371788,-1.0000000000000002,0.9999999999999999,-0.20795275342613434
10,1.6485355648535565,6,0.006926620020393093,-0.27237587165410987,0.029291285706906346,0.0034633100101965474,52,228,239,197,1.7613778285492947,-1.1948087810654247,1.0,-1.0,-0.2832845237419347
11,1.8130081300813008,5,0.007400033184005311,-0.3675605732880402,0.01626140288862843,0.0037000165920026548,33,234,246,223,1.9294436088899372,-1.613255344194248,-0.1580941323478452,-0.1580941323478452,-4.430141787259986e-09
12,1.6150234741784038,5,0.007618035255558509,-0.2795693774325619,0.00939167257023242,0.003809017627779254,46,210,213,172,1.0,-1.0,0.9999999999999998,-0.5000000000000002,-0.5000000000000002
13,1.597938144329897,7,0.008279472250413974,-0.27664059390269613,0.018043715305313245,0.004139736125206987,45,191,194,155,-0.9999999999999999,0.9999999999999999,0.9999999999999998,-0.5000000000000002,-0.5000000000000002
14,1.5469613259668509,5,0.008594229588704726,-0.24761076883886537,0.02217444563885903,0.004297114794352364,45,176,181,140,1.0000000000000004,1.0,1.0,-1.0,0.9999999999999998
15,1.4761904761904763,6,0.007063112326270221,-0.21422466416970914,0.0,0.0035315561631351104,56,209,210,155,1.0,-1.0,0.0,0.0,0.0
16,1.4899328859060403,5,0.010067114093959733,-0.2760447014954192,0.0,0.0050335570469798654,38,149,149,111,0.0,0.0,0.0,0.0,0.0
17,1.5636363636363637,6,0.009534368070953437,-0.24273680752739893,0.0,0.004767184035476719,40,162,165,129,-1.0000000000000004,1.0,0.9999999999999999,5.551115123125783e-17,5.551115123125783e-17
18,1.596638655462185,5,0.013530836063238853,-0.2910402791531525,0.016817496229260934,0.006765418031619427,28,115,119,95,1.3247179572447454,1.0,-1.0,-0.6623589786223728,-0.6623589786223728
19,1.4476190476190476,6,0.01391941391941392,-0.23527680579979635,0.0,0.00695970695970696,31,103,105,76,1.0,-1.0,1.0,-1.0,0.0
20,1.4833333333333334,5,0.01246498599439776,-0.23928060586027688,0.019444444444444445,0.00623249299719888,34,117,120,89,-1.0000000000000009,0.9999999999999999,-5.551115123125783e-17,-5.551115123125783e-17,0.0
21,1.7272727272727273,5,0.009870129870129873,-0.32334706942636754,0.034103278796675025,0.0049350649350649355,37,159,176,152,1.9266950187069771,-1.3970159869598273,1.0,-1.0,-0.26483951587357346
22,1.5866666666666667,5,0.010648769574944069,-0.26833405043477876,0.0,0.005324384787472036,33,147,150,119,-1.0000000000000004,0.9999999999999999,5.551115123125783e-17,5.551115123125783e-17,0.0
23,1.5135135135135136,5,0.013759213759213757,-0.2703853986871344,0.0,0.0068796068796068794,28,108,111,84,-1.0000000000000009,0.9999999999999999,-5.551115123125783e-17,-5.551115123125783e-17,0.0
24,1.4421768707482994,4,0.009877923772248626,-0.23297028612251067,0.0,0.004938961886124312,42,147,147,106,0.0,0.0,0.0,0.0,0.0
25,1.826086956521739,6,0.007974178849439907,-0.4480284959208761,0.008696057338957024,0.003987089424719955,25,226,230,210,1.324717957244745,1.0,-1.0,-0.6623589786223729,-0.6623589786223729
26,1.8083832335329342,5,0.010893874900800809,-0.36386978739116677,0.011978390636567242,0.005446937450400404,24,167,167,151,0.0,0.0,0.0,0.0,0.0
27,1.709090909090909,6,0.010421286031042129,-0.2884275243748227,0.03743553864765986,0.0052106430155210645,33,161,165,141,1.0000000000000007,1.0000000000000004,-1.0000000000000002,-0.9999999999999998,0.9999999999999989
28,1.7788461538461537,6,0.008593459680416202,-0.3287758335710112,0.028888911333764276,0.004296729840208101,32,195,208,185,1.814306012808764,1.0,-1.0,-0.9999999999999982,-0.7792839378764206
29,1.495798319327731,4,0.012676256943455349,-0.26043825312919094,0.016820061357876483,0.0063381284717276744,31,117,119,89,0.9999999999999999,-0.4999999999999995,-0.4999999999999995,0.0,0.0
30,1.5833333333333333,5,0.013305322128851542,-0.32805273552550346,0.018055555555555554,0.00665266106442577,26,120,120,95,0.0,0.0,0.0,0.0,0.0
31,1.5826086956521739,5,0.013882532418001529,-0.2905895908759099,0.0,0.006941266209000763,25,115,115,91,0.0,0.0,0.0,0.0,0.0
32,1.7315436241610738,5,0.011699619082169418,-0.3515023084625519,0.0,0.005849809541084709,20,149,149,129,0.0,0.0,0.0,0.0,0.0
33,1.6296296296296295,6,0.015230183454482514,-0.2857540310735167,0.0,0.00761509172724126,20,108,108,88,0.0,0.0,0.0,0.0,0.0
34,1.5833333333333333,4,0.013305322128851542,-0.26696222157257626,0.0,0.00665266106442577,30,112,120,95,1.5720442148907117,-1.4491302231710037,-0.3232508465859549,0.10016842743312304,0.10016842743312304
35,1.7852348993288591,7,0.012062397968438237,-0.2834194922174841,0.0,0.006031198984219118,19,148,149,133,1.0,-1.0,0.0,0.0,0.0
36,1.6821192052980132,6,0.011214128035320091,-0.3160736280433389,0.019867549668874173,0.005607064017660045,26,148,151,127,-1.0000000000000004,0.9999999999999999,5.551115123125783e-17,5.551115123125783e-17,0.0
37,1.8181818181818181,4,0.020898641588296754,-0.41694504911501806,0.02275526197939991,0.01044932079414838,18,76,88,80,2.031482633388027,-1.9023834873519494,1.0,-1.0,-0.06454957301803897
38,1.6031746031746033,5,0.012825396825396828,-0.2880869944215059,0.0,0.006412698412698412,28,126,126,101,0.0,0.0,0.0,0.0,0.0
39,1.744360902255639,5,0.013214855320118476,-0.3236044887381948,0.0,0.006607427660059239,17,133,133,116,0.0,0.0,0.0,0.0,0.0
40,1.7886178861788617,4,0.014660802345728375,-0.3533744040364485,0.03253127480769757,0.007330401172864188,20,113,123,110,1.756193554636289,-1.348180770346995,-0.2040063921446469,-0.2040063921446469,4.001349707580096e-16
41,1.5166666666666666,4,0.01274509803921569,-0.26083413375604775,0.0,0.006372549019607843,29,120,120,91,0.0,0.0,0.0,0.0,0.0
