Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,122,122,94,28,28,12,47,0,0.0,0.0,0
1,1209,1209,1085,124,124,360,766,0,0.0,0.0,0
2,1256,1256,1055,201,201,367,485,0,0.0,0.0,0
3,696,696,504,192,192,139,191,0,0.0,0.0,0
4,511,511,359,152,152,102,262,2,0.0196078431372549,0.007633587786259542,0.010989010989010988
5,378,378,249,129,129,61,85,1,0.01639344262295082,0.011764705882352941,0.0136986301369863
6,296,296,200,96,96,50,143,0,0.0,0.0,0
7,295,295,210,85,85,74,127,0,0.0,0.0,0
8,338,338,249,89,89,76,165,0,0.0,0.0,0
9,378,378,256,122,122,59,107,0,0.0,0.0,0
10,239,239,158,81,81,42,102,0,0.0,0.0,0
11,246,246,151,95,95,47,115,0,0.0,0.0,0
12,213,213,132,81,81,34,80,0,0.0,0.0,0
13,194,194,142,52,52,44,51,0,0.0,0.0,0
14,181,181,116,65,65,28,66,0,0.0,0.0,0
15,210,210,142,68,68,40,78,0,0.0,0.0,0
16,149,149,98,51,51,21,62,0,0.0,0.0,0
17,165,165,107,58,58,27,42,0,0.0,0.0,0
18,119,119,75,44,44,18,48,0,0.0,0.0,0
19,105,105,69,36,36,18,24,0,0.0,0.0,0
20,120,120,71,49,49,15,43,0,0.0,0.0,0
21,176,176,119,57,57,35,72,1,0.02857142857142857,0.013888888888888888,0.018691588785046724
22,150,150,99,51,51,25,68,0,0.0,0.0,0
23,111,111,56,55,55,7,34,0,0.0,0.0,0
24,147,147,98,49,49,29,64,0,0.0,0.0,0
25,230,230,94,136,136,21,64,0,0.0,0.0,0
26,167,167,105,62,62,30,72,0,0.0,0.0,0
27,165,165,101,64,64,26,42,0,0.0,0.0,0
28,208,208,124,84,84,35,90,0,0.0,0.0,0
29,119,119,63,56,56,14,41,1,0.07142857142857142,0.024390243902439025,0.03636363636363637
30,120,120,83,37,37,23,62,3,0.13043478260869565,0.04838709677419355,0.07058823529411765
31,115,115,71,44,44,19,52,3,0.15789473684210525,0.057692307692307696,0.08450704225352111
32,149,149,93,56,56,24,56,2,0.08333333333333333,0.03571428571428571,0.05
33,108,108,65,43,43,18,48,1,0.05555555555555555,0.020833333333333332,0.030303030303030304
34,120,120,75,45,45,18,48,0,0.0,0.0,0
