Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,94,94,94,0,0,12,47,0,0.0,0.0,0
1,969,969,969,0,0,278,713,0,0.0,0.0,0
2,1010,1010,1010,0,0,354,464,0,0.0,0.0,0
3,491,491,491,0,0,132,186,0,0.0,0.0,0
4,338,338,338,0,0,90,109,2,0.022222222222222223,0.01834862385321101,0.020100502512562814
5,239,239,239,0,0,56,82,1,0.017857142857142856,0.012195121951219513,0.014492753623188406
6,192,192,192,0,0,45,75,0,0.0,0.0,0
7,201,201,201,0,0,65,59,0,0.0,0.0,0
8,241,241,241,0,0,75,80,0,0.0,0.0,0
9,234,234,234,0,0,52,76,0,0.0,0.0,0
10,145,145,145,0,0,35,48,0,0.0,0.0,0
11,138,138,138,0,0,38,36,0,0.0,0.0,0
12,120,120,120,0,0,31,36,0,0.0,0.0,0
13,138,138,138,0,0,39,41,0,0.0,0.0,0
14,103,103,103,0,0,22,36,0,0.0,0.0,0
15,138,138,138,0,0,36,47,0,0.0,0.0,0
16,93,93,93,0,0,18,29,0,0.0,0.0,0
17,100,100,100,0,0,26,33,0,0.0,0.0,0
18,72,72,72,0,0,17,24,0,0.0,0.0,0
19,68,68,68,0,0,16,21,0,0.0,0.0,0
20,69,69,69,0,0,15,22,0,0.0,0.0,0
21,110,110,110,0,0,25,36,0,0.0,0.0,0
22,92,92,92,0,0,21,31,0,0.0,0.0,0
23,51,51,51,0,0,7,12,0,0.0,0.0,0
24,93,93,93,0,0,26,38,0,0.0,0.0,0
25,72,72,72,0,0,15,22,0,0.0,0.0,0
26,101,101,101,0,0,24,31,0,0.0,0.0,0
27,96,96,96,0,0,24,35,0,0.0,0.0,0
28,107,107,107,0,0,27,25,0,0.0,0.0,0
29,59,59,59,0,0,10,16,0,0.0,0.0,0
30,79,79,79,0,0,18,41,0,0.0,0.0,0
31,64,64,64,0,0,15,23,0,0.0,0.0,0
32,83,83,83,0,0,15,25,0,0.0,0.0,0
33,61,61,61,0,0,16,24,1,0.0625,0.041666666666666664,0.05
34,71,71,71,0,0,18,22,0,0.0,0.0,0
35,87,87,87,0,0,18,32,0,0.0,0.0,0
36,83,83,83,0,0,16,25,0,0.0,0.0,0
