Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,23,2,0,23,2,0,0,0,0,0,0
1,218,131,18,200,113,3,2,0,0.0,0.0,0
2,205,493,36,169,457,0,1,0,0,0.0,0
3,125,288,41,84,247,0,0,0,0,0,0
4,140,235,41,99,194,1,0,0,0.0,0,0
5,114,168,28,86,140,0,0,0,0,0,0
6,83,107,15,68,92,0,0,0,0,0,0
7,78,143,24,54,119,0,0,0,0,0,0
8,94,166,27,67,139,0,19,0,0,0.0,0
9,115,183,29,86,154,0,0,0,0,0,0
10,69,102,17,52,85,0,0,0,0,0,0
11,74,120,27,47,93,4,0,0,0.0,0,0
12,61,85,19,42,66,0,0,0,0,0,0
13,44,94,16,28,78,2,1,0,0.0,0.0,0
14,51,69,13,38,56,0,6,0,0,0.0,0
15,54,99,18,36,81,1,7,0,0.0,0.0,0
16,38,61,10,28,51,0,7,0,0,0.0,0
17,41,72,9,32,63,0,0,0,0,0,0
18,40,52,15,25,37,1,7,0,0.0,0.0,0
19,31,49,8,23,41,1,0,0,0.0,0,0
20,38,44,9,29,35,0,0,0,0,0,0
21,52,73,16,36,57,3,10,0,0.0,0.0,0
22,43,67,13,30,54,0,0,0,0,0,0
23,34,46,11,23,35,0,0,0,0,0,0
24,34,37,6,28,31,0,4,0,0,0.0,0
25,71,49,20,51,29,1,2,0,0.0,0.0,0
26,48,73,15,33,58,1,9,0,0.0,0.0,0
27,45,67,16,29,51,0,0,0,0,0,0
28,66,110,26,40,84,0,0,0,0,0,0
29,35,58,10,25,48,1,6,1,1.0,0.16666666666666666,0.2857142857142857
30,38,41,10,28,31,3,7,3,1.0,0.42857142857142855,0.6
31,36,51,14,22,37,3,8,3,1.0,0.375,0.5454545454545454
32,46,66,18,28,48,1,8,1,1.0,0.125,0.2222222222222222
33,35,42,10,25,32,0,0,0,0,0,0
34,37,51,7,30,44,0,0,0,0,0,0
35,49,69,15,34,54,0,0,0,0,0,0
36,44,74,20,24,54,5,15,1,0.2,0.06666666666666667,0.1
37,32,37,12,20,25,0,3,0,0,0.0,0
