Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,2,2,0,2,2,0,0,0,0,0,0
1,88,131,7,81,124,0,0,0,0,0,0
2,446,493,97,349,396,96,0,0,0.0,0,0
3,261,288,89,172,199,0,0,0,0,0,0
4,219,235,85,134,150,0,0,0,0,0,0
5,145,168,47,98,121,0,0,0,0,0,0
6,94,107,24,70,83,0,0,0,0,0,0
7,122,143,56,66,87,0,0,0,0,0,0
8,150,166,53,97,113,0,0,0,0,0,0
9,168,183,63,105,120,0,0,0,0,0,0
10,83,102,35,48,67,0,0,0,0,0,0
11,111,120,60,51,60,0,0,0,0,0,0
12,69,85,29,40,56,0,0,0,0,0,0
13,84,94,39,45,55,0,0,0,0,0,0
14,53,69,17,36,52,0,0,0,0,0,0
15,78,99,30,48,69,0,0,0,0,0,0
16,54,61,21,33,40,0,0,0,0,0,0
17,60,72,24,36,48,0,0,0,0,0,0
18,40,52,20,20,32,0,0,0,0,0,0
19,38,49,11,27,38,0,0,0,0,0,0
20,35,44,9,26,35,0,0,0,0,0,0
21,68,73,24,44,49,0,0,0,0,0,0
22,58,67,16,42,51,0,0,0,0,0,0
23,37,46,19,18,27,0,0,0,0,0,0
24,34,37,5,29,32,0,0,0,0,0,0
25,42,49,18,24,31,0,0,0,0,0,0
26,67,73,26,41,47,0,0,0,0,0,0
27,54,67,23,31,44,0,0,0,0,0,0
28,95,110,62,33,48,0,0,0,0,0,0
29,47,58,23,24,35,0,0,0,0,0,0
30,34,41,4,30,37,0,0,0,0,0,0
31,42,51,15,27,36,0,0,0,0,0,0
32,60,66,26,34,40,0,0,0,0,0,0
33,37,42,8,29,34,0,0,0,0,0,0
34,46,51,15,31,36,0,0,0,0,0,0
35,65,69,26,39,43,0,0,0,0,0,0
36,62,74,31,31,43,0,0,0,0,0,0
37,37,37,11,26,26,0,0,0,0,0,0
38,51,60,15,36,45,0,0,0,0,0,0
39,56,66,32,24,34,0,0,0,0,0,0
40,49,51,19,30,32,0,0,0,0,0,0
41,43,58,17,26,41,0,0,0,0,0,0
42,51,65,28,23,37,0,0,0,0,0,0
43,41,49,14,27,35,0,0,0,0,0,0
44,51,55,25,26,30,0,0,0,0,0,0
45,60,73,40,20,33,0,0,0,0,0,0
46,31,41,12,19,29,0,0,0,0,0,0
47,41,53,20,21,33,0,0,0,0,0,0
48,30,37,11,19,26,0,0,0,0,0,0
49,35,40,18,17,22,0,0,0,0,0,0
50,45,48,23,22,25,0,0,0,0,0,0
51,48,53,27,21,26,0,0,0,0,0,0
52,35,44,17,18,27,0,0,0,0,0,0
53,30,37,22,8,15,0,0,0,0,0,0
54,27,35,10,17,25,0,0,0,0,0,0
55,44,56,27,17,29,0,0,0,0,0,0
56,33,39,20,13,19,0,0,0,0,0,0
57,33,37,10,23,27,0,0,0,0,0,0
58,31,37,18,13,19,0,0,0,0,0,0
59,45,50,27,18,23,0,0,0,0,0,0
60,42,55,23,19,32,0,0,0,0,0,0
61,109,124,68,41,56,0,0,0,0,0,0
62,283,326,198,85,128,0,0,0,0,0,0
63,147,162,116,31,46,0,0,0,0,0,0
64,84,94,54,30,40,0,0,0,0,0,0
65,85,101,52,33,49,0,0,0,0,0,0
66,226,228,165,61,63,0,0,0,0,0,0
67,251,253,220,31,33,0,0,0,0,0,0
68,152,147,124,28,23,0,0,0,0,0,0
69,164,175,131,33,44,0,0,0,0,0,0
70,106,147,92,14,55,0,0,0,0,0,0
71,100,116,82,18,34,0,0,0,0,0,0
72,89,100,68,21,32,0,0,0,0,0,0
73,85,95,53,32,42,0,0,0,0,0,0
74,77,92,53,24,39,0,0,0,0,0,0
75,106,146,87,19,59,0,0,0,0,0,0
76,120,148,78,42,70,0,0,0,0,0,0
77,159,195,125,34,70,0,0,0,0,0,0
78,116,156,76,40,80,0,0,0,0,0,0
79,157,183,108,49,75,0,0,0,0,0,0
80,258,306,193,65,113,0,0,0,0,0,0
81,377,499,300,77,199,0,0,0,0,0,0
82,202,241,158,44,83,0,0,0,0,0,0
83,149,177,105,44,72,0,0,0,0,0,0
84,184,188,138,46,50,0,0,0,0,0,0
85,143,169,111,32,58,0,0,0,0,0,0
86,148,170,122,26,48,0,0,0,0,0,0
87,112,129,91,21,38,0,0,0,0,0,0
88,96,116,81,15,35,0,0,0,0,0,0
89,77,94,55,22,39,0,0,0,0,0,0
90,132,146,98,34,48,0,0,0,0,0,0
91,77,91,44,33,47,0,0,0,0,0,0
92,67,98,61,6,37,0,0,0,0,0,0
93,53,75,35,18,40,0,0,0,0,0,0
94,91,108,78,13,30,0,0,0,0,0,0
95,96,116,87,9,29,0,0,0,0,0,0
96,88,112,77,11,35,0,0,0,0,0,0
97,112,135,78,34,57,0,0,0,0,0,0
98,101,127,76,25,51,75,1,1,0.013333333333333334,1.0,0.02631578947368421
99,108,132,83,25,49,0,0,0,0,0,0
100,114,137,78,36,59,0,0,0,0,0,0
101,129,155,97,32,58,0,0,0,0,0,0
102,423,477,332,91,145,0,0,0,0,0,0
103,227,269,171,56,98,0,0,0,0,0,0
104,190,232,140,50,92,0,0,0,0,0,0
105,149,174,108,41,66,0,0,0,0,0,0
106,206,254,147,59,107,0,0,0,0,0,0
107,140,173,104,36,69,0,0,0,0,0,0
108,343,402,295,48,107,0,0,0,0,0,0
109,208,247,173,35,74,0,0,0,0,0,0
110,119,144,95,24,49,0,0,0,0,0,0
111,112,136,96,16,40,0,0,0,0,0,0
112,126,160,93,33,67,0,0,0,0,0,0
113,129,167,96,33,71,0,0,0,0,0,0
114,120,158,91,29,67,0,0,0,0,0,0
115,122,147,96,26,51,0,0,0,0,0,0
116,99,126,70,29,56,0,0,0,0,0,0
117,121,142,95,26,47,0,0,0,0,0,0
118,94,121,67,27,54,0,0,0,0,0,0
119,93,119,75,18,44,0,0,0,0,0,0
120,130,168,111,19,57,0,0,0,0,0,0
121,136,178,110,26,68,0,0,0,0,0,0
122,150,185,130,20,55,0,0,0,0,0,0
123,169,220,124,45,96,0,0,0,0,0,0
124,127,172,83,44,89,0,0,0,0,0,0
125,194,252,121,73,131,0,0,0,0,0,0
126,182,223,150,32,73,149,0,0,0.0,0,0
127,267,291,225,42,66,0,0,0,0,0,0
128,140,170,105,35,65,0,0,0,0,0,0
129,141,187,115,26,72,0,0,0,0,0,0
130,117,151,93,24,58,0,0,0,0,0,0
131,107,131,78,29,53,0,0,0,0,0,0
132,145,181,113,32,68,0,0,0,0,0,0
133,136,168,110,26,58,109,1,1,0.009174311926605505,1.0,0.018181818181818184
134,205,243,179,26,64,0,0,0,0,0,0
135,207,253,195,12,58,0,0,0,0,0,0
136,142,184,127,15,57,0,0,0,0,0,0
137,130,153,110,20,43,0,0,0,0,0,0
138,135,175,126,9,49,0,0,0,0,0,0
139,83,105,73,10,32,0,0,0,0,0,0
140,118,153,102,16,51,0,0,0,0,0,0
141,134,171,123,11,48,0,0,0,0,0,0
142,100,129,82,18,47,0,0,0,0,0,0
143,155,206,129,26,77,0,0,0,0,0,0
144,191,237,156,35,81,0,0,0,0,0,0
145,206,265,164,42,101,0,0,0,0,0,0
146,379,478,301,78,177,0,0,0,0,0,0
147,206,273,167,39,106,0,0,0,0,0,0
148,161,202,141,20,61,0,0,0,0,0,0
149,131,164,108,23,56,0,0,0,0,0,0
150,193,234,150,43,84,149,1,1,0.006711409395973154,1.0,0.013333333333333332
151,178,217,135,43,82,0,0,0,0,0,0
152,150,195,132,18,63,0,0,0,0,0,0
153,183,220,155,28,65,0,0,0,0,0,0
154,171,213,147,24,66,0,0,0,0,0,0
155,141,180,113,28,67,0,0,0,0,0,0
156,906,913,717,189,196,0,0,0,0,0,0
157,109,143,94,15,49,0,0,0,0,0,0
158,157,199,124,33,75,123,8,8,0.06504065040650407,1.0,0.1221374045801527
159,200,244,177,23,67,0,0,0,0,0,0
160,127,152,97,30,55,0,0,0,0,0,0
161,92,125,67,25,58,0,0,0,0,0,0
162,124,147,101,23,46,0,0,0,0,0,0
163,96,123,73,23,50,0,0,0,0,0,0
164,114,143,92,22,51,0,0,0,0,0,0
165,67,84,51,16,33,0,0,0,0,0,0
166,91,129,71,20,58,0,0,0,0,0,0
167,81,108,67,14,41,0,0,0,0,0,0
168,92,113,72,20,41,0,0,0,0,0,0
169,122,168,103,19,65,0,0,0,0,0,0
170,107,129,91,16,38,0,0,0,0,0,0
171,108,130,87,21,43,0,0,0,0,0,0
172,83,102,71,12,31,0,0,0,0,0,0
173,93,121,79,14,42,0,0,0,0,0,0
174,100,113,78,22,35,0,0,0,0,0,0
175,116,143,101,15,42,0,0,0,0,0,0
176,149,172,117,32,55,0,0,0,0,0,0
177,155,192,139,16,53,0,0,0,0,0,0
178,171,183,121,50,62,0,0,0,0,0,0
179,80,103,68,12,35,0,0,0,0,0,0
180,81,102,68,13,34,0,0,0,0,0,0
181,68,88,57,11,31,0,0,0,0,0,0
182,80,105,67,13,38,66,3,3,0.045454545454545456,1.0,0.08695652173913045
183,106,134,94,12,40,0,0,0,0,0,0
184,160,193,138,22,55,137,8,8,0.058394160583941604,1.0,0.1103448275862069
185,179,200,158,21,42,0,0,0,0,0,0
