Graph_Num,Precision_New,Recall_New,F1_New,Accuracy_New,Precision_Old,Recall_Old,F1_Old,Accuracy_Old,Precision_All,Recall_All,F1_All
0,1.0,1.0,1.0,1.0,0.0,0.0,0,0.0,0.7704918032786885,0.7704918032786885,0.7704918032786885
1,1.0,1.0,1.0,1.0,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.8974358974358975,0.8974358974358975,0.8974358974358975
2,1.0,1.0,1.0,1.0,0.18292682926829268,0.18292682926829268,0.18292682926829268,0.18292682926829268,0.839968152866242,0.839968152866242,0.839968152866242
3,1.0,1.0,1.0,1.0,0.06341463414634146,0.06341463414634146,0.06341463414634146,0.06341463414634146,0.7241379310344828,0.7241379310344828,0.7241379310344829
4,1.0,1.0,1.0,1.0,0.12138728323699421,0.12138728323699421,0.12138728323699421,0.12138728323699421,0.7025440313111546,0.7025440313111546,0.7025440313111546
5,1.0,1.0,1.0,1.0,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.07194244604316546,0.6587301587301587,0.6587301587301587,0.6587301587301587
6,1.0,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.6756756756756757,0.6756756756756757,0.6756756756756757
7,1.0,1.0,1.0,1.0,0.09574468085106383,0.09574468085106383,0.09574468085106382,0.09574468085106383,0.711864406779661,0.711864406779661,0.711864406779661
8,1.0,1.0,1.0,1.0,0.08247422680412371,0.08247422680412371,0.08247422680412371,0.08247422680412371,0.7366863905325444,0.7366863905325444,0.7366863905325444
9,1.0,1.0,1.0,1.0,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.6772486772486772,0.6772486772486772,0.6772486772486772
10,1.0,1.0,1.0,1.0,0.13829787234042554,0.13829787234042554,0.13829787234042554,0.13829787234042554,0.6610878661087866,0.6610878661087866,0.6610878661087866
11,1.0,1.0,1.0,1.0,0.12037037037037036,0.12037037037037036,0.12037037037037036,0.12037037037037036,0.6138211382113821,0.6138211382113821,0.6138211382113821
12,1.0,1.0,1.0,1.0,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.6197183098591549,0.6197183098591549,0.6197183098591549
13,1.0,1.0,1.0,1.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.7319587628865979,0.7319587628865979,0.7319587628865979
14,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6408839779005525,0.6408839779005525,0.6408839779005525
15,1.0,1.0,1.0,1.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.6761904761904762,0.6761904761904762,0.6761904761904762
16,1.0,1.0,1.0,1.0,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.08928571428571429,0.6577181208053692,0.6577181208053692,0.6577181208053692
17,1.0,1.0,1.0,1.0,0.1076923076923077,0.1076923076923077,0.10769230769230768,0.1076923076923077,0.6484848484848484,0.6484848484848484,0.6484848484848484
18,1.0,1.0,1.0,1.0,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.06382978723404255,0.6302521008403361,0.6302521008403361,0.6302521008403361
19,1.0,1.0,1.0,1.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.6571428571428571,0.6571428571428571,0.6571428571428571
20,1.0,1.0,1.0,1.0,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.5916666666666667,0.5916666666666667,0.5916666666666667
21,1.0,1.0,1.0,1.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.6761363636363636,0.6761363636363636,0.6761363636363636
22,1.0,1.0,1.0,1.0,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.1206896551724138,0.66,0.66,0.66
23,1.0,1.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5045045045045045,0.5045045045045045,0.5045045045045045
24,1.0,1.0,1.0,1.0,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.6666666666666666,0.6666666666666666,0.6666666666666666
25,1.0,1.0,1.0,1.0,0.13924050632911392,0.13924050632911392,0.13924050632911392,0.13924050632911392,0.40869565217391307,0.40869565217391307,0.408695652173913
26,1.0,1.0,1.0,1.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.6287425149700598,0.6287425149700598,0.6287425149700598
27,1.0,1.0,1.0,1.0,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.6121212121212121,0.6121212121212121,0.6121212121212121
28,1.0,1.0,1.0,1.0,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.16831683168316833,0.5961538461538461,0.5961538461538461,0.5961538461538461
29,1.0,1.0,1.0,1.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5294117647058824,0.5294117647058824,0.5294117647058824
30,1.0,1.0,1.0,1.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.6916666666666667,0.6916666666666667,0.6916666666666667
31,1.0,1.0,1.0,1.0,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.13725490196078433,0.6173913043478261,0.6173913043478261,0.6173913043478261
32,1.0,1.0,1.0,1.0,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.6241610738255033,0.6241610738255033,0.6241610738255033
33,1.0,1.0,1.0,1.0,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.0851063829787234,0.6018518518518519,0.6018518518518519,0.6018518518518519
34,1.0,1.0,1.0,1.0,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.08163265306122448,0.625,0.625,0.625
35,1.0,1.0,1.0,1.0,0.11290322580645161,0.11290322580645161,0.11290322580645161,0.11290322580645161,0.6308724832214765,0.6308724832214765,0.6308724832214765
36,1.0,1.0,1.0,1.0,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.5960264900662252,0.5960264900662252,0.5960264900662252
37,1.0,1.0,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.625,0.625,0.625
38,1.0,1.0,1.0,1.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.6507936507936508,0.6507936507936508,0.6507936507936508
39,1.0,1.0,1.0,1.0,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.04411764705882353,0.5112781954887218,0.5112781954887218,0.5112781954887218
40,1.0,1.0,1.0,1.0,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.08620689655172414,0.5691056910569106,0.5691056910569106,0.5691056910569106
41,1.0,1.0,1.0,1.0,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.5916666666666667,0.5916666666666667,0.5916666666666667
42,1.0,1.0,1.0,1.0,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.06557377049180328,0.5476190476190477,0.5476190476190477,0.5476190476190477
43,1.0,1.0,1.0,1.0,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.07547169811320754,0.5585585585585585,0.5585585585585585,0.5585585585585585
44,1.0,1.0,1.0,1.0,0.1038961038961039,0.1038961038961039,0.1038961038961039,0.1038961038961039,0.5071428571428571,0.5071428571428571,0.5071428571428571
45,1.0,1.0,1.0,1.0,0.09836065573770492,0.09836065573770492,0.0983606557377049,0.09836065573770492,0.5801526717557252,0.5801526717557252,0.5801526717557252
46,1.0,1.0,1.0,1.0,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.10909090909090909,0.5333333333333333,0.5333333333333333,0.5333333333333333
47,1.0,1.0,1.0,1.0,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.14893617021276595,0.5959595959595959,0.5959595959595959,0.5959595959595959
48,1.0,1.0,1.0,1.0,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.03636363636363636,0.4752475247524752,0.4752475247524752,0.4752475247524752
49,1.0,1.0,1.0,1.0,0.09433962264150944,0.09433962264150944,0.09433962264150943,0.09433962264150944,0.49473684210526314,0.49473684210526314,0.49473684210526314
50,1.0,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.5,0.5,0.5
51,1.0,1.0,1.0,1.0,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.13846153846153847,0.5254237288135594,0.5254237288135594,0.5254237288135594
52,1.0,1.0,1.0,1.0,0.17073170731707318,0.17073170731707318,0.17073170731707318,0.17073170731707318,0.6136363636363636,0.6136363636363636,0.6136363636363636
53,1.0,1.0,1.0,1.0,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.45121951219512196,0.45121951219512196,0.45121951219512196
54,1.0,1.0,1.0,1.0,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.5208333333333334,0.5208333333333334,0.5208333333333334
55,1.0,1.0,1.0,1.0,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.10204081632653061,0.5510204081632653,0.5510204081632653,0.5510204081632653
56,1.0,1.0,1.0,1.0,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.1346153846153846,0.48863636363636365,0.48863636363636365,0.48863636363636365
57,1.0,1.0,1.0,1.0,0.16,0.16,0.16,0.16,0.6181818181818182,0.6181818181818182,0.6181818181818182
58,1.0,1.0,1.0,1.0,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.5,0.5,0.5
59,1.0,1.0,1.0,1.0,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.1527777777777778,0.5,0.5,0.5
60,1.0,1.0,1.0,1.0,0.125,0.125,0.125,0.125,0.5213675213675214,0.5213675213675214,0.5213675213675214
61,1.0,1.0,1.0,1.0,0.13592233009708737,0.13592233009708737,0.13592233009708737,0.13592233009708737,0.6212765957446809,0.6212765957446809,0.6212765957446809
62,1.0,1.0,1.0,1.0,0.15425531914893617,0.15425531914893617,0.15425531914893617,0.15425531914893617,0.6781376518218624,0.6781376518218624,0.6781376518218624
63,1.0,1.0,1.0,1.0,0.13768115942028986,0.13768115942028986,0.13768115942028986,0.13768115942028986,0.5795053003533569,0.5795053003533569,0.5795053003533569
64,1.0,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.5921787709497207,0.5921787709497207,0.5921787709497207
