Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,121,122,96,25,26,1,48,1,1.0,0.020833333333333332,0.04081632653061225
1,1160,1209,1060,100,149,138,791,42,0.30434782608695654,0.05309734513274336,0.09041980624327235
2,1115,1256,1044,71,212,103,810,20,0.1941747572815534,0.024691358024691357,0.04381161007667032
3,593,696,516,77,180,90,339,16,0.17777777777777778,0.0471976401179941,0.07459207459207459
4,422,511,366,56,145,293,239,17,0.05802047781569966,0.07112970711297072,0.06390977443609024
5,311,378,265,46,113,181,200,23,0.1270718232044199,0.115,0.12073490813648295
6,249,296,207,42,89,27,137,7,0.25925925925925924,0.051094890510948905,0.08536585365853659
7,254,295,220,34,75,33,140,10,0.30303030303030304,0.07142857142857142,0.11560693641618495
8,304,338,279,25,59,19,191,4,0.21052631578947367,0.020942408376963352,0.0380952380952381
9,330,378,285,45,93,193,204,74,0.38341968911917096,0.3627450980392157,0.37279596977329976
10,214,239,188,26,51,110,126,43,0.39090909090909093,0.3412698412698413,0.3644067796610169
11,220,246,176,44,70,125,139,39,0.312,0.2805755395683453,0.29545454545454547
12,192,213,153,39,60,84,98,17,0.20238095238095238,0.17346938775510204,0.1868131868131868
13,180,194,157,23,37,86,113,21,0.2441860465116279,0.18584070796460178,0.21105527638190955
14,165,181,135,30,46,60,86,12,0.2,0.13953488372093023,0.16438356164383564
15,186,210,174,12,36,6,110,4,0.6666666666666666,0.03636363636363636,0.06896551724137931
16,137,149,124,13,25,57,90,1,0.017543859649122806,0.011111111111111112,0.013605442176870748
17,148,165,136,12,29,57,93,9,0.15789473684210525,0.0967741935483871,0.12000000000000001
18,108,119,94,14,25,47,61,9,0.19148936170212766,0.14754098360655737,0.16666666666666666
19,101,105,94,7,11,0,60,0,0,0.0,0
20,110,120,99,11,21,40,62,6,0.15,0.0967741935483871,0.11764705882352941
21,172,176,149,23,27,72,102,13,0.18055555555555555,0.12745098039215685,0.14942528735632182
