Graph_Num,Num_Pred_Nodes,Num_True_Nodes,Common_Nodes,Removed_From_Pred,Removed_From_True,Num_Pred_Edges,Num_True_Edges,Correct_Edges,Precision,Recall,F1
0,94,94,94,0,0,0,47,0,0,0.0,0
1,969,969,969,0,0,4,713,0,0.0,0.0,0
2,1010,1010,1010,0,0,25,464,0,0.0,0.0,0
3,491,491,491,0,0,42,186,0,0.0,0.0,0
4,338,338,338,0,0,38,109,0,0.0,0.0,0
5,243,243,243,0,0,17,86,0,0.0,0.0,0
6,196,196,196,0,0,16,77,0,0.0,0.0,0
7,209,209,209,0,0,15,66,0,0.0,0.0,0
8,269,269,269,0,0,7,100,0,0.0,0.0,0
9,271,271,271,0,0,14,103,0,0.0,0.0,0
10,179,179,179,0,0,9,64,0,0.0,0.0,0
11,164,164,164,0,0,11,54,0,0.0,0.0,0
12,147,147,147,0,0,11,50,0,0.0,0.0,0
13,154,154,154,0,0,3,51,0,0.0,0.0,0
14,130,130,130,0,0,6,52,0,0.0,0.0,0
15,170,170,170,0,0,3,69,1,0.3333333333333333,0.014492753623188406,0.027777777777777776
16,119,119,119,0,0,5,45,0,0.0,0.0,0
17,135,135,135,0,0,5,60,0,0.0,0.0,0
18,93,93,93,0,0,4,33,0,0.0,0.0,0
19,93,93,93,0,0,0,40,0,0,0.0,0
20,97,97,97,0,0,5,38,1,0.2,0.02631578947368421,0.046511627906976744
21,144,144,144,0,0,4,57,0,0.0,0.0,0
22,133,133,133,0,0,0,58,0,0,0.0,0
23,92,92,92,0,0,3,35,1,0.3333333333333333,0.02857142857142857,0.05263157894736842
24,123,123,123,0,0,3,51,0,0.0,0.0,0
25,174,174,174,0,0,34,38,1,0.029411764705882353,0.02631578947368421,0.027777777777777776
26,138,138,138,0,0,5,48,0,0.0,0.0,0
27,136,136,136,0,0,3,54,0,0.0,0.0,0
28,152,152,152,0,0,10,56,0,0.0,0.0,0
29,87,87,87,0,0,2,36,0,0.0,0.0,0
30,101,101,101,0,0,4,55,0,0.0,0.0,0
31,89,89,89,0,0,2,39,0,0.0,0.0,0
32,107,107,107,0,0,11,39,1,0.09090909090909091,0.02564102564102564,0.04
33,93,93,93,0,0,2,42,0,0.0,0.0,0
34,98,98,98,0,0,2,37,0,0.0,0.0,0
35,126,126,126,0,0,4,57,0,0.0,0.0,0
36,120,120,120,0,0,3,45,0,0.0,0.0,0
37,69,69,69,0,0,3,24,0,0.0,0.0,0
38,109,109,109,0,0,2,45,0,0.0,0.0,0
39,112,112,112,0,0,0,48,0,0,0.0,0
40,99,99,99,0,0,3,34,0,0.0,0.0,0
41,101,101,101,0,0,0,39,0,0,0.0,0
42,104,104,104,0,0,3,44,0,0.0,0.0,0
43,92,92,92,0,0,3,36,1,0.3333333333333333,0.027777777777777776,0.05128205128205128
44,111,111,111,0,0,6,39,0,0.0,0.0,0
45,107,107,107,0,0,7,34,1,0.14285714285714285,0.029411764705882353,0.04878048780487805
46,88,88,88,0,0,0,35,0,0,0.0,0
47,75,75,75,0,0,2,26,1,0.5,0.038461538461538464,0.07142857142857144
48,81,81,81,0,0,4,37,0,0.0,0.0,0
49,79,79,79,0,0,2,25,0,0.0,0.0,0
50,96,96,96,0,0,2,30,0,0.0,0.0,0
51,91,91,91,0,0,4,33,0,0.0,0.0,0
52,67,67,67,0,0,2,24,0,0.0,0.0,0
53,53,53,53,0,0,3,16,0,0.0,0.0,0
54,75,75,75,0,0,3,29,0,0.0,0.0,0
55,76,76,76,0,0,1,31,0,0.0,0.0,0
56,66,66,66,0,0,2,24,0,0.0,0.0,0
57,84,84,84,0,0,1,33,0,0.0,0.0,0
58,66,66,66,0,0,4,20,0,0.0,0.0,0
59,94,94,94,0,0,4,36,0,0.0,0.0,0
60,84,84,84,0,0,4,32,0,0.0,0.0,0
61,198,198,198,0,0,5,70,1,0.2,0.014285714285714285,0.026666666666666665
62,430,430,430,0,0,4,182,0,0.0,0.0,0
63,201,201,201,0,0,18,57,1,0.05555555555555555,0.017543859649122806,0.02666666666666667
64,129,129,129,0,0,3,42,0,0.0,0.0,0
65,150,150,150,0,0,14,44,1,0.07142857142857142,0.022727272727272728,0.034482758620689655
66,314,314,314,0,0,30,78,0,0.0,0.0,0
67,301,301,301,0,0,22,46,0,0.0,0.0,0
68,180,180,180,0,0,25,32,0,0.0,0.0,0
69,213,213,213,0,0,19,48,0,0.0,0.0,0
70,144,144,144,0,0,12,37,0,0.0,0.0,0
71,132,132,132,0,0,12,31,0,0.0,0.0,0
72,129,129,129,0,0,12,42,0,0.0,0.0,0
73,149,149,149,0,0,7,48,0,0.0,0.0,0
74,124,124,124,0,0,9,41,0,0.0,0.0,0
75,171,171,171,0,0,6,63,0,0.0,0.0,0
76,207,207,207,0,0,15,66,0,0.0,0.0,0
77,266,266,266,0,0,24,84,0,0.0,0.0,0
78,221,221,221,0,0,11,75,0,0.0,0.0,0
79,244,244,244,0,0,19,82,0,0.0,0.0,0
80,417,417,417,0,0,16,153,1,0.0625,0.006535947712418301,0.011834319526627219
81,603,603,603,0,0,59,236,0,0.0,0.0,0
82,307,307,307,0,0,36,93,0,0.0,0.0,0
83,235,235,235,0,0,73,71,0,0.0,0.0,0
84,249,249,249,0,0,167,70,1,0.005988023952095809,0.014285714285714285,0.008438818565400845
85,227,227,227,0,0,20,64,0,0.0,0.0,0
86,229,229,229,0,0,13,65,0,0.0,0.0,0
87,181,181,181,0,0,15,46,0,0.0,0.0,0
88,146,146,146,0,0,14,32,0,0.0,0.0,0
89,127,127,127,0,0,8,40,0,0.0,0.0,0
