,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,1467,0,780,0,0
1,926,157,488,78,10,1
2,715,71,377,34,3,1
3,645,77,336,37,4,0
4,1006,2188,483,1624,354,7
5,3283,2461,2483,1008,977,108
6,5735,934,4562,296,477,90
7,6653,680,5407,232,338,66
8,7272,501,5992,135,295,75
9,7749,387,6476,110,203,30
10,8126,528,6798,130,321,118
11,6588,489,5355,114,315,50
12,4691,340,3775,86,211,40
13,4068,258,3275,67,155,19
14,3588,233,2863,52,146,31
15,3251,297,2580,86,156,32
16,3162,258,2504,74,139,23
17,2750,336,2149,68,237,18
18,2538,217,1953,56,151,15
19,2369,181,1828,43,111,15
20,2268,164,1740,47,87,20
21,2154,156,1649,46,81,16
22,1977,187,1493,56,98,20
23,1897,199,1421,61,106,25
24,1813,188,1281,46,139,111
25,1756,120,1343,33,72,13
26,1681,191,1287,56,111,8
27,1707,147,1312,45,90,15
28,1712,396,1317,166,116,8
29,1909,296,1439,109,120,25
30,1980,235,1486,67,129,22
31,2092,415,1453,119,238,59
32,2416,226,1760,70,135,26
33,2486,166,1830,45,102,11
34,2489,124,1833,35,72,10
35,2231,146,1656,39,87,16
36,2069,148,1532,36,100,23
37,1971,102,1468,27,65,11
38,1491,124,1127,26,82,10
39,1356,141,1006,41,99,17
40,1313,148,995,31,108,17
41,1330,144,1031,36,98,25
42,1300,97,1032,21,71,20
43,1216,118,972,27,78,8
44,1222,96,977,22,60,10
45,1216,120,956,24,83,18
46,1175,105,920,24,80,8
47,1154,154,894,42,87,16
48,1181,157,883,35,116,25
49,1274,190,956,49,112,30
50,1351,167,1028,46,98,18
51,1460,165,1109,37,121,22
52,1513,207,1164,64,98,28
53,1669,223,1246,54,137,15
54,1793,325,1323,112,233,28
55,2006,337,1532,68,277,28
56,2144,208,1717,55,134,31
57,2206,275,1785,74,181,40
58,2317,200,1904,58,115,14
59,2315,198,1897,50,126,20
60,2274,205,1881,57,135,25
61,2157,211,1728,57,131,28
62,1985,137,1544,26,125,13
63,1907,175,1490,41,130,48
64,1798,224,1411,56,152,28
65,1815,143,1450,42,83,41
66,1749,180,1419,50,103,11
67,1716,158,1362,34,103,12
68,1660,172,1304,28,155,44
69,1689,141,1373,29,102,8
70,1647,161,1299,32,128,34
71,1582,181,1250,34,138,24
72,1638,188,1288,47,130,24
73,1678,204,1334,56,130,29
74,1727,189,1397,43,136,14
75,1728,191,1373,50,117,9
76,1795,148,1427,30,114,6
77,1787,159,1395,42,100,43
78,1804,164,1371,34,120,81
79,1822,154,1392,33,111,102
80,1802,207,1424,50,146,47
81,1824,148,1474,34,102,16
82,1800,141,1446,26,121,42
83,1846,123,1474,27,75,93
84,1812,120,1476,29,76,52
85,1703,116,1384,25,84,34
86,1570,123,1282,25,105,16
87,1423,94,1181,17,90,6
88,1359,107,1127,18,89,9
89,1283,122,1049,27,96,29
90,1184,90,1001,13,80,3
91,1095,68,928,16,45,11
92,1024,93,854,15,93,7
93,994,93,822,18,81,16
94,984,56,815,9,45,15
95,946,83,783,29,80,30
96,872,68,761,11,63,8
97,854,77,735,14,63,14
98,860,68,744,9,58,8
99,827,73,692,11,59,5
100,788,86,640,13,84,10
101,838,90,684,17,72,21
102,849,140,655,31,124,39
103,908,69,761,12,55,5
104,899,68,744,5,74,12
105,911,97,774,16,79,11
106,961,71,810,5,77,14
107,967,95,812,29,62,9
108,965,74,806,14,59,7
109,853,77,685,19,58,1
110,884,100,696,16,104,13
111,914,63,739,6,65,3
112,882,83,694,24,55,21
113,892,95,697,20,80,10
114,875,78,696,15,65,5
115,864,64,688,15,47,6
116,853,72,677,9,69,6
117,849,157,639,27,157,10
118,965,97,763,20,86,5
119,994,106,775,23,83,9
120,976,91,772,26,61,8
121,1032,209,789,20,193,40
122,1206,152,995,32,122,34
123,1410,240,1107,17,220,148
124,1454,77,1290,10,70,10
125,1424,86,1266,18,66,8
126,1487,69,1242,15,56,116
127,1473,80,1331,16,67,4
128,1309,81,1151,9,84,11
129,1215,67,1061,15,48,9
130,903,70,751,11,62,3
131,876,58,728,8,66,6
132,836,56,710,10,46,3
133,721,62,588,8,58,8
134,698,75,567,12,70,9
135,702,67,555,9,62,8
136,707,105,556,30,80,12
137,759,98,597,20,81,13
138,821,82,642,16,69,2
139,863,86,677,14,94,2
140,896,98,719,16,100,3
141,928,84,752,19,64,8
142,943,74,769,19,58,10
143,917,93,751,19,94,5
144,917,134,762,23,128,12
145,955,68,837,14,56,4
146,933,60,800,6,55,8
147,883,95,732,19,82,13
148,879,95,758,19,83,5
149,904,81,774,11,70,20
150,887,87,744,16,79,3
151,818,83,682,17,72,5
152,835,54,699,8,54,23
153,833,76,717,22,55,7
154,839,85,708,15,75,11
155,848,113,709,18,107,8
156,872,118,735,21,96,7
157,918,114,763,25,96,5
158,1007,140,817,27,118,23
159,1154,111,923,21,84,61
160,1217,150,1006,31,122,19
161,1314,154,1073,29,147,43
162,1385,113,1155,20,94,17
163,1422,142,1175,31,98,15
164,1492,174,1206,41,117,13
165,1489,96,1194,22,69,40
166,1404,102,1133,16,89,5
167,1340,143,1064,31,97,3
168,1307,149,965,23,198,10
169,1319,129,1063,21,113,6
170,1293,151,1065,23,116,14
171,1308,85,1072,8,77,55
172,1259,60,1074,12,48,4
173,1413,88,1048,11,81,319
174,1382,111,1331,17,96,13
175,1315,151,1227,24,139,12
176,1376,153,1269,25,148,16
177,1499,300,1315,64,285,24
178,1739,239,1550,34,251,16
