,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,3291,0,2857,0,0
1,3287,239,2852,82,144,17
2,3433,192,3015,76,93,17
3,3593,201,3178,59,121,16
4,2868,245,2566,82,149,9
5,2125,243,1894,82,164,18
6,1869,163,1664,56,84,9
7,1661,156,1447,50,103,10
8,1527,140,1338,48,65,12
9,1432,147,1265,47,81,6
10,1366,122,1204,48,50,7
11,1221,160,1078,67,62,5
12,1093,115,943,43,47,6
13,1034,128,877,57,49,6
14,982,88,806,32,40,4
15,911,88,738,39,28,1
16,840,94,663,36,35,3
17,782,138,616,56,59,6
18,745,130,598,56,50,0
19,757,82,609,28,39,6
20,704,122,569,51,38,3
21,734,161,581,36,111,43
22,809,136,705,47,80,6
23,851,129,763,52,59,3
24,850,145,755,55,78,10
25,878,85,791,35,36,2
26,879,101,790,55,30,4
27,876,86,794,37,39,2
28,768,104,683,38,56,10
29,747,84,665,36,36,3
30,713,98,624,37,43,2
31,641,119,537,55,58,5
32,664,118,577,44,59,3
33,694,66,606,23,40,3
34,681,105,603,43,42,3
35,661,105,575,44,51,1
36,680,98,595,33,57,3
37,681,101,609,39,45,0
38,667,100,581,41,48,3
39,646,86,564,33,42,3
40,664,109,582,39,60,5
41,670,105,597,34,55,6
42,666,80,592,31,33,2
43,649,75,565,26,37,2
44,624,76,548,35,33,5
45,597,79,527,25,47,2
46,593,92,529,31,54,2
47,571,87,506,32,50,5
48,558,66,502,24,34,2
49,536,52,490,16,32,3
50,510,72,477,27,34,4
51,502,75,466,31,31,1
52,504,64,460,22,39,2
53,486,79,438,32,33,2
54,477,61,419,17,36,5
55,475,88,420,28,60,5
56,511,80,463,30,43,5
57,519,193,477,67,117,5
58,645,423,603,176,249,4
59,1008,199,969,57,152,18
60,1131,126,1128,40,77,4
61,1209,145,1198,42,90,18
62,1267,306,1242,75,236,34
63,1495,295,1508,45,301,24
64,1626,173,1700,30,185,30
65,1448,197,1581,43,157,28
66,1457,140,1594,36,139,13
67,1478,129,1660,30,97,13
68,1474,122,1659,37,86,11
69,1292,137,1455,44,86,3
70,1140,114,1197,34,81,8
71,1064,157,1064,51,95,6
72,1006,202,977,63,111,16
73,1032,253,970,76,160,28
74,1143,215,1091,70,115,11
75,1234,235,1152,80,135,22
76,1333,404,1249,145,215,16
77,1628,585,1504,229,289,66
78,2066,301,1951,91,188,34
79,2218,225,2122,69,135,79
80,2219,237,2174,67,173,172
81,2263,223,2392,63,149,19
82,2263,213,2386,57,148,20
83,2140,171,2248,43,116,15
84,1785,132,1838,28,103,16
85,1648,123,1690,39,69,10
86,1503,202,1529,57,140,20
87,1318,144,1304,39,95,17
88,1222,110,1207,28,66,6
89,1099,109,1077,32,56,5
90,1031,139,986,27,107,22
91,1022,144,986,23,112,14
92,1041,144,1009,36,91,17
93,961,191,921,51,126,22
94,995,165,957,42,112,42
95,1048,184,1032,49,126,18
96,1145,201,1133,54,132,20
97,1209,209,1188,54,142,20
98,1301,692,1279,219,436,67
99,1861,358,1867,105,217,53
100,2055,304,2073,77,191,27
101,2193,235,2183,61,155,25
102,2255,352,2241,84,230,38
103,2421,223,2394,51,150,22
104,2480,475,2428,115,339,27
105,2331,317,2257,57,237,54
106,2302,182,2242,43,126,66
107,2194,157,2188,30,122,11
108,2129,211,2111,56,128,16
109,1942,212,1905,57,123,22
110,1931,209,1868,54,133,14
111,1658,190,1562,47,126,19
112,1489,226,1386,90,114,8
113,1461,195,1336,54,128,17
114,1487,161,1365,45,92,17
115,1437,155,1322,41,89,7
116,1376,201,1253,53,134,13
117,1348,254,1236,64,158,11
118,1392,242,1264,50,169,17
119,1401,332,1278,88,186,12
120,1534,252,1365,78,120,40
121,1634,368,1454,111,193,29
122,1844,288,1652,71,186,52
123,1937,356,1761,67,278,62
124,2070,212,1949,54,131,26
125,2074,228,1941,72,132,21
126,2015,212,1898,54,130,26
127,2020,299,1892,47,234,45
128,1966,257,1877,72,151,60
129,1926,218,1836,41,159,29
130,1777,319,1659,56,240,28
131,1881,298,1780,50,230,23
132,1959,246,1863,53,168,39
133,1987,218,1917,41,168,31
134,1888,191,1836,40,129,18
135,1805,115,1742,26,80,16
136,1703,187,1640,43,128,20
137,1570,238,1501,41,186,24
138,1485,158,1400,43,106,16
139,1373,331,1305,78,221,13
140,1482,330,1386,90,216,14
141,1615,361,1521,107,200,28
142,1861,614,1740,196,325,32
143,2294,335,2100,95,199,24
144,2391,255,2168,59,178,42
145,2503,205,2300,40,143,37
146,2410,322,2237,83,205,27
147,2447,299,2259,76,195,19
148,2429,387,2245,55,304,62
149,2216,256,2116,57,179,16
150,2142,302,2061,89,202,49
151,2168,284,2118,75,189,41
152,2238,1109,2209,266,871,37
153,3047,173,3069,44,112,37
154,2938,253,2959,61,158,27
155,2773,343,2782,57,270,19
156,2878,197,2869,51,123,28
157,2763,153,2724,39,86,10
158,2611,179,2549,28,139,13
159,1638,158,1538,35,101,31
160,1581,164,1490,46,103,6
161,1470,106,1382,24,69,9
162,1212,160,1140,44,86,6
163,1159,136,1067,35,81,4
164,1133,138,1050,40,84,17
165,1073,215,991,57,123,8
166,1118,587,995,39,548,217
167,1558,179,1638,48,118,10
168,1641,216,1696,31,191,47
169,1723,152,1821,43,102,10
170,1778,150,1862,42,104,16
171,1809,188,1881,49,140,18
172,1833,224,1919,68,179,14
173,1346,247,1459,64,191,34
174,1429,236,1580,149,159,10
175,1426,163,1636,30,139,52
176,1445,113,1709,27,86,10
177,1400,106,1660,27,81,8
178,1316,149,1549,39,103,12
179,1245,160,1434,35,135,22
180,1151,253,1298,68,195,27
181,1172,280,1266,46,257,41
182,1266,284,1399,58,221,17
183,1429,136,1567,30,99,25
184,1460,243,1585,34,205,52
185,1555,160,1714,34,114,30
186,1557,144,1700,26,114,50
187,1467,150,1618,23,142,28
188,1348,165,1464,47,110,26
189,1238,113,1337,30,79,10
190,1216,104,1311,23,80,16
191,1051,185,1143,53,138,26
192,1098,212,1195,40,154,28
193,1125,118,1226,26,77,18
194,1103,197,1161,38,163,106
195,1125,109,1282,24,88,15
196,1131,113,1291,32,95,16
197,1134,141,1307,34,107,7
198,1110,95,1235,21,73,7
199,1012,132,1106,36,102,15
200,1044,118,1125,37,88,13
201,902,128,979,29,107,11
202,917,132,988,27,120,26
203,925,180,1024,47,140,32
204,964,99,1097,21,91,23
205,961,95,1118,19,85,44
206,931,79,1119,24,62,17
207,903,86,1094,20,70,12
208,871,83,1057,17,66,33
209,834,118,997,24,115,23
210,767,77,925,20,63,10
211,739,78,873,18,70,12
212,683,86,818,23,72,14
213,679,120,820,26,118,24
214,707,131,881,35,99,10
215,751,127,920,27,110,5
216,759,215,895,48,184,29
217,909,268,1072,78,187,30
218,1100,158,1266,40,118,10
219,1171,117,1325,42,95,6
220,1178,152,1301,33,130,27
221,1203,237,1339,35,208,13
222,1322,230,1456,27,210,17
223,1345,255,1450,35,239,34
224,1339,302,1463,45,274,32
225,1487,775,1643,48,733,43
226,2141,632,2327,101,579,35
227,2638,1418,2869,84,1336,117
228,3835,604,4164,101,838,53
