,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,382,0,337,0,0
1,382,33,337,18,12,1
2,357,191,305,23,155,32
3,449,122,370,39,66,12
4,521,66,447,10,54,10
5,562,78,500,26,41,6
6,604,68,538,18,42,9
7,644,60,588,18,33,9
8,680,53,624,14,31,4
9,521,82,463,24,50,4
10,485,72,430,23,39,4
11,486,36,424,8,26,4
12,442,31,388,9,19,3
13,397,59,349,15,34,2
14,391,261,344,20,231,2
15,606,20,551,3,16,2
16,542,20,488,5,11,3
17,494,30,448,10,14,5
18,480,25,436,6,15,0
19,466,42,422,15,21,1
20,447,141,404,8,129,1
21,336,41,284,11,22,1
22,354,41,297,12,19,0
23,370,60,308,22,24,6
24,397,46,332,17,22,3
25,420,40,354,17,10,2
26,416,28,349,12,8,5
27,297,36,235,16,17,4
28,296,37,240,11,22,3
29,287,43,236,17,17,4
30,275,35,228,10,22,1
31,268,27,220,7,17,3
32,259,25,220,9,14,3
33,246,48,217,33,15,1
34,252,33,226,12,16,0
35,241,30,215,8,17,1
36,234,20,208,8,8,2
37,220,30,195,8,17,3
38,221,81,194,33,35,1
39,269,96,231,24,60,9
40,315,55,274,18,28,2
41,343,101,298,32,48,6
42,422,299,363,116,122,6
43,697,310,584,112,137,27
44,976,116,833,35,65,20
45,1033,114,890,35,68,19
46,1063,128,928,42,68,9
47,1144,131,1000,38,84,12
48,1187,84,1059,26,51,17
49,1026,139,922,37,93,20
50,882,154,802,42,100,22
51,925,322,855,85,231,46
52,1114,308,1088,81,225,32
53,1298,27,1310,13,3,0
54,1182,49,1180,20,10,5
55,1135,33,1113,17,4,2
56,1026,58,987,28,2,3
57,918,77,849,38,31,2
58,651,208,557,106,8,5
59,529,349,316,178,22,8
60,858,195,505,96,11,4
61,1011,180,582,88,10,2
62,1165,171,660,84,6,9
63,1285,292,732,159,25,10
64,1484,199,855,86,35,8
65,1523,1319,872,925,260,14
66,2524,429,1867,205,41,41
67,2792,663,2041,356,46,13
68,3295,207,2357,91,35,5
69,3329,271,2382,114,84,28
70,3348,436,2429,201,104,27
71,3589,245,2618,115,55,8
72,2594,123,1702,52,37,7
73,2261,344,1513,80,224,26
74,1955,398,1428,112,214,18
75,2126,265,1631,74,145,6
76,2091,245,1640,61,144,17
77,1905,941,1547,275,560,30
78,2601,650,2240,159,428,20
79,3111,417,2744,66,323,26
80,3212,396,2860,84,252,2
81,3257,461,2887,76,340,27
82,3460,516,3105,103,355,22
83,3749,411,3376,83,288,25
84,3309,458,2970,77,335,43
85,3135,360,2837,71,243,25
86,3084,310,2755,52,226,16
87,3008,347,2697,72,223,12
88,2863,372,2528,87,216,14
89,2677,614,2329,209,233,23
90,2881,376,2395,104,189,46
91,2778,355,2262,91,185,56
92,2752,342,2252,67,222,65
93,2750,312,2293,70,189,52
94,2728,421,2302,78,281,53
95,2792,340,2400,70,223,26
96,2540,288,2244,63,193,61
97,2445,260,2227,61,178,6
98,2341,214,2138,48,135,5
99,2164,232,1954,52,158,5
100,2051,273,1837,83,163,12
101,1887,275,1683,65,198,7
102,1791,337,1622,70,244,12
103,1785,352,1638,81,244,7
104,1889,258,1731,60,178,4
105,1909,269,1763,57,203,11
106,1950,253,1814,52,181,8
107,1953,227,1796,49,167,26
108,1904,183,1777,36,131,6
109,1757,193,1636,37,136,4
110,1590,174,1476,38,124,3
111,1499,224,1390,50,158,3
112,1447,262,1328,58,179,8
113,1440,205,1322,41,141,4
114,1406,72,1262,23,28,5
115,1280,151,1139,27,113,5
116,1239,283,1106,44,217,6
117,1342,229,1209,37,180,10
118,1338,268,1213,72,162,4
119,1324,356,1185,125,160,6
120,1471,268,1282,79,140,4
121,1674,226,1456,58,147,4
122,1745,201,1511,48,128,4
123,1677,307,1430,85,185,5
124,1765,203,1488,42,138,4
125,1713,211,1438,57,124,2
126,1559,211,1331,56,117,11
127,1498,196,1285,46,121,5
128,1461,194,1246,61,103,7
129,1443,169,1228,45,94,21
130,1292,185,1102,108,46,1
131,1267,164,1075,34,106,8
132,1226,198,1040,49,110,12
133,1213,176,1027,44,95,16
134,1208,203,1006,51,113,19
135,1213,196,1008,43,119,5
136,1224,218,1004,60,123,13
137,1265,205,1053,42,130,15
138,1323,154,1101,36,92,12
139,1273,139,1073,29,83,6
140,1236,180,1033,55,87,9
141,1204,171,1006,39,103,5
142,1183,220,982,34,168,18
143,1166,195,1000,42,124,15
144,1159,144,1002,26,99,7
145,1155,134,995,29,81,10
146,1137,170,992,35,108,12
147,1143,154,1000,26,113,7
148,1136,285,1003,85,127,21
149,1204,771,1015,271,265,32
150,1789,632,1405,170,335,31
151,2291,365,1806,74,260,21
152,2549,311,2053,70,201,31
153,2721,1305,2201,72,1185,537
154,3905,267,3853,64,176,22
155,3951,354,3894,60,308,151
156,3757,286,3860,44,249,37
157,3546,252,3656,43,213,33
158,3489,227,3601,42,186,21
159,3444,154,3548,19,145,14
160,2076,179,2169,31,152,16
161,1963,149,2056,22,133,15
162,1499,175,1563,39,124,9
163,1364,176,1398,33,140,13
164,1256,191,1275,38,143,15
165,1205,151,1211,41,102,20
166,1181,144,1186,30,109,41
167,1130,146,1159,29,116,17
168,1129,194,1149,49,138,9
169,1143,166,1163,39,115,17
170,1138,174,1149,38,135,25
171,1125,129,1145,28,99,16
172,1117,227,1143,92,159,21
173,1169,147,1225,27,128,27
174,1169,128,1235,26,108,8
175,1108,190,1176,47,138,8
176,1123,205,1193,46,166,20
177,1153,231,1231,59,164,18
178,1246,364,1327,117,227,22
179,1396,312,1434,109,172,10
180,1549,281,1549,88,165,11
181,1720,297,1679,96,153,13
182,1837,287,1750,88,179,16
183,1935,261,1811,80,168,14
184,1989,296,1843,88,184,32
185,1918,288,1773,90,186,17
186,1885,336,1761,95,274,17
187,1945,401,1891,115,301,37
188,2064,364,2078,110,237,27
189,2157,392,2165,115,261,34
