,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,1467,0,780,0,0
1,926,157,488,78,10,1
2,710,76,374,36,4,1
3,635,87,332,43,2,0
4,665,2529,345,2008,110,5
5,3159,2585,2447,1140,900,89
6,5707,962,4554,318,463,90
7,6627,706,5399,257,324,63
8,7248,525,5984,150,293,70
9,7729,407,6469,124,198,28
10,8091,563,6785,151,319,112
11,6563,514,5349,131,307,47
12,4652,379,3765,106,214,27
13,4038,288,3264,82,157,13
14,3544,277,2851,81,139,21
15,3179,369,2555,134,146,19
16,3108,312,2485,105,134,16
17,2693,393,2132,112,217,11
18,2483,272,1936,90,143,6
19,2313,237,1810,82,98,7
20,2214,218,1727,85,71,11
21,2109,201,1632,75,77,8
22,1902,262,1469,101,90,7
23,1826,270,1398,102,102,11
24,1682,319,1264,93,182,38
25,1707,169,1326,65,63,7
26,1638,234,1274,98,87,3
27,1644,210,1290,81,85,6
28,1653,455,1305,212,84,6
29,1843,362,1416,150,116,11
30,1919,296,1472,109,112,11
31,1884,623,1402,264,189,14
32,2343,299,1732,114,125,20
33,2427,225,1811,84,87,6
34,2450,163,1824,61,61,4
35,2183,194,1639,68,84,7
36,2001,216,1510,79,88,14
37,1922,151,1455,59,54,3
38,1444,171,1109,56,76,4
39,1302,195,988,71,96,8
40,1253,208,977,66,101,7
41,1282,192,1018,59,105,8
42,1260,137,1023,45,66,10
43,1167,167,953,55,76,1
44,1178,140,964,49,55,1
45,1153,183,933,59,82,7
46,1130,150,906,53,70,3
47,1092,216,872,80,79,8
48,1116,222,869,82,92,16
49,1199,265,937,102,89,19
50,1298,220,1013,81,84,12
51,1389,236,1089,85,102,13
52,1451,269,1144,105,86,19
53,1578,314,1227,128,88,9
54,1693,425,1295,181,209,11
55,1902,441,1504,141,243,17
56,2087,265,1704,93,118,22
57,2128,353,1766,126,162,26
58,2258,259,1891,104,90,6
59,2255,258,1882,92,111,8
60,2204,275,1867,104,120,7
61,2081,287,1713,111,103,17
62,1928,194,1529,70,101,8
63,1847,235,1477,80,119,33
64,1712,310,1383,112,136,16
65,1762,196,1437,71,79,29
66,1694,235,1406,90,82,5
67,1647,227,1345,83,82,1
68,1591,241,1283,69,147,32
69,1633,197,1354,68,86,4
70,1571,237,1279,76,125,13
71,1493,270,1223,87,127,9
72,1550,276,1263,100,117,9
73,1596,286,1312,102,122,13
74,1665,251,1382,86,115,7
75,1654,265,1350,99,96,4
76,1747,196,1405,61,106,5
77,1716,230,1373,86,90,31
78,1677,291,1341,95,140,30
79,1685,291,1372,73,171,22
80,1697,312,1400,106,146,15
81,1764,208,1453,70,94,9
82,1717,224,1427,63,133,12
83,1756,213,1464,50,122,33
84,1722,210,1456,56,116,5
85,1621,198,1359,60,105,3
86,1523,170,1264,53,104,7
87,1380,137,1165,46,82,1
88,1315,151,1115,48,74,6
89,1226,179,1035,56,99,11
90,1152,122,990,32,75,0
91,1056,107,918,39,38,5
92,973,144,837,44,87,1
93,940,147,807,48,77,5
94,945,95,805,24,54,1
95,891,138,765,57,81,19
96,841,99,749,27,62,5
97,818,113,729,32,65,0
98,822,106,736,36,46,1
99,787,113,681,40,43,3
100,745,129,625,37,83,2
101,785,143,668,43,75,8
102,775,214,638,62,138,11
103,879,98,752,32,46,3
104,862,105,735,34,62,4
105,868,140,756,45,69,10
106,897,135,797,54,44,11
107,912,150,792,60,56,4
108,926,113,792,36,55,3
109,820,110,675,41,47,0
110,834,150,682,46,99,2
111,878,99,730,33,48,2
112,842,123,688,52,44,10
113,833,154,682,61,61,3
114,838,115,685,43,48,5
115,837,91,687,38,30,1
116,817,108,670,37,52,2
117,776,230,617,78,131,7
118,915,147,752,60,60,2
119,930,170,761,74,51,4
120,931,136,755,50,58,4
121,950,291,767,99,159,17
122,1153,205,974,60,129,20
123,1257,393,1097,41,327,27
124,1424,107,1279,30,62,9
125,1388,122,1257,44,51,6
126,1357,199,1232,39,139,19
127,1432,121,1320,48,49,1
128,1267,123,1135,34,79,7
129,1181,101,1052,38,41,2
130,873,100,741,32,53,1
131,854,80,722,21,63,2
132,816,76,706,26,36,1
133,676,107,572,34,54,2
134,663,110,564,40,52,2
135,655,114,547,47,38,2
136,661,151,547,63,61,7
137,704,153,587,63,55,6
138,782,121,628,45,52,4
139,821,128,663,46,76,2
140,845,149,696,54,88,0
141,879,133,740,55,42,6
142,901,116,756,45,50,5
143,868,142,729,50,87,3
144,858,193,748,65,108,4
145,929,94,827,29,53,2
146,893,100,785,31,50,3
147,844,134,721,50,62,13
148,847,127,748,42,69,6
149,851,134,764,54,50,7
150,847,127,731,43,68,0
151,789,112,670,40,61,5
152,804,85,690,28,47,19
153,797,112,704,46,47,4
154,778,146,686,54,64,5
155,801,160,692,52,93,5
156,827,163,728,59,68,4
157,866,166,751,64,72,2
158,929,218,791,85,87,22
159,1051,214,892,65,102,30
160,1159,208,996,72,102,8
161,1229,239,1054,76,142,20
162,1311,187,1140,74,61,11
163,1341,223,1155,87,73,4
164,1421,245,1196,102,75,4
165,1443,142,1182,50,63,30
166,1361,145,1125,50,65,3
167,1290,193,1052,74,65,4
168,1231,225,950,83,159,4
169,1263,185,1046,64,90,3
170,1237,207,1041,61,105,11
171,1222,171,1039,27,128,18
172,1229,90,1065,30,42,1
173,1181,320,1021,25,289,124
174,1324,169,1316,56,79,6
175,1259,207,1214,74,104,10
176,1311,218,1255,82,110,11
177,1379,420,1283,163,227,15
178,1636,342,1518,113,208,12
179,1907,330,1782,100,191,15
