,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,26,0,14,0,0
1,23,2,12,1,0,0
2,24,27,12,14,0,0
3,51,25,26,14,0,0
4,74,17,39,8,1,0
5,83,20,44,10,1,0
6,99,52,53,26,0,0
7,149,62,78,32,1,0
8,207,48,109,24,1,0
9,231,63,121,31,2,0
10,272,34,141,17,2,0
11,292,17,152,7,3,0
12,290,15,152,7,1,0
13,255,8,134,4,0,0
14,206,6,108,3,0,0
15,170,6,89,3,0,0
16,117,3,60,1,1,0
17,79,10,40,5,0,0
18,62,2,31,1,0,0
19,50,2,25,1,0,0
20,44,6,22,3,0,0
21,38,8,19,4,0,0
22,38,6,19,3,0,0
23,36,7,18,4,0,0
24,35,16,18,8,0,0
25,47,28,24,15,0,0
26,71,1813,37,1392,5,1
27,1879,1091,1432,531,294,26
28,2970,566,2283,235,219,40
29,3528,241,2773,80,101,12
30,3765,195,2963,56,100,11
31,3951,237,3125,61,133,10
32,4176,280,3322,78,167,15
33,3072,215,2241,50,176,58
34,2265,186,1691,64,120,74
35,1863,143,1474,59,67,42
36,1703,144,1434,58,78,10
37,1601,118,1381,45,35,7
38,1463,184,1263,56,91,12
39,1361,128,1167,52,32,16
40,1195,138,977,63,32,13
41,1072,82,827,36,16,8
42,967,56,715,26,11,2
43,869,113,610,46,29,3
44,859,115,599,56,25,46
45,802,153,554,50,77,99
46,835,143,682,60,55,22
47,849,146,708,49,74,9
48,921,83,777,33,40,6
49,963,121,822,54,43,8
50,987,63,850,25,28,6
51,903,60,782,22,28,3
52,722,101,608,39,41,4
53,660,100,556,43,23,1
54,604,223,485,90,50,1
55,744,185,550,76,62,49
56,824,86,640,40,32,53
57,856,105,711,48,40,6
58,899,90,751,31,43,2
59,882,90,741,35,34,5
60,874,89,744,42,34,6
61,793,108,682,43,53,5
62,695,109,596,56,45,2
63,678,99,572,50,34,8
64,668,95,577,40,35,9
65,670,122,581,49,32,4
66,706,127,593,53,26,6
67,754,126,599,47,59,51
68,775,223,652,94,94,18
69,891,157,756,72,53,11
70,944,137,798,55,34,4
71,982,95,807,39,24,5
72,986,112,795,47,40,61
73,990,133,859,48,43,9
74,970,133,810,60,42,38
75,878,92,737,37,36,39
76,829,105,720,45,21,10
77,830,90,710,33,29,0
78,851,87,698,42,17,2
79,783,35,608,13,9,1
80,694,60,525,25,14,1
81,583,23,416,9,5,1
82,480,62,316,29,6,0
83,419,52,267,22,14,2
84,384,82,240,38,7,0
85,368,141,216,52,42,5
86,475,2240,292,1034,1161,9
87,2670,335,2460,121,211,144
88,2981,260,2920,80,177,65
89,3192,208,3207,80,109,21
90,3359,225,3381,82,109,22
91,3523,265,3548,83,151,20
92,3692,527,3698,183,280,74
93,2439,814,2301,226,556,74
94,2847,1168,2702,359,723,87
95,3723,395,3539,71,303,18
96,3917,302,3715,59,216,61
97,4021,220,3840,32,184,101
98,3969,193,3881,36,139,14
99,3659,149,3529,19,129,44
100,2929,155,2796,32,116,8
101,1835,183,1730,42,132,3
102,1648,221,1512,56,140,5
103,1481,225,1351,59,134,8
104,1384,326,1224,90,219,8
105,1491,394,1335,117,236,11
106,1687,243,1499,62,145,4
107,1758,195,1549,52,111,12
108,1764,315,1543,83,198,4
109,1856,312,1625,88,189,26
110,1944,432,1723,112,269,14
111,2067,402,1827,108,212,11
112,2132,326,1829,75,199,19
113,2245,374,1916,90,234,38
114,2429,298,2105,116,163,16
115,2444,313,2125,46,259,49
116,2462,266,2194,43,205,16
117,2283,273,2038,61,175,14
118,2186,234,1946,43,165,26
119,2077,310,1865,62,212,18
120,1971,294,1773,60,217,18
121,1948,232,1751,43,163,26
122,1827,270,1624,59,169,34
123,1829,185,1619,27,148,56
124,1759,645,1612,175,341,51
125,2184,2077,1940,561,1218,130
126,4004,756,3569,108,689,163
127,4525,594,4249,87,545,346
128,4930,1117,4999,303,734,83
129,5806,822,5860,152,690,107
130,6445,552,6591,68,527,83
131,6515,608,6755,105,602,125
132,5454,412,5807,53,401,61
133,5128,437,5397,56,394,53
134,4757,464,4967,58,433,61
135,4017,405,4344,55,378,63
136,3504,387,3834,66,316,40
137,3306,323,3571,47,278,36
138,2938,340,3080,62,273,40
139,2797,417,2886,69,346,51
140,2744,269,2828,34,237,36
141,2501,287,2575,47,235,44
142,2355,289,2399,55,232,27
143,2238,328,2287,63,269,49
144,2220,281,2299,51,216,35
145,2145,38,2220,11,18,2
146,1750,194,1777,41,137,15
147,1667,403,1673,58,351,42
148,1760,287,1788,50,224,24
149,1744,262,1759,46,209,26
150,1639,240,1642,49,174,25
151,1599,213,1584,44,165,23
152,1775,253,1785,60,171,21
153,1852,249,1858,48,183,15
154,1692,230,1654,50,155,12
155,1637,171,1569,31,127,13
156,1536,205,1461,37,159,22
157,1499,305,1432,65,228,32
158,1586,259,1527,61,166,27
159,1593,191,1538,45,123,21
160,1545,153,1484,33,105,39
161,1466,146,1438,33,102,15
162,1434,162,1417,45,101,22
163,1384,178,1375,40,126,19
164,1256,180,1226,47,103,18
165,1179,222,1142,47,163,21
166,1208,199,1169,42,142,24
167,1241,250,1199,55,173,38
168,1356,262,1324,65,160,18
169,1454,162,1400,37,105,14
170,1435,131,1367,26,91,7
171,1380,160,1320,36,109,13
172,1337,145,1272,30,104,9
173,1264,230,1201,30,192,10
174,1237,218,1169,38,183,27
175,1187,144,1173,27,110,14
176,1168,141,1163,29,101,8
177,1161,171,1160,37,116,10
178,1187,2538,1166,32,2511,116
179,3587,266,3680,44,210,26
180,3635,287,3714,43,256,25
181,3709,178,3792,29,167,24
182,3756,197,3865,41,169,22
183,3831,164,3961,30,126,20
184,3849,183,3976,25,141,20
185,1447,174,1539,37,123,14
186,1349,152,1429,31,120,100
187,1214,202,1355,32,191,25
188,1240,137,1392,18,130,14
189,1173,129,1317,25,109,4
190,1153,141,1272,37,100,7
191,1125,125,1223,28,97,9
192,1104,99,1182,26,66,3
193,962,102,1011,24,77,1
194,842,130,854,37,87,9
195,812,111,818,25,84,3
196,794,88,791,12,79,13
197,744,116,754,24,96,25
198,733,93,753,17,74,5
199,723,131,747,31,94,3
200,759,129,774,30,108,18
201,755,96,795,19,71,12
202,750,112,786,26,82,9
203,779,81,809,20,55,8
204,719,81,743,13,72,11
205,710,102,740,17,87,10
206,680,103,722,20,87,7
207,644,109,680,24,88,9
208,657,125,700,29,98,5
209,670,191,709,48,157,11
210,781,138,845,34,97,13
211,836,94,895,24,74,3
212,835,119,892,26,93,8
213,855,114,910,21,93,17
214,862,125,920,38,81,10
215,872,144,921,37,101,16
216,836,174,868,46,132,25
217,875,143,928,33,111,11
218,920,136,971,35,95,10
219,938,149,985,36,113,15
220,971,182,1025,50,142,15
