,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,524,0,575,0,0
1,345,81,345,28,52,11
2,376,33,377,11,24,5
3,374,31,379,12,20,0
4,386,25,382,7,22,2
5,385,40,380,14,26,4
6,347,34,351,11,23,2
7,346,23,344,6,15,4
8,264,11,264,3,7,0
9,237,38,235,6,35,21
10,243,11,263,3,9,2
11,223,8,238,2,5,1
12,195,12,202,3,8,1
13,166,20,168,7,9,0
14,151,16,146,7,8,1
15,148,7,138,1,6,1
16,99,7,88,2,4,0
17,97,9,84,0,9,0
18,98,15,83,5,8,0
19,100,17,84,12,11,0
20,96,13,92,2,12,2
21,98,9,97,2,6,0
22,97,16,94,5,10,0
23,103,33,102,24,9,0
24,129,71,126,17,53,6
25,181,30,185,7,21,2
26,195,26,195,5,21,3
27,205,21,205,8,14,1
28,217,24,219,8,16,3
29,228,14,229,2,15,2
30,215,21,217,5,15,0
31,167,36,161,7,26,0
32,173,38,164,7,28,3
33,185,21,176,11,6,0
34,185,38,172,22,13,0
35,199,10,182,2,12,0
36,193,38,179,8,26,2
37,207,18,190,7,7,0
38,192,19,174,7,7,1
39,173,61,149,16,48,2
40,217,71,197,18,70,5
41,251,28,254,10,18,2
42,268,51,272,17,34,4
43,291,50,295,16,29,7
44,324,63,333,30,27,0
45,375,41,379,7,41,3
46,366,25,375,5,19,2
47,325,13,316,5,7,1
48,310,25,301,6,18,2
49,277,18,267,4,13,1
50,245,7,233,2,5,2
51,184,21,181,8,10,0
52,153,11,140,3,7,1
53,131,20,120,9,9,0
54,134,27,122,12,13,0
55,133,8,118,4,3,0
56,120,13,106,8,4,0
57,119,11,104,0,11,0
58,109,17,94,4,14,1
59,114,7,102,1,7,1
60,99,11,92,3,8,0
61,90,21,81,6,15,1
62,99,8,92,5,1,0
63,96,19,87,3,13,1
64,107,11,96,4,4,1
65,101,3,87,0,4,2
66,94,4,83,2,2,0
67,86,13,75,6,5,0
68,74,9,62,3,5,0
69,77,9,63,4,4,0
70,66,9,55,2,6,2
71,64,20,57,8,10,1
72,80,6,70,2,4,0
73,81,10,71,4,5,0
74,78,11,68,4,5,0
75,79,10,69,3,8,0
76,77,12,70,6,4,0
77,76,11,66,6,4,0
78,67,15,58,3,10,1
79,76,16,65,7,8,0
80,82,20,71,13,5,0
81,91,6,80,2,3,0
82,89,37,76,17,9,0
83,114,21,91,12,5,1
84,125,34,99,14,15,1
85,144,25,116,9,11,0
86,152,19,120,9,6,0
87,152,42,119,32,5,0
88,185,17,148,4,13,1
89,167,36,141,17,12,1
90,182,15,153,1,16,0
91,169,17,144,6,10,3
92,164,17,146,4,11,0
93,164,9,148,2,9,0
94,133,7,122,2,4,0
95,123,19,114,12,5,0
96,113,24,106,8,14,1
97,120,8,111,2,4,1
98,110,6,98,3,3,0
99,92,16,81,10,3,0
100,99,19,84,2,18,1
101,110,6,97,1,5,0
102,99,10,88,3,9,0
103,85,9,79,4,5,0
104,84,15,82,2,13,1
105,92,8,90,2,6,0
106,87,13,85,5,5,0
107,84,3,79,0,3,0
108,75,4,67,1,3,0
109,70,12,61,5,4,0
110,71,8,58,3,5,2
111,63,7,51,2,5,1
112,62,13,51,3,10,1
113,61,16,55,3,18,0
114,77,18,76,6,15,1
115,91,8,94,1,9,0
116,85,8,93,2,6,0
117,86,16,90,7,7,0
118,94,11,98,2,7,1
119,94,11,98,3,5,0
120,90,14,87,6,4,0
121,92,5,81,2,2,0
122,91,6,76,1,5,1
123,85,15,71,4,9,0
124,81,17,67,6,12,2
125,87,9,74,1,7,1
126,87,5,75,1,5,0
127,77,5,71,2,3,0
128,75,9,71,4,5,0
129,79,12,74,5,7,0
130,76,19,75,7,10,1
131,82,18,79,6,9,0
132,89,21,81,6,17,2
133,103,47,98,17,39,1
134,144,47,148,19,26,2
135,181,39,184,10,26,2
136,211,24,214,9,10,1
137,221,13,222,5,8,2
138,220,96,225,36,54,0
139,301,41,296,10,35,3
