,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,1540,0,1401,0,0
1,1535,22,1396,7,12,2
2,1105,28,1015,8,15,2
3,864,28,793,8,16,4
4,655,76,593,54,15,2
5,461,28,404,8,16,0
6,424,33,373,18,11,3
7,302,19,253,6,8,0
8,293,10,244,4,2,1
9,262,43,219,21,17,0
10,271,21,226,7,9,1
11,203,18,163,4,11,1
12,185,46,150,8,35,0
13,189,121,159,98,17,2
14,297,84,266,30,46,0
15,372,75,334,32,24,3
16,410,62,359,19,31,1
17,452,42,394,13,16,2
18,477,19,409,5,10,1
19,461,27,390,8,12,2
20,368,23,294,8,10,2
21,315,16,248,2,12,1
22,269,52,214,20,23,1
23,242,26,194,11,9,3
24,220,29,179,10,14,0
25,229,28,186,10,12,0
26,222,15,179,5,8,1
27,210,5,169,1,4,2
28,195,13,157,4,8,0
29,148,16,119,5,8,0
30,137,25,110,7,14,0
31,135,22,108,5,15,0
32,124,30,103,13,8,1
33,137,17,111,5,8,1
34,146,21,117,9,8,0
35,148,14,117,2,10,0
36,153,23,121,6,14,0
37,148,30,119,13,10,2
38,154,22,121,7,12,0
39,146,44,119,17,19,0
40,175,31,141,14,11,0
41,182,16,146,3,11,0
42,186,14,149,3,11,0
43,177,38,143,11,24,2
44,187,39,159,19,20,0
45,203,32,176,9,20,2
46,195,34,175,12,16,0
47,202,23,180,8,8,0
48,209,17,181,6,8,2
49,210,21,184,8,9,3
50,194,55,166,17,28,4
51,214,92,175,26,48,1
52,279,53,224,14,29,3
53,308,27,250,7,16,2
54,315,53,261,33,14,0
55,354,24,293,7,11,1
56,363,25,295,7,14,1
57,329,32,268,11,13,0
58,280,78,226,38,41,1
59,301,50,259,16,26,4
60,330,29,284,8,18,3
61,307,27,263,7,17,3
62,302,25,266,3,20,1
63,298,19,265,4,14,0
64,277,20,251,7,7,1
65,204,29,178,6,20,1
66,187,54,167,14,32,3
67,211,42,187,9,33,3
68,228,23,207,5,15,2
69,229,27,208,5,22,0
70,238,25,214,5,18,3
71,243,39,222,8,28,0
72,254,13,231,2,10,0
73,214,21,200,5,12,0
74,189,48,169,11,34,1
75,217,42,194,8,33,3
76,233,50,213,12,36,1
77,256,14,238,3,11,5
78,231,27,221,6,16,6
79,241,28,234,11,12,2
80,251,23,244,5,16,1
81,235,35,228,13,13,0
82,227,26,212,8,13,0
83,204,23,181,2,20,3
84,205,19,183,3,16,2
85,198,44,172,8,33,0
86,212,21,188,3,17,1
87,206,33,182,11,14,0
88,200,40,178,9,31,2
89,219,33,202,4,28,1
90,233,25,211,6,20,2
91,236,27,220,7,17,3
92,224,24,208,3,20,2
93,224,28,211,8,16,0
94,217,32,208,10,19,2
95,214,32,205,8,26,1
96,217,49,209,16,36,1
97,241,35,234,8,26,2
98,248,32,242,6,21,2
99,259,40,249,19,12,2
100,271,75,256,20,40,5
101,319,73,290,27,44,1
102,365,68,333,19,39,3
103,388,42,344,14,22,4
104,400,42,350,13,26,1
105,405,75,357,20,44,8
106,449,60,401,16,32,8
107,441,38,399,8,27,7
108,407,32,371,10,19,5
109,373,24,342,7,17,1
110,361,39,328,9,26,0
111,359,33,319,6,26,3
112,314,18,281,3,16,2
113,267,26,240,5,21,2
114,246,24,224,5,19,2
115,228,31,214,9,16,0
116,239,44,217,16,15,3
117,234,65,208,23,35,2
118,267,28,234,9,13,0
119,269,36,230,12,16,1
120,275,29,229,12,19,3
121,285,83,243,28,42,3
122,337,46,291,9,36,2
123,337,39,304,8,28,1
124,316,32,281,6,25,2
125,317,23,288,4,19,1
126,309,15,287,3,11,1
127,289,22,266,5,17,1
128,237,15,221,3,9,0
129,202,25,184,5,17,0
130,180,21,161,6,14,1
131,161,37,147,12,19,0
132,173,47,152,18,23,3
133,209,40,183,8,28,1
134,216,56,187,15,36,3
135,258,16,230,1,16,2
136,254,45,233,10,29,1
137,284,50,257,15,27,1
138,304,36,269,6,28,1
139,298,42,263,8,32,1
140,303,41,272,9,30,3
141,290,55,262,8,45,4
142,329,113,298,27,73,4
143,408,52,369,11,36,2
144,410,21,374,1,21,1
145,396,61,362,18,32,1
146,423,37,379,6,27,4
147,416,54,374,12,38,2
148,409,83,369,17,62,6
149,380,116,352,25,83,5
150,456,203,422,40,146,7
151,643,117,599,25,86,3
152,704,72,665,12,58,2
153,738,60,699,15,34,3
154,761,56,713,12,41,2
155,743,59,692,16,40,6
156,697,55,645,15,31,3
157,546,45,497,10,31,3
158,472,73,422,20,47,3
159,465,61,411,15,42,2
160,466,55,417,9,44,2
161,456,66,411,19,49,4
162,447,70,413,16,56,10
163,455,54,439,11,43,1
164,464,68,449,17,49,3
165,447,57,445,20,40,0
166,438,43,441,9,35,0
167,427,35,434,7,25,1
168,403,36,395,5,34,1
169,360,67,349,16,61,0
170,366,38,365,7,31,2
171,339,91,335,20,81,4
172,375,54,376,10,55,1
173,383,53,395,15,30,2
174,401,55,411,18,35,0
175,420,47,423,11,35,0
176,400,48,395,15,24,2
177,407,55,395,17,32,4
178,377,75,350,10,74,4
179,395,66,367,15,46,3
180,411,68,385,15,53,1
181,418,81,397,19,58,4
182,450,87,433,24,63,6
183,494,121,489,44,82,1
184,567,77,565,16,57,1
185,569,70,548,15,53,2
186,585,105,560,29,61,2
187,627,91,586,22,61,4
188,639,78,598,17,56,9
189,634,100,589,23,72,1
190,614,113,556,23,86,4
191,653,115,596,16,103,4
192,697,197,648,34,140,3
193,789,180,729,34,143,6
194,891,120,829,23,93,9
195,944,59,881,10,54,3
196,908,59,855,10,51,2
197,859,123,810,24,112,5
198,865,128,829,30,98,4
199,825,134,804,22,117,6
200,781,133,768,24,103,7
201,788,206,767,37,156,12
202,932,204,901,50,153,21
203,1081,150,1068,40,108,10
204,1099,213,1078,43,172,17
205,1190,309,1186,38,290,34
206,1375,352,1411,42,323,8
207,1622,269,1671,43,245,9
208,1721,168,1769,16,152,18
209,1699,150,1744,24,134,12
210,1695,145,1753,26,127,12
211,1642,142,1688,30,128,3
212,1497,183,1513,42,144,5
213,1321,206,1311,47,166,15
214,1241,151,1229,32,116,5
215,1188,162,1183,35,127,9
216,1192,316,1176,41,275,17
217,1347,203,1326,32,191,9
218,1407,195,1399,35,166,12
219,1423,256,1423,40,220,15
220,1474,423,1468,74,383,19
221,1753,391,1803,46,356,18
222,1999,305,2067,31,287,21
223,2011,284,2090,33,297,21
224,2091,279,2210,36,253,11
225,2179,312,2310,44,244,5
226,2266,241,2362,42,177,15
227,2146,211,2163,26,178,133
228,2005,250,2064,42,206,12
229,1953,249,1975,37,224,8
230,1891,274,1888,49,228,12
231,1906,292,1883,52,250,19
232,1921,423,1897,80,320,16
233,2135,424,2072,91,330,82
234,2236,347,2249,111,168,28
235,2361,592,2308,100,440,57
236,2734,512,2658,71,441,96
237,3030,390,3014,50,376,26
238,3172,358,3177,52,337,19
239,3245,319,3225,58,286,39
240,3134,330,3115,46,276,43
241,3178,338,3192,55,289,39
242,2916,185,2974,23,159,14
243,2557,183,2623,25,154,19
244,2317,152,2351,29,115,16
