graph_num,filtration_num,l2_norm,cosine_similarity,node_diff_1,edge_diff_1,node_diff_2,edge_diff_2,node_diff_3,edge_diff_3,node_diff_4,edge_diff_4,node_diff_5,edge_diff_5,node_diff_6,edge_diff_6,node_diff_7,edge_diff_7,node_diff_8,edge_diff_8,node_diff_9,edge_diff_9,node_diff_10,edge_diff_10
1,2,159.7466744567786,,27,3,27,3,43,18,43,18,45,22,46,26,46,26,47,33,48,43,48,43
1,3,401.8308101676625,,53,7,53,7,80,16,80,16,102,31,109,42,110,46,116,72,123,135,126,188
1,4,502.4470121316277,,61,3,61,3,95,13,95,13,118,25,126,34,128,37,144,91,150,143,157,284
1,5,715.4040816210095,,77,3,77,3,121,9,121,9,151,23,161,33,178,57,196,107,204,162,218,469
1,6,828.8063706318865,,82,4,82,4,131,10,131,10,165,21,175,31,187,39,213,101,226,172,245,589
1,7,1016.411334057231,,105,3,105,3,160,10,160,10,197,19,209,30,226,49,251,96,273,220,295,735
1,8,1250.3979366585663,,110,1,110,1,165,8,165,8,205,20,222,24,238,44,262,64,306,268,337,991
1,9,1460.5160047051863,,104,1,104,1,168,9,168,9,217,18,231,27,251,37,284,82,328,235,375,1224
1,10,1632.660405595726,,98,3,98,3,162,7,162,7,201,14,222,19,242,36,288,80,335,252,392,1423
1,11,1989.3018875977573,,127,3,127,3,194,8,194,8,233,16,261,24,288,39,341,106,395,290,464,1749
2,1,2087.1078074694656,,119,3,119,3,184,7,184,7,221,11,260,33,289,44,338,103,396,292,472,1862
2,2,2165.69596204084,,113,2,113,2,170,8,170,8,210,17,247,28,277,41,333,116,392,296,472,1958
2,3,2437.5251793571283,,113,3,113,3,184,10,184,10,222,18,251,31,284,52,339,108,405,294,502,2241
2,4,2874.107861580703,,124,1,124,1,200,6,200,6,248,14,283,26,311,45,386,126,456,311,571,2667
2,5,3191.0151989609826,,133,0,133,0,209,8,209,8,255,17,295,31,331,45,408,122,479,317,611,2985
2,6,3538.555213642992,,136,0,136,0,216,9,216,9,258,16,295,33,327,54,417,123,500,355,642,3339
2,7,3783.7357201580558,,143,0,143,0,233,8,233,8,285,15,321,29,349,49,436,130,529,379,684,3572
2,8,4129.984987866179,,192,0,192,0,285,3,285,3,339,9,382,20,406,40,500,132,596,384,759,3879
2,9,4345.688322924229,,194,1,194,1,292,2,292,2,349,10,396,17,431,38,521,138,618,412,792,4087
2,10,4467.676353542186,,197,1,197,1,297,2,297,2,354,8,405,18,435,37,522,123,618,361,807,4216
3,1,4220.603511347636,,186,1,186,1,289,4,289,4,341,13,397,27,430,44,516,146,609,405,782,3960
3,2,4256.126760330336,,186,1,186,1,288,3,288,3,343,8,386,19,425,42,523,153,625,427,790,3992
3,3,4028.7167932233706,,178,0,178,0,297,3,297,3,354,11,408,29,459,59,546,175,649,497,796,3722
3,4,3612.7124159002747,,189,2,189,2,304,6,304,6,366,15,428,43,470,72,554,187,638,459,773,3270
3,5,3326.355513170533,,143,2,143,2,249,7,249,7,312,19,357,34,398,62,492,178,572,454,702,3035
3,6,3246.3972338578656,,149,3,149,3,243,10,243,10,313,30,359,45,398,66,484,184,568,468,691,2949
3,7,3235.079133498901,,154,5,154,5,257,16,257,16,318,27,362,44,411,71,485,186,574,463,700,2928
3,8,3446.8099744546407,,162,4,162,4,261,8,261,8,326,22,378,43,425,66,508,171,607,484,737,3134
3,9,3505.929548636139,,166,2,166,2,265,7,265,7,332,23,386,53,428,81,519,198,614,496,745,3187
3,10,3723.1608882775936,,174,2,174,2,281,10,281,10,347,25,402,55,441,79,544,214,648,540,782,3390
4,1,4104.47450960534,,176,2,176,2,290,11,290,11,369,31,424,52,469,87,559,181,678,527,831,3781
4,2,4139.289794155515,,177,5,177,5,285,14,285,14,369,35,418,55,458,87,553,173,679,551,831,3819
4,3,4164.605503526114,,180,7,180,7,291,14,291,14,375,37,421,48,466,89,561,177,692,587,842,3832
4,4,4306.171501461594,,179,6,179,6,293,20,293,20,374,31,424,46,467,81,578,203,690,528,856,3987
4,5,4399.948408788448,,174,8,174,8,291,19,291,19,370,29,426,45,479,90,584,227,709,597,868,4070
4,6,4496.017904768619,,180,6,180,6,291,19,291,19,380,30,445,55,496,87,605,229,728,616,892,4154
4,7,4751.886572720355,,203,7,203,7,318,19,318,19,390,26,456,45,511,75,615,185,750,579,929,4415
