0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
201.0,10.0,10.0,201.0,10.0,10.0,340.0,32.0,32.0,340.0,32.0,32.0,408.0,69.0,69.0,478.0,129.0,129.0,522.0,191.0,191.0,591.0,370.0,370.0,648.0,729.0,729.0,693.0,1673.0,1673.0
174.0,10.0,10.0,174.0,10.0,10.0,317.0,33.0,33.0,317.0,33.0,33.0,387.0,91.0,91.0,458.0,138.0,138.0,488.0,179.0,179.0,552.0,366.0,366.0,602.0,679.0,679.0,645.0,1552.0,1552.0
163.0,9.0,9.0,163.0,9.0,9.0,311.0,40.0,40.0,311.0,40.0,40.0,382.0,87.0,87.0,441.0,130.0,130.0,479.0,188.0,188.0,534.0,339.0,339.0,585.0,653.0,653.0,630.0,1535.0,1535.0
161.0,10.0,10.0,161.0,10.0,10.0,294.0,32.0,32.0,294.0,32.0,32.0,368.0,71.0,71.0,427.0,121.0,121.0,466.0,167.0,167.0,528.0,339.0,339.0,581.0,657.0,657.0,629.0,1586.0,1586.0
156.0,9.0,9.0,156.0,9.0,9.0,300.0,26.0,26.0,300.0,26.0,26.0,362.0,66.0,66.0,421.0,114.0,114.0,444.0,140.0,140.0,508.0,292.0,292.0,560.0,584.0,584.0,613.0,1614.0,1614.0
166.0,10.0,10.0,166.0,10.0,10.0,287.0,27.0,27.0,287.0,27.0,27.0,346.0,66.0,66.0,396.0,113.0,113.0,421.0,151.0,151.0,482.0,289.0,289.0,535.0,612.0,612.0,573.0,1425.0,1425.0
142.0,7.0,7.0,142.0,7.0,7.0,261.0,28.0,28.0,261.0,28.0,28.0,310.0,71.0,71.0,359.0,115.0,115.0,384.0,159.0,159.0,435.0,293.0,293.0,476.0,561.0,561.0,505.0,1161.0,1161.0
130.0,10.0,10.0,130.0,10.0,10.0,240.0,33.0,33.0,240.0,33.0,33.0,286.0,73.0,73.0,323.0,115.0,115.0,343.0,151.0,151.0,392.0,309.0,309.0,425.0,553.0,553.0,442.0,906.0,906.0
144.0,16.0,16.0,144.0,16.0,16.0,240.0,44.0,44.0,240.0,44.0,44.0,277.0,75.0,75.0,309.0,116.0,116.0,330.0,148.0,148.0,375.0,311.0,311.0,396.0,482.0,482.0,409.0,756.0,756.0
145.0,20.0,20.0,145.0,20.0,20.0,228.0,43.0,43.0,228.0,43.0,43.0,264.0,86.0,86.0,293.0,118.0,118.0,316.0,168.0,168.0,348.0,286.0,286.0,366.0,435.0,435.0,374.0,631.0,631.0
130.0,25.0,25.0,130.0,25.0,25.0,203.0,56.0,56.0,203.0,56.0,56.0,223.0,84.0,84.0,245.0,107.0,107.0,259.0,143.0,143.0,278.0,214.0,214.0,291.0,321.0,321.0,296.0,445.0,445.0
93.0,27.0,27.0,93.0,27.0,27.0,118.0,45.0,45.0,118.0,45.0,45.0,123.0,53.0,53.0,126.0,61.0,61.0,132.0,88.0,88.0,135.0,104.0,104.0,136.0,116.0,116.0,136.0,116.0,116.0
51.0,14.0,14.0,51.0,14.0,14.0,60.0,23.0,23.0,60.0,23.0,23.0,65.0,38.0,38.0,67.0,46.0,46.0,67.0,46.0,46.0,67.0,46.0,46.0,67.0,46.0,46.0,67.0,46.0,46.0
55.0,12.0,12.0,55.0,12.0,12.0,64.0,25.0,25.0,64.0,25.0,25.0,67.0,34.0,34.0,69.0,42.0,42.0,69.0,42.0,42.0,70.0,48.0,48.0,70.0,48.0,48.0,70.0,48.0,48.0
61.0,12.0,12.0,61.0,12.0,12.0,69.0,24.0,24.0,69.0,24.0,24.0,74.0,37.0,37.0,77.0,49.0,49.0,77.0,49.0,49.0,78.0,55.0,55.0,78.0,55.0,55.0,78.0,55.0,55.0
64.0,15.0,15.0,64.0,15.0,15.0,69.0,23.0,23.0,69.0,23.0,23.0,75.0,39.0,39.0,77.0,47.0,47.0,77.0,47.0,47.0,78.0,53.0,53.0,78.0,53.0,53.0,78.0,53.0,53.0
63.0,13.0,13.0,63.0,13.0,13.0,68.0,23.0,23.0,68.0,23.0,23.0,74.0,39.0,39.0,76.0,47.0,47.0,77.0,52.0,52.0,77.0,52.0,52.0,77.0,52.0,52.0,77.0,52.0,52.0
88.0,14.0,14.0,88.0,14.0,14.0,107.0,23.0,23.0,107.0,23.0,23.0,118.0,42.0,42.0,123.0,58.0,58.0,125.0,67.0,67.0,126.0,70.0,70.0,129.0,109.0,109.0,130.0,126.0,126.0
102.0,13.0,13.0,102.0,13.0,13.0,151.0,33.0,33.0,151.0,33.0,33.0,170.0,58.0,58.0,180.0,80.0,80.0,182.0,88.0,88.0,191.0,122.0,122.0,195.0,167.0,167.0,198.0,247.0,247.0
110.0,11.0,11.0,110.0,11.0,11.0,170.0,30.0,30.0,170.0,30.0,30.0,192.0,58.0,58.0,205.0,80.0,80.0,214.0,99.0,99.0,229.0,162.0,162.0,235.0,218.0,218.0,240.0,349.0,349.0
112.0,11.0,11.0,112.0,11.0,11.0,182.0,22.0,22.0,182.0,22.0,22.0,204.0,48.0,48.0,227.0,84.0,84.0,239.0,106.0,106.0,261.0,196.0,196.0,270.0,269.0,269.0,277.0,453.0,453.0
115.0,14.0,14.0,115.0,14.0,14.0,195.0,31.0,31.0,195.0,31.0,31.0,217.0,48.0,48.0,236.0,75.0,75.0,249.0,97.0,97.0,279.0,200.0,200.0,294.0,328.0,328.0,301.0,526.0,526.0
117.0,12.0,12.0,117.0,12.0,12.0,195.0,22.0,22.0,195.0,22.0,22.0,223.0,42.0,42.0,250.0,78.0,78.0,259.0,91.0,91.0,291.0,193.0,193.0,312.0,358.0,358.0,320.0,596.0,596.0
116.0,9.0,9.0,116.0,9.0,9.0,198.0,19.0,19.0,198.0,19.0,19.0,227.0,39.0,39.0,252.0,66.0,66.0,267.0,88.0,88.0,301.0,189.0,189.0,326.0,396.0,396.0,334.0,673.0,673.0
115.0,8.0,8.0,115.0,8.0,8.0,200.0,21.0,21.0,200.0,21.0,21.0,230.0,40.0,40.0,255.0,62.0,62.0,272.0,90.0,90.0,308.0,197.0,197.0,332.0,379.0,379.0,342.0,713.0,713.0
112.0,8.0,8.0,112.0,8.0,8.0,198.0,18.0,18.0,198.0,18.0,18.0,232.0,44.0,44.0,261.0,74.0,74.0,280.0,107.0,107.0,307.0,185.0,185.0,332.0,373.0,373.0,342.0,699.0,699.0
104.0,8.0,8.0,104.0,8.0,8.0,196.0,25.0,25.0,196.0,25.0,25.0,226.0,46.0,46.0,254.0,70.0,70.0,269.0,99.0,99.0,298.0,189.0,189.0,321.0,355.0,355.0,331.0,677.0,677.0
108.0,12.0,12.0,108.0,12.0,12.0,189.0,31.0,31.0,189.0,31.0,31.0,223.0,55.0,55.0,251.0,76.0,76.0,266.0,105.0,105.0,293.0,184.0,184.0,315.0,345.0,345.0,324.0,653.0,653.0
118.0,16.0,16.0,118.0,16.0,16.0,194.0,35.0,35.0,194.0,35.0,35.0,220.0,44.0,44.0,252.0,73.0,73.0,265.0,106.0,106.0,299.0,207.0,207.0,312.0,297.0,297.0,322.0,634.0,634.0
101.0,10.0,10.0,101.0,10.0,10.0,180.0,27.0,27.0,180.0,27.0,27.0,214.0,43.0,43.0,246.0,84.0,84.0,255.0,108.0,108.0,285.0,201.0,201.0,302.0,328.0,328.0,309.0,603.0,603.0
105.0,9.0,9.0,105.0,9.0,9.0,185.0,33.0,33.0,185.0,33.0,33.0,220.0,45.0,45.0,250.0,82.0,82.0,258.0,104.0,104.0,289.0,200.0,200.0,308.0,347.0,347.0,315.0,604.0,604.0
111.0,11.0,11.0,111.0,11.0,11.0,181.0,31.0,31.0,181.0,31.0,31.0,212.0,56.0,56.0,239.0,76.0,76.0,252.0,117.0,117.0,280.0,212.0,212.0,297.0,332.0,332.0,304.0,552.0,552.0
143.0,5.0,5.0,143.0,5.0,5.0,212.0,20.0,20.0,212.0,20.0,20.0,243.0,44.0,44.0,283.0,84.0,84.0,291.0,99.0,99.0,322.0,214.0,214.0,340.0,352.0,352.0,348.0,632.0,632.0
131.0,6.0,6.0,131.0,6.0,6.0,206.0,17.0,17.0,206.0,17.0,17.0,231.0,36.0,36.0,263.0,72.0,72.0,282.0,109.0,109.0,309.0,219.0,219.0,323.0,340.0,340.0,332.0,593.0,593.0
127.0,5.0,5.0,127.0,5.0,5.0,204.0,20.0,20.0,204.0,20.0,20.0,228.0,39.0,39.0,261.0,74.0,74.0,273.0,105.0,105.0,303.0,226.0,226.0,314.0,327.0,327.0,322.0,557.0,557.0
127.0,5.0,5.0,127.0,5.0,5.0,199.0,24.0,24.0,199.0,24.0,24.0,219.0,38.0,38.0,254.0,77.0,77.0,263.0,106.0,106.0,288.0,197.0,197.0,301.0,315.0,315.0,308.0,520.0,520.0
128.0,4.0,4.0,128.0,4.0,4.0,200.0,29.0,29.0,200.0,29.0,29.0,225.0,53.0,53.0,248.0,74.0,74.0,260.0,105.0,105.0,279.0,174.0,174.0,292.0,291.0,291.0,299.0,484.0,484.0
116.0,5.0,5.0,116.0,5.0,5.0,184.0,29.0,29.0,184.0,29.0,29.0,208.0,53.0,53.0,231.0,87.0,87.0,241.0,119.0,119.0,250.0,149.0,149.0,264.0,271.0,271.0,268.0,407.0,407.0
114.0,6.0,6.0,114.0,6.0,6.0,181.0,34.0,34.0,181.0,34.0,34.0,206.0,58.0,58.0,228.0,95.0,95.0,234.0,117.0,117.0,246.0,165.0,165.0,255.0,245.0,245.0,259.0,375.0,375.0
56.0,10.0,10.0,56.0,10.0,10.0,125.0,45.0,45.0,125.0,45.0,45.0,149.0,72.0,72.0,164.0,104.0,104.0,170.0,125.0,125.0,181.0,183.0,183.0,186.0,229.0,229.0,188.0,261.0,261.0
74.0,11.0,11.0,74.0,11.0,11.0,132.0,39.0,39.0,132.0,39.0,39.0,151.0,62.0,62.0,165.0,82.0,82.0,169.0,97.0,97.0,180.0,145.0,145.0,187.0,210.0,210.0,190.0,263.0,263.0
70.0,10.0,10.0,70.0,10.0,10.0,126.0,32.0,32.0,126.0,32.0,32.0,145.0,61.0,61.0,163.0,94.0,94.0,168.0,108.0,108.0,176.0,147.0,147.0,186.0,235.0,235.0,187.0,261.0,261.0
75.0,15.0,15.0,75.0,15.0,15.0,127.0,31.0,31.0,127.0,31.0,31.0,146.0,53.0,53.0,164.0,85.0,85.0,173.0,114.0,114.0,181.0,149.0,149.0,190.0,226.0,226.0,192.0,276.0,276.0
