,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2,0,1,0,0
1,0,2,0,1,0,0
2,0,2,0,1,0,0
3,0,24,0,20,0,0
4,0,25,0,20,0,0
5,0,97,0,147,0,0
6,0,87,0,120,0,0
7,60,61,22,51,94,40
8,72,27,30,3,51,66
9,75,52,41,16,94,37
10,103,51,57,33,134,108
11,141,48,84,16,118,118
12,154,40,81,8,125,179
13,167,89,121,26,211,180
14,162,36,80,12,90,163
15,154,22,104,0,40,157
16,213,50,140,15,143,260
17,249,84,190,68,288,305
18,272,65,211,39,160,340
19,295,51,265,12,176,443
20,314,70,268,20,180,414
21,330,93,237,4,147,391
22,243,41,139,6,120,265
23,268,33,222,14,71,403
24,258,20,227,8,55,281
25,329,47,296,8,146,344
26,297,38,238,7,90,247
27,208,17,139,1,23,130
28,275,34,170,4,45,265
29,237,33,132,7,64,196
30,306,34,190,0,75,374
31,359,61,245,2,125,430
32,326,52,232,12,155,423
33,354,75,266,13,194,393
34,341,63,208,13,170,377
35,295,35,178,5,78,271
36,263,38,142,8,74,207
37,381,43,221,8,98,480
38,373,75,230,17,175,464
39,394,48,274,6,162,455
40,461,87,328,6,176,682
41,364,25,195,0,48,358
42,203,28,58,3,40,92
43,212,21,62,1,26,144
44,226,30,77,6,41,146
45,315,25,122,2,42,200
46,289,52,96,15,72,208
47,297,47,134,12,104,263
48,275,41,114,14,102,132
49,193,21,68,2,24,101
50,171,19,54,4,28,107
51,225,33,93,3,44,150
52,236,38,121,12,72,154
53,251,32,136,4,57,208
54,197,36,119,11,87,135
55,159,25,89,3,39,104
56,155,24,55,0,41,82
57,183,32,81,9,49,121
58,191,35,125,6,39,175
59,71,12,32,1,15,27
60,11,2,1,0,3,4
61,8,7,0,2,4,2
62,9,5,0,1,5,3
63,6,4,0,1,4,1
64,6,6,0,0,7,1
65,1,3,0,1,1,0
66,4,5,0,1,3,1
67,6,10,0,3,6,1
68,3,21,0,11,4,0
69,3,10,0,4,3,0
70,3,6,0,1,4,0
71,14,62,0,22,52,8
72,36,71,14,33,67,23
73,72,49,43,13,59,35
74,87,46,40,21,41,52
75,79,34,42,8,40,40
76,91,29,61,6,38,33
77,91,18,73,2,19,61
78,84,27,45,7,36,44
79,91,18,53,2,19,34
80,95,17,80,2,18,46
81,90,17,51,2,21,49
82,78,17,48,5,18,27
83,70,16,38,1,23,19
84,88,28,43,12,26,42
85,62,10,35,2,11,28
86,105,71,40,55,57,36
87,77,10,42,3,10,37
88,70,10,45,2,11,24
89,62,8,41,2,6,20
90,50,3,37,0,3,9
91,22,4,15,3,0,3
92,28,5,12,1,4,5
93,37,12,19,3,9,11
94,47,23,19,0,27,27
95,58,18,19,5,21,26
96,56,23,32,6,22,24
97,46,16,30,7,15,17
98,48,7,22,1,5,14
99,46,8,24,1,6,15
100,68,24,35,7,30,21
101,51,14,40,2,24,26
102,60,20,34,3,23,28
103,66,19,40,9,12,34
104,54,11,44,4,8,22
105,42,10,22,2,8,19
106,49,8,24,1,7,17
107,46,10,30,1,10,25
108,52,30,28,8,29,12
109,50,9,31,3,8,26
110,51,9,26,0,12,30
111,42,9,21,3,5,12
112,35,5,21,0,5,8
113,28,12,8,5,4,10
114,45,8,30,1,8,14
115,42,17,26,10,7,12
116,35,8,16,0,13,22
117,44,23,23,13,18,12
118,43,30,20,2,28,26
119,29,6,13,1,5,11
120,24,7,10,3,7,9
121,63,34,34,10,30,25
122,63,7,48,0,9,30
123,52,9,28,0,14,33
124,43,14,32,6,16,20
125,52,13,36,4,13,20
126,33,5,17,3,3,9
127,39,2,22,0,4,23
128,46,26,24,7,19,33
129,40,19,23,2,22,15
130,51,22,25,7,13,19
131,39,9,21,4,5,20
132,45,16,32,5,12,13
133,45,58,17,2,56,20
134,40,9,13,1,10,22
135,41,12,28,3,9,15
136,46,12,22,2,11,21
137,42,12,17,2,11,9
138,44,16,24,3,23,12
139,43,7,18,2,4,23
140,31,7,14,1,7,13
141,23,5,13,1,3,3
142,33,8,12,3,11,15
143,40,12,22,6,5,15
144,33,11,20,2,15,14
145,33,10,18,3,4,14
146,26,5,11,0,7,8
147,33,24,15,11,14,10
148,31,11,15,3,13,7
149,48,32,28,5,38,21
150,52,10,34,2,12,27
151,45,15,33,4,15,12
152,51,21,28,11,20,18
153,45,12,35,4,8,14
154,30,10,7,2,9,14
155,24,9,12,4,5,6
156,28,11,15,1,12,6
157,26,22,4,6,22,10
158,37,10,17,3,10,12
159,32,18,19,3,19,11
160,41,13,27,2,11,18
161,24,11,13,3,11,5
162,30,7,13,1,5,10
163,35,14,17,4,16,15
164,36,8,22,0,10,11
165,31,16,19,6,9,5
166,30,8,15,2,12,12
167,35,11,18,2,9,11
168,23,4,11,1,3,6
169,27,4,10,0,6,8
170,24,8,9,3,10,7
171,33,7,19,2,4,12
172,26,7,15,0,10,5
173,25,13,15,11,11,7
174,10,3,6,2,0,0
175,12,11,3,3,6,5
176,18,12,4,3,9,7
177,22,12,7,4,9,7
178,20,11,6,6,4,10
179,18,14,7,8,6,4
180,26,12,15,4,9,5
