,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2,0,1,0,0
1,0,2,0,1,0,0
2,1,1,0,0,1,0
3,0,24,0,20,0,0
4,6,19,0,14,6,0
5,19,78,1,64,77,5
6,55,32,23,3,44,50
7,60,61,22,51,94,40
8,72,27,30,3,51,66
9,75,52,41,16,94,37
10,103,51,57,33,134,108
11,142,47,85,16,117,118
12,154,40,81,8,125,179
13,170,86,121,25,209,183
14,164,34,85,12,82,166
15,158,18,106,0,36,159
16,213,50,142,15,143,258
17,258,75,200,65,275,311
18,278,59,221,37,156,336
19,300,46,271,11,166,448
20,327,57,281,16,170,415
21,367,56,253,4,105,417
22,246,38,148,3,108,271
23,275,26,230,9,70,401
24,264,14,240,7,45,279
25,338,38,335,6,126,327
26,309,26,261,5,71,245
27,212,13,155,1,18,119
28,288,21,197,3,34,250
29,254,16,166,1,34,198
30,323,17,252,0,43,344
31,380,40,315,1,92,394
32,346,32,310,7,127,378
33,385,44,348,2,131,385
34,365,39,260,4,144,360
35,307,23,218,2,59,253
36,276,25,173,4,51,203
37,399,25,263,3,70,471
38,408,40,288,5,114,479
39,415,27,325,2,123,447
40,503,45,408,4,128,652
41,373,16,244,0,30,327
42,215,16,78,0,29,86
43,221,12,90,1,17,125
44,242,14,107,4,17,142
45,325,15,170,0,27,169
46,308,33,132,11,51,197
47,319,25,190,3,92,228
48,299,17,137,3,92,130
49,207,7,85,0,13,97
50,183,7,74,0,18,101
51,246,12,130,1,18,141
52,261,13,167,0,51,141
53,273,10,177,0,31,197
54,221,12,147,2,51,152
55,175,9,111,0,17,107
56,171,8,83,0,19,76
57,213,2,135,0,2,123
58,221,5,177,0,5,163
59,77,6,37,0,10,28
60,12,1,1,0,2,5
61,15,0,3,0,0,5
62,11,3,1,0,3,5
63,9,1,1,0,1,4
64,11,1,1,0,1,6
65,3,1,0,0,1,1
66,9,0,2,0,0,3
67,16,0,2,0,0,8
68,19,5,2,1,5,7
69,12,1,2,0,1,4
70,9,0,0,0,0,5
71,74,2,19,0,2,61
72,103,4,56,0,5,76
73,118,3,73,0,6,71
74,129,4,68,0,6,80
75,112,1,72,0,2,56
76,118,2,71,0,2,65
77,108,1,87,0,1,67
78,108,3,60,0,5,67
79,108,1,69,0,5,34
80,111,1,95,0,1,50
81,107,0,68,0,0,55
82,94,1,66,0,4,28
83,81,5,50,0,9,22
84,113,3,60,0,9,54
85,72,0,44,0,0,32
86,173,3,79,0,3,106
87,87,0,54,0,0,38
88,80,0,63,0,0,19
89,69,1,50,0,1,18
90,53,0,46,0,0,3
91,26,0,20,0,0,1
92,31,2,12,0,2,8
93,48,1,29,0,1,12
94,66,4,37,0,4,32
95,74,2,40,0,4,27
96,76,3,48,0,5,31
97,62,0,45,0,0,24
98,55,0,32,0,0,10
99,54,0,33,0,0,13
100,88,4,56,0,4,33
101,63,2,56,0,3,33
102,78,2,59,0,3,26
103,79,6,59,0,7,29
104,64,1,55,0,1,22
105,52,0,28,0,0,23
106,57,0,31,0,0,18
107,56,0,40,0,0,26
108,80,2,45,0,3,29
109,58,1,43,0,5,20
110,58,2,41,0,2,25
111,50,1,27,0,3,11
112,40,0,27,0,0,7
113,40,0,20,0,0,7
114,53,0,36,0,0,17
115,55,4,28,0,5,22
116,42,1,23,0,2,26
117,64,3,35,0,17,14
118,73,0,33,0,0,43
119,35,0,20,0,0,10
120,30,1,15,0,1,13
121,93,4,53,1,6,39
122,69,1,58,0,1,28
123,61,0,48,0,0,27
124,53,4,40,1,4,29
125,64,1,45,0,1,27
126,38,0,22,0,0,10
127,41,0,28,0,0,21
128,69,3,47,0,5,31
129,57,2,38,0,2,22
130,72,1,40,0,1,23
131,46,2,27,1,0,22
132,58,3,39,0,4,19
133,92,11,27,0,11,57
134,49,0,24,0,0,22
135,53,0,45,0,0,10
136,57,1,34,0,1,21
137,52,2,25,0,2,12
138,59,1,39,0,2,21
139,50,0,31,0,0,16
140,38,0,26,0,0,9
141,27,1,16,0,1,3
142,41,0,24,0,0,17
143,52,0,32,0,0,16
144,44,0,32,0,0,19
145,43,0,28,0,0,11
146,31,0,20,0,0,6
147,52,5,26,0,15,9
148,42,0,30,0,0,8
149,78,2,58,0,2,32
150,62,0,42,0,0,33
151,59,1,42,0,1,21
152,72,0,47,0,0,30
153,56,1,43,0,1,17
154,39,1,17,0,1,14
155,29,4,15,2,3,7
156,32,7,17,0,10,7
157,46,2,17,0,3,22
158,45,2,22,0,2,18
159,45,5,29,0,10,13
160,50,4,41,0,5,12
161,32,3,21,0,3,8
162,36,1,19,0,1,9
163,47,2,33,0,5,14
164,43,1,29,0,1,13
165,45,2,27,0,2,10
166,38,0,27,0,0,14
167,45,1,29,0,1,10
168,27,0,15,0,0,6
169,30,1,16,0,1,7
170,31,1,14,0,4,11
171,40,0,30,0,0,7
172,31,2,19,0,2,9
173,37,1,25,0,10,9
174,13,0,8,0,0,0
175,21,2,11,0,2,4
176,24,6,6,0,6,11
177,33,1,17,0,1,9
178,31,0,14,0,0,12
179,29,3,11,0,4,10
180,38,0,18,0,0,15
