Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
530.0,33.0,740.0,16.0,37.0,34.0
517.0,36.0,716.0,12.0,35.0,51.0
496.0,44.0,695.0,15.0,42.0,61.0
491.0,47.0,691.0,14.0,49.0,81.0
489.0,45.0,715.0,23.0,47.0,67.0
512.0,47.0,773.0,16.0,46.0,61.0
520.0,22.0,793.0,8.0,24.0,38.0
510.0,34.0,774.0,8.0,39.0,41.0
529.0,34.0,777.0,11.0,39.0,69.0
523.0,39.0,783.0,15.0,40.0,50.0
512.0,34.0,760.0,14.0,32.0,74.0
499.0,52.0,747.0,21.0,47.0,68.0
517.0,47.0,763.0,19.0,42.0,91.0
548.0,34.0,839.0,11.0,40.0,57.0
555.0,23.0,867.0,8.0,28.0,82.0
551.0,28.0,865.0,11.0,24.0,68.0
554.0,31.0,865.0,7.0,38.0,56.0
560.0,51.0,844.0,19.0,53.0,67.0
582.0,40.0,849.0,15.0,49.0,65.0
564.0,29.0,816.0,10.0,29.0,67.0
571.0,25.0,821.0,9.0,27.0,55.0
566.0,22.0,803.0,11.0,18.0,50.0
558.0,17.0,788.0,5.0,27.0,63.0
540.0,38.0,781.0,13.0,48.0,75.0
553.0,42.0,793.0,15.0,57.0,72.0
550.0,44.0,813.0,18.0,46.0,94.0
575.0,33.0,860.0,8.0,44.0,72.0
574.0,27.0,901.0,11.0,29.0,50.0
571.0,21.0,911.0,5.0,21.0,55.0
568.0,30.0,894.0,10.0,38.0,54.0
568.0,20.0,853.0,8.0,30.0,95.0
555.0,38.0,847.0,7.0,55.0,80.0
556.0,36.0,826.0,11.0,38.0,83.0
541.0,31.0,823.0,13.0,38.0,75.0
540.0,25.0,861.0,9.0,37.0,30.0
561.0,26.0,847.0,10.0,35.0,43.0
572.0,26.0,841.0,5.0,35.0,62.0
582.0,46.0,830.0,11.0,54.0,90.0
597.0,36.0,853.0,10.0,51.0,78.0
599.0,29.0,863.0,11.0,30.0,87.0
597.0,45.0,865.0,20.0,54.0,70.0
624.0,19.0,930.0,4.0,24.0,47.0
614.0,26.0,915.0,6.0,31.0,48.0
620.0,26.0,900.0,5.0,27.0,82.0
605.0,29.0,861.0,9.0,42.0,87.0
602.0,36.0,851.0,10.0,51.0,82.0
600.0,28.0,858.0,12.0,34.0,83.0
585.0,38.0,846.0,12.0,40.0,94.0
