,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,164,0,167,0,0
1,0,145,0,142,0,0
2,0,132,0,133,0,0
3,0,94,0,90,0,0
4,0,99,0,104,0,0
5,0,154,0,140,0,0
6,0,151,0,149,0,0
7,96,65,27,29,50,56
8,102,57,30,28,55,43
9,84,40,24,16,32,37
10,75,57,22,29,41,33
11,73,35,18,17,38,35
12,85,43,19,16,37,49
13,95,53,19,20,42,59
14,92,63,22,26,60,62
15,92,56,24,30,55,60
16,91,66,25,32,46,53
17,81,36,27,19,24,34
18,67,47,18,15,46,33
19,90,52,32,27,43,62
20,104,51,39,23,43,44
21,106,43,45,20,50,59
22,99,65,44,30,57,61
23,119,69,37,32,58,73
24,84,56,23,27,45,39
25,94,40,24,18,45,59
26,93,48,16,20,40,47
27,96,55,33,21,46,44
28,108,74,29,36,61,53
29,102,66,27,29,67,45
30,93,45,37,24,41,50
31,86,50,18,21,49,29
32,72,40,20,20,25,40
33,85,45,26,17,43,52
34,95,59,28,27,66,58
35,104,78,28,36,70,59
36,129,68,36,26,72,79
37,104,69,33,33,56,47
38,73,47,15,25,44,35
39,77,32,28,13,24,52
40,87,54,22,28,50,42
41,107,51,26,27,38,79
42,104,66,30,27,62,66
43,116,67,33,34,65,45
44,105,56,29,19,59,59
45,81,39,22,19,35,32
46,74,53,23,23,46,24
47,90,50,13,18,50,55
48,119,90,36,38,90,53
49,116,73,35,33,72,55
50,100,61,23,25,54,69
51,109,75,21,38,71,51
52,78,40,19,11,42,34
53,76,47,26,18,40,32
54,94,55,18,20,40,65
55,99,66,27,39,69,57
56,108,71,29,35,74,53
57,114,62,26,33,47,63
58,112,71,19,25,70,67
59,68,42,8,17,32,35
60,83,56,18,25,44,37
61,95,49,19,22,50,53
62,105,60,21,28,56,57
63,104,66,23,31,54,55
64,119,51,31,20,60,57
65,102,64,35,33,51,42
66,89,57,27,25,52,39
67,85,43,22,23,36,48
68,100,53,29,20,56,57
69,103,58,28,27,61,43
70,110,65,27,28,63,58
71,110,50,24,14,58,51
72,102,55,24,28,50,47
73,76,34,17,19,47,40
74,78,30,14,11,30,36
75,91,58,25,25,67,37
76,95,59,25,23,61,43
77,107,69,30,35,60,56
78,98,54,26,26,55,50
79,87,47,28,24,47,39
80,87,60,14,30,63,41
81,91,54,24,20,54,46
82,88,51,21,29,45,38
83,112,55,31,23,77,53
84,95,65,25,39,59,51
85,83,72,23,37,60,31
86,105,65,19,29,54,59
87,82,39,25,16,43,35
88,64,45,17,16,33,23
89,94,51,22,18,40,55
90,109,55,33,19,55,49
91,104,67,30,33,55,59
92,108,57,37,25,50,58
93,97,63,28,33,51,46
94,79,43,18,26,44,35
95,80,51,24,18,43,28
96,99,48,24,22,53,42
97,90,67,30,37,47,37
98,91,53,26,24,41,49
99,79,73,17,38,39,38
100,85,41,20,21,37,38
101,80,28,17,13,34,47
102,80,56,17,29,51,54
103,91,38,26,12,35,55
104,97,61,30,31,58,46
105,93,59,29,29,56,49
106,98,57,41,34,43,49
107,99,68,33,32,62,43
108,69,41,17,10,39,39
109,56,33,9,13,35,37
110,84,57,15,33,58,43
111,102,66,30,31,67,54
112,102,64,34,21,62,46
113,83,36,29,16,45,37
114,92,72,30,46,46,45
115,93,63,22,40,67,29
116,74,42,28,21,38,24
117,84,40,22,15,36,48
118,86,53,26,28,56,37
119,86,55,18,23,51,35
120,81,70,15,34,57,29
121,85,65,25,21,64,33
122,76,42,22,14,42,43
123,71,43,24,23,35,39
124,86,45,27,22,39,37
125,81,52,22,23,53,44
126,85,48,26,20,43,64
127,70,51,17,25,37,29
128,59,36,15,9,33,27
129,57,33,19,11,26,31
130,67,45,21,23,49,22
131,70,55,29,35,33,39
132,69,45,27,17,27,44
133,80,56,23,27,38,48
134,85,60,25,20,47,44
135,65,34,22,16,33,27
136,75,43,24,20,36,23
137,66,40,26,20,35,27
138,95,61,33,30,63,30
139,82,51,27,24,44,52
140,65,79,24,49,60,28
141,89,47,31,16,51,35
142,88,79,22,47,62,37
143,69,30,18,13,29,39
144,79,37,23,17,33,38
145,75,47,21,20,33,41
146,87,52,37,24,55,37
147,82,59,20,25,54,43
148,98,56,32,27,55,56
149,78,55,22,22,46,29
150,57,52,12,20,45,15
151,54,34,16,15,40,22
152,85,51,24,16,56,42
153,83,52,30,18,50,40
154,85,49,25,30,43,35
155,72,55,26,29,36,35
156,74,62,12,33,37,28
157,54,41,4,22,34,31
158,55,39,13,22,40,25
159,93,55,28,33,46,41
160,90,49,36,32,40,38
161,84,65,25,31,59,33
162,82,63,24,25,58,36
163,92,75,29,38,48,57
164,77,33,18,16,23,42
165,85,40,23,18,52,31
166,87,49,26,16,47,53
167,83,48,24,27,40,40
168,97,63,21,27,72,59
169,108,69,33,43,71,47
170,94,60,22,35,54,49
171,80,49,15,28,52,34
172,76,57,15,25,47,42
173,93,48,17,29,52,45
174,100,70,34,32,66,49
175,117,59,37,25,58,54
176,110,53,33,23,44,67
177,85,54,26,28,55,35
178,81,47,21,19,51,33
179,82,65,23,21,54,33
180,78,59,23,25,45,37
181,87,52,31,18,52,50
182,101,68,24,33,73,36
183,115,71,24,36,62,59
184,91,63,30,25,54,46
185,78,38,14,20,43,46
186,77,47,23,22,34,45
187,75,60,20,33,48,32
188,105,71,25,29,62,45
