,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,164,0,167,0,0
1,53,92,11,51,54,26
2,72,60,24,35,33,41
3,50,44,15,24,32,19
4,63,36,17,15,42,30
5,86,68,19,34,43,44
6,95,56,34,27,40,48
7,96,65,27,29,50,56
8,104,55,31,27,55,43
9,85,39,24,16,31,38
10,84,48,22,20,48,35
11,75,33,21,16,37,34
12,92,36,23,12,35,51
13,104,44,22,15,42,61
14,108,47,26,14,49,81
15,103,45,32,23,47,67
16,110,47,33,16,46,61
17,95,22,34,8,24,38
18,80,34,24,8,39,41
19,108,34,45,11,39,69
20,116,39,44,15,40,50
21,115,34,54,14,32,74
22,112,52,56,21,47,68
23,141,47,48,19,42,91
24,106,34,26,11,40,57
25,111,23,28,8,28,82
26,113,28,20,11,24,68
27,120,31,43,7,38,56
28,131,51,40,19,53,67
29,128,40,39,15,49,65
30,109,29,46,10,29,67
31,111,25,26,9,27,55
32,90,22,26,11,18,50
33,113,17,43,5,27,63
34,116,38,43,13,48,75
35,140,42,49,15,57,72
36,153,44,55,18,46,94
37,140,33,45,8,44,72
38,93,27,29,11,29,50
39,88,21,36,5,21,55
40,111,30,40,10,38,54
41,138,20,37,8,30,95
42,132,38,43,7,55,80
43,147,36,45,11,38,83
44,130,31,40,13,38,75
45,95,25,32,9,37,30
46,101,26,28,10,35,43
47,114,26,34,5,35,62
48,163,46,62,11,54,90
49,153,36,56,10,51,78
50,132,29,43,11,30,87
51,139,45,37,20,54,70
52,99,19,31,4,24,47
53,97,26,31,6,31,48
54,123,26,29,5,27,82
55,136,29,54,9,42,87
56,143,36,48,10,51,82
57,148,28,40,12,34,83
58,145,38,35,12,40,94
59,88,22,19,5,29,39
60,115,24,27,8,26,63
61,121,23,35,8,35,66
62,139,26,40,11,29,82
63,147,23,42,6,35,80
64,140,30,51,10,46,61
65,134,32,47,12,43,59
66,119,27,44,10,36,53
67,111,17,41,5,25,58
68,131,22,50,4,32,76
69,134,27,45,8,34,72
70,143,32,50,8,42,76
71,140,20,36,3,32,76
72,134,23,41,13,29,66
73,92,18,29,9,25,60
74,93,15,22,4,23,42
75,123,26,42,7,37,68
76,133,21,38,7,24,83
77,141,35,53,18,44,66
78,125,27,45,7,38,67
79,119,15,40,3,16,79
80,123,24,38,5,31,74
81,123,22,43,7,31,63
82,119,20,35,8,24,66
83,142,25,50,7,50,77
84,136,24,44,11,33,86
85,130,25,40,11,33,67
86,140,30,49,10,27,75
87,100,21,38,8,31,42
88,96,13,27,1,19,42
89,122,23,39,7,24,65
90,144,20,52,6,21,77
91,142,29,44,9,38,86
92,140,25,63,5,31,71
93,131,29,46,10,35,67
94,108,14,33,6,19,65
95,111,20,36,4,27,46
96,130,17,42,7,28,64
97,134,23,51,8,26,66
98,124,20,47,7,27,59
99,126,26,35,7,27,63
100,113,13,37,4,24,51
101,98,10,31,2,15,63
102,110,26,42,7,38,64
103,119,10,43,4,11,70
104,136,22,49,4,27,85
105,128,24,45,6,35,77
106,136,19,58,6,28,75
107,136,31,54,14,42,60
108,90,20,33,1,27,44
109,76,13,23,2,22,47
110,112,29,33,12,44,60
111,141,27,53,8,37,84
112,137,29,50,6,28,79
113,103,16,40,8,26,53
114,144,20,55,4,25,83
115,132,24,37,13,47,61
116,96,20,42,8,21,40
117,108,16,43,3,16,59
118,116,23,46,7,35,59
119,120,21,26,5,29,67
120,123,28,29,10,46,50
121,126,24,38,4,33,68
122,103,15,42,2,22,55
123,98,16,39,8,19,55
124,114,17,38,5,26,56
125,111,22,42,8,29,63
126,118,15,51,4,18,80
127,96,25,30,3,28,47
128,77,18,22,0,24,38
129,73,17,26,6,19,36
130,92,20,35,9,23,48
131,104,21,51,9,26,50
132,99,15,37,4,16,58
133,119,17,52,1,23,60
134,128,17,42,4,21,69
135,84,15,37,7,20,34
136,106,12,40,3,15,45
137,90,16,47,3,12,46
138,143,13,58,3,24,71
139,117,16,51,4,29,63
140,121,23,48,7,33,73
141,120,16,49,5,23,56
142,139,28,51,8,41,68
143,89,10,32,3,16,48
144,103,13,38,5,23,45
145,109,13,44,1,14,56
146,124,15,60,5,24,64
147,122,19,41,6,32,63
148,136,18,63,7,29,71
149,112,21,36,6,29,48
150,87,22,19,6,27,40
151,71,17,28,4,25,36
152,118,18,43,6,28,61
153,122,13,49,1,15,73
154,124,10,48,0,20,65
155,112,15,48,5,24,49
156,103,33,24,11,41,34
157,83,12,18,5,22,46
158,81,13,30,4,25,41
159,130,18,55,5,22,66
160,130,9,59,6,15,66
161,123,26,41,8,45,54
162,125,20,43,4,31,65
163,145,22,57,3,23,89
164,103,7,32,1,11,55
165,108,17,38,6,35,45
166,119,17,54,2,23,63
167,114,17,41,5,31,54
168,139,21,44,8,39,88
169,157,20,61,5,23,105
170,134,20,43,8,25,84
171,117,12,30,5,27,67
172,114,19,38,4,22,65
173,127,14,35,5,28,75
174,146,24,55,8,30,88
175,155,21,68,4,27,75
176,137,26,58,10,36,63
177,124,15,43,5,25,71
178,115,13,42,4,23,55
179,121,26,37,1,34,59
180,117,20,44,3,34,49
181,116,23,52,4,28,67
182,145,24,44,5,46,71
183,161,25,44,9,28,100
184,134,20,57,6,26,66
185,104,12,35,7,25,56
186,108,16,44,1,19,60
187,116,19,44,4,22,63
188,145,31,47,8,39,67
