0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1074.0,237.0,11546.619,1074.0,237.0,11546.619,1074.0,237.0,11546.619,1074.0,237.0,11546.619,1074.0,237.0,11546.619,1074.0,237.0,11546.619,1074.0,237.0,11546.619,1429.0,532.0,26156.598,1429.0,532.0,26156.598,1488.0,1309.0,64731.613
1001.0,223.0,10865.448,1001.0,223.0,10865.448,1001.0,223.0,10865.448,1001.0,223.0,10865.448,1001.0,223.0,10865.448,1001.0,223.0,10865.448,1001.0,223.0,10865.448,1322.0,484.0,23794.27,1322.0,484.0,23794.27,1381.0,1212.0,59902.72
901.0,203.0,9865.261,901.0,203.0,9865.261,901.0,203.0,9865.261,901.0,203.0,9865.261,901.0,203.0,9865.261,901.0,203.0,9865.261,901.0,203.0,9865.261,1161.0,424.0,20786.037,1161.0,424.0,20786.037,1208.0,1039.0,51239.63
872.0,197.0,9572.219,872.0,197.0,9572.219,872.0,197.0,9572.219,872.0,197.0,9572.219,872.0,197.0,9572.219,872.0,197.0,9572.219,872.0,197.0,9572.219,1122.0,423.0,20785.334,1122.0,423.0,20785.334,1162.0,989.0,48786.62
825.0,202.0,9805.68,825.0,202.0,9805.68,825.0,202.0,9805.68,825.0,202.0,9805.68,825.0,202.0,9805.68,825.0,202.0,9805.68,825.0,202.0,9805.68,1038.0,394.0,19273.352,1038.0,394.0,19273.352,1070.0,882.0,43356.523
781.0,202.0,9787.384,781.0,202.0,9787.384,781.0,202.0,9787.384,781.0,202.0,9787.384,781.0,202.0,9787.384,781.0,202.0,9787.384,781.0,202.0,9787.384,971.0,371.0,18142.266,971.0,371.0,18142.266,999.0,806.0,39612.633
737.0,204.0,9894.59,737.0,204.0,9894.59,737.0,204.0,9894.59,737.0,204.0,9894.59,737.0,204.0,9894.59,737.0,204.0,9894.59,737.0,204.0,9894.59,912.0,363.0,17742.82,912.0,363.0,17742.82,934.0,737.0,36255.824
714.0,195.0,9456.4,714.0,195.0,9456.4,714.0,195.0,9456.4,714.0,195.0,9456.4,714.0,195.0,9456.4,714.0,195.0,9456.4,714.0,195.0,9456.4,901.0,361.0,17673.238,901.0,361.0,17673.238,920.0,737.0,36276.973
681.0,186.0,9019.277,681.0,186.0,9019.277,681.0,186.0,9019.277,681.0,186.0,9019.277,681.0,186.0,9019.277,681.0,186.0,9019.277,681.0,186.0,9019.277,858.0,341.0,16736.604,858.0,341.0,16736.604,875.0,704.0,34707.348
644.0,175.0,8498.952,644.0,175.0,8498.952,644.0,175.0,8498.952,644.0,175.0,8498.952,644.0,175.0,8498.952,644.0,175.0,8498.952,644.0,175.0,8498.952,821.0,327.0,16071.6875,821.0,327.0,16071.6875,839.0,682.0,33675.254
642.0,183.0,8900.461,642.0,183.0,8900.461,642.0,183.0,8900.461,642.0,183.0,8900.461,642.0,183.0,8900.461,642.0,183.0,8900.461,642.0,183.0,8900.461,812.0,329.0,16172.457,812.0,329.0,16172.457,826.0,661.0,32593.807
676.0,150.0,7336.902,676.0,150.0,7336.902,676.0,150.0,7336.902,676.0,150.0,7336.902,676.0,150.0,7336.902,676.0,150.0,7336.902,676.0,150.0,7336.902,878.0,321.0,15798.838,878.0,321.0,15798.838,895.0,771.0,37851.652
699.0,146.0,7142.131,699.0,146.0,7142.131,699.0,146.0,7142.131,699.0,146.0,7142.131,699.0,146.0,7142.131,699.0,146.0,7142.131,699.0,146.0,7142.131,927.0,332.0,16316.302,927.0,332.0,16316.302,945.0,838.0,41163.75
718.0,142.0,6939.2026,718.0,142.0,6939.2026,718.0,142.0,6939.2026,718.0,142.0,6939.2026,718.0,142.0,6939.2026,718.0,142.0,6939.2026,718.0,142.0,6939.2026,957.0,343.0,16836.217,957.0,343.0,16836.217,980.0,877.0,43027.98
