,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,60,0,31,0,0
1,0,353,0,187,0,0
2,0,122,0,62,0,0
3,0,1209,0,919,0,0
4,0,1256,0,1039,0,0
5,205,491,99,186,260,42
6,173,338,83,109,218,38
7,135,243,66,86,141,17
8,100,196,52,78,93,16
9,86,209,43,66,117,15
10,69,269,34,100,137,7
11,107,271,56,103,156,14
12,60,179,34,64,90,9
13,82,164,55,54,103,11
14,66,147,43,50,68,11
15,40,154,20,51,81,3
16,51,130,32,52,50,6
17,40,170,15,70,67,3
18,30,119,13,45,48,5
19,30,135,12,60,52,5
20,26,93,14,34,43,4
21,12,93,7,42,27,0
22,23,97,12,38,34,5
23,32,144,26,58,64,4
24,17,133,11,58,50,0
25,19,92,8,35,38,3
26,24,123,13,51,39,3
27,56,174,16,39,121,34
28,29,138,18,48,80,5
29,29,136,23,56,59,3
30,56,152,35,57,83,10
31,32,87,15,36,36,2
32,19,101,6,55,30,4
33,26,89,12,39,38,2
34,42,107,21,39,58,11
35,15,93,8,42,36,2
36,22,98,13,37,43,2
37,23,126,12,58,59,4
38,31,120,20,45,59,3
39,19,69,10,24,43,3
40,17,109,12,45,42,2
41,21,112,16,48,52,0
42,24,99,17,34,56,3
43,19,101,7,39,45,0
44,22,104,12,44,47,3
45,19,92,8,36,44,3
46,29,111,21,39,64,6
47,24,107,9,34,57,7
48,17,88,13,35,35,0
49,24,75,19,26,37,2
50,20,81,13,37,35,4
51,16,79,11,25,47,2
52,24,96,17,31,58,2
53,27,91,18,33,52,4
54,21,67,12,24,35,2
55,29,53,21,16,33,3
56,21,75,14,29,37,3
57,22,76,14,31,32,1
58,22,66,19,24,38,2
59,26,84,20,33,36,1
60,26,66,17,20,36,4
61,28,94,16,36,59,4
62,33,84,23,32,45,4
63,37,198,20,70,117,5
64,64,430,31,182,244,4
65,82,201,61,57,155,18
66,50,129,35,43,76,3
67,74,150,49,44,94,14
68,120,314,79,79,237,30
69,113,301,89,46,305,22
70,91,180,63,32,191,25
71,73,213,40,48,163,19
72,83,144,41,37,142,12
73,51,132,28,31,98,12
74,46,129,28,42,84,12
75,45,149,32,49,89,7
76,48,124,30,42,76,9
77,48,171,27,64,87,6
78,49,207,32,66,111,15
79,88,266,59,85,161,24
80,83,221,71,75,112,11
81,99,244,74,83,139,19
82,97,417,78,153,216,16
83,192,603,114,237,294,59
84,122,307,71,95,188,36
85,159,235,80,71,142,73
86,249,249,99,70,181,167
87,113,227,89,65,151,20
88,87,229,67,65,152,13
89,80,181,68,46,122,15
90,77,146,55,32,112,14
91,56,127,42,40,74,8
92,74,218,58,63,148,16
93,79,151,63,40,101,16
94,70,119,47,30,74,5
95,36,115,13,37,55,3
96,57,145,20,32,105,20
97,54,151,30,26,113,15
98,51,149,24,37,95,15
99,61,198,26,54,129,22
100,92,180,49,44,127,38
101,67,200,46,58,131,11
102,87,212,62,60,135,18
103,91,215,56,56,146,21
104,172,711,114,229,445,66
105,175,366,128,109,217,54
106,131,308,100,78,194,27
107,134,240,109,63,157,24
108,202,362,162,89,232,37
109,141,231,99,56,152,23
110,162,499,107,123,349,27
111,150,339,86,67,243,54
112,153,193,75,45,133,67
113,81,166,52,34,124,10
114,68,222,40,60,133,15
115,92,226,61,65,122,23
116,86,228,65,64,134,13
117,79,204,51,53,130,21
118,67,238,48,98,111,9
119,79,206,52,58,134,14
120,53,170,28,48,98,15
121,55,162,34,44,90,6
122,73,211,53,58,138,11
123,81,265,51,69,160,9
124,88,253,51,55,171,17
125,116,340,60,92,186,12
126,106,257,45,80,121,40
127,140,375,73,115,192,30
128,155,290,86,71,189,57
129,154,368,64,76,273,63
130,103,219,55,56,136,25
131,122,243,80,81,132,21
132,100,224,64,58,135,21
133,90,325,50,55,245,30
134,130,271,60,78,156,56
135,110,228,66,46,159,31
136,112,340,76,59,258,20
137,129,317,89,56,241,25
138,106,261,50,59,172,37
139,90,236,52,47,175,26
140,84,201,46,44,133,14
141,83,124,47,28,86,15
142,113,195,68,45,135,22
143,96,253,67,48,190,21
144,90,165,62,47,105,16
145,109,343,83,82,227,10
146,128,349,106,101,215,14
147,142,367,106,110,202,27
148,218,627,166,204,325,30
149,160,348,117,102,198,21
150,159,262,107,61,182,41
151,140,212,91,42,147,33
152,159,336,120,88,212,27
153,161,316,128,86,195,25
154,165,419,106,64,324,48
155,122,267,95,61,183,15
156,172,322,122,92,217,44
157,169,298,125,78,198,35
158,227,1129,135,276,875,39
159,155,183,107,47,119,37
