,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,60,0,31,0,0
1,24,329,12,175,0,0
2,28,94,14,47,1,0
3,240,969,107,721,87,4
4,246,1010,101,468,445,25
5,205,491,99,186,260,42
6,173,338,83,109,218,38
7,139,239,67,82,144,17
8,104,192,53,76,93,17
9,94,201,45,59,121,16
10,97,241,40,80,149,9
11,144,234,69,76,167,17
12,94,145,53,48,82,14
13,108,138,66,36,110,11
14,93,120,53,36,68,15
15,56,138,23,41,83,8
16,78,103,43,36,52,9
17,72,138,24,47,77,7
18,56,93,23,29,53,6
19,65,100,28,33,59,9
20,47,72,26,24,39,6
21,37,68,12,22,37,5
22,51,69,27,22,34,6
23,66,110,38,36,67,11
24,58,92,27,31,57,4
25,60,51,30,12,36,6
26,54,93,29,38,33,6
27,158,72,34,22,41,113
28,66,101,41,31,66,13
29,69,96,40,37,53,11
30,101,107,55,25,94,11
31,60,59,22,16,46,5
32,41,79,15,41,33,6
33,51,64,23,23,41,4
34,66,83,34,25,59,11
35,47,61,20,24,36,8
36,49,71,22,22,45,6
37,62,87,28,33,64,8
38,68,83,32,25,61,9
39,36,52,16,17,36,11
40,46,80,23,26,50,2
41,68,65,38,18,55,5
42,58,65,34,18,48,10
43,55,65,20,20,42,9
44,61,65,30,18,50,8
45,53,58,24,18,40,9
46,77,63,52,16,50,12
47,61,70,26,13,59,9
48,55,50,31,16,30,6
49,47,52,29,12,40,3
50,55,46,34,17,29,9
51,53,42,30,10,34,11
52,65,55,42,14,44,8
53,65,53,37,14,47,9
54,41,47,23,13,34,3
55,52,30,33,5,29,6
56,51,45,30,15,26,12
57,49,49,21,10,43,4
58,52,36,36,8,32,7
59,50,60,33,21,32,4
60,54,38,36,7,30,4
61,72,50,47,14,44,10
62,64,53,44,15,41,4
63,103,132,57,34,108,13
64,188,306,72,89,282,18
65,138,145,82,20,164,25
66,83,96,44,21,83,9
67,113,111,73,24,84,20
68,190,244,106,42,225,52
69,165,249,113,21,296,32
70,121,150,80,22,173,36
71,122,164,51,23,163,33
72,123,104,58,19,135,20
73,83,100,38,13,99,19
74,88,87,46,16,90,14
75,99,95,66,19,84,8
76,90,82,52,17,76,12
77,115,104,50,12,108,14
78,109,147,58,27,119,20
79,185,169,102,22,158,47
80,162,142,104,29,115,21
81,170,173,102,34,156,23
82,245,269,125,48,257,33
83,419,376,183,59,376,86
84,216,213,120,33,201,36
85,226,168,109,29,148,80
86,316,182,129,31,184,173
87,188,152,124,24,142,35
88,170,146,96,17,149,35
89,146,115,102,13,111,25
90,127,96,84,11,95,23
91,97,86,58,15,76,15
92,152,140,98,25,131,31
93,130,100,107,23,76,14
94,124,65,72,2,69,13
95,82,69,33,11,52,12
96,109,93,53,9,90,25
97,110,95,66,5,95,18
98,103,97,44,9,87,31
99,126,133,66,26,111,28
100,158,114,92,18,100,48
101,151,116,93,19,107,27
102,160,139,109,25,113,28
103,155,151,100,24,128,27
104,443,440,260,70,422,102
105,295,246,185,36,226,61
106,221,218,143,29,189,38
107,201,173,152,28,148,25
108,310,254,229,39,205,47
109,209,163,141,21,139,29
110,320,341,179,37,349,41
111,262,227,151,22,207,70
112,220,126,113,14,118,75
113,135,112,79,10,111,20
114,134,156,70,27,125,26
115,163,155,93,23,128,27
116,173,141,120,19,119,18
117,148,135,91,16,121,27
118,184,121,91,19,98,58
119,162,123,94,17,120,27
120,113,110,56,18,93,22
121,118,99,62,10,92,10
122,156,128,92,11,135,22
123,191,155,113,15,135,26
124,184,157,108,11,149,26
125,249,207,117,27,168,38
126,190,173,92,30,126,38
127,247,268,119,53,193,45
128,248,197,142,19,181,61
129,248,274,111,25,266,74
130,166,156,81,21,139,31
131,226,139,125,14,147,28
132,195,129,112,15,116,35
133,285,130,105,22,106,147
134,242,159,113,21,144,72
135,190,148,109,14,135,44
136,236,216,152,17,204,40
137,241,205,149,8,215,39
138,225,142,96,12,141,69
139,193,133,101,13,129,57
140,150,135,74,6,134,23
141,125,82,69,7,82,18
142,186,122,112,9,117,32
143,217,132,109,7,141,69
144,152,103,98,12,99,21
145,296,156,135,17,154,96
146,276,201,188,24,190,34
147,285,224,176,26,205,38
148,441,404,236,51,378,60
149,284,224,175,25,205,33
150,256,165,145,15,160,71
151,208,144,118,13,130,52
152,279,216,186,30,192,39
153,276,201,193,29,177,35
154,431,153,189,12,149,192
155,200,189,124,16,182,32
156,325,169,199,15,170,91
157,315,152,218,19,140,59
158,452,904,220,125,923,57
159,224,114,153,11,108,38
160,211,183,125,24,156,39
161,258,200,106,17,199,102
162,185,137,125,15,126,38
163,123,114,76,15,91,15
164,169,137,139,12,123,20
165,166,110,102,13,95,34
166,116,126,70,15,113,17
167,112,76,74,9,66,15
168,116,106,57,12,90,14
169,96,91,60,9,80,12
170,128,95,66,12,91,22
171,151,139,100,15,121,16
172,762,105,122,9,117,632
173,165,106,129,11,107,20
174,266,81,127,9,91,136
175,121,91,74,7,107,21
176,149,98,114,12,104,21
177,165,114,127,10,130,28
178,190,147,164,20,184,19
179,223,153,195,11,196,20
180,138,179,96,109,170,15
181,191,78,90,6,95,81
182,107,79,68,7,89,18
183,101,66,69,5,76,20
184,148,78,90,8,81,35
185,136,104,81,7,128,28
186,189,158,121,17,185,33
187,208,177,157,14,191,71
188,212,164,140,5,183,46
189,130,91,80,11,87,34
190,264,85,68,8,91,176
191,150,97,103,9,94,37
192,196,66,111,4,70,74
193,160,90,136,5,100,36
194,176,89,124,10,96,37
195,124,65,92,8,62,18
196,114,72,85,7,77,16
197,181,91,122,5,110,48
198,236,87,112,9,79,92
199,147,64,101,4,59,28
200,282,84,130,6,97,133
201,124,64,98,3,73,23
202,123,66,86,9,82,18
203,115,88,76,10,94,14
