,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2,0,1,0,0
1,0,98,0,75,0,0
2,0,164,0,156,0,0
3,0,67,0,42,0,0
4,0,39,0,23,0,0
5,16,40,1,9,24,5
6,11,30,2,12,6,1
7,8,33,1,18,12,1
8,36,218,12,34,166,15
9,15,134,4,42,72,5
10,22,68,7,10,56,8
11,27,78,10,26,41,6
12,20,73,5,20,43,7
13,20,62,4,19,33,8
14,20,55,9,15,32,4
15,24,89,13,28,52,3
16,12,77,4,25,41,3
17,17,42,8,11,26,2
18,14,31,7,9,19,3
19,11,62,5,17,34,2
20,25,264,13,22,230,2
21,10,23,5,4,17,1
22,11,23,4,6,13,2
23,8,33,2,12,15,3
24,5,25,3,6,15,0
25,17,42,4,15,21,1
26,11,151,5,117,21,1
27,13,43,6,11,24,0
28,10,43,7,13,20,0
29,13,60,2,22,24,6
30,14,51,5,20,24,3
31,14,41,5,17,11,2
32,12,32,4,13,10,3
33,13,38,5,17,18,4
34,11,38,4,12,21,3
35,10,45,6,18,18,2
36,8,38,5,12,22,0
37,8,30,3,8,19,2
38,7,30,4,11,16,2
39,11,48,6,33,15,1
40,8,33,5,12,16,0
41,6,32,2,10,15,1
42,16,20,9,8,8,2
43,4,33,1,10,17,2
44,11,83,3,34,35,1
45,25,98,8,25,60,9
46,10,55,6,18,28,2
47,17,103,8,33,49,5
48,40,302,20,117,123,6
49,66,310,22,112,137,27
50,53,119,18,37,64,19
51,59,118,23,36,71,18
52,27,130,9,43,68,8
53,49,133,24,41,82,13
54,35,92,11,27,57,14
55,31,152,9,41,103,12
56,40,171,16,48,106,16
57,62,341,21,92,242,37
58,69,317,32,81,234,25
59,8,27,6,13,3,0
60,11,49,1,20,10,5
61,8,33,2,17,4,2
62,8,62,1,30,2,2
63,40,80,6,39,32,1
64,19,231,7,122,1,2
65,48,364,13,190,15,5
66,36,196,12,97,10,4
67,38,181,13,89,9,2
68,60,171,19,84,6,9
69,72,293,17,160,24,10
70,72,208,25,91,34,6
71,126,1358,11,961,230,8
72,117,435,40,211,36,40
73,107,671,45,364,39,13
74,64,208,24,92,34,5
75,126,280,61,122,77,28
76,137,447,75,210,97,25
77,71,263,46,129,46,7
78,76,133,47,58,39,6
79,77,364,50,89,232,14
80,109,412,76,120,215,13
81,89,267,66,76,143,6
82,70,260,44,70,145,10
83,148,988,103,299,577,21
84,168,663,113,167,427,18
85,158,431,107,71,331,23
86,135,400,92,86,252,5
87,172,478,104,85,340,24
88,181,531,108,113,354,20
89,122,424,70,89,290,23
90,137,495,80,89,353,35
91,118,382,64,83,242,24
92,99,325,57,59,227,15
93,69,359,35,79,221,12
94,94,391,48,99,212,15
95,127,645,50,229,225,21
96,141,401,61,121,183,49
97,166,374,69,98,190,60
98,157,355,74,70,229,64
99,148,319,70,71,194,52
100,118,440,49,87,282,49
101,98,352,47,74,227,24
102,100,301,30,68,197,57
103,54,272,41,67,182,6
104,72,226,58,53,138,4
105,58,244,42,59,157,5
106,72,281,54,85,167,10
107,86,279,48,69,195,8
108,56,348,32,77,242,12
109,90,358,66,84,244,6
110,67,268,47,65,182,3
111,79,278,49,60,210,8
112,62,259,38,56,179,7
113,71,230,42,51,166,27
114,48,193,30,43,127,5
115,22,199,14,39,138,4
116,35,189,18,45,128,4
117,44,231,31,53,160,4
118,52,277,34,65,181,10
119,39,217,28,47,142,2
120,11,77,2,24,31,2
121,30,155,19,31,109,5
122,29,289,13,45,221,5
123,38,235,15,38,186,9
124,36,275,20,76,162,3
125,48,366,18,129,164,6
126,34,274,20,84,137,4
127,36,233,19,63,144,3
128,27,206,16,51,130,2
129,39,318,25,92,183,5
130,20,217,7,50,136,2
131,26,222,12,63,124,3
132,37,220,18,62,114,10
133,33,199,18,48,120,6
134,31,197,16,63,102,7
135,50,172,19,47,93,20
136,23,189,3,110,46,1
137,26,167,5,34,109,8
138,51,200,13,50,110,11
139,36,191,13,51,96,13
140,43,208,12,53,114,16
141,42,200,20,47,115,5
142,62,223,25,63,122,13
143,35,207,14,42,132,13
144,33,157,14,37,93,11
145,32,145,12,33,82,5
146,22,183,8,56,88,8
147,28,175,11,42,101,5
148,44,232,18,35,178,11
149,39,200,17,65,107,10
150,29,148,11,26,103,6
151,26,137,6,30,82,9
152,36,177,10,38,109,10
153,20,159,6,27,117,4
154,37,302,14,98,122,17
155,90,805,32,297,251,33
156,87,641,37,174,337,30
157,65,372,18,79,258,20
158,71,320,34,73,205,27
159,537,1355,45,73,1234,490
160,225,270,189,64,180,20
161,357,371,212,64,318,144
162,84,303,41,50,254,29
163,91,262,62,48,214,29
164,64,237,40,45,194,15
165,53,161,30,21,150,13
166,56,192,35,39,152,14
167,46,158,29,24,139,12
168,39,189,21,45,128,8
169,41,184,24,36,144,11
170,38,199,26,41,147,13
171,36,160,11,42,109,17
172,77,151,38,30,119,34
173,57,153,36,31,121,13
174,40,198,20,51,138,9
175,48,169,22,40,117,17
176,43,188,20,43,143,19
177,43,134,16,28,105,13
178,56,231,29,95,159,22
179,49,150,18,27,131,24
180,21,131,10,27,109,8
181,36,191,16,47,139,9
182,40,214,17,49,171,20
183,44,240,27,63,169,16
184,76,374,49,123,230,23
185,47,329,29,117,178,9
186,49,283,19,90,163,12
187,53,308,23,103,151,12
188,57,292,30,89,184,13
189,51,267,22,82,173,11
190,62,307,22,92,190,28
191,51,303,24,99,185,15
192,52,353,25,103,282,13
193,84,416,47,120,308,31
194,70,379,42,116,242,20
195,92,404,48,119,269,29
