Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0.90288013,0.09711989,0.8804428,0.013284133,0.09446494,0.011808118
0.89122134,0.108778626,0.8487337,0.028747434,0.11088296,0.011635866
0.9118199,0.08818011,0.8960598,0.010869565,0.08831522,0.0047554346
0.88355726,0.11644274,0.8439227,0.026243094,0.11947514,0.010359116
0.8629442,0.13705584,0.81225806,0.04,0.13741936,0.010322581
0.8375,0.1625,0.8263889,0.026620371,0.1394676,0.0075231483
0.90437603,0.095623985,0.8381201,0.005744125,0.09451697,0.061618797
0.9,0.1,0.88428926,0.008977556,0.09825437,0.008478803
0.8880634,0.1119366,0.8769531,0.012207031,0.10107422,0.009765625
0.88691586,0.113084115,0.85707825,0.011307101,0.12573496,0.0058796923
0.9227166,0.077283375,0.9109589,0.0100456625,0.073972605,0.0050228313
0.9236176,0.07638238,0.9153515,0.005738881,0.07221425,0.006695361
0.94037145,0.059628543,0.9121104,0.0040878896,0.06693919,0.016862545
0.9198735,0.08012652,0.90049475,0.0065970314,0.089609675,0.0032985157
0.9180593,0.0819407,0.9032992,0.0022753128,0.088168375,0.0062571103
0.9207921,0.07920792,0.91201985,0.0068153655,0.07744733,0.003717472
0.9170361,0.0829639,0.9048951,0.009090909,0.08041958,0.005594406
0.949187,0.050813008,0.89361703,0.0036683786,0.055759355,0.046955246
0.94152045,0.058479533,0.92805755,0.006394884,0.056754597,0.008792966
0.90286976,0.09713025,0.86757624,0.008828251,0.097913325,0.025682183
0.9024756,0.09752438,0.8765432,0.011522634,0.10781893,0.004115226
0.91147035,0.08852964,0.8889838,0.020495303,0.08795901,0.0025619129
0.90827066,0.09172932,0.86781114,0.012017167,0.11244635,0.0077253217
0.9064151,0.0935849,0.87691003,0.005942275,0.11290322,0.004244482
0.9339478,0.06605223,0.90901136,0.015748031,0.06736658,0.007874016
0.9058131,0.0941869,0.8719212,0.010673235,0.10837439,0.009031199
0.9118329,0.08816706,0.88831615,0.009450172,0.093642615,0.008591065
0.9312,0.0688,0.912265,0.005371531,0.07520143,0.007162041
0.92068684,0.07931317,0.8909091,0.009090909,0.095454544,0.0045454544
0.92009884,0.07990115,0.8950789,0.009285051,0.08820798,0.0074280407
0.9439928,0.056007225,0.9291498,0.004048583,0.0597166,0.00708502
0.93119264,0.06880734,0.9164927,0.009394572,0.06889353,0.0052192067
0.92736316,0.07263681,0.9057471,0.0068965517,0.07931034,0.008045977
0.91605455,0.08394544,0.88578373,0.014580802,0.08869988,0.010935602
0.80725193,0.19274808,0.7613998,0.016967127,0.20890774,0.012725345
0.8552036,0.14479639,0.82578045,0.0050352467,0.16213495,0.0070493454
0.8521739,0.14782609,0.8219048,0.006666667,0.16571428,0.0057142857
0.82397,0.17602997,0.79404664,0.011263073,0.19308126,0.0016090105
0.75101334,0.24898668,0.7037037,0.014934289,0.27001196,0.01135006
0.82466567,0.17533432,0.7973922,0.01003009,0.18455367,0.008024072
0.8792249,0.120775126,0.8593961,0.0063091484,0.1288869,0.0054078414
0.89268506,0.10731494,0.8680225,0.0060579837,0.12072696,0.0051925573
0.92046434,0.079535685,0.9035533,0.0033840947,0.08967851,0.0033840947
0.927141,0.07285897,0.9101124,0.0033291718,0.08447774,0.0020807325
0.9134533,0.086546704,0.8966376,0.00498132,0.09339975,0.00498132
0.8821101,0.11788991,0.8631907,0.0057932264,0.12566845,0.0053475937
0.88703525,0.11296473,0.8584071,0.005589194,0.12901723,0.006986493
0.89035916,0.10964083,0.85827136,0.00464684,0.13243495,0.00464684
0.88899475,0.11100524,0.86140925,0.005599627,0.13065796,0.0023331777
0.90033066,0.099669345,0.8731309,0.0045310375,0.11735387,0.0049841413
0.9052874,0.094712645,0.8861932,0.0057344506,0.10542567,0.0026466695
0.90112865,0.098871335,0.8794972,0.0039011703,0.113567404,0.0030342436
0.9122402,0.087759815,0.8872114,0.0013321493,0.108792186,0.0026642985
0.9017233,0.09827667,0.8857527,0.002688172,0.10797491,0.0035842294
0.89820075,0.10179924,0.8756219,0.0027137042,0.11668928,0.0049751243
0.90179414,0.09820586,0.87307346,0.0013599275,0.121940166,0.0036264732
0.9113864,0.08861362,0.89017075,0.0018458698,0.103368714,0.0046146745
0.9165854,0.08341464,0.8962577,0.0023685456,0.095689245,0.00568451
0.9112662,0.0887338,0.88683826,0.002914036,0.108305,0.0019426906
0.97032964,0.02967033,0.9666849,0.0010922992,0.03003823,0.0021845985
0.9240506,0.07594936,0.90545243,0.0034802784,0.08758701,0.0034802784
0.8537264,0.14627364,0.8069585,0.007856341,0.18069585,0.004489338
0.8630435,0.13695653,0.82356167,0.0060273972,0.16712329,0.0032876711
0.85649776,0.14350227,0.7924528,0.0034756702,0.19960278,0.004468719
0.8888889,0.11111111,0.8597071,0.005196032,0.13179027,0.0033065658
0.8690053,0.13099468,0.82719296,0.007894737,0.16228071,0.002631579
0.8857032,0.11429679,0.8399402,0.0033657441,0.15033658,0.0063575166
0.9012922,0.098707825,0.87089044,0.0051369863,0.11917808,0.0047945203
0.86726546,0.13273454,0.82974,0.006024096,0.15948002,0.004755866
0.8757745,0.12422553,0.8381792,0.0029368575,0.15447871,0.004405286
0.90556234,0.09443765,0.87445635,0.004928965,0.11423601,0.0063786604
0.90124893,0.09875109,0.86148834,0.0035306897,0.13199349,0.0029875068
0.9171495,0.08285052,0.89124596,0.0034908701,0.102309346,0.0029538132
0.93114656,0.06885343,0.9113924,0.002201431,0.08420473,0.002201431
0.9364022,0.06359782,0.92362297,0.0031232254,0.0709824,0.0022714366
0.92910326,0.07089673,0.9067979,0.003691172,0.08705014,0.0024607813
0.93297684,0.06702317,0.9112509,0.0034940601,0.082809225,0.0024458421
0.9192943,0.0807057,0.87943786,0.0011094675,0.11501479,0.00443787
0.9153226,0.08467742,0.8870512,0.0020169422,0.104477614,0.0064542154
0.8977556,0.10224439,0.8562552,0.005799503,0.13338856,0.0045567523
0.92087257,0.07912746,0.8891267,0.0034246575,0.10231164,0.0051369863
0.91219926,0.087800756,0.8804071,0.004240882,0.110687025,0.00466497
0.9117148,0.08828523,0.8793177,0.003837953,0.11257996,0.0042643924
0.9111953,0.088804714,0.8796803,0.0025241901,0.11316786,0.004627682
0.90534806,0.09465195,0.8699324,0.0046452703,0.12288851,0.0025337837
0.9052854,0.09471459,0.8622555,0.0029130254,0.13108614,0.0037453184
0.8875,0.1125,0.8392638,0.006134969,0.14601228,0.008588957
0.8938614,0.10613862,0.85901386,0.0057781204,0.13020031,0.0050077043
0.90207374,0.09792627,0.86614466,0.008202834,0.122296795,0.0033557047
0.8964628,0.10353722,0.85668564,0.005334282,0.13406828,0.0039118067
0.88981867,0.11018131,0.8435216,0.0056478404,0.14352159,0.00730897
0.9189935,0.08100655,0.9171177,0.0037212449,0.07645467,0.0027063598
0.9385217,0.061478324,0.93409336,0.0028500177,0.058781616,0.0042750267
0.92016953,0.079830445,0.90583456,0.0029542097,0.086410634,0.0048005907
0.918074,0.08192598,0.82273537,0.0014209591,0.09804618,0.07779751
0.9285447,0.07145529,0.9202708,0.004512975,0.07183152,0.003384731
0.90923136,0.090768635,0.898008,0.00438247,0.09282868,0.0047808765
0.92281735,0.07718262,0.8320264,0.0037144036,0.09574907,0.068510115
0.91831577,0.08168421,0.8992152,0.003717472,0.09293681,0.0041305246
0.939834,0.060165975,0.9157166,0.0012214984,0.078175895,0.0048859934
0.9360515,0.0639485,0.9154208,0.0042716786,0.07347287,0.006834686
0.92696077,0.07303922,0.8955296,0.0034013605,0.095724,0.0053449953
0.9301181,0.069881886,0.9034958,0.0024618416,0.08961103,0.0044313148
0.9282419,0.07175807,0.8961973,0.005138746,0.096094556,0.002569373
0.9256718,0.074328184,0.8869765,0.0022948938,0.104417674,0.006310958
0.9316137,0.068386324,0.9119077,0.0012150669,0.08505468,0.0018226003
0.93642724,0.063572794,0.9106109,0.0038585209,0.08038585,0.0051446944
0.91071427,0.08928572,0.873955,0.0019292604,0.117041804,0.007073955
0.9110672,0.088932805,0.8794137,0.0013324451,0.117255166,0.0019986676
0.92068964,0.07931034,0.8853022,0.0027472528,0.109203294,0.0027472528
0.9095967,0.09040334,0.87161696,0.0020818876,0.12074948,0.0055517
0.92245793,0.07754207,0.8918919,0.0014609204,0.10226443,0.004382761
0.92245793,0.07754207,0.8972653,0.0029563932,0.09534368,0.0044345898
0.91345453,0.08654545,0.8781022,0.002919708,0.11386862,0.005109489
0.91560864,0.08439133,0.88270676,0.0,0.11353383,0.0037593986
0.902568,0.097432025,0.8630769,0.003076923,0.12692308,0.0069230767
0.9116981,0.08830189,0.8720123,0.00385505,0.12027756,0.00385505
0.90029544,0.09970458,0.8470948,0.001529052,0.14449541,0.006880734
0.9251852,0.07481481,0.89409053,0.0030698387,0.09976976,0.0030698387
0.912167,0.08783297,0.8783582,0.00074626866,0.11641791,0.0044776117
0.9176895,0.08231047,0.8790142,0.000746826,0.11575803,0.004480956
0.9114202,0.088579796,0.8772455,0.001497006,0.119011976,0.002245509
0.90397114,0.09602888,0.86661756,0.002210759,0.12601326,0.005158438
0.90954775,0.09045226,0.88401484,0.005204461,0.1063197,0.0044609667
0.91407406,0.08592593,0.8730038,0.003041825,0.12015209,0.0038022813
0.89280677,0.10719323,0.856623,0.00072780205,0.1404658,0.0021834061
0.9274837,0.072516315,0.9030804,0.003756574,0.09015778,0.0030052592
