,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,660,0,347,0,0
1,84,385,40,196,7,2
2,47,152,21,75,6,0
3,29,55,13,26,3,0
4,21,62,9,30,2,1
5,28,65,13,31,4,0
6,35,88,14,43,6,1
7,79,157,35,78,10,1
8,63,76,30,36,4,1
9,32,87,15,43,2,0
10,237,2529,101,2008,110,5
11,493,2585,165,1140,900,89
12,354,962,121,318,463,90
13,327,706,141,257,324,63
14,323,525,117,150,293,70
15,198,407,93,124,198,28
16,359,563,129,151,319,112
17,260,514,127,131,307,47
18,216,379,99,106,214,27
19,147,288,76,82,157,13
20,147,277,72,81,139,21
21,143,369,79,134,146,19
22,118,312,59,105,134,16
23,115,393,58,112,217,11
24,114,272,65,90,143,6
25,85,237,43,82,98,7
26,83,218,45,85,71,11
27,59,201,33,75,77,8
28,65,262,38,101,90,7
29,92,270,58,102,102,11
30,92,319,35,93,182,38
31,59,169,35,65,63,7
32,65,234,40,98,87,3
33,61,210,37,81,85,6
34,75,455,47,212,84,6
35,86,362,41,150,116,11
36,88,296,51,109,112,11
37,127,623,53,264,189,14
38,94,299,42,114,125,20
39,76,225,47,84,87,6
40,72,163,43,61,61,4
41,68,194,41,68,84,7
42,59,216,29,79,88,14
43,47,151,27,59,54,3
44,39,171,18,56,76,4
45,56,195,20,71,96,8
46,41,208,22,66,101,7
47,48,192,25,59,105,8
48,42,137,23,45,66,10
49,41,167,22,55,76,1
50,38,140,16,49,55,1
51,48,183,28,59,82,7
52,44,150,27,53,70,3
53,65,216,33,80,79,8
54,73,222,40,82,92,16
55,70,265,27,102,89,19
56,75,220,35,81,84,12
57,73,236,36,85,102,13
58,84,269,45,105,86,19
59,81,314,48,128,88,9
60,93,425,53,181,209,11
61,121,441,72,141,243,17
62,92,265,43,93,118,22
63,108,353,56,126,162,26
64,81,259,46,104,90,6
65,81,258,36,92,111,8
66,79,275,40,104,120,7
67,78,287,39,111,103,17
68,72,194,41,70,101,8
69,98,235,43,80,119,33
70,86,310,59,112,136,16
71,73,196,37,71,79,29
72,59,235,36,90,82,5
73,49,227,27,83,82,1
74,91,241,45,69,147,32
75,46,197,32,68,86,4
76,82,237,52,76,125,13
77,77,270,53,87,127,9
78,76,276,41,100,117,9
79,65,286,40,102,122,13
80,60,251,29,86,115,7
81,56,265,31,99,96,4
82,57,196,29,61,106,5
83,74,230,29,86,90,31
84,93,291,45,95,140,30
85,71,291,26,73,171,22
86,72,312,27,106,146,15
87,62,208,38,70,94,9
88,71,224,29,63,133,12
89,67,213,17,50,122,33
90,43,210,21,56,116,5
91,50,198,25,60,105,3
92,53,170,24,53,104,7
93,44,137,31,46,82,1
94,48,151,27,48,74,6
95,56,179,34,56,99,11
96,47,122,27,32,75,0
97,40,107,20,39,38,5
98,46,144,29,44,87,1
99,40,147,24,48,77,5
100,23,95,10,24,54,1
101,43,138,9,57,81,19
102,42,99,18,27,62,5
103,34,113,13,32,65,0
104,15,106,5,36,46,1
105,33,113,11,40,43,3
106,36,129,14,37,83,2
107,39,143,20,43,75,8
108,41,214,13,62,138,11
109,31,98,14,32,46,3
110,36,105,19,34,62,4
111,41,140,25,45,69,10
112,47,135,25,54,44,11
113,42,150,24,60,56,4
114,32,113,10,36,55,3
115,31,110,12,41,47,0
116,38,150,15,46,99,2
117,32,99,12,33,48,2
118,42,123,20,52,44,10
119,48,154,27,61,61,3
120,34,115,15,43,48,5
121,26,91,10,38,30,1
122,32,108,13,37,52,2
123,45,230,20,78,131,7
124,25,147,13,60,60,2
125,29,170,15,74,51,4
126,33,136,14,50,58,4
127,49,291,16,99,159,17
128,53,205,13,60,129,20
129,50,393,11,41,327,27
130,38,107,13,30,62,9
131,33,122,17,44,51,6
132,46,199,13,39,139,19
133,34,121,15,48,49,1
134,38,123,13,34,79,7
135,31,101,16,38,41,2
136,33,100,18,32,53,1
137,29,80,15,21,63,2
138,28,76,13,26,36,1
139,25,107,17,34,54,2
140,31,110,18,40,52,2
141,24,114,10,47,38,2
142,36,151,16,63,61,7
143,39,153,19,63,55,6
144,33,121,13,45,52,4
145,30,128,15,46,76,2
146,35,149,22,54,88,0
147,26,133,9,55,42,6
148,41,116,16,45,50,5
149,30,142,23,50,87,3
150,37,193,19,65,108,4
151,32,94,17,29,53,2
152,36,100,15,31,50,3
153,41,134,17,50,62,13
154,39,127,22,42,69,6
155,35,134,18,54,50,7
156,32,127,17,43,68,0
157,32,112,20,40,61,5
158,52,85,26,28,47,19
159,24,112,12,46,47,4
160,41,146,31,54,64,5
161,51,160,29,52,93,5
162,44,163,27,59,68,4
163,39,166,29,64,72,2
164,66,218,44,85,87,22
165,75,214,48,65,102,30
166,52,208,29,72,102,8
167,65,239,35,76,142,20
168,50,187,27,74,61,11
169,31,223,18,87,73,4
170,46,245,24,102,75,4
171,68,142,25,50,63,30
172,32,145,15,50,65,3
173,31,193,17,74,65,4
174,61,225,20,83,159,4
175,41,185,24,64,90,3
176,65,207,38,61,105,11
177,61,171,32,27,128,18
178,29,90,17,30,42,1
179,158,320,23,25,289,124
180,47,169,35,56,79,6
181,52,207,25,74,104,10
182,62,218,28,82,110,11
183,79,420,47,163,227,15
184,89,342,56,113,208,12
185,89,330,50,100,191,15
186,82,238,48,72,144,16
187,65,260,28,74,164,8
188,78,295,42,87,167,16
189,90,282,55,66,187,6
190,139,438,68,137,256,49
191,82,215,44,55,151,19
192,101,315,52,108,177,17
193,79,175,37,48,113,20
194,81,260,51,62,201,11
195,69,170,42,42,121,9
196,104,339,75,57,343,16
197,118,289,90,76,205,12
198,91,243,45,60,181,23
199,97,331,58,62,255,11
200,119,496,77,179,339,19
201,103,211,50,43,163,30
202,56,193,29,58,108,7
203,69,266,36,83,126,9
204,121,312,71,73,219,26
205,86,305,55,91,186,5
206,74,155,30,52,77,24
207,71,176,37,60,78,10
208,71,281,43,76,166,11
209,103,253,60,76,129,28
210,115,279,60,74,176,28
211,97,312,49,74,197,25
212,130,367,62,95,235,65
213,126,268,50,75,154,33
214,94,203,37,54,127,35
215,93,254,41,57,178,14
216,95,260,38,87,127,23
217,99,223,45,56,145,34
218,101,241,61,68,169,22
219,104,188,44,48,131,43
220,95,191,44,48,121,36
221,80,237,39,56,159,17
222,88,323,51,75,242,21
223,96,200,45,47,147,35
224,70,198,51,53,130,10
225,62,303,39,53,247,4
226,54,284,30,47,219,3
227,72,265,41,47,215,14
228,49,214,23,42,170,6
229,55,266,39,57,202,5
230,46,239,33,42,191,4
231,50,183,25,46,124,6
232,51,164,27,45,113,5
233,46,196,21,58,142,7
234,74,244,44,57,218,17
235,67,204,35,59,160,10
236,54,142,34,38,104,5
237,59,140,33,33,103,8
238,54,125,34,33,91,4
239,54,154,27,50,92,9
240,57,177,27,45,131,13
241,34,96,15,18,76,2
242,48,107,24,26,83,8
243,39,152,15,36,116,5
244,29,94,9,30,67,5
245,30,125,18,36,79,5
246,48,161,19,53,126,12
247,47,144,14,43,94,10
248,40,164,16,45,116,1
249,43,134,17,38,91,7
250,41,163,22,44,119,5
251,59,175,54,38,180,14
252,42,135,20,49,71,6
253,72,153,26,41,104,23
254,47,153,15,50,96,11
255,43,89,19,25,62,8
256,41,112,20,41,68,7
257,33,106,7,30,65,5
258,48,94,23,29,58,5
259,33,161,12,39,113,4
260,57,120,16,25,92,20
261,51,152,26,49,99,14
262,45,147,24,52,84,7
263,56,121,17,35,85,8
264,40,103,22,29,63,9
265,36,96,14,26,73,5
266,30,109,8,42,51,7
267,34,95,14,28,51,5
268,31,149,11,45,88,2
269,39,125,20,44,65,3
270,29,116,10,36,74,3
271,25,80,6,23,51,2
272,34,68,12,18,49,6
273,41,83,15,26,42,12
274,56,86,17,27,48,18
275,35,79,12,21,57,7
276,38,81,17,22,63,4
277,35,105,15,33,62,0
278,35,83,23,35,39,9
279,37,79,20,24,42,6
280,34,82,20,26,38,4
281,40,76,19,19,48,6
282,41,79,16,23,48,17
283,44,88,22,23,66,8
284,32,123,18,23,98,8
285,32,81,12,24,52,10
286,30,80,14,23,58,3
287,35,82,21,27,46,5
288,37,71,17,24,44,5
289,58,142,33,34,140,14
290,39,63,18,15,48,9
291,40,79,31,28,46,0
292,33,55,19,16,43,8
293,33,50,17,14,32,5
294,34,63,19,18,40,3
295,36,84,21,27,55,8
296,63,75,30,25,42,18
297,46,83,22,19,59,15
298,40,52,26,15,30,5
299,33,53,13,16,37,5
300,47,92,30,33,46,15
301,47,74,37,16,64,8
302,49,92,27,31,56,4
303,46,88,28,25,53,3
304,54,88,36,30,50,9
305,60,117,42,32,84,14
306,41,81,24,23,55,7
307,32,84,20,24,46,3
308,43,89,21,26,63,4
309,55,176,35,45,145,15
310,46,77,30,24,44,3
311,67,130,52,33,102,14
312,54,114,39,31,79,7
313,41,133,34,45,81,5
314,50,124,38,40,74,5
315,109,633,68,128,525,35
316,88,424,64,73,344,22
