,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,660,0,347,0,0
1,84,385,40,196,7,2
2,47,152,21,75,6,0
3,29,55,13,26,3,0
4,21,62,9,30,2,1
5,28,65,13,31,4,0
6,35,88,14,43,6,1
7,79,157,35,78,10,1
8,68,71,33,34,3,1
9,42,77,19,37,4,0
10,578,2188,239,1624,354,7
11,617,2461,201,1008,977,108
12,382,934,129,296,477,90
13,353,680,149,232,338,66
14,347,501,125,135,295,75
15,218,387,100,110,203,30
16,394,528,142,130,321,118
17,285,489,133,114,315,50
18,255,340,109,86,211,40
19,177,258,87,67,155,19
20,191,233,84,52,146,31
21,215,297,104,86,156,32
22,172,258,78,74,139,23
23,172,336,75,68,237,18
24,169,217,82,56,151,15
25,141,181,61,43,111,15
26,137,164,58,47,87,20
27,104,156,50,46,81,16
28,140,187,62,56,98,20
29,163,199,81,61,106,25
30,223,188,52,46,139,111
31,108,120,52,33,72,13
32,108,191,53,56,111,8
33,124,147,59,45,90,15
34,134,396,59,166,116,8
35,152,296,64,109,120,25
36,149,235,65,67,129,22
37,335,415,104,119,238,59
38,167,226,70,70,135,26
39,135,166,66,45,102,11
40,111,124,52,35,72,10
41,116,146,58,39,87,16
42,127,148,51,36,100,23
43,96,102,40,27,65,11
44,86,124,36,26,82,10
45,110,141,38,41,99,17
46,101,148,40,31,108,17
47,96,144,38,36,98,25
48,82,97,32,21,71,20
49,90,118,41,27,78,8
50,82,96,29,22,60,10
51,111,120,51,24,83,18
52,89,105,41,24,80,8
53,127,154,55,42,87,16
54,138,157,54,35,116,25
55,145,190,46,49,112,30
56,128,167,50,46,98,18
57,144,165,56,37,121,22
58,146,207,65,64,98,28
59,172,223,67,54,137,15
60,193,325,81,112,233,28
61,225,337,100,68,277,28
62,149,208,56,55,134,31
63,186,275,75,74,181,40
64,140,200,59,58,115,14
65,141,198,51,50,126,20
66,149,205,54,57,135,25
67,154,211,54,57,131,28
68,129,137,56,26,125,13
69,158,175,56,41,130,48
70,172,224,87,56,152,28
71,126,143,50,42,83,41
72,114,180,49,50,103,11
73,118,158,44,34,103,12
74,160,172,66,28,155,44
75,102,141,51,29,102,8
76,158,161,72,32,128,34
77,166,181,80,34,138,24
78,164,188,66,47,130,24
79,147,204,62,56,130,29
80,122,189,44,43,136,14
81,130,191,54,50,117,9
82,105,148,51,30,114,6
83,145,159,51,42,100,43
84,220,164,75,34,120,81
85,208,154,46,33,111,102
86,177,207,51,50,146,47
87,122,148,59,34,102,16
88,154,141,48,26,121,42
89,157,123,27,27,75,93
90,133,120,41,29,76,52
91,132,116,50,25,84,34
92,100,123,42,25,105,16
93,87,94,47,17,90,6
94,92,107,39,18,89,9
95,113,122,48,27,96,29
96,79,90,38,13,80,3
97,79,68,30,16,45,11
98,97,93,46,15,93,7
99,94,93,39,18,81,16
100,62,56,20,9,45,15
101,98,83,27,29,80,30
102,73,68,30,11,63,8
103,70,77,19,14,63,14
104,53,68,13,9,58,8
105,73,73,22,11,59,5
106,79,86,29,13,84,10
107,92,90,36,17,72,21
108,115,140,30,31,124,39
109,60,69,23,12,55,5
110,73,68,28,5,74,12
111,84,97,43,16,79,11
112,111,71,38,5,77,14
113,97,95,44,29,62,9
114,71,74,24,14,59,7
115,64,77,22,19,58,1
116,88,100,29,16,104,13
117,68,63,21,6,65,3
118,82,83,26,24,55,21
119,107,95,42,20,80,10
120,71,78,26,15,65,5
121,53,64,11,15,47,6
122,68,72,20,9,69,6
123,118,157,42,27,157,10
124,75,97,24,20,86,5
125,93,106,29,23,83,9
126,78,91,31,26,61,8
127,131,209,38,20,193,40
128,106,152,34,32,122,34
129,203,240,21,17,220,148
130,68,77,24,10,70,10
131,69,86,26,18,66,8
132,176,69,23,15,56,116
133,75,80,26,16,67,4
134,80,81,29,9,84,11
135,65,67,25,15,48,9
136,63,70,28,11,62,3
137,51,58,21,8,66,6
138,48,56,17,10,46,3
139,70,62,33,8,58,8
140,66,75,21,12,70,9
141,71,67,18,9,62,8
142,82,105,25,30,80,12
143,94,98,29,20,81,13
144,72,82,27,16,69,2
145,72,86,29,14,94,2
146,86,98,45,16,100,3
147,75,84,21,19,64,8
148,83,74,29,19,58,10
149,79,93,45,19,94,5
150,96,134,33,23,128,12
151,58,68,27,14,56,4
152,76,60,30,6,55,8
153,80,95,28,19,82,13
154,71,95,32,19,83,5
155,88,81,28,11,70,20
156,72,87,30,16,79,3
157,61,83,32,17,72,5
158,83,54,35,8,54,23
159,60,76,25,22,55,7
160,102,85,53,15,75,11
161,98,113,46,18,107,8
162,89,118,34,21,96,7
163,91,114,41,25,96,5
164,144,140,70,27,118,23
165,178,111,79,21,84,61
166,110,150,39,31,122,19
167,150,154,54,29,147,43
168,124,113,42,20,94,17
169,112,142,38,31,98,15
170,117,174,34,41,117,13
171,114,96,37,22,69,40
172,75,102,23,16,89,5
173,81,143,29,31,97,3
174,137,149,35,23,198,10
175,97,129,41,21,113,6
176,121,151,62,23,116,14
177,147,85,65,8,77,55
178,59,60,26,12,48,4
179,390,88,50,11,81,319
180,105,111,50,17,96,13
181,108,151,38,24,139,12
182,127,153,42,25,148,16
183,199,300,79,64,285,24
184,192,239,88,34,251,16
185,173,246,75,39,224,18
186,134,186,65,34,164,17
187,135,190,62,33,164,15
188,138,235,60,46,186,20
189,158,214,78,25,199,12
190,269,308,96,43,306,65
191,144,153,72,22,150,25
192,196,220,66,33,227,28
193,119,135,45,19,128,26
194,138,203,66,21,219,19
195,103,136,54,20,129,11
196,167,276,95,23,341,32
197,186,221,111,26,224,22
198,151,183,60,20,194,35
199,228,200,77,16,200,93
200,272,343,98,54,348,114
201,152,162,56,16,164,50
202,98,151,39,26,128,9
203,147,188,51,27,156,20
204,195,238,100,27,230,32
205,174,217,73,19,233,12
206,118,111,46,23,83,31
207,124,123,48,16,106,15
208,145,207,69,25,188,14
209,178,178,83,23,152,35
210,188,206,81,25,192,40
211,167,242,70,23,220,32
212,243,254,105,21,259,72
213,204,190,71,20,183,38
214,148,149,53,14,146,40
215,161,186,56,15,190,29
216,172,183,56,20,174,25
217,152,170,60,18,164,38
218,173,169,90,21,178,31
219,162,130,69,9,143,45
220,172,114,64,10,115,60
221,142,175,56,9,181,25
222,156,255,81,24,266,18
223,143,153,58,24,143,49
224,125,143,67,11,151,15
225,193,172,55,18,183,87
226,102,236,39,16,230,14
227,122,215,53,15,223,26
228,91,172,40,13,180,8
229,112,209,53,9,235,6
230,95,190,53,13,194,10
231,89,144,33,13,146,9
232,100,115,40,11,127,12
233,97,145,36,10,168,14
234,149,169,76,12,218,30
235,134,137,69,11,173,11
236,101,95,62,10,101,8
237,95,104,45,9,114,9
238,94,85,47,4,103,8
239,115,93,43,5,115,15
240,122,112,65,8,124,19
241,65,65,23,0,80,8
242,81,74,36,4,89,12
243,82,109,26,11,118,17
244,57,66,20,4,78,9
245,69,86,27,5,97,9
246,89,120,49,12,142,7
247,94,97,27,8,111,15
248,93,111,33,5,132,8
249,90,87,35,9,94,15
250,94,110,51,9,120,10
251,113,121,91,8,166,21
252,85,92,31,9,93,13
253,119,106,35,8,122,29
254,93,107,32,13,112,15
255,66,66,29,6,71,8
256,74,79,33,8,88,7
257,71,68,18,5,74,10
258,78,64,35,7,67,6
259,85,109,25,10,112,21
260,87,90,31,6,95,21
261,100,103,44,14,114,16
262,87,105,43,15,101,8
263,98,79,26,5,85,29
264,79,64,35,6,68,14
265,68,64,23,3,82,10
266,67,72,20,14,67,7
267,60,69,21,8,64,5
268,76,104,22,8,111,5
269,81,83,27,5,95,5
270,74,71,24,3,86,10
271,46,59,12,7,61,2
272,56,46,23,7,48,7
273,77,47,30,4,47,14
274,90,52,36,5,53,16
275,63,51,22,2,61,12
276,73,46,36,2,59,9
277,76,64,27,5,73,5
278,65,53,27,7,62,10
279,68,48,30,5,48,9
280,72,44,36,7,36,9
281,73,43,38,3,46,5
282,72,48,32,2,55,15
283,75,57,35,1,75,8
284,101,54,31,8,54,54
285,61,52,21,1,66,10
286,63,47,30,4,54,10
287,71,46,33,6,44,16
288,71,37,31,2,49,8
289,108,92,81,11,108,21
290,62,40,31,2,49,8
291,73,46,42,5,51,7
292,52,36,33,7,37,9
293,55,28,27,0,36,5
294,55,42,27,6,40,7
295,66,54,32,9,56,14
296,85,53,44,10,49,12
297,74,55,42,2,60,11
298,58,34,29,2,38,7
299,48,38,17,5,44,5
300,77,62,41,8,62,13
301,74,47,56,3,55,11
302,86,55,43,4,65,6
303,78,56,36,6,56,11
304,80,62,52,10,55,8
305,99,78,60,10,85,17
306,68,54,38,10,47,14
307,58,58,24,2,64,3
308,62,70,31,12,67,4
309,115,116,67,13,132,28
310,72,51,39,7,46,9
311,110,87,81,10,93,17
312,92,76,52,6,87,11
313,95,79,59,6,93,7
314,93,81,49,9,91,8
315,296,446,148,61,428,119
316,167,345,92,20,362,29
