0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
807.0,175.0,1.4992205e+24,807.0,175.0,1.4992205e+24,807.0,175.0,1.4992205e+24,807.0,175.0,1.4992205e+24,807.0,175.0,1.4992205e+24,807.0,175.0,1.4992205e+24,807.0,175.0,1.4992205e+24,1003.0,350.0,1.8933678e+24,1003.0,350.0,1.8933678e+24,1039.0,885.0,8.046947e+24
971.0,149.0,1.4836514e+24,971.0,149.0,1.4836514e+24,971.0,149.0,1.4836514e+24,971.0,149.0,1.4836514e+24,971.0,149.0,1.4836514e+24,971.0,149.0,1.4836514e+24,971.0,149.0,1.4836514e+24,1099.0,263.0,2.9878187e+25,1099.0,263.0,2.9878187e+25,1122.0,984.0,3.6924287e+25
1163.0,140.0,2.8793912e+23,1163.0,140.0,2.8793912e+23,1163.0,140.0,2.8793912e+23,1163.0,140.0,2.8793912e+23,1163.0,140.0,2.8793912e+23,1163.0,140.0,2.8793912e+23,1163.0,140.0,2.8793912e+23,1262.0,234.0,2.8982895e+25,1262.0,234.0,2.8982895e+25,1279.0,1141.0,3.6050403e+25
1397.0,144.0,3.0734254e+23,1397.0,144.0,3.0734254e+23,1397.0,144.0,3.0734254e+23,1397.0,144.0,3.0734254e+23,1397.0,144.0,3.0734254e+23,1397.0,144.0,3.0734254e+23,1397.0,144.0,3.0734254e+23,1456.0,202.0,2.8914026e+25,1456.0,202.0,2.8914026e+25,1472.0,1322.0,3.580999e+25
1823.0,145.0,2.0054789e+23,1823.0,145.0,2.0054789e+23,1823.0,145.0,2.0054789e+23,1823.0,145.0,2.0054789e+23,1823.0,145.0,2.0054789e+23,1823.0,145.0,2.0054789e+23,1823.0,145.0,2.0054789e+23,1897.0,213.0,1.9164083e+25,1897.0,213.0,1.9164083e+25,1916.0,1769.0,6.0639498e+25
2050.0,140.0,3.9935558e+23,2050.0,140.0,3.9935558e+23,2050.0,140.0,3.9935558e+23,2050.0,140.0,3.9935558e+23,2050.0,140.0,3.9935558e+23,2050.0,140.0,3.9935558e+23,2050.0,140.0,3.9935558e+23,2128.0,213.0,3.7169023e+25,2128.0,213.0,3.7169023e+25,2147.0,2007.0,7.822215e+25
2477.0,149.0,3.347105e+23,2477.0,149.0,3.347105e+23,2477.0,149.0,3.347105e+23,2477.0,149.0,3.347105e+23,2477.0,149.0,3.347105e+23,2477.0,149.0,3.347105e+23,2477.0,149.0,3.347105e+23,2561.0,226.0,1.9415191e+25,2561.0,226.0,1.9415191e+25,2586.0,2437.0,7.7190318e+25
2942.0,150.0,1.7657465e+23,2942.0,150.0,1.7657465e+23,2942.0,150.0,1.7657465e+23,2942.0,150.0,1.7657465e+23,2942.0,150.0,1.7657465e+23,2942.0,150.0,1.7657465e+23,2942.0,150.0,1.7657465e+23,3040.0,246.0,1.9137704e+25,3040.0,246.0,1.9137704e+25,3076.0,2922.0,7.782549e+25
2992.0,167.0,3.9901374e+23,2992.0,167.0,3.9901374e+23,2992.0,167.0,3.9901374e+23,2992.0,167.0,3.9901374e+23,2992.0,167.0,3.9901374e+23,2992.0,167.0,3.9901374e+23,2992.0,167.0,3.9901374e+23,3083.0,251.0,8.0686505e+23,3083.0,251.0,8.0686505e+23,3120.0,2955.0,4.9564e+25
3282.0,169.0,4.597026e+23,3282.0,169.0,4.597026e+23,3282.0,169.0,4.597026e+23,3282.0,169.0,4.597026e+23,3282.0,169.0,4.597026e+23,3282.0,169.0,4.597026e+23,3282.0,169.0,4.597026e+23,3418.0,253.0,9.42209e+23,3418.0,253.0,9.42209e+23,3457.0,3333.0,4.9332534e+25
3714.0,173.0,5.5406554e+23,3714.0,173.0,5.5406554e+23,3714.0,173.0,5.5406554e+23,3714.0,173.0,5.5406554e+23,3714.0,173.0,5.5406554e+23,3714.0,173.0,5.5406554e+23,3714.0,173.0,5.5406554e+23,3881.0,271.0,1.1162197e+24,3881.0,271.0,1.1162197e+24,3922.0,3812.0,4.913372e+25
4134.0,181.0,5.2076257e+23,4134.0,181.0,5.2076257e+23,4134.0,181.0,5.2076257e+23,4134.0,181.0,5.2076257e+23,4134.0,181.0,5.2076257e+23,4134.0,181.0,5.2076257e+23,4134.0,181.0,5.2076257e+23,4298.0,276.0,1.0494284e+24,4298.0,276.0,1.0494284e+24,4342.0,4228.0,2.6246233e+25
4742.0,171.0,4.231245e+23,4742.0,171.0,4.231245e+23,4742.0,171.0,4.231245e+23,4742.0,171.0,4.231245e+23,4742.0,171.0,4.231245e+23,4742.0,171.0,4.231245e+23,4742.0,171.0,4.231245e+23,4888.0,270.0,9.737978e+23,4888.0,270.0,9.737978e+23,4938.0,4812.0,9.790719e+24
