,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,2167,0,2167,0,0
1,46,127,1,12,120,5
2,35,42,4,2,43,10
3,21,21,3,1,20,1
4,10,11,2,0,11,1
5,14,8,5,0,8,1
6,14,33,3,12,11,1
7,18,47,8,21,16,2
8,14,37,5,12,18,1
9,11,31,4,10,15,1
10,15,36,6,7,22,0
11,23,63,10,16,33,1
12,38,120,18,34,62,3
13,43,153,14,61,40,4
14,74,174,39,44,96,8
15,147,625,72,469,363,21
16,280,880,199,229,943,24
17,359,511,331,174,366,28
18,335,299,264,100,179,20
19,189,166,126,58,81,15
20,167,171,103,77,95,16
21,258,2509,169,195,2415,67
22,503,987,150,104,1538,194
23,326,264,175,46,251,106
24,228,340,136,49,340,61
25,196,255,112,45,277,56
26,164,185,99,55,175,30
27,117,254,87,99,101,24
28,110,164,85,51,99,15
29,84,173,63,50,120,16
30,95,214,83,54,181,10
31,84,174,62,61,86,9
32,68,157,50,49,95,6
33,75,157,64,48,104,6
34,85,265,60,65,193,15
35,84,193,55,41,150,11
36,93,219,57,51,165,19
37,76,182,64,49,152,14
38,87,177,65,56,109,17
39,94,223,75,56,173,18
40,80,170,52,40,146,19
41,157,962,112,91,906,57
42,240,1058,143,77,1082,68
43,245,808,159,62,882,47
44,295,462,151,57,560,42
45,290,798,196,74,845,62
46,210,626,110,39,685,45
47,136,383,71,40,387,29
48,89,296,55,30,338,22
49,104,330,60,57,308,18
50,54,168,25,32,156,10
51,55,278,29,70,215,7
52,72,471,36,63,439,17
53,63,434,28,38,415,14
54,83,583,60,45,570,25
55,108,740,68,60,723,29
56,96,596,45,38,595,24
57,57,276,31,27,252,7
58,46,266,20,18,273,10
59,31,237,10,27,207,9
60,31,192,7,14,190,9
61,24,166,12,18,145,4
62,32,210,12,36,157,6
63,47,215,22,43,147,15
64,39,224,21,49,171,10
65,57,293,23,70,185,10
66,57,222,29,49,129,11
67,85,164,32,36,110,31
68,51,184,26,71,104,8
69,41,119,16,40,58,5
70,29,60,8,25,12,2
71,21,75,6,35,17,0
72,22,86,6,33,28,5
73,31,134,12,34,83,7
74,27,129,12,48,55,2
75,25,97,13,33,47,4
76,28,106,12,40,56,5
77,27,156,16,52,77,4
78,29,141,11,46,69,4
79,25,118,13,34,61,2
80,44,165,26,40,103,13
81,28,118,19,28,77,4
82,35,134,20,34,84,5
83,22,93,11,36,44,3
84,27,92,15,34,41,4
85,36,110,17,41,46,5
86,27,126,16,54,39,2
87,23,100,13,43,31,7
88,17,74,7,32,27,2
89,14,61,6,27,16,1
90,21,76,12,22,38,2
91,32,126,11,39,61,11
92,23,136,7,36,85,5
93,23,125,11,38,84,3
94,26,99,8,26,82,4
95,18,55,11,14,42,2
96,29,73,17,22,50,7
97,53,206,24,74,152,30
98,25,134,14,42,95,5
99,58,212,22,63,144,28
100,31,133,19,47,62,2
101,56,129,41,51,54,13
102,44,113,26,33,67,9
103,31,132,18,55,51,4
104,31,116,14,39,64,3
105,48,147,29,51,60,2
106,48,182,32,76,81,8
107,75,226,35,61,157,37
108,71,289,39,47,269,28
109,58,139,26,25,129,26
110,71,218,29,55,140,25
111,96,213,43,67,144,31
112,68,179,41,48,128,20
113,55,152,26,54,90,10
114,109,1604,38,687,449,23
115,112,1360,27,1152,160,22
116,73,252,45,90,111,25
117,66,180,30,69,63,28
118,59,195,35,66,74,15
119,79,218,47,70,104,17
120,69,320,41,109,145,14
121,56,257,36,94,83,11
122,66,215,34,78,81,30
123,61,351,45,133,102,12
124,73,252,39,91,89,31
125,44,265,28,103,79,7
126,48,239,27,96,60,15
127,101,429,47,161,132,53
128,74,269,54,90,111,15
129,51,208,37,78,69,9
130,107,315,48,123,97,51
131,82,266,31,122,124,7
132,53,166,38,57,71,9
133,64,378,38,137,122,17
134,63,451,29,189,94,20
135,87,461,43,132,215,30
136,233,667,29,54,579,201
137,263,886,43,65,790,219
138,99,289,63,86,167,31
139,181,461,143,175,213,80
140,101,229,88,77,130,34
141,88,238,74,83,116,21
142,139,529,122,171,282,32
143,141,297,111,82,187,50
144,128,445,133,152,242,33
145,108,384,107,124,201,16
146,118,325,105,107,184,35
147,164,413,132,137,239,62
148,96,275,116,73,177,10
149,102,309,91,97,164,31
150,100,214,60,47,151,46
151,74,209,66,53,135,23
152,53,152,59,50,76,5
153,64,205,73,57,125,12
154,67,187,68,49,135,21
155,53,158,46,46,88,11
156,42,153,43,42,103,10
157,127,387,138,114,258,21
158,54,224,40,62,159,11
159,109,309,118,98,180,8
160,80,277,65,90,142,18
161,69,280,62,81,173,5
162,95,292,91,80,195,23
163,131,389,112,97,265,33
164,78,323,54,98,164,9
165,62,274,33,81,134,19
166,88,296,47,98,138,40
167,77,265,43,85,149,27
168,72,245,49,65,156,16
169,60,177,36,44,121,27
170,46,211,33,57,121,18
171,71,172,37,44,99,22
172,65,175,49,42,102,14
173,75,182,45,47,97,21
174,56,149,24,46,79,24
175,82,208,48,34,156,40
176,89,149,44,21,119,42
177,104,129,38,26,81,60
178,98,215,64,48,131,33
179,87,122,59,30,72,37
180,95,120,51,29,79,48
181,50,112,35,27,82,20
182,41,87,34,25,55,4
183,49,116,51,29,94,10
184,31,114,26,35,75,10
185,51,109,38,23,95,28
186,45,119,41,21,107,9
187,47,152,51,40,114,9
188,44,115,38,31,76,7
189,30,102,30,34,46,6
190,40,91,39,23,55,5
191,33,122,32,22,94,4
192,32,97,21,23,66,9
193,19,63,15,19,36,3
194,22,107,17,30,61,1
195,33,70,24,12,61,18
196,30,91,29,30,65,3
197,24,56,19,12,44,3
198,7,28,3,9,10,0
199,19,64,14,14,40,3
200,35,87,24,16,75,7
201,27,80,23,15,70,4
202,24,56,12,15,42,9
203,21,35,18,6,29,4
204,26,42,20,12,30,4
205,25,42,22,13,29,4
206,21,38,14,12,21,3
207,14,43,9,15,20,1
208,17,59,15,16,44,5
209,20,720,17,685,36,1
210,25,70,19,21,49,3
211,33,68,33,20,57,2
212,24,35,15,7,28,8
213,40,72,27,18,53,21
214,26,58,9,13,44,12
215,30,37,28,11,23,9
216,54,486,50,28,465,21
217,40,123,37,42,73,9
218,40,94,28,17,82,14
219,29,67,22,13,52,3
220,37,64,28,20,35,14
221,38,66,21,18,44,16
222,21,38,13,7,32,7
223,30,43,19,7,36,6
224,25,44,17,10,34,6
225,27,54,21,13,34,5
226,22,60,16,8,55,6
227,20,62,14,9,58,2
228,24,37,9,10,30,2
229,17,25,12,6,17,1
230,20,38,6,8,26,3
231,29,31,15,6,26,12
232,22,41,16,10,30,7
233,28,38,28,11,29,9
234,26,35,19,7,32,2
235,16,22,13,7,11,1
236,20,39,16,7,33,4
237,23,32,12,4,25,7
238,16,31,14,4,23,2
239,49,44,18,5,43,24
240,22,46,11,10,41,8
241,23,29,17,5,27,5
242,19,30,16,3,35,2
243,29,63,22,17,53,7
244,28,44,26,9,44,2
245,16,32,10,10,23,3
246,20,15,16,1,17,3
247,27,34,22,3,34,4
248,17,26,17,7,15,3
249,12,29,6,3,25,2
250,21,31,10,7,23,7
251,15,11,9,3,7,2
252,9,24,5,8,16,2
253,21,35,13,11,35,2
254,18,24,11,2,28,3
255,15,17,8,5,12,1
256,18,23,5,9,14,7
257,22,39,11,11,30,6
258,19,37,13,9,25,0
259,18,39,9,11,25,2
260,25,32,17,9,20,3
261,26,58,14,13,47,7
262,32,86,23,25,59,10
263,26,59,22,19,36,3
264,22,64,11,36,29,4
265,22,41,12,13,25,11
266,29,93,18,8,82,13
267,20,153,12,5,147,4
268,30,112,17,19,80,8
269,21,94,20,25,56,6
270,31,73,23,21,43,18
271,34,151,21,20,142,13
272,70,1048,24,20,1031,50
273,36,112,45,28,80,4
