Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
106.0,7.0,98.0,1.0,8.0,2.0
120.0,16.0,103.0,8.0,23.0,1.0
153.0,47.0,130.0,14.0,34.0,24.0
195.0,16.0,190.0,1.0,17.0,7.0
203.0,18.0,199.0,2.0,17.0,6.0
210.0,16.0,208.0,6.0,12.0,2.0
222.0,19.0,222.0,6.0,14.0,4.0
234.0,8.0,235.0,0.0,9.0,4.0
217.0,19.0,218.0,4.0,15.0,0.0
174.0,29.0,164.0,4.0,24.0,2.0
181.0,30.0,165.0,2.0,29.0,6.0
188.0,18.0,177.0,8.0,8.0,0.0
189.0,34.0,173.0,0.0,34.0,0.0
200.0,9.0,182.0,1.0,13.0,0.0
204.0,27.0,183.0,2.0,25.0,5.0
210.0,15.0,191.0,5.0,8.0,0.0
200.0,11.0,176.0,2.0,9.0,2.0
195.0,39.0,158.0,3.0,50.0,4.0
231.0,57.0,199.0,7.0,76.0,8.0
259.0,20.0,257.0,5.0,17.0,5.0
285.0,34.0,276.0,5.0,39.0,7.0
305.0,36.0,298.0,6.0,34.0,9.0
342.0,45.0,337.0,6.0,46.0,1.0
382.0,34.0,384.0,4.0,38.0,4.0
371.0,20.0,379.0,2.0,18.0,2.0
329.0,9.0,316.0,1.0,10.0,2.0
315.0,20.0,304.0,3.0,19.0,1.0
280.0,15.0,268.0,3.0,12.0,2.0
248.0,4.0,235.0,1.0,3.0,3.0
189.0,16.0,182.0,4.0,13.0,0.0
160.0,4.0,145.0,0.0,4.0,2.0
135.0,16.0,124.0,7.0,6.0,1.0
140.0,21.0,123.0,7.0,16.0,1.0
136.0,5.0,118.0,0.0,6.0,1.0
124.0,9.0,109.0,1.0,8.0,0.0
122.0,8.0,107.0,0.0,8.0,0.0
113.0,13.0,97.0,3.0,10.0,3.0
118.0,3.0,104.0,0.0,5.0,2.0
102.0,8.0,92.0,2.0,7.0,2.0
96.0,15.0,83.0,2.0,16.0,2.0
99.0,8.0,92.0,5.0,1.0,0.0
103.0,12.0,92.0,1.0,10.0,1.0
111.0,7.0,98.0,2.0,4.0,1.0
101.0,3.0,88.0,0.0,4.0,1.0
96.0,2.0,83.0,0.0,4.0,0.0
94.0,5.0,79.0,1.0,6.0,0.0
79.0,4.0,64.0,1.0,4.0,1.0
80.0,6.0,63.0,0.0,8.0,0.0
70.0,5.0,57.0,1.0,4.0,3.0
80.0,4.0,69.0,0.0,5.0,2.0
81.0,5.0,70.0,2.0,3.0,1.0
83.0,8.0,73.0,3.0,4.0,0.0
81.0,8.0,70.0,3.0,3.0,1.0
82.0,7.0,72.0,2.0,6.0,0.0
82.0,7.0,72.0,1.0,7.0,0.0
79.0,8.0,67.0,3.0,6.0,0.0
73.0,9.0,63.0,1.0,8.0,0.0
85.0,7.0,68.0,0.0,9.0,3.0
85.0,17.0,72.0,1.0,16.0,0.0
93.0,4.0,81.0,1.0,3.0,0.0
105.0,21.0,82.0,5.0,13.0,2.0
121.0,14.0,91.0,4.0,12.0,2.0
141.0,18.0,110.0,5.0,12.0,2.0
152.0,17.0,118.0,4.0,12.0,2.0
161.0,10.0,122.0,2.0,9.0,2.0
159.0,35.0,122.0,28.0,4.0,2.0
189.0,13.0,152.0,4.0,8.0,2.0
181.0,22.0,148.0,3.0,18.0,2.0
187.0,10.0,158.0,1.0,9.0,2.0
172.0,14.0,147.0,5.0,7.0,4.0
170.0,11.0,149.0,1.0,11.0,0.0
167.0,6.0,152.0,1.0,6.0,0.0
135.0,5.0,124.0,1.0,3.0,0.0
127.0,15.0,117.0,9.0,5.0,0.0
122.0,15.0,109.0,1.0,16.0,3.0
122.0,6.0,111.0,0.0,6.0,1.0
114.0,2.0,99.0,0.0,3.0,2.0
95.0,13.0,82.0,5.0,7.0,0.0
104.0,14.0,92.0,1.0,12.0,0.0
114.0,2.0,99.0,0.0,2.0,2.0
103.0,6.0,91.0,0.0,8.0,1.0
89.0,5.0,80.0,0.0,7.0,1.0
87.0,12.0,83.0,0.0,14.0,1.0
93.0,7.0,90.0,2.0,5.0,1.0
93.0,7.0,88.0,1.0,6.0,0.0
87.0,0.0,81.0,0.0,0.0,1.0
76.0,3.0,68.0,1.0,2.0,0.0
75.0,7.0,63.0,2.0,4.0,1.0
73.0,6.0,58.0,2.0,5.0,3.0
68.0,2.0,55.0,0.0,2.0,2.0
69.0,6.0,55.0,0.0,7.0,3.0
68.0,9.0,61.0,2.0,11.0,2.0
91.0,4.0,87.0,1.0,3.0,7.0
95.0,4.0,97.0,0.0,6.0,1.0
89.0,4.0,95.0,0.0,6.0,0.0
93.0,9.0,94.0,0.0,10.0,0.0
101.0,4.0,102.0,0.0,4.0,2.0
98.0,7.0,100.0,1.0,5.0,0.0
96.0,8.0,88.0,2.0,5.0,2.0
92.0,5.0,81.0,2.0,2.0,0.0
94.0,3.0,77.0,0.0,4.0,2.0
90.0,10.0,74.0,2.0,6.0,2.0
92.0,6.0,75.0,2.0,5.0,5.0
93.0,3.0,77.0,0.0,3.0,3.0
89.0,3.0,76.0,1.0,3.0,1.0
80.0,2.0,73.0,0.0,3.0,0.0
76.0,8.0,71.0,3.0,6.0,0.0
84.0,7.0,78.0,1.0,7.0,0.0
88.0,7.0,87.0,2.0,4.0,0.0
90.0,10.0,84.0,2.0,8.0,0.0
102.0,8.0,95.0,3.0,5.0,3.0
122.0,28.0,108.0,8.0,30.0,9.0
161.0,30.0,160.0,8.0,27.0,0.0
194.0,26.0,195.0,4.0,21.0,2.0
216.0,19.0,218.0,7.0,8.0,1.0
224.0,10.0,224.0,3.0,8.0,2.0
257.0,59.0,242.0,11.0,58.0,4.0
312.0,30.0,302.0,6.0,29.0,7.0
314.0,24.0,306.0,5.0,16.0,4.0
304.0,3.0,294.0,0.0,4.0,3.0
273.0,18.0,269.0,5.0,12.0,0.0
274.0,18.0,271.0,5.0,11.0,0.0
294.0,6.0,276.0,0.0,7.0,12.0
203.0,9.0,200.0,1.0,9.0,2.0
175.0,15.0,162.0,5.0,7.0,5.0
159.0,9.0,152.0,2.0,10.0,4.0
162.0,12.0,154.0,1.0,11.0,1.0
162.0,9.0,148.0,1.0,9.0,1.0
149.0,10.0,141.0,4.0,6.0,0.0
144.0,8.0,137.0,2.0,5.0,3.0
134.0,5.0,122.0,1.0,7.0,1.0
116.0,8.0,106.0,4.0,6.0,0.0
117.0,14.0,103.0,2.0,12.0,4.0
115.0,11.0,107.0,4.0,5.0,1.0
119.0,25.0,109.0,11.0,21.0,14.0
134.0,11.0,139.0,0.0,11.0,4.0
137.0,10.0,141.0,1.0,9.0,1.0
151.0,9.0,148.0,1.0,9.0,5.0
157.0,12.0,156.0,0.0,19.0,6.0
156.0,1.0,165.0,0.0,1.0,1.0
140.0,7.0,149.0,1.0,6.0,2.0
107.0,0.0,111.0,0.0,0.0,0.0
91.0,2.0,92.0,0.0,2.0,0.0
85.0,5.0,79.0,0.0,5.0,2.0
74.0,4.0,67.0,0.0,6.0,2.0
57.0,6.0,50.0,0.0,6.0,1.0
72.0,10.0,60.0,1.0,13.0,8.0
84.0,13.0,82.0,1.0,18.0,4.0
101.0,8.0,107.0,0.0,14.0,0.0
119.0,8.0,128.0,0.0,12.0,1.0
130.0,11.0,138.0,1.0,12.0,5.0
142.0,6.0,154.0,0.0,10.0,0.0
149.0,9.0,154.0,1.0,11.0,4.0
140.0,9.0,150.0,4.0,4.0,0.0
130.0,1.0,135.0,0.0,2.0,1.0
129.0,10.0,126.0,3.0,15.0,3.0
120.0,8.0,125.0,0.0,10.0,2.0
116.0,1.0,122.0,0.0,1.0,0.0
111.0,9.0,109.0,1.0,14.0,2.0
103.0,2.0,107.0,0.0,4.0,1.0
99.0,10.0,102.0,4.0,7.0,3.0
105.0,5.0,109.0,1.0,4.0,0.0
99.0,4.0,95.0,0.0,4.0,0.0
88.0,0.0,84.0,0.0,0.0,0.0
89.0,10.0,81.0,2.0,8.0,2.0
87.0,6.0,73.0,0.0,8.0,1.0
87.0,4.0,75.0,1.0,5.0,4.0
82.0,14.0,75.0,3.0,10.0,2.0
96.0,5.0,89.0,1.0,4.0,3.0
101.0,5.0,97.0,0.0,6.0,0.0
