,Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
0,0,309,0,287,0,0
1,0,89,0,81,0,0
2,0,71,0,56,0,0
3,0,47,0,42,0,0
4,0,44,0,38,0,0
5,0,119,0,101,0,0
6,0,74,0,74,0,0
7,69,81,47,28,52,11
8,37,33,23,11,24,5
9,27,31,18,12,20,0
10,31,25,25,7,22,2
11,31,40,26,14,26,4
12,39,34,34,11,23,2
13,31,23,24,6,15,4
14,22,11,17,3,7,0
15,26,38,0,6,35,21
16,13,11,7,3,9,2
17,10,8,3,2,5,1
18,6,12,2,3,8,1
19,9,20,6,7,9,0
20,9,16,7,7,8,1
21,13,7,10,1,6,1
22,15,7,11,2,4,0
23,8,9,6,0,9,0
24,13,15,10,5,8,0
25,12,17,6,12,11,0
26,15,13,10,2,12,2
27,7,9,4,2,6,0
28,10,16,6,5,10,0
29,10,33,4,24,9,0
30,19,71,6,17,53,6
31,11,30,5,7,21,2
32,14,26,5,5,21,3
33,11,21,7,8,14,1
34,17,24,12,8,16,3
35,18,14,11,2,15,2
36,11,21,10,5,15,0
37,15,36,8,7,26,0
38,15,38,10,7,28,3
39,10,21,7,11,6,0
40,13,38,8,22,13,0
41,10,10,4,2,12,0
42,19,38,9,8,26,2
43,7,18,3,7,7,0
44,9,19,4,7,7,1
45,29,61,13,16,48,2
46,34,71,20,18,70,5
47,24,28,14,10,18,2
48,32,51,23,17,34,4
49,29,50,18,16,29,7
50,23,63,11,30,27,0
51,25,41,16,7,41,3
52,23,25,13,5,19,2
53,13,13,10,5,7,1
54,20,25,12,6,18,2
55,21,18,14,4,13,1
56,12,7,8,2,5,2
57,8,21,5,8,10,0
58,8,11,2,3,7,1
59,5,20,1,9,9,0
60,7,27,3,12,13,0
61,10,8,6,4,3,0
62,4,13,1,8,4,0
63,6,11,2,0,11,0
64,9,17,3,4,14,1
65,11,7,5,1,7,1
66,9,11,5,3,8,0
67,13,21,8,6,15,1
68,3,8,2,5,1,0
69,15,19,6,3,13,1
70,4,11,0,4,4,1
71,7,3,1,0,4,2
72,4,4,2,2,2,0
73,3,13,2,6,5,0
74,6,9,2,3,5,0
75,7,9,3,4,4,0
76,8,9,5,2,6,2
77,3,20,0,8,10,1
