Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
274.0,31.0,227.0,16.0,13.0,1.0
280.0,12.0,230.0,4.0,6.0,3.0
209.0,12.0,168.0,1.0,10.0,0.0
196.0,35.0,158.0,3.0,31.0,1.0
208.0,102.0,170.0,89.0,13.0,4.0
324.0,57.0,282.0,16.0,39.0,5.0
390.0,57.0,342.0,17.0,28.0,6.0
425.0,47.0,366.0,11.0,30.0,3.0
462.0,32.0,401.0,9.0,14.0,1.0
483.0,13.0,412.0,2.0,9.0,2.0
468.0,20.0,397.0,7.0,6.0,2.0
374.0,17.0,297.0,4.0,10.0,3.0
316.0,15.0,248.0,1.0,13.0,1.0
279.0,42.0,219.0,16.0,19.0,4.0
249.0,19.0,198.0,7.0,9.0,3.0
229.0,20.0,185.0,4.0,14.0,0.0
239.0,18.0,191.0,6.0,10.0,1.0
224.0,13.0,179.0,4.0,8.0,2.0
212.0,3.0,173.0,0.0,3.0,0.0
201.0,7.0,161.0,0.0,7.0,1.0
153.0,11.0,122.0,3.0,7.0,0.0
147.0,15.0,114.0,2.0,14.0,1.0
142.0,15.0,112.0,2.0,14.0,0.0
138.0,16.0,108.0,6.0,8.0,3.0
145.0,9.0,115.0,2.0,6.0,2.0
151.0,16.0,118.0,5.0,10.0,1.0
150.0,12.0,119.0,2.0,8.0,0.0
161.0,15.0,124.0,2.0,13.0,2.0
160.0,18.0,122.0,6.0,11.0,5.0
165.0,11.0,128.0,3.0,7.0,2.0
158.0,32.0,126.0,12.0,16.0,1.0
183.0,23.0,147.0,11.0,8.0,0.0
188.0,10.0,152.0,3.0,5.0,0.0
193.0,7.0,155.0,0.0,8.0,0.0
194.0,21.0,154.0,3.0,22.0,1.0
198.0,28.0,166.0,3.0,29.0,0.0
208.0,27.0,179.0,7.0,17.0,4.0
208.0,21.0,180.0,5.0,16.0,2.0
215.0,10.0,184.0,0.0,10.0,2.0
215.0,11.0,183.0,1.0,9.0,4.0
219.0,12.0,189.0,3.0,9.0,3.0
224.0,25.0,187.0,5.0,19.0,4.0
247.0,59.0,195.0,10.0,42.0,3.0
300.0,32.0,237.0,7.0,21.0,5.0
319.0,16.0,259.0,5.0,9.0,2.0
325.0,43.0,264.0,4.0,39.0,1.0
363.0,15.0,297.0,2.0,11.0,2.0
366.0,22.0,298.0,5.0,14.0,0.0
344.0,17.0,275.0,4.0,11.0,2.0
308.0,50.0,236.0,3.0,61.0,6.0
324.0,27.0,277.0,7.0,18.0,3.0
344.0,15.0,294.0,1.0,15.0,3.0
316.0,18.0,271.0,3.0,14.0,2.0
310.0,17.0,272.0,0.0,17.0,1.0
308.0,9.0,273.0,0.0,9.0,1.0
286.0,11.0,255.0,1.0,10.0,0.0
219.0,14.0,187.0,1.0,14.0,3.0
211.0,30.0,184.0,4.0,25.0,3.0
231.0,22.0,206.0,1.0,25.0,0.0
239.0,12.0,217.0,1.0,11.0,0.0
240.0,16.0,216.0,3.0,15.0,1.0
247.0,16.0,221.0,2.0,15.0,2.0
255.0,27.0,230.0,5.0,20.0,3.0
259.0,8.0,234.0,1.0,7.0,1.0
225.0,10.0,209.0,2.0,6.0,0.0
209.0,28.0,184.0,5.0,24.0,2.0
230.0,29.0,201.0,3.0,29.0,5.0
247.0,36.0,226.0,6.0,29.0,1.0
262.0,8.0,241.0,1.0,9.0,6.0
246.0,12.0,232.0,0.0,12.0,5.0
251.0,18.0,240.0,5.0,11.0,3.0
259.0,15.0,248.0,1.0,16.0,1.0
253.0,17.0,235.0,2.0,15.0,2.0
239.0,14.0,218.0,1.0,14.0,0.0
214.0,13.0,187.0,0.0,14.0,5.0
215.0,9.0,192.0,0.0,10.0,2.0
217.0,25.0,185.0,2.0,25.0,1.0
221.0,12.0,195.0,2.0,10.0,2.0
217.0,22.0,188.0,6.0,13.0,0.0
219.0,21.0,195.0,3.0,19.0,3.0
227.0,25.0,208.0,3.0,21.0,3.0
243.0,15.0,217.0,2.0,17.0,3.0
249.0,14.0,230.0,2.0,12.0,3.0
230.0,18.0,214.0,2.0,16.0,1.0
239.0,13.0,222.0,2.0,10.0,1.0
231.0,18.0,217.0,4.0,17.0,1.0
227.0,19.0,216.0,4.0,19.0,1.0
231.0,35.0,219.0,9.0,33.0,1.0
252.0,24.0,243.0,4.0,21.0,2.0
256.0,24.0,245.0,3.0,19.0,4.0
275.0,24.0,256.0,1.0,22.0,3.0
304.0,42.0,274.0,4.0,37.0,6.0
347.0,45.0,305.0,9.0,45.0,3.0
395.0,38.0,351.0,5.0,33.0,5.0
415.0,15.0,362.0,0.0,19.0,3.0
414.0,28.0,354.0,3.0,31.0,2.0
440.0,40.0,383.0,3.0,37.0,6.0
476.0,33.0,418.0,5.0,26.0,8.0
460.0,19.0,416.0,4.0,15.0,6.0
421.0,18.0,381.0,2.0,17.0,5.0
380.0,17.0,346.0,3.0,16.0,2.0
375.0,25.0,334.0,3.0,24.0,2.0
376.0,16.0,330.0,1.0,16.0,7.0
318.0,14.0,287.0,2.0,13.0,0.0
276.0,17.0,245.0,1.0,19.0,3.0
256.0,14.0,234.0,2.0,14.0,0.0
249.0,10.0,228.0,3.0,4.0,4.0
258.0,25.0,229.0,6.0,15.0,1.0
265.0,34.0,232.0,7.0,27.0,2.0
275.0,20.0,240.0,7.0,9.0,0.0
285.0,20.0,236.0,6.0,11.0,6.0
286.0,18.0,234.0,5.0,21.0,3.0
327.0,41.0,268.0,6.0,36.0,6.0
359.0,24.0,309.0,3.0,23.0,3.0
351.0,25.0,311.0,3.0,24.0,3.0
334.0,14.0,293.0,0.0,18.0,3.0
329.0,11.0,300.0,2.0,9.0,1.0
318.0,6.0,294.0,0.0,7.0,1.0
299.0,12.0,271.0,1.0,12.0,5.0
240.0,12.0,222.0,1.0,10.0,0.0
211.0,16.0,190.0,1.0,14.0,1.0
194.0,7.0,174.0,0.0,8.0,0.0
183.0,15.0,159.0,2.0,14.0,3.0
201.0,19.0,166.0,3.0,16.0,11.0
228.0,21.0,194.0,1.0,19.0,6.0
248.0,24.0,210.0,5.0,21.0,5.0
267.0,7.0,240.0,0.0,8.0,1.0
273.0,26.0,244.0,2.0,25.0,2.0
304.0,30.0,265.0,4.0,27.0,4.0
320.0,20.0,282.0,2.0,17.0,3.0
312.0,28.0,273.0,3.0,26.0,2.0
322.0,22.0,282.0,1.0,26.0,5.0
306.0,39.0,276.0,2.0,39.0,2.0
376.0,66.0,328.0,8.0,61.0,5.0
427.0,33.0,375.0,0.0,37.0,6.0
417.0,14.0,377.0,0.0,16.0,4.0
416.0,41.0,375.0,10.0,26.0,2.0
437.0,23.0,390.0,3.0,18.0,5.0
434.0,36.0,383.0,2.0,37.0,4.0
434.0,58.0,387.0,6.0,54.0,7.0
426.0,70.0,385.0,3.0,72.0,5.0
539.0,120.0,479.0,10.0,113.0,13.0
687.0,73.0,634.0,6.0,70.0,3.0
732.0,44.0,683.0,3.0,45.0,6.0
760.0,38.0,710.0,2.0,37.0,2.0
780.0,37.0,722.0,4.0,36.0,6.0
764.0,38.0,705.0,1.0,42.0,6.0
718.0,34.0,656.0,2.0,33.0,3.0
565.0,26.0,508.0,3.0,25.0,5.0
497.0,48.0,433.0,5.0,50.0,4.0
485.0,41.0,418.0,3.0,45.0,4.0
480.0,41.0,422.0,4.0,40.0,6.0
481.0,41.0,430.0,3.0,42.0,8.0
473.0,44.0,425.0,3.0,54.0,13.0
471.0,38.0,449.0,3.0,40.0,2.0
488.0,44.0,462.0,6.0,44.0,6.0
462.0,42.0,450.0,0.0,53.0,2.0
451.0,30.0,450.0,2.0,33.0,0.0
438.0,24.0,441.0,2.0,22.0,2.0
415.0,24.0,403.0,2.0,28.0,2.0
379.0,48.0,360.0,5.0,59.0,2.0
381.0,23.0,368.0,1.0,28.0,8.0
370.0,60.0,355.0,2.0,81.0,2.0
395.0,34.0,389.0,1.0,49.0,3.0
400.0,36.0,403.0,2.0,36.0,1.0
418.0,38.0,418.0,7.0,37.0,2.0
437.0,30.0,430.0,1.0,36.0,2.0
416.0,32.0,401.0,7.0,23.0,5.0
433.0,29.0,408.0,2.0,33.0,5.0
407.0,45.0,371.0,1.0,58.0,8.0
412.0,49.0,374.0,4.0,50.0,3.0
429.0,50.0,393.0,5.0,53.0,3.0
448.0,51.0,411.0,2.0,59.0,6.0
488.0,49.0,457.0,2.0,62.0,5.0
534.0,81.0,509.0,4.0,97.0,6.0
592.0,52.0,578.0,4.0,55.0,2.0
594.0,45.0,564.0,2.0,51.0,1.0
624.0,66.0,578.0,7.0,60.0,7.0
667.0,51.0,606.0,2.0,56.0,9.0
667.0,50.0,611.0,2.0,56.0,11.0
666.0,68.0,602.0,4.0,75.0,4.0
658.0,69.0,583.0,4.0,74.0,8.0
691.0,77.0,616.0,2.0,91.0,10.0
738.0,156.0,660.0,7.0,153.0,5.0
835.0,134.0,751.0,6.0,144.0,11.0
922.0,89.0,844.0,6.0,93.0,11.0
961.0,42.0,888.0,0.0,55.0,5.0
919.0,48.0,860.0,6.0,47.0,5.0
880.0,102.0,820.0,4.0,121.0,6.0
902.0,91.0,847.0,4.0,102.0,8.0
860.0,99.0,818.0,3.0,115.0,13.0
811.0,103.0,785.0,12.0,95.0,10.0
843.0,151.0,804.0,12.0,145.0,11.0
985.0,151.0,930.0,23.0,149.0,23.0
1126.0,105.0,1090.0,5.0,119.0,12.0
1149.0,163.0,1102.0,6.0,178.0,24.0
1253.0,246.0,1228.0,2.0,285.0,33.0
1435.0,292.0,1443.0,12.0,318.0,11.0
1673.0,218.0,1699.0,15.0,243.0,11.0
1750.0,139.0,1792.0,3.0,145.0,15.0
1729.0,120.0,1767.0,9.0,128.0,10.0
1720.0,120.0,1766.0,12.0,122.0,18.0
1670.0,114.0,1702.0,14.0,131.0,2.0
1542.0,138.0,1521.0,5.0,165.0,13.0
1377.0,150.0,1336.0,1.0,186.0,16.0
