0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
168.0,32.0,1510.258,168.0,32.0,1510.258,168.0,32.0,1510.258,168.0,32.0,1510.258,168.0,32.0,1510.258,168.0,32.0,1510.258,168.0,32.0,1510.258,191.0,53.0,2498.3716,191.0,53.0,2498.3716,200.0,163.0,7741.3423
180.0,29.0,1373.4542,180.0,29.0,1373.4542,180.0,29.0,1373.4542,180.0,29.0,1373.4542,180.0,29.0,1373.4542,180.0,29.0,1373.4542,180.0,29.0,1373.4542,206.0,54.0,2555.081,206.0,54.0,2555.081,215.0,180.0,8598.324
185.0,29.0,1385.9265,185.0,29.0,1385.9265,185.0,29.0,1385.9265,185.0,29.0,1385.9265,185.0,29.0,1385.9265,185.0,29.0,1385.9265,185.0,29.0,1385.9265,217.0,52.0,2470.0715,217.0,52.0,2470.0715,226.0,198.0,9447.589
192.0,28.0,1338.3939,192.0,28.0,1338.3939,192.0,28.0,1338.3939,192.0,28.0,1338.3939,192.0,28.0,1338.3939,192.0,28.0,1338.3939,192.0,28.0,1338.3939,224.0,52.0,2472.5889,224.0,52.0,2472.5889,235.0,207.0,9868.648
184.0,28.0,1357.6488,184.0,28.0,1357.6488,184.0,28.0,1357.6488,184.0,28.0,1357.6488,184.0,28.0,1357.6488,184.0,28.0,1357.6488,184.0,28.0,1357.6488,221.0,58.0,2760.361,221.0,58.0,2760.361,229.0,203.0,9662.214
183.0,30.0,1448.3422,183.0,30.0,1448.3422,183.0,30.0,1448.3422,183.0,30.0,1448.3422,183.0,30.0,1448.3422,183.0,30.0,1448.3422,183.0,30.0,1448.3422,217.0,58.0,2758.4985,217.0,58.0,2758.4985,225.0,196.0,9337.497
182.0,31.0,1501.2769,182.0,31.0,1501.2769,182.0,31.0,1501.2769,182.0,31.0,1501.2769,182.0,31.0,1501.2769,182.0,31.0,1501.2769,182.0,31.0,1501.2769,217.0,58.0,2769.5667,217.0,58.0,2769.5667,226.0,197.0,9397.061
183.0,31.0,1504.7976,183.0,31.0,1504.7976,183.0,31.0,1504.7976,183.0,31.0,1504.7976,183.0,31.0,1504.7976,183.0,31.0,1504.7976,183.0,31.0,1504.7976,221.0,59.0,2830.4268,221.0,59.0,2830.4268,231.0,204.0,9749.983
199.0,34.0,1653.2589,199.0,34.0,1653.2589,199.0,34.0,1653.2589,199.0,34.0,1653.2589,199.0,34.0,1653.2589,199.0,34.0,1653.2589,199.0,34.0,1653.2589,240.0,73.0,3493.616,240.0,73.0,3493.616,249.0,215.0,10284.285
260.0,48.0,2327.5664,260.0,48.0,2327.5664,260.0,48.0,2327.5664,260.0,48.0,2327.5664,260.0,48.0,2327.5664,260.0,48.0,2327.5664,260.0,48.0,2327.5664,297.0,92.0,4400.173,297.0,92.0,4400.173,306.0,250.0,11932.593
281.0,56.0,2712.954,281.0,56.0,2712.954,281.0,56.0,2712.954,281.0,56.0,2712.954,281.0,56.0,2712.954,281.0,56.0,2712.954,281.0,56.0,2712.954,325.0,105.0,5020.354,325.0,105.0,5020.354,332.0,270.0,12886.673
